Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Final,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Others,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Others,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2015,366452163745.000000,-288316518223.000000,78135645522.000000,-58855829918.000000,-39737105770.000000,-19118724148.000000,-58855829918.000000,19279815604.000000,-11169024603.000000,-13058058247.000000,-1994677071.000000,-1896815016.000000,5780525731.000000,-11169024603.000000,8110791001.000000,-3215463886.000000,-341424722.000000,-3120444000.000000,246404836.000000,-3215463886.000000,4895327115.000000,139004069.000000,139004069.000000,139004069.000000,5034331184.000000,4895327115.000000,4895327115.000000,,4895327115.000000,5034331184.000000,5034331184.000000,,5034331184.000000
12M 2016,523932684972.0,-365613453820.0,158319231152.0,-102507296231.0,-74338407870.0,-28168888361.0,-102507296231.0,55811934921.0,-7801950190.0,-16101190623.0,166180125.0,1174815921.0,6958244387.0,-7801950190.0,48009984731.0,-8747181746.0,-314896482.0,-8962800500.0,530515236.0,-8747181746.0,39262802985.0,-247056022.0,-247056022.0,-247056022.0,39015746963.0,39262802985.0,39262809556.0,-6571.0,39262802985.0,39015746963.0,39015753534.0,-6571.0,39015746963.0
12M 2017,614677561202.0,-388877393195.0,225800168007.0,-148474678622.0,-96992948421.0,-51481730201.0,-148474678622.0,77325489385.0,-14661249585.0,-21437623500.0,-155705090.0,-4425328297.0,11357407302.0,-14661249585.0,62664239800.0,-12490508971.0,-321854545.0,-12747625750.0,578971324.0,-12490508971.0,50173730829.0,217438990.0,217438990.0,217438990.0,50391169819.0,50173730829.0,50173768389.0,-37560.0,50173730829.0,50391169819.0,50391207379.0,-37560.0,50391169819.0
12M 2018,831104026853.0,-562460279774.0,268643747079.0,-160601618207.0,-104897672129.0,-55703946078.0,-160601618207.0,108042128872.0,-26207969399.0,-23058101482.0,-746180405.0,-5874503953.0,3470816441.0,-26207969399.0,81834159473.0,-18572406999.0,-477329158.0,-17749661000.0,-345416841.0,-18572406999.0,63261752474.0,247189255.0,247189255.0,247189255.0,63508941729.0,63261752474.0,63262127839.0,-375365.0,63261752474.0,63508941729.0,63509314192.0,-372463.0,63508941729.0
12M 2019,1088679619907.0,-692217433141.0,396462186766.0,-190693271836.0,-132630863790.0,-58062408046.0,-190693271836.0,205768914930.0,-33101325378.0,-14850093220.0,-1530739004.0,-13647916377.0,-3072576777.0,-33101325378.0,172667589552.0,-41911127844.0,-324750000.0,-34162803000.0,-7423574844.0,-41911127844.0,130756461708.0,-1892569055.0,-1892569055.0,-1892569055.0,128863892653.0,130756461708.0,130756566406.0,-104698.0,130756461708.0,128863892653.0,128863997351.0,-104698.0,128863892653.0
12M 2020,972634784176.000000,-562235507989.000000,410399276187.000000,-197375171977.000000,-130882499011.000000,-66492672966.000000,-197375171977.000000,213024104210.000000,-44059547225.000000,-25461582184.000000,1030930173.000000,-18364782995.000000,-1264112219.000000,-44059547225.000000,168964556985.000000,-36192322490.000000,-351000000.000000,-28847901940.000000,-6993420550.000000,-36192322490.000000,132772234495.000000,-1623335990.000000,-1623335990.000000,-1623335990.000000,131148898505.000000,132772234495.000000,132772234495.000000,,132772234495.000000,131148898505.000000,131148898505.000000,,131148898505.000000
12M 2021,1103519743574.000000,-642038152501.000000,461481591073.000000,-199873408618.000000,-128655643489.000000,-71217765129.000000,-199873408618.000000,261608182455.000000,-31264940402.000000,-13804081705.000000,422589638.000000,-22671605873.000000,4788157538.000000,-31264940402.000000,230343242053.000000,-49631575033.000000,-361621366.000000,-41811775720.000000,-7458177947.000000,-49631575033.000000,180711667020.000000,1930211796.000000,1930211796.000000,1930211796.000000,182641878816.000000,180711667020.000000,180711667020.000000,,180711667020.000000,182641878816.000000,182641878816.000000,,182641878816.000000
12M 2022,1674053536287.000000,-829195545388.000000,844857990899.000000,-542899706509.000000,-444903073033.000000,-97996633476.000000,-542899706509.000000,301958284390.000000,-51099176669.000000,-18078284139.000000,,,-33020892530.000000,-51099176669.000000,250859107721.000000,-55393401045.000000,-367716074.000000,-47884818300.000000,-7140866671.000000,-55393401045.000000,195465706676.000000,-2981688541.000000,-2981688541.000000,-2981688541.000000,192484018135.000000,195465706676.000000,195465706676.000000,,195465706676.000000,192484018135.000000,192484018135.000000,,192484018135.000000
12M 2023,2090115884030.000000,-907366438079.000000,1182749445951.000000,-736128988375.000000,-614131050385.000000,-121997937990.000000,-736128988375.000000,446620457576.000000,-34029896471.000000,-21324275500.000000,,,-12705620971.000000,-34029896471.000000,412590561105.000000,-88498417903.000000,-382446780.000000,-79485178300.000000,-8630792823.000000,-88498417903.000000,324092143202.000000,-17157030608.000000,-17157030608.000000,-17157030608.000000,306935112594.000000,324092143202.000000,323991439269.000000,100703933.000000,324092143202.000000,306935112594.000000,306832508755.000000,102603839.000000,306935112594.000000
12M 2024,2696813747786.000000,-1125326218848.000000,1571487528938.000000,-911636313248.000000,-780552357723.000000,-131083955525.000000,-911636313248.000000,659851215690.000000,-54605269983.000000,-30740908111.000000,,,-23864361872.000000,-54605269983.000000,605245945707.000000,-131226695854.000000,-406552869.000000,-130820142985.000000,,-131226695854.000000,474019249853.000000,1569104383.000000,1569104383.000000,1569104383.000000,475588354236.000000,474019249853.000000,465157220395.000000,8862029458.000000,474019249853.000000,475588354236.000000,466633243856.000000,8955110380.000000,475588354236.000000
