Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Investasi Pada Entitas Asosiasi,Properti Investasi,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Pajak,Beban Akrual,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Utang Pembelian Aset Tetap,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Utang Pembelian Aset Tetap,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2015,,,1666853310.000000,27829623417.000000,16082089446.000000,11747533971.000000,27829623417.000000,419354928.000000,56484698098.000000,3065277555.000000,89465807308.000000,,199813612.000000,162896382.000000,16676117909.000000,237404924988.000000,1827196707.000000,7587754700.000000,263858704298.000000,353324511606.000000,,,128592711184.000000,80936359500.000000,,10082289097.000000,21417864562.000000,31500153659.000000,1160914065.000000,1359352398.000000,2390042712.000000,,,2390042712.000000,,,,,9677233769.000000,9677233769.000000,,1568655081.000000,128592711184.000000,76531824468.000000,,49883689010.000000,49883689010.000000,,,,,26648135458.000000,76531824468.000000,205124535652.000000,,117650000000.000000,,30549975954.000000,30549975954.000000,,30549975954.000000,,,148199975954.000000,353324511606.000000,117650.000000
12M 2016,,,963523972.000000,37151439243.000000,25533931498.000000,11617507745.000000,37151439243.000000,1684909391.000000,42356027616.000000,4290830811.000000,86446731033.000000,,1212369094.000000,,16484690184.000000,331530570535.000000,2440063950.000000,25174169174.000000,376841862937.000000,463288593970.000000,,,147482570717.000000,89347787633.000000,,5479014572.000000,23695025697.000000,29174040269.000000,8069969277.000000,4262351454.000000,214939708.000000,,,214939708.000000,,,,,15031270056.000000,15031270056.000000,,1382212320.000000,147482570717.000000,117644536874.000000,,83076365585.000000,83076365585.000000,,,,,34568171289.000000,117644536874.000000,265127107591.000000,,175000000000.000000,1444763462.000000,21715729488.000000,21715729488.000000,,21715729488.000000,993429.000000,,198161486379.000000,463288593970.000000,1750000000.000000
12M 2017,,,3059185742.000000,64708424158.000000,51239671370.000000,13468752788.000000,64708424158.000000,1127975450.000000,64177396909.000000,11106199058.000000,144179181317.000000,,1800000.000000,,15888262459.000000,408954285257.000000,2946555610.000000,88947690679.000000,516738594005.000000,660917775322.000000,,,116843320205.000000,11817022428.000000,,14789852609.000000,41367825745.000000,56157678354.000000,3180477540.000000,5178262924.000000,106508176.000000,,,106508176.000000,,,,,39607787469.000000,39607787469.000000,,795583314.000000,116843320205.000000,246104926954.000000,,205734744307.000000,205734744307.000000,,,,,40370182647.000000,246104926954.000000,362948247159.000000,,220000000000.000000,5861635427.000000,72106936867.000000,71106936867.000000,1000000000.000000,72106936867.000000,955869.000000,,297969528163.000000,660917775322.000000,2200000000.000000
12M 2018,,,2681860260.000000,89615990264.000000,73438446519.000000,16177543745.000000,89615990264.000000,1208033930.000000,94918120811.000000,10120316801.000000,198544322066.000000,,1522500.000000,,15291834734.000000,550478901276.000000,2518742350.000000,67098538668.000000,635389539528.000000,833933861594.000000,,,121061155519.000000,340940456.000000,,21276851792.000000,67691589767.000000,88968441559.000000,9682585267.000000,14724134006.000000,28524459.000000,,,28524459.000000,1364741055.000000,,393328736.000000,,4426225109.000000,4426225109.000000,,1132234872.000000,121061155519.000000,77394236183.000000,,26598547173.000000,26598547173.000000,,3566682458.000000,,886710486.000000,46342296066.000000,77394236183.000000,198455391702.000000,,240000000000.000000,259861635427.000000,135616251059.000000,133616251059.000000,2000000000.000000,135616251059.000000,583406.000000,,635478469892.000000,833933861594.000000,12000000000.000000
12M 2019,,,6843501828.000000,122813449527.000000,113534853636.000000,9278595891.000000,122813449527.000000,605738547.000000,100220176995.000000,10272862234.000000,240755729131.000000,,137675819.000000,,14695407009.000000,926961764182.000000,,62593727578.000000,1004388574588.000000,1245144303719.000000,,,204953165337.000000,44320000000.000000,,19804276647.000000,64828237161.000000,84632513808.000000,17169237287.000000,10652426098.000000,19941566659.000000,,,19941566659.000000,4026006063.000000,,2634859748.000000,,19532556220.000000,19532556220.000000,,2043999454.000000,204953165337.000000,273891702356.000000,,200272002630.000000,200272002630.000000,4281276393.000000,9008913518.000000,,7173419418.000000,53156090397.000000,273891702356.000000,478844867693.000000,,240000000000.000000,261819311770.000000,264480124256.000000,3000000000.000000,261480124256.000000,264480124256.000000,,,766299436026.000000,1245144303719.000000,12000000000.000000
12M 2020,,,22890468010.000000,119307435829.000000,111695585232.000000,7611850597.000000,119307435829.000000,534164540.000000,101777866019.000000,9677730742.000000,254187665140.000000,,,,14098979284.000000,993154588208.000000,,49498888990.000000,1056752456482.000000,1310940121622.000000,,,147545013406.000000,,,16506062777.000000,39092879410.000000,55598942187.000000,17485421248.000000,9550016789.000000,9121364147.000000,,,9121364147.000000,4736702587.000000,,3004064898.000000,,44819452115.000000,44819452115.000000,,3229049435.000000,147545013406.000000,268648997536.000000,,190954167832.000000,190954167832.000000,10816832946.000000,5166067711.000000,1197353894.000000,4728815327.000000,55785759826.000000,268648997536.000000,416194010942.000000,,240000000000.000000,259247087919.000000,395629022761.000000,4000000000.000000,391629022761.000000,395629022761.000000,,-130000000.000000,894746110680.000000,1310940121622.000000,12000000000.000000
12M 2021,,,4761050331.000000,125528965712.000000,122437010846.000000,3091954866.000000,125528965712.000000,366760406.000000,121734019328.000000,27413326937.000000,279804122714.000000,,,,13502551559.000000,1027647313598.000000,,27227589042.000000,1068377454199.000000,1348181576913.000000,,,182882815706.000000,21800000000.000000,,19564866823.000000,52623980488.000000,72188847311.000000,19819912072.000000,11161110142.000000,5236850028.000000,,,5236850028.000000,3992458666.000000,,3057771082.000000,,43674562219.000000,43674562219.000000,,1951304186.000000,182882815706.000000,163718867900.000000,,88862602233.000000,88862602233.000000,18819429605.000000,1173609045.000000,1671044245.000000,893392206.000000,52298790566.000000,163718867900.000000,346601683606.000000,,240000000000.000000,243992958730.000000,518387182577.000000,5000000000.000000,513387182577.000000,518387182577.000000,,-800248000.000000,1001579893307.000000,1348181576913.000000,12000000000.000000
12M 2022,,,15844388377.000000,65053385724.000000,2892762662.000000,62160623062.000000,65053385724.000000,968303090.000000,197263936232.000000,14465980557.000000,293595993980.000000,,,,11906123834.000000,1372642123456.000000,,112160365510.000000,1496708612800.000000,1790304606780.000000,,,246628098395.000000,56800000000.000000,,24212256575.000000,55960327127.000000,80172583702.000000,20788118580.000000,14680820624.000000,,,10903357689.000000,10903357689.000000,27706685255.000000,7704201037.000000,,,20833333333.000000,20833333333.000000,,7038998175.000000,246628098395.000000,334504792040.000000,,229166666667.000000,229166666667.000000,25781930335.000000,29979589333.000000,7306634915.000000,,42269970790.000000,334504792040.000000,581132890435.000000,,240000000000.000000,243992958730.000000,692666568960.000000,6000000000.000000,686666568960.000000,692666568960.000000,,32512188655.000000,1209171716345.000000,1790304606780.000000,12000000000.000000
12M 2023,,,225123298001.000000,67425623338.000000,452574655.000000,66973048683.000000,67425623338.000000,1072020413.000000,215716527829.000000,23666071350.000000,533003540931.000000,,,,11309696109.000000,1628001106078.000000,,123913368570.000000,1763224170757.000000,2296227711688.000000,,,441890974677.000000,173399985000.000000,,41942065274.000000,68975011583.000000,110917076857.000000,39069803503.000000,18360263926.000000,,,10156951438.000000,10156951438.000000,,8453439413.000000,,,46646666672.000000,46646666672.000000,,34886787868.000000,441890974677.000000,339751706233.000000,,239059444436.000000,239059444436.000000,34710329785.000000,,7832634520.000000,,58149297492.000000,339751706233.000000,781642680910.000000,,240000000000.000000,267039006197.000000,979765098175.000000,7000000000.000000,972765098175.000000,979765098175.000000,46407527446.000000,-18626601040.000000,1514585030778.000000,2296227711688.000000,12000000000.000000
12M 2024,,,48041777363.000000,95874666266.000000,710364084.000000,95164302182.000000,95874666266.000000,2077642796.000000,275449055907.000000,35760117859.000000,457203260191.000000,,,,10713268384.000000,2031779248925.000000,,163691229412.000000,2206183746721.000000,2663387006912.000000,,,379826463148.000000,100600000000.000000,,24704848388.000000,72069825380.000000,96774673768.000000,42148600526.000000,28974882598.000000,,,9046680040.000000,9046680040.000000,,6589926299.000000,,,74980000008.000000,74980000008.000000,,20711699909.000000,379826463148.000000,353784096130.000000,,242412777760.000000,242412777760.000000,46914309711.000000,,1242708221.000000,,63214300438.000000,353784096130.000000,733610559278.000000,,240000000000.000000,267039006197.000000,1386000404651.000000,8000000000.000000,1378000404651.000000,1386000404651.000000,55363637826.000000,-18626601040.000000,1929776447634.000000,2663387006912.000000,12000000000.000000
