Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Penerimaan (Pembayaran) Operasi Lainnya,Pembayaran Untuk Biaya Keuangan,Penerimaan Dari Penghasilan Keuangan,Penerimaan Dari Restitusi Pajak,Pembayaran Untuk Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pembayaran Untuk Uang Muka,Hasil Dari Penjualan Aset Tetap,Penambahan Aset Tidak Berwujud,Penerimaan Dividen Dari Entitas Asosiasi,Perolehan Investasi Asosiasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen,Penerimaan Dari Penawaran Perdana Saham,Pembayaran Emisi Saham,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Untuk Utang Pembiayaan Konsumen,Penerimaan Utang Lain-Lain Jangka Pendek,Pembayaran Utang Lain-Lain Jangka Pendek,Penerimaan Utang Lain-Lain Jangka Panjang,Pembayaran Utang Lain-Lain Jangka Panjang,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan/(Penurunan) Neto Kas Dan Setara Kas,Kas Dan Setara Kas Awal Tahun,Kas Dan Setara Kas Akhir Tahun
12M 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12M 2019,11426258192.000000,773421833517.000000,-711409994812.000000,-8731399960.000000,-24754593046.000000,-11171133127.000000,786098581.000000,,-6714552961.000000,11426258192.000000,-4200332582.000000,-3540232690.000000,,24783250.000000,-274964850.000000,,-409918292.000000,-4200332582.000000,-65998190648.000000,-2964800000.000000,,,158460000000.000000,-220303390648.000000,,13300711512.000000,-11190711512.000000,3211755555.000000,-6511755555.000000,-65998190648.000000,-58772265038.000000,73105639845.000000,14333374807.000000
12M 2020,48375246351.000000,741527752046.000000,-664706528689.000000,-18963118146.000000,7314297286.000000,-11341520438.000000,318767622.000000,,-5774403330.000000,48375246351.000000,-1186600000.000000,-1077578000.000000,,,-109022000.000000,,,-1186600000.000000,-44795878640.000000,-2030584000.000000,,,63703000000.000000,-106827294640.000000,,14795808829.000000,-15186808829.000000,6750000000.000000,-6000000000.000000,-44795878640.000000,2392767711.000000,14333374807.000000,16726142518.000000
12M 2021,11979771099.000000,734000981006.000000,-681939341365.000000,-21080588520.000000,-4133326772.000000,-8529259522.000000,304369765.000000,,-6643063493.000000,11979771099.000000,-2704193106.000000,-2673706106.000000,,79628000.000000,-110115000.000000,,,-2704193106.000000,10101035633.000000,-573495561.000000,,,118768638153.000000,-120685106959.000000,,4617301993.000000,-4726301993.000000,34250000000.000000,-21550000000.000000,10101035633.000000,19376613626.000000,16726142518.000000,36102756144.000000
12M 2022,-30357359228.000000,656880057573.000000,-648586958577.000000,-13519223915.000000,-13434700907.000000,-7481746422.000000,270874595.000000,,-4485661575.000000,-30357359228.000000,-32775356745.000000,-4261266845.000000,,,-148590000.000000,,-28365499900.000000,-32775356745.000000,146966988294.000000,-1346810212.000000,90000000000.000000,-4146169272.000000,211720797938.000000,-151105719138.000000,-55111022.000000,,-1500000000.000000,5400000000.000000,-2000000000.000000,146966988294.000000,83834272321.000000,36102756144.000000,119937028465.000000
12M 2023,-33329863276.000000,802299667925.000000,-780903021229.000000,-16542589513.000000,-26545400462.000000,-8893878112.000000,870398688.000000,662899302.000000,-4277939875.000000,-33329863276.000000,-15146786780.000000,-14602331780.000000,,,-544455000.000000,,,-15146786780.000000,-26495606609.000000,-1565729000.000000,,,223739975129.000000,-246677458541.000000,-67394197.000000,,,,-1925000000.000000,-26495606609.000000,-74972256665.000000,119937028465.000000,44964771800.000000
12M 2024,-47822762401.000000,1109490458011.000000,-1109582238151.000000,-15597723711.000000,-19704195704.000000,-10224059375.000000,433418445.000000,1985905878.000000,-4624327794.000000,-47822762401.000000,-1718608413.000000,-1105224263.000000,,,-613384150.000000,,,-1718608413.000000,22651086227.000000,,,,347820077807.000000,-373907772066.000000,,,,,48738780486.000000,22651086227.000000,-26890284587.000000,,18074487213.000000
