Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,,,,,,,,,,,,,,,,,,,,,,,,,,
12M 2019,737398137284.000000,-698770508226.000000,38627629058.000000,-34450866453.000000,-29821455884.000000,-90081708.000000,-4539328861.000000,-34450866453.000000,4176762605.000000,-10385034546.000000,786098581.000000,-11171133127.000000,-10385034546.000000,-6208271941.000000,-4209884167.000000,-10418156108.000000,-696951782.000000,-11115107890.000000,-10418156108.000000,-10418156108.000000,,-10418156108.000000,-11115107890.000000,-11115107890.000000,,-11115107890.000000
12M 2020,743407295540.000000,-695314001505.000000,48093294035.000000,-30293765661.000000,-28777939615.000000,-38434443.000000,-1477391603.000000,-30293765661.000000,17799528374.000000,-11022752816.000000,318767622.000000,-11341520438.000000,-11022752816.000000,6776775558.000000,-2738787726.000000,4037987832.000000,-370259619.000000,3667728213.000000,4037987832.000000,4037987832.000000,,4037987832.000000,3667728213.000000,3667728213.000000,,3667728213.000000
12M 2021,701091248818.000000,-656395682812.000000,44695566006.000000,-28521344102.000000,-25003871636.000000,215651617.000000,-3733124083.000000,-28521344102.000000,16174221904.000000,-8224889757.000000,304369765.000000,-8529259522.000000,-8224889757.000000,7949332147.000000,-3570001521.000000,4379330626.000000,-143755928.000000,4235574698.000000,4379330626.000000,4379330626.000000,,4379330626.000000,4235574698.000000,4235574698.000000,,4235574698.000000
12M 2022,700938992980.000000,-659304217618.000000,41634775362.000000,-27014445505.000000,-20649238100.000000,248072311.000000,-6613279716.000000,-27014445505.000000,14620329857.000000,-7210871827.000000,270874595.000000,-7481746422.000000,-7210871827.000000,7409458030.000000,-2935947996.000000,4473510034.000000,174352759.000000,4647862793.000000,4473510034.000000,4473510034.000000,,4473510034.000000,4647862793.000000,4647862793.000000,,4647862793.000000
12M 2023,815740188341.000000,-772225494350.000000,43514693991.000000,-37920356729.000000,-30173828292.000000,286192914.000000,-8032721351.000000,-37920356729.000000,5594337262.000000,-8023479424.000000,870398688.000000,-8893878112.000000,-8023479424.000000,-2429142162.000000,-3097820115.000000,-5526962277.000000,-188704819.000000,-5715667096.000000,-5526962277.000000,-5526962277.000000,,-5526962277.000000,-5715667096.000000,-5715667096.000000,,-5715667096.000000
12M 2024,910544339136.000000,-879200476451.000000,31343862685.000000,-36787733354.000000,-28399612811.000000,244378261.000000,-8632498804.000000,-36787733354.000000,-5443870669.000000,-10648640246.000000,295555133.000000,-10944195379.000000,-10648640246.000000,-16092510915.000000,-455198578.000000,-16547709493.000000,56856882.000000,-16490852611.000000,-16547709493.000000,-16547709493.000000,,-16547709493.000000,-16490852611.000000,-16490852611.000000,,-16490852611.000000
