Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Properti Investasi,Goodwill,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Utang Dari Pihak Berelasi,Bagian Lancar Atas Liabilitas Jangka Panjang,Liabilitas Derivatif,Utang Obligasi,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Derivatif,Utang Obligasi,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2012,,,2438000.000000,,57686000.000000,36696000.000000,20990000.000000,57686000.000000,1044000.000000,254000.000000,790000.000000,1044000.000000,72711000.000000,21503000.000000,155382000.000000,,,150665000.000000,,7809000.000000,,4382000.000000,162856000.000000,318238000.000000,,,170256000.000000,,1041000.000000,146672000.000000,147713000.000000,,1360000.000000,2606000.000000,3966000.000000,6860000.000000,48000.000000,11194000.000000,,,,,,475000.000000,170256000.000000,42544000.000000,,1743000.000000,27897000.000000,,29640000.000000,10448000.000000,2456000.000000,42544000.000000,212800000.000000,,163838000.000000,53392000.000000,-104280000.000000,140000.000000,-104420000.000000,-104280000.000000,,-7512000.000000,105438000.000000,318238000.000000,5566414000.000000
12M 2013,,,5686000.000000,,50098000.000000,23242000.000000,26856000.000000,50098000.000000,2460000.000000,1224000.000000,1236000.000000,2460000.000000,62470000.000000,17262000.000000,137976000.000000,,951000.000000,139928000.000000,,7809000.000000,781000.000000,2384000.000000,151853000.000000,289829000.000000,,,146716000.000000,,840000.000000,121811000.000000,122651000.000000,,1151000.000000,30000.000000,1181000.000000,9853000.000000,102000.000000,11280000.000000,,,,,,1649000.000000,146716000.000000,43825000.000000,,8674000.000000,22174000.000000,,30848000.000000,10745000.000000,2232000.000000,43825000.000000,190541000.000000,,163838000.000000,45880000.000000,-110430000.000000,140000.000000,-110570000.000000,-110430000.000000,,,99288000.000000,289829000.000000,5566414000.000000
12M 2014,,,2661000.000000,,35234000.000000,21319000.000000,13915000.000000,35234000.000000,982000.000000,167000.000000,815000.000000,982000.000000,61691000.000000,15219000.000000,115787000.000000,,549000.000000,128928000.000000,,7809000.000000,737000.000000,2397000.000000,140420000.000000,256207000.000000,,,148539000.000000,,987000.000000,91960000.000000,92947000.000000,,976000.000000,42000.000000,1018000.000000,7693000.000000,41000.000000,11289000.000000,,7989000.000000,21833000.000000,,29822000.000000,5729000.000000,148539000.000000,14822000.000000,,,,,,12313000.000000,2509000.000000,14822000.000000,163361000.000000,,163838000.000000,45880000.000000,-116872000.000000,140000.000000,-117012000.000000,-116872000.000000,,,92846000.000000,256207000.000000,5566414000.000000
12M 2015,,,1885000.000000,,29695000.000000,19284000.000000,10411000.000000,29695000.000000,2728000.000000,162000.000000,2566000.000000,2728000.000000,57840000.000000,12448000.000000,104596000.000000,,212000.000000,117748000.000000,,7809000.000000,555000.000000,2211000.000000,128535000.000000,233131000.000000,,,118558000.000000,,1731000.000000,96353000.000000,98084000.000000,,1128000.000000,54000.000000,1182000.000000,4741000.000000,33000.000000,11290000.000000,,,,,,3228000.000000,118558000.000000,18485000.000000,,,,,,16170000.000000,2315000.000000,18485000.000000,137043000.000000,,163838000.000000,45880000.000000,-113630000.000000,140000.000000,-113770000.000000,-113630000.000000,,,96088000.000000,233131000.000000,5566414000.000000
12M 2016,,,4221000.000000,,27843000.000000,17083000.000000,10760000.000000,27843000.000000,468000.000000,297000.000000,171000.000000,468000.000000,52079000.000000,2936000.000000,87547000.000000,,36000.000000,106458000.000000,,7809000.000000,329000.000000,2530000.000000,117162000.000000,204709000.000000,,,87257000.000000,,940000.000000,56932000.000000,57872000.000000,,1136000.000000,27000.000000,1163000.000000,12455000.000000,66000.000000,11283000.000000,,,,,,4418000.000000,87257000.000000,19508000.000000,,,,,,16172000.000000,3336000.000000,19508000.000000,106765000.000000,,163838000.000000,45880000.000000,-111774000.000000,140000.000000,-111914000.000000,-111774000.000000,,,97944000.000000,204709000.000000,5566414000.000000
12M 2017,,,3092000.000000,,22217000.000000,13259000.000000,8958000.000000,22217000.000000,768000.000000,116000.000000,652000.000000,768000.000000,50150000.000000,11493000.000000,87720000.000000,,,95614000.000000,,7809000.000000,115000.000000,599000.000000,104137000.000000,191857000.000000,,,78404000.000000,,287000.000000,49526000.000000,49813000.000000,,639000.000000,77000.000000,716000.000000,11574000.000000,40000.000000,11281000.000000,,,,,,4980000.000000,78404000.000000,17551000.000000,,,,,,13122000.000000,4429000.000000,17551000.000000,95955000.000000,,163838000.000000,45880000.000000,-113816000.000000,140000.000000,-113956000.000000,-113816000.000000,,,95902000.000000,191857000.000000,5566414000.000000
12M 2018,,,2818000.000000,,21847000.000000,15457000.000000,6390000.000000,21847000.000000,2030000.000000,106000.000000,1924000.000000,2030000.000000,58943000.000000,6641000.000000,92279000.000000,,8000.000000,85121000.000000,,7809000.000000,171000.000000,10438000.000000,103547000.000000,195826000.000000,,,79199000.000000,,416000.000000,57203000.000000,57619000.000000,,1386000.000000,234000.000000,1620000.000000,7027000.000000,54000.000000,11281000.000000,,,,,,1598000.000000,79199000.000000,14092000.000000,,,,,,9935000.000000,4157000.000000,14092000.000000,93291000.000000,,163838000.000000,45880000.000000,-107183000.000000,140000.000000,-107323000.000000,-107183000.000000,,,102535000.000000,195826000.000000,5566414000.000000
12M 2019,,,3130000.000000,,11536000.000000,6840000.000000,4696000.000000,11536000.000000,2663000.000000,217000.000000,2446000.000000,2663000.000000,45367000.000000,8660000.000000,71356000.000000,,,69087000.000000,8123000.000000,7809000.000000,102000.000000,9251000.000000,94372000.000000,165728000.000000,,,54106000.000000,,909000.000000,36019000.000000,36928000.000000,,509000.000000,536000.000000,1045000.000000,3357000.000000,67000.000000,11281000.000000,,,,,,1428000.000000,54106000.000000,12426000.000000,,,,,,7198000.000000,5228000.000000,12426000.000000,66532000.000000,,163838000.000000,45880000.000000,-110522000.000000,140000.000000,-110662000.000000,-110522000.000000,,,99196000.000000,165728000.000000,5566414000.000000
12M 2020,,,4823000.000000,,13185000.000000,8130000.000000,5055000.000000,13185000.000000,159000.000000,141000.000000,18000.000000,159000.000000,44761000.000000,8635000.000000,71563000.000000,,,60206000.000000,8123000.000000,,274000.000000,9211000.000000,77814000.000000,149377000.000000,,,45164000.000000,,581000.000000,37119000.000000,37700000.000000,,428000.000000,718000.000000,1146000.000000,3875000.000000,64000.000000,,,,,327000.000000,327000.000000,2052000.000000,45164000.000000,9051000.000000,,,,511000.000000,511000.000000,3750000.000000,4790000.000000,9051000.000000,54215000.000000,,163838000.000000,45880000.000000,-114690000.000000,140000.000000,-114830000.000000,-114690000.000000,134000.000000,,95162000.000000,149377000.000000,5566414000.000000
12M 2021,,,38411000.000000,,16469000.000000,9288000.000000,7181000.000000,16469000.000000,2148000.000000,228000.000000,1920000.000000,2148000.000000,54554000.000000,5576000.000000,117158000.000000,,,52676000.000000,8123000.000000,,238000.000000,4827000.000000,65864000.000000,183022000.000000,,,70867000.000000,,720000.000000,52524000.000000,53244000.000000,,931000.000000,718000.000000,1649000.000000,5720000.000000,289000.000000,,,,,240000.000000,240000.000000,9725000.000000,70867000.000000,7523000.000000,,,,278000.000000,278000.000000,2140000.000000,5105000.000000,7523000.000000,78390000.000000,,163838000.000000,45880000.000000,-105233000.000000,140000.000000,-105373000.000000,-105233000.000000,147000.000000,,104632000.000000,183022000.000000,5566414000.000000
