Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2012,570089000.000000,-562139000.000000,7950000.000000,-13648000.000000,-7570000.000000,-6078000.000000,-13648000.000000,-5698000.000000,-3603000.000000,-4234000.000000,-341000.000000,51000.000000,921000.000000,-3603000.000000,-9301000.000000,-7173000.000000,-16474000.000000,,-16474000.000000,-16474000.000000,-16474000.000000,,-16474000.000000,-16474000.000000,-16474000.000000,,-16474000.000000
12M 2013,586375000.000000,-577090000.000000,9285000.000000,-11658000.000000,-7339000.000000,-4319000.000000,-11658000.000000,-2373000.000000,-4431000.000000,-9664000.000000,2578000.000000,19000.000000,2636000.000000,-4431000.000000,-6804000.000000,654000.000000,-6150000.000000,,-6150000.000000,-6150000.000000,-6150000.000000,,-6150000.000000,-6150000.000000,-6150000.000000,,-6150000.000000
12M 2014,621731000.000000,-613802000.000000,7929000.000000,-11631000.000000,-7445000.000000,-4186000.000000,-11631000.000000,-3702000.000000,-770000.000000,-1968000.000000,540000.000000,14000.000000,644000.000000,-770000.000000,-4472000.000000,-1970000.000000,-6442000.000000,,-6442000.000000,-6442000.000000,-6442000.000000,,-6442000.000000,-6442000.000000,-6442000.000000,,-6442000.000000
12M 2015,457333000.000000,-439514000.000000,17819000.000000,-9818000.000000,-5836000.000000,-3982000.000000,-9818000.000000,8001000.000000,-913000.000000,-2243000.000000,830000.000000,23000.000000,477000.000000,-913000.000000,7088000.000000,-4108000.000000,2980000.000000,217000.000000,3197000.000000,2980000.000000,2980000.000000,,2980000.000000,3197000.000000,3197000.000000,,3197000.000000
12M 2016,441825000.000000,-428326000.000000,13499000.000000,-9427000.000000,-5367000.000000,-4060000.000000,-9427000.000000,4072000.000000,317000.000000,-132000.000000,-309000.000000,38000.000000,720000.000000,317000.000000,4389000.000000,-2220000.000000,2169000.000000,-313000.000000,1856000.000000,2169000.000000,2169000.000000,,2169000.000000,1856000.000000,1856000.000000,,1856000.000000
12M 2017,433346000.000000,-426548000.000000,6798000.000000,-9677000.000000,-5175000.000000,-4502000.000000,-9677000.000000,-2879000.000000,673000.000000,-82000.000000,-74000.000000,26000.000000,803000.000000,673000.000000,-2206000.000000,460000.000000,-1746000.000000,-296000.000000,-2042000.000000,-1746000.000000,-1746000.000000,,-1746000.000000,-2042000.000000,-2042000.000000,,-2042000.000000
12M 2018,433868000.000000,-415763000.000000,18105000.000000,-9153000.000000,-4837000.000000,-4316000.000000,-9153000.000000,8952000.000000,-390000.000000,-64000.000000,-1063000.000000,27000.000000,710000.000000,-390000.000000,8562000.000000,-2437000.000000,6125000.000000,508000.000000,6633000.000000,6125000.000000,6125000.000000,,6125000.000000,6633000.000000,6633000.000000,,6633000.000000
12M 2019,331945000.000000,-327389000.000000,4556000.000000,-10181000.000000,-5420000.000000,-4761000.000000,-10181000.000000,-5625000.000000,1292000.000000,-52000.000000,379000.000000,64000.000000,901000.000000,1292000.000000,-4333000.000000,1047000.000000,-3286000.000000,-53000.000000,-3339000.000000,-3286000.000000,-3286000.000000,,-3286000.000000,-3339000.000000,-3339000.000000,,-3339000.000000
12M 2020,309367000.0,-307424000.0,1943000.0,-10916000.0,-5961000.0,-4955000.0,-10916000.0,-8973000.0,1148000.0,-101000.0,253000.0,76000.0,920000.0,1148000.0,-7825000.0,2880000.0,-4945000.0,773000.0,-4172000.0,-4945000.0,-4940000.0,-5000.0,-4945000.0,-4172000.0,-4168000.0,-4000.0,-4172000.0
12M 2021,412096000.0,-388501000.0,23595000.0,-14348000.0,-9123000.0,-5225000.0,-14348000.0,9247000.0,2985000.0,-93000.0,240000.0,850000.0,1988000.0,2985000.0,12232000.0,-2668000.0,9564000.0,-94000.0,9470000.0,9564000.0,9550000.0,14000.0,9564000.0,9470000.0,9457000.0,13000.0,9470000.0
