Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Beban Usaha Lainnya,Penerimaan Dari Pendapatan Bunga,Pembayaran Beban Usahan Lainnya,Pembayaran Pajak Final Atas Perpindahan Saham,Pembayaran Untuk Pajak Penghasilan,Penerimaan Dari Pengembalian Pajak,Penerimaan Dari Klaim Asuransi,Pembayaran Untuk Biaya Bank Dan Beban Keuangan Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penerimaan Dari Penjualan Aset Tetap,Pencairan (Penempatan) Investasi Jangka Pendek,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari (Pembayaran Kepada) Pihak Berelasi - Neto,Pembayaran Liabilitas Sewa,Pembayaran Bunga Obligasi Dan Imbalan Sukuk Ijarah,Pembayaran Pokok Obligasi Dan Sukuk Ijarah,Penerimaan Bersih Dari Transaksi Derivatif,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2012,2925000.000000,579234000.000000,-583214000.000000,,,51000.000000,,,-2910000.000000,10591000.000000,,-827000.000000,2925000.000000,-697000.000000,-697000.000000,,,-697000.000000,-2947000.000000,-886000.000000,,-3598000.000000,,1537000.000000,-2947000.000000,-719000.000000,3157000.000000,,2438000.000000
12M 2013,9917000.000000,593963000.000000,-591194000.000000,,,19000.000000,,,-1924000.000000,9662000.000000,,-609000.000000,9917000.000000,-1721000.000000,-1809000.000000,88000.000000,,-1721000.000000,-4948000.000000,-2936000.000000,,-3224000.000000,,1212000.000000,-4948000.000000,3248000.000000,2438000.000000,,5686000.000000
12M 2014,339000.000000,636595000.000000,-644316000.000000,,,14000.000000,,,-1746000.000000,9371000.000000,969000.000000,-548000.000000,339000.000000,-1801000.000000,-1801000.000000,,,-1801000.000000,-1563000.000000,431000.000000,,-2838000.000000,,844000.000000,-1563000.000000,-3025000.000000,5686000.000000,,2661000.000000
12M 2015,33262000.000000,463060000.000000,-434017000.000000,,,20000.000000,,,-2185000.000000,6673000.000000,,-289000.000000,33262000.000000,-1516000.000000,-1516000.000000,,,-1516000.000000,-32522000.000000,-1779000.000000,,-1298000.000000,-20665000.000000,-8780000.000000,-32522000.000000,-776000.000000,2661000.000000,,1885000.000000
12M 2016,1318000.000000,443677000.000000,-447372000.000000,,,37000.000000,,,-1830000.000000,6878000.000000,,-72000.000000,1318000.000000,-1382000.000000,-1385000.000000,3000.000000,,-1382000.000000,2400000.000000,2400000.000000,,,,,2400000.000000,2336000.000000,1885000.000000,,4221000.000000
12M 2017,1238000.000000,438972000.000000,-432005000.000000,,,25000.000000,,,-8944000.000000,3249000.000000,,-59000.000000,1238000.000000,-1934000.000000,-1935000.000000,1000.000000,,-1934000.000000,-433000.000000,-433000.000000,,,,,-433000.000000,-1129000.000000,4221000.000000,,3092000.000000
12M 2018,3252000.000000,434239000.000000,-421937000.000000,,,27000.000000,,,-9234000.000000,206000.000000,,-49000.000000,3252000.000000,-2411000.000000,-2418000.000000,7000.000000,,-2411000.000000,-1115000.000000,-1115000.000000,,,,,-1115000.000000,-274000.000000,3092000.000000,,2818000.000000
12M 2019,5393000.000000,342256000.000000,-336418000.000000,,,64000.000000,,,-7145000.000000,6687000.000000,,-51000.000000,5393000.000000,-4861000.000000,-4861000.000000,,,-4861000.000000,-220000.000000,-220000.000000,,,,,-220000.000000,312000.000000,2818000.000000,,3130000.000000
12M 2020,3968000.000000,307719000.000000,-301815000.000000,,,76000.000000,,-4743000.000000,-2840000.000000,5608000.000000,,-37000.000000,3968000.000000,-4458000.000000,-4466000.000000,8000.000000,,-4458000.000000,2183000.000000,2523000.000000,-340000.000000,,,,2183000.000000,1693000.000000,3130000.000000,,4823000.000000
12M 2021,38890000.000000,416485000.000000,-381149000.000000,,,850000.000000,,,-5192000.000000,7947000.000000,,-51000.000000,38890000.000000,-3038000.000000,-3038000.000000,,,-3038000.000000,-2264000.000000,-1902000.000000,-362000.000000,,,,-2264000.000000,33588000.000000,4823000.000000,,38411000.000000
12M 2022,4757000.000000,467424000.000000,-457758000.000000,,,861000.000000,,,-10502000.000000,4783000.000000,,-51000.000000,4757000.000000,-13593000.000000,-5093000.000000,,-8500000.000000,-13593000.000000,1650000.000000,1964000.000000,-314000.000000,,,,1650000.000000,-7186000.000000,38411000.000000,,31225000.000000
12M 2023,1196000.000000,378618000.000000,-360547000.000000,-5885000.000000,-5649000.000000,922000.000000,,,-8277000.000000,2050000.000000,,-36000.000000,1196000.000000,-4336000.000000,-12841000.000000,5000.000000,8500000.000000,-4336000.000000,-2328000.000000,-1978000.000000,-350000.000000,,,,-2328000.000000,-5468000.000000,31225000.000000,,25757000.000000
12M 2024,-7593000.000000,371728000.000000,-368943000.000000,-5458000.000000,-7710000.000000,779000.000000,,,-8464000.000000,10505000.000000,,-30000.000000,-7593000.000000,-5378000.000000,-5390000.000000,12000.000000,,-5378000.000000,1701000.000000,1830000.000000,-129000.000000,,,,1701000.000000,-11270000.000000,25757000.000000,,14487000.000000
