Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Laba (Rugi) Selisih Kurs,Keuntungan (Rugi) Atas Transaksi Derivatif,Pendapatan Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,3027012493144.000000,-2520687031856.000000,506325461288.000000,-117030632905.000000,-80532546590.000000,-36498086315.000000,-117030632905.000000,389294828383.000000,-353800775600.000000,-226567061927.000000,-195879336770.000000,69813778311.000000,3269934141.000000,-4438089355.000000,-353800775600.000000,35494052783.000000,1059817078.000000,36553869861.000000,,,36553869861.000000,36553869861.000000,,36553869861.000000,,,,
12M 2009,2733300131019.000000,-2196485263777.000000,536814867242.000000,-112276762028.000000,-81262024077.000000,-31014737951.000000,-112276762028.000000,424538105214.000000,-36988186610.000000,-177289271360.000000,178159853154.000000,-41703214249.000000,3204738263.000000,639707582.000000,-36988186610.000000,387549918604.000000,-110821204327.000000,276728714277.000000,,,276728714277.000000,276728714277.000000,,276728714277.000000,,,,
12M 2010,3385973456418.000000,-2739477708582.000000,646495747836.000000,-134655966242.000000,-90316829262.000000,-44339136980.000000,-134655966242.000000,511839781594.000000,-130859299672.000000,-151792773684.000000,33464119996.000000,-15166079264.000000,2484450788.000000,150982492.000000,-130859299672.000000,380980481922.000000,-97978657485.000000,283001824437.000000,,,283001824437.000000,283001824437.000000,,283001824437.000000,,,,
12M 2011,4123728086965.000000,-3511918410513.000000,611809676452.000000,-180210581869.000000,-121043848616.000000,-59166733253.000000,-180210581869.000000,431599094583.000000,-249522671099.000000,-179439034432.000000,-64582246251.000000,-12055402418.000000,,6554012002.000000,-249522671099.000000,182076423484.000000,-49737499699.000000,132338923785.000000,,132338923785.000000,132338923785.000000,132338923785.000000,,132338923785.000000,132338923785.000000,132338923785.000000,,132338923785.000000
12M 2012,3987782936544.000000,-3506340872855.000000,481442063689.000000,-170462657229.000000,-120284804114.000000,-50177853115.000000,-170462657229.000000,310979406460.000000,-299949924958.000000,-131107701318.000000,-170745815567.000000,1565417551.000000,,338174376.000000,-299949924958.000000,11029481502.000000,-5737018632.000000,5292462870.000000,,5292462870.000000,5292462870.000000,5292462870.000000,,5292462870.000000,5292462870.000000,5292462870.000000,,5292462870.000000
12M 2013,4960825518081.000000,-4243133126286.000000,717692391795.000000,-227988599128.000000,-176563457010.000000,-51425142118.000000,-227988599128.000000,489703792667.000000,-819113523129.000000,-141431525098.000000,-702151598322.000000,26667901767.000000,,-2198301476.000000,-819113523129.000000,-329409730462.000000,80351854904.000000,-249057875558.000000,,-249057875558.000000,-249057875558.000000,-249057875558.000000,,-249057875558.000000,-249057875558.000000,-249057875558.000000,,-249057875558.000000
12M 2014,5456935920101.000000,-4880425417320.000000,576510502781.000000,-252470563597.000000,-202870334233.000000,-49600229364.000000,-252470563597.000000,324039939184.000000,-197596218223.000000,-136949160176.000000,-83287207688.000000,2948264002.000000,,19691885639.000000,-197596218223.000000,126443720961.000000,-39697866011.000000,86745854950.000000,,86745854950.000000,86745854950.000000,86745854950.000000,,86745854950.000000,86745854950.000000,86745854950.000000,,86745854950.000000
12M 2015,4959998929211.000000,-4570043743783.000000,389955185428.000000,-236398886574.000000,-167965462734.000000,-68433423840.000000,-236398886574.000000,153556298854.000000,-556502815916.000000,-149990960539.000000,-384299789826.000000,-2636052116.000000,,-19576013435.000000,-556502815916.000000,-402946517062.000000,94049915767.000000,-308896601295.000000,1175309859419.000000,866413258124.000000,-308896601295.000000,-308896601295.000000,,-308896601295.000000,866413258124.000000,866413258124.000000,,866413258124.000000
12M 2016,5874745032615.000000,-4696162163506.000000,1178582869109.000000,-209985848626.000000,-120230343864.000000,-89755504762.000000,-209985848626.000000,968597020483.000000,-141867403454.000000,-197218802309.000000,101000980968.000000,-41719899786.000000,,-3929682327.000000,-141867403454.000000,826729617029.000000,-48716855404.000000,778012761625.000000,-5447146829.000000,772565614796.000000,778012761625.000000,778012761625.000000,,778012761625.000000,772565614796.000000,772565614796.000000,,772565614796.000000
12M 2017,7337185138762.000000,-5923997164012.000000,1413187974750.000000,-255305809993.000000,-149591070569.000000,-105714739424.000000,-255305809993.000000,1157882164757.000000,-333351469857.000000,-293418933628.000000,-49219698020.000000,-31139353736.000000,,40426515527.000000,-333351469857.000000,824530694900.000000,-228662496186.000000,595868198714.000000,-15018330223.000000,580849868491.000000,595868198714.000000,595868198714.000000,,595868198714.000000,580849868491.000000,580849868491.000000,,580849868491.000000
