Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Liabilitas Derivatif,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Obligasi,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Derivatif,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Obligasi,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,168650812031.000000,347906989104.000000,78181819855.000000,269725169249.000000,347906989104.000000,1709862429.000000,,,1709862429.000000,486000829006.000000,89734353936.000000,1094002846506.000000,,2620337693858.000000,,,4207388860.000000,2624545082718.000000,3718547929224.000000,,,524873016108.000000,248421232302.000000,87069717411.000000,,,87069717411.000000,1816949815.000000,,,1816949815.000000,7570465682.000000,76975376985.000000,,,102244806630.000000,774467283.000000,,103019273913.000000,,524873016108.000000,1885815818778.000000,356893518366.000000,,,424206889956.000000,893035684.000000,1057346528643.000000,1482446454283.000000,46475846129.000000,1885815818778.000000,2410688834886.000000,,1238944393500.000000,3560727824.000000,65353973014.000000,200000000.000000,65153973014.000000,65353973014.000000,,,1307859094338.000000,3718547929224.000000,2477888787.000000
12M 2009,,,168825519407.000000,473111814757.000000,116124303425.000000,356987511332.000000,473111814757.000000,320393501.000000,,,320393501.000000,386486864969.000000,37569423937.000000,1066314016571.000000,,2550452554913.000000,,,54468335424.000000,2604920890337.000000,3671234906908.000000,,,462062564632.000000,229636264308.000000,91653916843.000000,,,91653916843.000000,1591628794.000000,,,1591628794.000000,85611477989.000000,46162685369.000000,,6501200364.000000,,905390965.000000,,7406591329.000000,,462062564632.000000,1624584533661.000000,352993930054.000000,,,304157241171.000000,,915635989121.000000,1219793230292.000000,51797373315.000000,1624584533661.000000,2086647098293.000000,,1238944393500.000000,3560727824.000000,342082687291.000000,200000000.000000,341882687291.000000,342082687291.000000,,,1584587808615.000000,3671234906908.000000,2477888787.000000
12M 2010,,,169876792956.000000,527593443973.000000,105186637474.000000,422406806499.000000,527593443973.000000,679281781.000000,,,679281781.000000,502124039249.000000,10453470936.000000,1210727028895.000000,,3077945132559.000000,,,206350243248.000000,3284295375807.000000,4495022404702.000000,,,1440959280341.000000,207525525900.000000,141052709120.000000,,,141052709120.000000,65162562969.000000,,,65162562969.000000,23931719295.000000,52202337747.000000,,1439953605.000000,61132686120.000000,1107838294.000000,887403947291.000000,951084425310.000000,,1440959280341.000000,1243464933410.000000,350496866949.000000,,5680028286.000000,828603542633.000000,2148265124.000000,,836431836043.000000,56536230418.000000,1243464933410.000000,2684424213751.000000,,1238944393500.000000,3560727824.000000,568093069627.000000,400000000.000000,567693069627.000000,568093069627.000000,,,1810598190951.000000,4495022404702.000000,2477888787.000000
12M 2011,,,42218367909.000000,336604363783.000000,81490526423.000000,255113837360.000000,336604363783.000000,1639432288.000000,,,1639432288.000000,668283200651.000000,89117693609.000000,1137863058240.000000,,3734448692875.000000,,,63781985454.000000,3798230678329.000000,4936093736569.000000,,,861199320481.000000,107698489425.000000,324129457901.000000,,,324129457901.000000,60383340727.000000,,,60383340727.000000,1797306750.000000,71248767420.000000,,,280982342185.000000,14959616073.000000,,295941958258.000000,,861199320481.000000,2273196962211.000000,372609115123.000000,,12797296612.000000,1810795808382.000000,11020121408.000000,,1834613226402.000000,65974620686.000000,2273196962211.000000,3134396282692.000000,,1238944393500.000000,3560727824.000000,559192332553.000000,600000000.000000,558592332553.000000,559192332553.000000,,,1801697453877.000000,4936093736569.000000,2477888787.000000
12M 2012,,,72870958343.000000,878622048703.000000,,878622048703.000000,878622048703.000000,2144104020.000000,,,2144104020.000000,636373572306.000000,90941567585.000000,1680952250957.000000,,3860973069153.000000,22865535787.000000,,13543351559.000000,3897381956499.000000,5578334207456.000000,,,2879319498802.000000,301673090910.000000,639631351281.000000,,,639631351281.000000,45047464234.000000,,,45047464234.000000,20392641357.000000,64608669978.000000,,3032956820.000000,1795725800489.000000,9207523733.000000,,1807966281042.000000,,2879319498802.000000,892024791907.000000,378346133755.000000,,8198922241.000000,426891435367.000000,3445493229.000000,,438535850837.000000,75142807315.000000,892024791907.000000,3771344290709.000000,,1238944393500.000000,3560727824.000000,564484795423.000000,600000000.000000,563884795423.000000,564484795423.000000,,,1806989916747.000000,5578334207456.000000,2477888787.000000
12M 2013,,,80305658406.000000,887116633258.000000,,887116633258.000000,887116633258.000000,166496533221.000000,,,166496533221.000000,649109351590.000000,76811712075.000000,1859839888550.000000,,3795093179369.000000,19904609653.000000,,17222730109.000000,3832220519131.000000,5692060407681.000000,,,1310179939827.000000,412585665982.000000,561319152124.000000,,,561319152124.000000,29256031979.000000,,,29256031979.000000,10912715434.000000,77063813048.000000,,,214732951746.000000,4309609514.000000,,219042561260.000000,,1310179939827.000000,2823948426665.000000,297994278851.000000,,5975327294.000000,2433603428111.000000,30706041.000000,,2439609461446.000000,86344686368.000000,2823948426665.000000,4134128366492.000000,,1238944393500.000000,3560727824.000000,315426919865.000000,600000000.000000,314826919865.000000,315426919865.000000,,,1557932041189.000000,5692060407681.000000,2477888787.000000
12M 2014,,,60986237039.000000,811094229923.000000,,811094229923.000000,811094229923.000000,6834538660.000000,,,6834538660.000000,829904363829.000000,86803932569.000000,1795623302020.000000,,3733099100092.000000,14703751594.000000,,37574569639.000000,3785377421325.000000,5581000723345.000000,,,1838653252008.000000,302219177854.000000,1158294848996.000000,,,1158294848996.000000,64583278226.000000,,,64583278226.000000,4017775377.000000,89105473770.000000,,,220216129329.000000,31339843.000000,,220247469172.000000,185228613.000000,1838653252008.000000,2097669575198.000000,337692144862.000000,,3017504619.000000,1668484032381.000000,,,1671501537000.000000,88475893336.000000,2097669575198.000000,3936322827206.000000,,1238944393500.000000,3560727824.000000,402172774815.000000,600000000.000000,401572774815.000000,402172774815.000000,,,1644677896139.000000,5581000723345.000000,2477888787.000000
12M 2015,,,63784160640.000000,680663107867.000000,,680663107867.000000,680663107867.000000,1758000000.000000,,,1758000000.000000,905574220303.000000,66761967978.000000,1718541456788.000000,,4916097744392.000000,9426581624.000000,,349568484165.000000,5275092810181.000000,6993634266969.000000,,,1609497395686.000000,687677274384.000000,523242769793.000000,,,523242769793.000000,47754241577.000000,,,47754241577.000000,4390387058.000000,93914965662.000000,,,245963781865.000000,,,245963781865.000000,6553975347.000000,1609497395686.000000,2938790692059.000000,233883029703.000000,,,2564533137080.000000,,,2564533137080.000000,140374525276.000000,2938790692059.000000,4548288087745.000000,,1238944393500.000000,3560727824.000000,62296720459.000000,800000000.000000,61496720459.000000,62296720459.000000,,1140544337441.000000,2445346179224.000000,6993634266969.000000,2477888787.000000
12M 2016,,,223740032319.000000,1112719990712.000000,,1112719990712.000000,1112719990712.000000,513630000.000000,,,513630000.000000,768429338957.000000,61632561611.000000,2167035553599.000000,,6271722916197.000000,5261395894.000000,,139203970307.000000,6416188282398.000000,8583223835997.000000,,,2015616872848.000000,749015003481.000000,775955891887.000000,,,775955891887.000000,122195088349.000000,,,122195088349.000000,15643326420.000000,94977782391.000000,,,253351376667.000000,,,253351376667.000000,4478403653.000000,2015616872848.000000,3409164500017.000000,222015689711.000000,,,3020140033100.000000,,,3020140033100.000000,167008777206.000000,3409164500017.000000,5424781372865.000000,,1238944393500.000000,3560727824.000000,780840151196.000000,800000000.000000,780040151196.000000,780840151196.000000,,1135097190612.000000,3158442463132.000000,8583223835997.000000,2477888787.000000
12M 2017,,,287857774721.000000,1343802997582.000000,27921758274.000000,1315881239308.000000,1343802997582.000000,3281280591.000000,,,3281280591.000000,1093924962306.000000,55139826053.000000,2784006841253.000000,,6434772710208.000000,1648217812.000000,,149464007502.000000,6585884935522.000000,9369891776775.000000,,,3753070066277.000000,1029595159339.000000,1081178518423.000000,,,1081178518423.000000,41806037490.000000,,,41806037490.000000,61976978181.000000,201965447237.000000,,,1317772483919.000000,16961399512.000000,,1334733883431.000000,1814042176.000000,3753070066277.000000,2328504138109.000000,301362684019.000000,,,1801548169132.000000,22531435221.000000,,1824079604353.000000,203061849737.000000,2328504138109.000000,6081574204386.000000,,1238944393500.000000,3560727824.000000,925732590676.000000,1000000000.000000,924732590676.000000,925732590676.000000,1000000.000000,1120078860389.000000,3288317572389.000000,9369891776775.000000,2477888787.000000
