Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Untuk Beban Operasi Lain,Pembayaran Untuk Beban Operasional,Pembayaran Kepada Karyawan,Pembayaran Untuk:,Beban Keuangan,Pajak Penghasilan,Total Pembayaran Untuk:,Penerimaan Dari:,Klaim Asuransi,Restitusi Pajak Penghasilan,Restitusi Pajak Pertambahan Nilai,Penghasilan Bunga,Total Penerimaan Dari:,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penempatan Pada Deposito Berjangka Yang Dibatasi Penggunaannya,Wesel Tagih,Perolehan Piutang Lain-Lain,Penambahan Aset Tidak Berwujud,Pengembalian (Pembayaran) Uang Jaminan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Perolehan Utang Bank,Perolehan Utang Bank Dan Lembaga Keuangan Jangka Panjang,Pembayaran Utang Bank,Pembayaran Utang Bank Jangka Panjang,Pembayaran Biaya Transaksi Yang Ditangguhkan,Perolehan (Pembayaran) Utang Sewa Pembiayaan,Pembelian Kembali Obligasi,Pembayaran Dividen,Pembayaran Biaya Perolehan Pinjaman,Perolehan Dari Transaksi Jual Dan Sewa Balik,Penerimaan Dari Setoran Modal,Pembayaran Liabilitas Atas Kontrak,Pembayaran Beban Bunga Dan Keuangan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,1107948970952.000000,3142074916079.000000,-1761215285783.000000,,,,-199937490672.000000,-76243102813.000000,-276180593485.000000,,,,,3269934141.000000,3269934141.000000,1107948970952.000000,-36004551679.000000,630200000.000000,-36611840489.000000,,,,,,-22911190.000000,-36004551679.000000,-1073331505342.000000,,438836946166.000000,-666714639187.000000,-818834175380.000000,,-1840749071.000000,,-24778887870.000000,,,,,,-1073331505342.000000,-1387086069.000000,170037898100.000000,168650812031.000000
12M 2009,868140069724.000000,2608095305366.000000,-1512520698639.000000,,,,-190222984578.000000,-40416290688.000000,-230639275266.000000,,,,,3204738263.000000,3204738263.000000,868140069724.000000,-125258849657.000000,186000000.000000,-71734539059.000000,-53413251388.000000,,,,,-297059210.000000,-125258849657.000000,-742706512691.000000,,235364229312.000000,-495417211475.000000,-481891418526.000000,,-762112002.000000,,,,,,,,-742706512691.000000,174707376.000000,168650812031.000000,168825519407.000000
12M 2010,1164934536805.000000,3335744185271.000000,-1907277365072.000000,,,,-140207563209.000000,-155807986150.000000,-296015549359.000000,,,29998815177.000000,,2484450788.000000,32483265965.000000,1164934536805.000000,-810592209866.000000,223727273.000000,-623379471839.000000,-184446935700.000000,,,,,-2989529600.000000,-810592209866.000000,-353291053390.000000,,978752048506.000000,-874790869886.000000,-387489724734.000000,-11112981628.000000,-1658083547.000000,,-56991442101.000000,,,,,,-353291053390.000000,1051273549.000000,168825519407.000000,169876792956.000000
12M 2011,1911187311872.000000,4306729967155.000000,-2123377314222.000000,,,,-168798164741.000000,-106107361810.000000,-274905526551.000000,,,,,2740185490.000000,2740185490.000000,1911187311872.000000,-648856170673.000000,77272727.000000,-643043148630.000000,-5893294770.000000,,,,,3000000.000000,-648856170673.000000,-1389989566246.000000,129960000000.000000,1727126420851.000000,-1623715681529.000000,-585153570044.000000,,-20526368665.000000,-876440706000.000000,-141239660859.000000,,,,,,-1389989566246.000000,-127658425047.000000,169876792956.000000,42218367909.000000
12M 2012,422204679850.000000,3445765251624.000000,-2882920421605.000000,,,,-125481841392.000000,-16211909868.000000,-141693751260.000000,,,,,1053601091.000000,1053601091.000000,422204679850.000000,-303873874236.000000,100000000.000000,-279756445091.000000,-59863636.000000,-9465012923.000000,,,-14500577586.000000,-191975000.000000,-303873874236.000000,-87678215180.000000,497140000000.000000,806730816782.000000,-562663221458.000000,-814056975003.000000,,-14828835501.000000,,,,,,,,-87678215180.000000,30652590434.000000,42218367909.000000,72870958343.000000
12M 2013,209910765040.000000,4952330933525.000000,-4354851993689.000000,,-236034075880.000000,,-117914268074.000000,-35125299075.000000,-153039567149.000000,,,,,1505468233.000000,1505468233.000000,209910765040.000000,-174576080632.000000,173636364.000000,-161346220385.000000,-1064423069.000000,,-10000000000.000000,,-2345573542.000000,6500000.000000,-174576080632.000000,-27899984345.000000,113595000000.000000,3193402988368.000000,-331892378508.000000,-2994692892798.000000,,-8312701407.000000,,,,,,,,-27899984345.000000,7434700063.000000,72870958343.000000,80305658406.000000
12M 2014,1327852701205.000000,5532958323436.000000,-3819703040204.000000,,-271389535099.000000,,-124064264183.000000,-8729156737.000000,-132793420920.000000,,,16211909741.000000,,2568464251.000000,18780373992.000000,1327852701205.000000,-195073976448.000000,65909091.000000,-178499647395.000000,-16594901171.000000,,10000000000.000000,,-258237100.000000,-9787099873.000000,-195073976448.000000,-1152098146124.000000,692112455461.000000,529397781399.000000,-1086644216067.000000,-1282655191205.000000,,-4308975712.000000,,,,,,,,-1152098146124.000000,-19319421367.000000,80305658406.000000,60986237039.000000
12M 2015,72901791421.000000,5090430051267.000000,-4587808717195.000000,,-311242771095.000000,,-140058073219.000000,-14623471900.000000,-154681545119.000000,,,35125299202.000000,,1079474361.000000,36204773563.000000,72901791421.000000,-525795274890.000000,181818182.000000,-237638654747.000000,-292877036921.000000,,,,-301341404.000000,4839940000.000000,-525795274890.000000,455691407070.000000,,1396398106950.000000,2809542908031.000000,-1668982925320.000000,-2044067010943.000000,,-31339843.000000,-37168331805.000000,,,,,,455691407070.000000,2797923601.000000,60986237039.000000,63784160640.000000
12M 2016,2206943981547.000000,5436270426063.000000,-2664570305911.000000,,-322286210700.000000,,-196818084683.000000,-56418762120.000000,-253236846803.000000,,,8729156737.000000,,2037762161.000000,10766918898.000000,2206943981547.000000,-1285039741016.000000,353500000.000000,-1251113251256.000000,-32752069090.000000,,,,-1742920670.000000,215000000.000000,-1285039741016.000000,-761948368852.000000,,857325000000.000000,2473839999794.000000,-2098701244932.000000,-1934942792826.000000,,,-59469330888.000000,,,,,,-761948368852.000000,159955871679.000000,63784160640.000000,223740032319.000000
12M 2017,1113426743731.000000,7106102131892.000000,-5280457041043.000000,,-379270967235.000000,,-261189827425.000000,-88495020674.000000,-349684848099.000000,,,14623471900.000000,,2113996316.000000,16737468216.000000,1113426743731.000000,-340848567403.000000,2727273.000000,-327919681313.000000,-25435243626.000000,13923052079.000000,,,-124921816.000000,-1294500000.000000,-340848567403.000000,-708460433926.000000,,2537905340000.000000,2470962372428.000000,-2673349529918.000000,-2612223191935.000000,-124712749524.000000,,-450975759234.000000,,143932084257.000000,1000000.000000,,,-708460433926.000000,64117742402.000000,223740032319.000000,287857774721.000000
