Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Tanah Untuk Dikembangkan,Aset Pajak Tangguhan,Aset Tetap,Investasi Pada Entitas Asosiasi,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Pinjaman Jangka Pendek,Utang Usaha,Utang Lain-Lain,Utang Dari Pihak Berelasi,Utang Pajak,Beban Akrual,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Dari Pihak Berelasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,1359482968.000000,13746789458.000000,616120134.000000,,,616120134.000000,132244951328.000000,4086667.000000,147971430555.000000,,134590658840.000000,1104186493.000000,3311837734.000000,,62318801.000000,,139069001868.000000,287040432423.000000,,,194197672284.000000,31500000000.000000,1248030489.000000,6193060399.000000,,14110842223.000000,128333892301.000000,12811846872.000000,194197672284.000000,,,,,194197672284.000000,,50769000000.000000,,42073760139.000000,,,42073760139.000000,,,92842760139.000000,287040432423.000000,101538000.000000
12M 2009,,,8783143019.000000,26547707487.000000,1759137298.000000,,,1759137298.000000,130344119113.000000,10232876.000000,167444339793.000000,,134646765913.000000,198316008.000000,3310723961.000000,,35540548.000000,,138191346430.000000,305635686223.000000,,,201135136649.000000,24650000000.000000,570121695.000000,6827273840.000000,,7783919715.000000,132788991843.000000,28514829556.000000,201135136649.000000,,,,,201135136649.000000,,50769000000.000000,,53731549574.000000,,,53731549574.000000,,,104500549574.000000,305635686223.000000,101538000.000000
12M 2010,,,40540288769.000000,26971878791.000000,4199228182.000000,,,4199228182.000000,144181982253.000000,2286572411.000000,218179950406.000000,,137533188653.000000,203596155.000000,3052049724.000000,,21460847.000000,,140810295379.000000,358990245785.000000,,,230775653290.000000,11450000000.000000,129284300.000000,5324624225.000000,,10889645318.000000,124434414233.000000,78547685214.000000,230775653290.000000,,,,,230775653290.000000,,50769000000.000000,,77445592495.000000,,,77445592495.000000,,,128214592495.000000,358990245785.000000,101538000.000000
12M 2011,,,87936662595.000000,19478358030.000000,3923815528.000000,,,3923815528.000000,171406403686.000000,7224360947.000000,289969600786.000000,,169496202116.000000,214264192.000000,2716929726.000000,,8047811.000000,24788800865.000000,197224244710.000000,487193845496.000000,,,313753011628.000000,,462660261.000000,4348952536.000000,,6992284868.000000,107779999513.000000,194169114450.000000,313753011628.000000,,,,,313753011628.000000,,50769000000.000000,,122671833868.000000,,,122671833868.000000,,,173440833868.000000,487193845496.000000,101538000.000000
12M 2012,,,284039994367.000000,12853035056.000000,3921915218.000000,,,3921915218.000000,261786858009.000000,25321905141.000000,587923707791.000000,,229202303471.000000,227922888.000000,2378721079.000000,,,80864411087.000000,312673358525.000000,900597066316.000000,,,456583837506.000000,,1458446937.000000,21761277650.000000,,3256108456.000000,71105260907.000000,359002743556.000000,456583837506.000000,210057748049.000000,,210057748049.000000,210057748049.000000,666641585555.000000,,50769000000.000000,,183186480761.000000,300000000.000000,182886480761.000000,183186480761.000000,,,233955480761.000000,900597066316.000000,101538000.000000
12M 2013,,,44284189271.000000,3805217424.000000,8729614127.000000,1690919500.000000,7038694627.000000,8729614127.000000,367212412470.000000,75989607428.000000,500021040720.000000,,722230107166.000000,240729009.000000,4349658561.000000,,,81005335730.000000,807825830466.000000,1307846871186.000000,,,489211210350.000000,,10393923875.000000,,,2195521597.000000,71020735702.000000,405601029176.000000,489211210350.000000,415211801414.000000,148025000000.000000,267186801414.000000,415211801414.000000,904423011764.000000,,50769000000.000000,,270138090573.000000,400000000.000000,269738090573.000000,270138090573.000000,82516768849.000000,,403423859422.000000,1307846871186.000000,101538000.000000
12M 2014,,,22230667549.000000,759421389.000000,,,,,924374621827.000000,118156414948.000000,1065521125713.000000,,317160283219.000000,179587321.000000,4501569108.000000,,,136954651185.000000,458796090833.000000,1524317216546.000000,,,510945337339.000000,,13002510398.000000,,,4523632575.000000,79992391189.000000,413426803177.000000,510945337339.000000,347024724202.000000,55192649.000000,346969531553.000000,347024724202.000000,857970061541.000000,,50769000000.000000,,386796283135.000000,,,386796283135.000000,226911329337.000000,1870542533.000000,666347155005.000000,1524317216546.000000,101538000.000000
12M 2015,,,17793595380.000000,1199878465.000000,,,,,431447130782.000000,95428527426.000000,545869132053.000000,,352069358705.000000,87434294.000000,3517306861.000000,243931456046.000000,,128515565827.000000,728121121733.000000,1273990253786.000000,,,512933237967.000000,35000000000.000000,17051281060.000000,,,1654939330.000000,121221952184.000000,338005065393.000000,512933237967.000000,206799722595.000000,26662100.000000,206773060495.000000,206799722595.000000,719732960562.000000,,50769000000.000000,2369515269.000000,501118776198.000000,,,501118776198.000000,1757.000000,,554257293224.000000,1273990253786.000000,101538000.000000
12M 2016,,,13256598897.000000,263003518.000000,,,,,400233971687.000000,94096693263.000000,507850267365.000000,,381903495509.000000,131162998.000000,2987773004.000000,243327759247.000000,,92971992217.000000,721322182975.000000,1229172450340.000000,,,435869175502.000000,70000000000.000000,11744596952.000000,,,1257308545.000000,113208846777.000000,239658423228.000000,435869175502.000000,154544454689.000000,33343261.000000,154511111428.000000,154544454689.000000,590413630191.000000,,50769000000.000000,5600778016.000000,582389040470.000000,,,582389040470.000000,1663.000000,,638758820149.000000,1229172450340.000000,101538000.000000
12M 2017,,,12514215218.000000,1600560456.000000,,,,,387133738076.000000,94983571784.000000,496232085534.000000,,394518823167.000000,191184649.000000,2097606993.000000,242785187817.000000,,106889865784.000000,746482668410.000000,1242714753944.000000,,,415365986414.000000,70000000000.000000,19277620603.000000,,,1616009486.000000,130288590628.000000,194183765697.000000,415365986414.000000,123511706833.000000,29994181.000000,123481712652.000000,123511706833.000000,538877693247.000000,,50769000000.000000,5600778016.000000,647442281113.000000,,,647442281113.000000,1568.000000,25000000.000000,703837060697.000000,1242714753944.000000,101538000.000000
12M 2018,,,17567063492.000000,2002983833.000000,,,,,353020753270.000000,104155463346.000000,476746263941.000000,,131120039982.000000,236983615574.000000,2069610839.000000,199155297.000000,,405743470389.000000,776115892081.000000,1252862156022.000000,,,347661140865.000000,70000000000.000000,20724887977.000000,,,1005936749.000000,153816379949.000000,102113936190.000000,347661140865.000000,141129685908.000000,72109514.000000,141057576394.000000,141129685908.000000,488790826773.000000,,50769000000.000000,5600778016.000000,707676549802.000000,,,707676549802.000000,1431.000000,25000000.000000,764071329249.000000,1252862156022.000000,101538000.000000
12M 2019,,,17458486798.000000,71394494.000000,,,,,346303035413.000000,95422341019.000000,459255257724.000000,,117883849647.000000,137543363489.000000,2160407996.000000,267012808.000000,,390408243203.000000,648262877143.000000,1107518134867.000000,,,281738984352.000000,70000000000.000000,32590230057.000000,,,1132374439.000000,140934239653.000000,37082140203.000000,281738984352.000000,135609810712.000000,72109514.000000,135537701198.000000,135609810712.000000,417348795064.000000,,50769000000.000000,5600778016.000000,633774560866.000000,,,633774560866.000000,921.000000,25000000.000000,690169339803.000000,1107518134867.000000,101538000.000000
12M 2020,,,18531856933.000000,121541778.000000,,,,,365776685152.000000,82175424818.000000,466605508681.000000,,98146080376.000000,134896970872.000000,2498068519.000000,194513648.000000,,284982000000.000000,520717633415.000000,987323142096.000000,,,335120216073.000000,70000000000.000000,33143929009.000000,,,771097765.000000,145776120892.000000,85429068407.000000,335120216073.000000,67264119033.000000,69999181.000000,67194119852.000000,67264119033.000000,402384335106.000000,,50769000000.000000,5600778016.000000,528544028255.000000,,,528544028255.000000,719.000000,25000000.000000,584938806990.000000,987323142096.000000,101538000.000000
12M 2021,,,30785526500.000000,198661519.000000,,,,,379219767483.000000,83296683404.000000,493500638906.000000,,147550395039.000000,139842416587.000000,14365911610.000000,248328143.000000,34693750.000000,277392252664.000000,579433997793.000000,1072934636699.000000,,,290368704875.000000,25000000000.000000,27796740605.000000,,,932324147.000000,113476082279.000000,123163557844.000000,290368704875.000000,225493108740.000000,74717712.000000,225418391028.000000,225493108740.000000,515861813615.000000,,50769000000.000000,5600778016.000000,500678045751.000000,,,500678045751.000000,-683.000000,25000000.000000,557072823084.000000,1072934636699.000000,101538000.000000
12M 2022,,,17233260576.000000,124668077.000000,,,,,442842781203.000000,37630165232.000000,497830875088.000000,,180348574256.000000,117280574848.000000,19040304377.000000,230109524.000000,94784375.000000,346115262664.000000,663109610044.000000,1160940485132.000000,,,366956051467.000000,41980000000.000000,35520851674.000000,,,1044375429.000000,68849116656.000000,219561707708.000000,366956051467.000000,227547879137.000000,236316126.000000,227311563011.000000,227547879137.000000,594503930604.000000,,50769000000.000000,5600778016.000000,510041777657.000000,,,510041777657.000000,-1145.000000,25000000.000000,566436554528.000000,1160940485132.000000,101538000.000000
12M 2023,,,12869449066.000000,56664455.000000,,,,,529011382594.000000,38458086309.000000,580395582424.000000,,142251451468.000000,117245021288.000000,17762574154.000000,207268003.000000,64746875.000000,346008863916.000000,623539925704.000000,1203935508128.000000,,,314284412320.000000,,110931947236.000000,,,1132255569.000000,33614857364.000000,168605352151.000000,314284412320.000000,193366943062.000000,228249028.000000,193138694034.000000,193366943062.000000,507651355382.000000,,50769000000.000000,5600778016.000000,639889376086.000000,,,639889376086.000000,-1356.000000,25000000.000000,696284152746.000000,1203935508128.000000,1015380000.000000
12M 2024,,,78399020677.000000,,,,,,597312073371.000000,37849678110.000000,713560772158.000000,,151565679616.000000,116551655883.000000,21273958484.000000,205645355.000000,42481250.000000,290882766501.000000,580522187089.000000,1294082959247.000000,,,224295372318.000000,,16218109542.000000,,,1540641000.000000,37117625105.000000,169418996671.000000,224295372318.000000,238897987038.000000,205080138.000000,238692906900.000000,238897987038.000000,463193359356.000000,,50769000000.000000,5600778016.000000,774494856305.000000,,,774494856305.000000,-34430.000000,25000000.000000,830889599891.000000,1294082959247.000000,1015380000.000000
