Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,"Pembayaran Kepada Pemasok, Kontraktor Dan Pihak Ketiga",Pembayaran :,Gaji Dan Tunjangan Karyawan,Beban Usaha,Kontaktor,Total Pembayaran :,Pencairan Dana Yang Dibatasi Penggunaannya,Penempatan Dana Yang Dibatasi Penggunaannya,Pendapatan Bunga,Pembayaran Bunga,Beban Pajak,Pendapatan Lainnya - Bersih,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Perolehan Aset Tak Berwujud,Penempatan Investasi Pada Entitas Asosiasi,Penempatan Dana,Pembayaran Atas Akuisisi Entitas Anak,Hasil Dari Pelepasan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen,Pembayaran Pinjaman Bank Jangka Pendek,Penerimaan Pinjaman Bank Jangka Pendek,Pembayaran Bunga Beban Keuangan,Penerimaan Pinjaman Atas Pihak Berelasi,Pembayaran Kepada Pihak Berelasi,Penerimaan Dari Pihak Berelasi,Penerimaan Uang Muka Setoran Modal Dari Kepentingan Nonpengendali Di Entitas Anak,Penerimaan (Pembayaran) Pinjaman,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Penyesuaian Kas Dan Setara Kas Terkait Hilangnya Pengendalian Pada Entitas Anak,Kas Dan Setara Kas Akhir Periode
12M 2008,2785585725.000000,40200282498.000000,,,-7298493124.000000,-8044949091.000000,-17157199747.000000,-32500641962.000000,,,56137541.000000,-4821361110.000000,-6393885661.000000,6245054419.000000,2785585725.000000,-268543953.000000,-397543953.000000,,,,,129000000.000000,-268543953.000000,-2124811400.000000,-1624811400.000000,,,,,,,,-500000000.000000,-2124811400.000000,392230372.000000,967252596.000000,,1359482968.000000
12M 2009,16234019151.000000,58657999714.000000,,,-6082322432.000000,-8561625715.000000,-23542639523.000000,-38186587670.000000,,,66350945.000000,-5647141219.000000,-5336502808.000000,6679900189.000000,16234019151.000000,-335125600.000000,-371125600.000000,,,,,36000000.000000,-335125600.000000,-8475233500.000000,-1625233500.000000,,,,,,,,-6850000000.000000,-8475233500.000000,7423660051.000000,1359482968.000000,,8783143019.000000
12M 2010,48588859250.000000,177423272145.000000,,,-7784839028.000000,-25525627995.000000,-85399932837.000000,-118710399860.000000,,,501579362.000000,-3453318055.000000,-13750220053.000000,6577945711.000000,48588859250.000000,-209975000.000000,-209975000.000000,,,,,,-209975000.000000,-16621738500.000000,-3421738500.000000,,,,,,,,-13200000000.000000,-16621738500.000000,31757145750.000000,8783143019.000000,,40540288769.000000
12M 2011,87320230591.000000,337696892157.000000,,,-8748354623.000000,-29779864763.000000,-183332009741.000000,-221860229127.000000,,,3038978403.000000,-781607896.000000,-38668720604.000000,7894917658.000000,87320230591.000000,-24864025865.000000,-75225000.000000,,,-24788800865.000000,,,-24864025865.000000,-15059830900.000000,-3609830900.000000,,,,,,,,-11450000000.000000,-15059830900.000000,47396373826.000000,40540288769.000000,,87936662595.000000
12M 2012,255948620894.000000,669854872855.000000,,,-10360499544.000000,-48600840235.000000,-298686031613.000000,-357647371392.000000,,,9220190905.000000,,-80046104423.000000,14567032949.000000,255948620894.000000,-56235458222.000000,-159848000.000000,,,-56075610222.000000,,,-56235458222.000000,-3609830900.000000,-3609830900.000000,,,,,,,,,-3609830900.000000,196103331772.000000,87936662595.000000,,284039994367.000000
12M 2013,-462940933984.000000,446449735626.000000,,,-13192169568.000000,-34831130414.000000,-789763883639.000000,-837787183621.000000,,,9161801953.000000,,-89737682899.000000,8972394957.000000,-462940933984.000000,-2788107362.000000,-2647182719.000000,,,-140924643.000000,,,-2788107362.000000,225973236250.000000,-4751763750.000000,,,,230625000000.000000,,100000000.000000,,,225973236250.000000,-239755805096.000000,284039994367.000000,,44284189271.000000
12M 2014,40065235627.000000,408460404593.000000,-331662096684.000000,,-19528172178.000000,,,-19528172178.000000,,,5624066163.000000,,-22828966267.000000,,40065235627.000000,-57041857349.000000,-1092541894.000000,,,-55949315455.000000,,,-57041857349.000000,-5076900000.000000,-5076900000.000000,,,,,,,,,-5076900000.000000,-22053521722.000000,44284189271.000000,,22230667549.000000
12M 2015,-72582406308.000000,229593516253.000000,-271845325086.000000,,-20395949386.000000,,,-20395949386.000000,,,6136295575.000000,-3480618602.000000,-12590325062.000000,,-72582406308.000000,7828834522.000000,-610250836.000000,,,8439085358.000000,,,7828834522.000000,68373499451.000000,-6599970000.000000,,,,,,39973469451.000000,,35000000000.000000,68373499451.000000,3619927665.000000,22230667549.000000,-8056999834.000000,17793595380.000000
12M 2016,-34502194392.000000,140524102058.000000,-182046265678.000000,,-18366057463.000000,,,-18366057463.000000,35543573610.000000,,4225220686.000000,-7979260611.000000,-6403506994.000000,,-34502194392.000000,-465592091.000000,-465592091.000000,,,,,,-465592091.000000,30430790000.000000,-4569210000.000000,-130000000000.000000,,,,,,,165000000000.000000,30430790000.000000,-4536996483.000000,17793595380.000000,,13256598897.000000
12M 2017,1877319620.000000,160318744078.000000,-115030823921.000000,,-20491300460.000000,,,-20491300460.000000,-13917873567.000000,,3444914636.000000,-8539587666.000000,-3906753480.000000,,1877319620.000000,-77904219.000000,-77904219.000000,,,,,,-77904219.000000,-2541799080.000000,-2538450000.000000,-175000000000.000000,175000000000.000000,,,-3349080.000000,,,,-2541799080.000000,-742383679.000000,13256598897.000000,,12514215218.000000
