Period,Total Pendapatan,Final,Others,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,60084104695.000000,,,60084104695.000000,-33517045553.000000,26567059142.000000,-15068949600.000000,-2774902238.000000,-12294047362.000000,-15068949600.000000,11498109542.000000,446052742.000000,39597540.000000,,,406455202.000000,446052742.000000,11944162284.000000,-3921366589.000000,-3583742000.000000,-337624589.000000,-3921366589.000000,8022795695.000000,,,,,8022795695.000000,8022795695.000000,,8022795695.000000,,,,
12M 2009,63013041199.000000,,,63013041199.000000,-31908642948.000000,31104398251.000000,-14342166196.000000,-2363149763.000000,-11979016433.000000,-14342166196.000000,16762232055.000000,1727979163.000000,66350945.000000,,,1661628218.000000,1727979163.000000,18490211218.000000,-5004737783.000000,-4098867298.000000,-905870485.000000,-5004737783.000000,13485473435.000000,,,,,13485473435.000000,13485473435.000000,,13485473435.000000,,,,
12M 2010,118479352068.000000,,,118479352068.000000,-62006212567.000000,56473139501.000000,-26562244512.000000,-11473310268.000000,-15088934244.000000,-26562244512.000000,29910894989.000000,2997641186.000000,501579362.000000,,,2496061824.000000,2997641186.000000,32908536175.000000,-5336049254.000000,-5341329401.000000,5280147.000000,-5336049254.000000,27572486921.000000,,,,,27572486921.000000,27572486921.000000,,27572486921.000000,,,,
12M 2011,189240721933.000000,,,189240721933.000000,-97615873935.000000,91624847998.000000,-38738593884.000000,-22179325894.000000,-16559267990.000000,-38738593884.000000,52886254114.000000,5609562610.000000,3038978403.000000,,,2570584207.000000,5609562610.000000,58495816724.000000,-9411131351.000000,-9421799388.000000,10668037.000000,-9411131351.000000,49084685373.000000,,,,49084685373.000000,49084685373.000000,49084685373.000000,,49084685373.000000,49084685373.000000,49084685373.000000,,49084685373.000000
12M 2012,239910571770.000000,,,239910571770.000000,-111875115550.000000,128035456220.000000,-61808590221.000000,-43258425596.000000,-18550164625.000000,-61808590221.000000,66226865999.000000,10356661141.000000,9220190905.000000,,,1136470236.000000,10356661141.000000,76583527140.000000,-12210436247.000000,-12224094943.000000,13658696.000000,-12210436247.000000,64373090893.000000,,,,64373090893.000000,64373090893.000000,64373090893.000000,,64373090893.000000,64373090893.000000,64373090893.000000,,64373090893.000000
12M 2013,301085455287.000000,,,301085455287.000000,-152588004611.000000,148497450676.000000,-52074109147.000000,-28507219373.000000,-23566889774.000000,-52074109147.000000,96423341529.000000,10699359842.000000,,,,10699359842.000000,10699359842.000000,107122701371.000000,-15277424710.000000,-15290230831.000000,12806121.000000,-15277424710.000000,91845276661.000000,,,,91845276661.000000,91845276661.000000,92028509812.000000,-183233151.000000,91845276661.000000,91845276661.000000,92028509812.000000,-183233151.000000,91845276661.000000
12M 2014,316638970381.000000,,,316638970381.000000,-128750995071.000000,187887975310.000000,-58290317879.000000,,,-58290317879.000000,129597657431.000000,6380377406.000000,5249062856.000000,,,1131314550.000000,6380377406.000000,135978034837.000000,-15977839254.000000,,,-15977839254.000000,120000195583.000000,,,,120000195583.000000,120000195583.000000,121735092562.000000,-1734896979.000000,120000195583.000000,120000195583.000000,121735092562.000000,-1734896979.000000,120000195583.000000
12M 2015,303342488851.000000,-15702804094.000000,319045292945.000000,303342488851.000000,-135693830037.000000,167648658814.000000,-52377650610.000000,,,-52377650610.000000,115271008204.000000,4157631156.000000,2655676973.000000,,-186741524.000000,1688695707.000000,4157631156.000000,119428639360.000000,-934088360.000000,,,-934088360.000000,118494551000.000000,1295078085.000000,1295078085.000000,1295078085.000000,119789629085.000000,118494551000.000000,118892415913.000000,-397864913.000000,118494551000.000000,119789629085.000000,120187493998.000000,-397864913.000000,119789629085.000000
12M 2016,276272327077.000000,-13746570884.000000,290018897961.000000,276272327077.000000,-141983994501.000000,134288332576.000000,-44692871201.000000,,,-44692871201.000000,89595461375.000000,-2089164709.000000,-3754039925.000000,,159467530.000000,1505407686.000000,-2089164709.000000,87506296666.000000,-591738150.000000,,,-591738150.000000,86914558516.000000,-1075084348.000000,-1075084348.000000,-1075084348.000000,85839474168.000000,86914558516.000000,86914558620.000000,-104.000000,86914558516.000000,85839474168.000000,85839474272.000000,-104.000000,85839474168.000000
12M 2017,227499858134.000000,-9767703941.000000,237267562075.000000,227499858134.000000,-112193905473.000000,115305952661.000000,-41619632489.000000,,,-41619632489.000000,73686320172.000000,-4882854144.000000,-5251933304.000000,,,369079160.000000,-4882854144.000000,68803466028.000000,-573206556.000000,,,-573206556.000000,68230259472.000000,-638568924.000000,-638568924.000000,-638568924.000000,67591690548.000000,68230259472.000000,68230259567.000000,-95.000000,68230259472.000000,67591690548.000000,67591690643.000000,-95.000000,67591690548.000000
