Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Aset Tetap,Properti Investasi,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pihak Berelasi,Utang Pembelian Aset Tetap,Liabilitas Pajak Tangguhan,Utang Lain-Lain,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2018,,,951553601.000000,53502091.000000,53502091.000000,,53502091.000000,,,,,58539190.000000,121046399.000000,1184641281.000000,,,25930784551.000000,24257298244.000000,71696956.000000,,50259779751.000000,51444421032.000000,,,2713942729.000000,,164923605.000000,,,164923605.000000,15524999.000000,,,15524999.000000,256088879.000000,64931339.000000,,1398011412.000000,,1398011412.000000,814462495.000000,2713942729.000000,15036485553.000000,,12355776819.000000,,12355776819.000000,1249903002.000000,1088775000.000000,,,342030732.000000,15036485553.000000,17750428282.000000,,43000000000.000000,500000000.000000,-9806007250.000000,,,-9806007250.000000,,,33693992750.000000,51444421032.000000,43000.000000
12M 2019,,,1967186253.000000,291853558.000000,291853558.000000,,291853558.000000,1500000.000000,,,1500000.000000,68613972.000000,580693838.000000,2909847621.000000,,,29174302215.000000,19198541632.000000,75871489.000000,880814043.000000,49329529379.000000,52239377000.000000,,,3924365010.000000,,151334284.000000,,,151334284.000000,17419123.000000,,,17419123.000000,144879436.000000,76703064.000000,,1575130225.000000,629342727.000000,2204472952.000000,1329556151.000000,3924365010.000000,12579850784.000000,,10780646593.000000,1361175487.000000,12141822080.000000,,68025000.000000,,,370003704.000000,12579850784.000000,16504215794.000000,,43000000000.000000,500000000.000000,-7764838794.000000,,,-7764838794.000000,,,35735161206.000000,52239377000.000000,430000000.000000
12M 2020,,,25247656375.000000,342533093.000000,132533093.000000,210000000.000000,342533093.000000,,,,,64858745.000000,173970458.000000,25829018671.000000,,,30022095873.000000,18336276323.000000,2936709.000000,,48361308905.000000,74190327576.000000,,,4462560367.000000,,106815093.000000,,,106815093.000000,15978998.000000,,,15978998.000000,477960527.000000,59730708.000000,,1791703406.000000,1262383289.000000,3054086695.000000,747988346.000000,4462560367.000000,11085611670.000000,,8976143712.000000,1415479015.000000,10391622727.000000,,58525000.000000,,,635463943.000000,11085611670.000000,15548172037.000000,,63000000000.000000,1741249038.000000,-6099093499.000000,,,-6099093499.000000,,,58642155539.000000,74190327576.000000,630000000.000000
12M 2021,,,23394271192.000000,271789951.000000,37789951.000000,234000000.000000,271789951.000000,200000000.000000,,200000000.000000,200000000.000000,76789104.000000,183430773.000000,24126281020.000000,,,29895160347.000000,28662427774.000000,58310185.000000,,58615898306.000000,82742179326.000000,,,6274717113.000000,,,194816412.000000,30000000.000000,224816412.000000,19466274.000000,,,19466274.000000,569691982.000000,69036869.000000,,2669669666.000000,1965169662.000000,4634839328.000000,756866248.000000,6274717113.000000,17160523171.000000,,15144399797.000000,1293601078.000000,16438000875.000000,,61625000.000000,,,660897296.000000,17160523171.000000,23435240284.000000,,63000000000.000000,1741249038.000000,-5434309996.000000,,,-5434309996.000000,,,59306939042.000000,82742179326.000000,630000000.000000
12M 2022,,,16277912186.000000,354115255.000000,341115255.000000,13000000.000000,354115255.000000,,,,,319645555.000000,2737711690.000000,19689384686.000000,,,196734705800.000000,21900525635.000000,62137785.000000,6982500000.000000,225679869220.000000,245369253906.000000,,,16946587975.000000,,,741123469.000000,,741123469.000000,,133087576.000000,2620825527.000000,2753913103.000000,1666036338.000000,397110053.000000,,7227138566.000000,2029544726.000000,9256683292.000000,2131721720.000000,16946587975.000000,85165768273.000000,,78195609621.000000,2456506190.000000,80652115811.000000,,654012000.000000,7538970.000000,,3852101492.000000,85165768273.000000,102112356248.000000,,222923076900.000000,-77452547894.000000,-2237995391.000000,,,-2237995391.000000,24364043.000000,,143256897658.000000,245369253906.000000,2229230769.000000
12M 2023,,,27565312169.000000,574395826.000000,540395826.000000,34000000.000000,574395826.000000,3980422.000000,3980422.000000,,3980422.000000,707422898.000000,604754034.000000,29455865349.000000,,,204071512726.000000,21045648906.000000,259793369.000000,35660750000.000000,261037705001.000000,290493570350.000000,,,23589877524.000000,5077085348.000000,,1265636169.000000,,1265636169.000000,,1479750865.000000,888163458.000000,2367914323.000000,1984447062.000000,587639378.000000,,7905094014.000000,3061320477.000000,10966414491.000000,1340740753.000000,23589877524.000000,76573507321.000000,,70290515603.000000,2832193006.000000,73122708609.000000,,,85033229.000000,,3365765483.000000,76573507321.000000,100163384845.000000,,242535417900.000000,-77452547894.000000,25215872820.000000,,,25215872820.000000,31442679.000000,,190330185505.000000,290493570350.000000,2229230769.000000
12M 2024,,,7408022862.000000,583532824.000000,583532824.000000,,583532824.000000,7461549705.000000,1095739200.000000,6365810505.000000,7461549705.000000,819713090.000000,16045920574.000000,32318739055.000000,,,241258394053.000000,20046625318.000000,293096576.000000,37007250000.000000,298605365947.000000,330924105002.000000,,,48533802771.000000,28515158722.000000,,1406930423.000000,,1406930423.000000,,1270548706.000000,311932638.000000,1582481344.000000,2018317937.000000,590403882.000000,,8582279265.000000,3761549428.000000,12343828693.000000,2076681770.000000,48533802771.000000,92780259055.000000,,82708236339.000000,4363534694.000000,87071771033.000000,,,95973497.000000,,5612514525.000000,92780259055.000000,141314061826.000000,,242535417900.000000,-77452547894.000000,24250631534.000000,,,24250631534.000000,276541636.000000,,189610043176.000000,330924105002.000000,2229230769.000000
