Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Pajak Penghasilan Badan,Pengembalian Pajak Penghasilan Badan,Pengembalian Pajak Lainnya,Penerimaan Restitusi Pajak,Penerimaan Restitusi Pajak Lainnya,Pembayaran Pajak Lainnya,Penempatan Jaminan Keuangan,Penarikan Jaminan Keuangan,Penerimaan Pendapatan Keuangan,Pembayaran Royalti Dan Retribusi,Pembayaran Kepada Karyawan,Pembayaran Kontribusi Imbalan Kerja,Pembayaran Atas Hasil Pemeriksaan Pajak,Penerimaan Lainnya,Pembayaran Lainnya,Penempatan Jaminan Reklamasi,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penerimaan Kas Dari Disposal Aset,Penerimaan Hasil Penjualan Aset Tetap,Hasil Penjualan Aset Tetap,Penurunan Arus Kas Bersih Dari Kehilangan Pengendalian Entitas Anak,Penempatan Investasi Jangka Pendek,Penarikan Investasi Jangka Pendek,Penempatan Investasi Jangka Panjang,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen,Penerbitan Saham Baru,Biaya Transaksi Atas Penerbitan Saham Baru,Penempatan Dana Yang Dibatasi Penggunaannya,Penggunaan Dana Yang Dibatasi Penggunaannya,Pembayaran Pinjaman Jangka Panjang,Pembayaran Liabilitas Sewa,Penerimaan Pinjaman Jangka Panjang,Setoran Modal Dari Kepentingan Non-Pengendali,Pembayaran Sewa Pembiayaan,Pembayaran Bunga Sewa Pembiayaan,Pembayaran Beban Keuangan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Dari Entitas Anak Yang Didekonsolidasi,Kas Dan Setara Kas Akhir Periode
12M 2008,289681000.000000,1407896000.000000,-709240000.000000,-324822000.000000,,,,,,,,,,-88582000.000000,-4702000.000000,,38661000.000000,-29530000.000000,,289681000.000000,-185277000.000000,-185277000.000000,,,,,,,,-185277000.000000,-232603000.000000,-225130000.000000,,,,,,,,,-6762000.000000,-711000.000000,,-232603000.000000,-128199000.000000,294306000.000000,,,166107000.000000
12M 2009,206453000.000000,726766000.000000,-379956000.000000,-62571000.000000,,,,,,,,,,-67386000.000000,-3118000.000000,,27002000.000000,-34284000.000000,,206453000.000000,-137927000.000000,-137927000.000000,,,,,,,,-137927000.000000,26417000.000000,-106912000.000000,,,,,-10444000.000000,,150000000.000000,,-6017000.000000,-210000.000000,,26417000.000000,94943000.000000,166107000.000000,,,261050000.000000
12M 2010,640844000.000000,1250014000.000000,-528561000.000000,-110265000.000000,,,,,,,,,,-76660000.000000,-2671000.000000,,136363000.000000,-27376000.000000,,640844000.000000,-153108000.000000,-153108000.000000,,,,,,,,-153108000.000000,-344657000.000000,-338829000.000000,,,,,-4106000.000000,,,,-1708000.000000,-14000.000000,,-344657000.000000,143079000.000000,261050000.000000,,,404129000.000000
12M 2011,320750000.000000,1300603000.000000,-592667000.000000,-200874000.000000,,,,,,,,,,-98964000.000000,,-69457000.000000,857000.000000,-18748000.000000,,320750000.000000,-208651000.000000,-208651000.000000,,,,,,,,-208651000.000000,-117073000.000000,-242606000.000000,,,-16253000.000000,,,,150000000.000000,,,,-8214000.000000,-117073000.000000,-4974000.000000,404129000.000000,,,399155000.000000
12M 2012,79162000.000000,920700000.000000,-648586000.000000,-121055000.000000,,41765000.000000,,,,,,,,-100130000.000000,,,564000.000000,-14096000.000000,,79162000.000000,-146965000.000000,-146965000.000000,,,,,,,,-146965000.000000,-158553000.000000,-110460000.000000,,,-43686000.000000,43817000.000000,-37500000.000000,,,,,,-10724000.000000,-158553000.000000,-226356000.000000,399155000.000000,-560000.000000,,172239000.000000
12M 2013,265892000.000000,968376000.000000,-596532000.000000,-38261000.000000,40159000.000000,8197000.000000,,,,,,,,-100607000.000000,,,455000.000000,-15895000.000000,,265892000.000000,-140487000.000000,-140487000.000000,,,,,,,,-140487000.000000,-95396000.000000,-49314000.000000,,,-42244000.000000,42854000.000000,-37500000.000000,,,,,,-9192000.000000,-95396000.000000,30009000.000000,172239000.000000,-2228000.000000,,200020000.000000
12M 2014,323328000.000000,1011278000.000000,-533657000.000000,-40391000.000000,,10214000.000000,,,,,,,,-105165000.000000,,,913000.000000,-19864000.000000,,323328000.000000,-76846000.000000,-76846000.000000,,,,,,,,-76846000.000000,-144050000.000000,-99552000.000000,,,-41228000.000000,41561000.000000,-37500000.000000,,,,,,-7331000.000000,-144050000.000000,102432000.000000,200020000.000000,-196000.000000,,302256000.000000
12M 2015,133896000.000000,804251000.000000,-499397000.000000,-56427000.000000,,6298000.000000,,,,,,,,-76167000.000000,,,1357000.000000,-29407000.000000,-16612000.000000,133896000.000000,-196544000.000000,-106390000.000000,,,,,,,-90154000.000000,-196544000.000000,-43441000.000000,-36000.000000,,,-40704000.000000,40843000.000000,-37500000.000000,,,,,,-6044000.000000,-43441000.000000,-106089000.000000,302256000.000000,-1413000.000000,,194754000.000000
12M 2016,13420000.000000,515727000.000000,-365959000.000000,-33832000.000000,,3406000.000000,,,,,,,,-79802000.000000,,,1902000.000000,-24740000.000000,-3282000.000000,13420000.000000,19916000.000000,-70238000.000000,,,,,,,90154000.000000,19916000.000000,-42824000.000000,-8000.000000,,,-40619000.000000,40661000.000000,-37500000.000000,,,,,,-5358000.000000,-42824000.000000,-9488000.000000,194754000.000000,294000.000000,,185560000.000000
12M 2017,152561000.000000,610373000.000000,-376877000.000000,-14966000.000000,,45484000.000000,,,,-8925000.000000,14461000.000000,,,-89445000.000000,,,2763000.000000,-30307000.000000,,152561000.000000,-74614000.000000,-74614000.000000,,,,,,,,-74614000.000000,-41728000.000000,,,,-40094000.000000,40413000.000000,-37500000.000000,,,,,,-4547000.000000,-41728000.000000,36219000.000000,185560000.000000,-80000.000000,,221699000.000000
