Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Keuntungan (Rugi) Atas Transaksi Derivatif,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Others,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1312097000.000000,-808472000.000000,503625000.000000,-38495000.000000,-25367000.000000,-13128000.000000,-38495000.000000,465130000.000000,-1878000.000000,-605000.000000,5448000.000000,,,-4133000.000000,-2211000.000000,-377000.000000,-1878000.000000,463252000.000000,-103936000.000000,,-103936000.000000,359316000.000000,,,,,359316000.000000,359316000.000000,,359316000.000000,,,,
12M 2009,760952000.000000,-516059000.000000,244893000.000000,-3623000.000000,-13018000.000000,9395000.000000,-3623000.000000,241270000.000000,-4566000.000000,-190000.000000,358000.000000,,,-1182000.000000,-680000.000000,-2872000.000000,-4566000.000000,236704000.000000,-66287000.000000,,-66287000.000000,170417000.000000,,,,,170417000.000000,170417000.000000,,170417000.000000,,,,
12M 2010,1276323000.000000,-652245000.000000,624078000.000000,-51089000.000000,-27704000.000000,-23385000.000000,-51089000.000000,572989000.000000,8354000.000000,-4000.000000,737000.000000,,,-1529000.000000,10351000.000000,-1201000.000000,8354000.000000,581343000.000000,-143980000.000000,,-143980000.000000,437363000.000000,,,,437363000.000000,437363000.000000,437363000.000000,,437363000.000000,437363000.000000,437363000.000000,,437363000.000000
12M 2011,1242555000.000000,-728636000.000000,513919000.000000,-63526000.000000,-28981000.000000,-34545000.000000,-63526000.000000,450393000.000000,1929000.000000,-5388000.000000,857000.000000,,,-116000.000000,5134000.000000,1442000.000000,1929000.000000,452322000.000000,-118559000.000000,,-118559000.000000,333763000.000000,,,,333763000.000000,333763000.000000,333763000.000000,,333763000.000000,333763000.000000,333763000.000000,,333763000.000000
12M 2012,967327000.000000,-800622000.000000,166705000.000000,-59797000.000000,-12613000.000000,-47184000.000000,-59797000.000000,106908000.000000,-15485000.000000,-15485000.000000,,,,,,,-15485000.000000,91423000.000000,-23929000.000000,,-23929000.000000,67494000.000000,-4737000.000000,-4737000.000000,-4737000.000000,62757000.000000,67494000.000000,67494000.000000,,67494000.000000,62757000.000000,62757000.000000,,62757000.000000
12M 2013,921638000.000000,-781744000.000000,139894000.000000,-69757000.000000,-13041000.000000,-56716000.000000,-69757000.000000,70137000.000000,-14678000.000000,-14678000.000000,,,,,,,-14678000.000000,55459000.000000,-16807000.000000,,-16807000.000000,38652000.000000,-4260000.000000,-4260000.000000,-4260000.000000,34392000.000000,38652000.000000,38652000.000000,,38652000.000000,34392000.000000,34392000.000000,,34392000.000000
12M 2014,1038082000.000000,-731420000.000000,306662000.000000,-57217000.000000,-14464000.000000,-42753000.000000,-57217000.000000,249445000.000000,-12514000.000000,-12514000.000000,,,,,,,-12514000.000000,236931000.000000,-64660000.000000,,-64660000.000000,172271000.000000,-1125000.000000,-1125000.000000,-1125000.000000,171146000.000000,172271000.000000,172271000.000000,,172271000.000000,171146000.000000,171146000.000000,,171146000.000000
12M 2015,789745000.000000,-671389000.000000,118356000.000000,-38605000.000000,-11562000.000000,-27043000.000000,-38605000.000000,79751000.000000,-9923000.000000,-9923000.000000,,,,,,,-9923000.000000,69828000.000000,-19327000.000000,,-19327000.000000,50501000.000000,-1897000.000000,-1897000.000000,-1897000.000000,48604000.000000,50501000.000000,50501000.000000,,50501000.000000,48604000.000000,48604000.000000,,48604000.000000
12M 2016,584143000.000000,-550018000.000000,34125000.000000,-19827000.000000,-12131000.000000,-7696000.000000,-19827000.000000,14298000.000000,-9133000.000000,-9133000.000000,,,,,,,-9133000.000000,5165000.000000,-3259000.000000,,-3259000.000000,1906000.000000,-1274000.000000,-1274000.000000,-1274000.000000,632000.000000,1906000.000000,1906000.000000,,1906000.000000,632000.000000,632000.000000,,632000.000000
12M 2017,629334000.000000,-622780000.000000,6554000.000000,-21769000.000000,-11339000.000000,-10430000.000000,-21769000.000000,-15215000.000000,-7805000.000000,-7805000.000000,,,,,,,-7805000.000000,-23020000.000000,7749000.000000,,7749000.000000,-15271000.000000,49000.000000,49000.000000,49000.000000,-15222000.000000,-15271000.000000,-15271000.000000,,-15271000.000000,-15222000.000000,-15222000.000000,,-15222000.000000
12M 2018,776900000.000000,-672899000.000000,104001000.000000,-19147000.000000,-11578000.000000,-7569000.000000,-19147000.000000,84854000.000000,-2237000.000000,-6789000.000000,4552000.000000,,,,,,-2237000.000000,82617000.000000,-22105000.000000,,-22105000.000000,60512000.000000,3848000.000000,3848000.000000,3848000.000000,64360000.000000,60512000.000000,60512000.000000,,60512000.000000,64360000.000000,64360000.000000,,64360000.000000
12M 2019,782012000.000000,-665558000.000000,116454000.000000,-28165000.000000,-13730000.000000,-14435000.000000,-28165000.000000,88289000.000000,847000.000000,-3912000.000000,4759000.000000,,,,,,847000.000000,89136000.000000,-31736000.000000,,-31736000.000000,57400000.000000,566000.000000,566000.000000,566000.000000,57966000.000000,57400000.000000,57400000.000000,,57400000.000000,57966000.000000,57966000.000000,,57966000.000000
12M 2020,764744000.000000,-640365000.000000,124379000.000000,-20525000.000000,-7385000.000000,-13140000.000000,-20525000.000000,103854000.000000,791000.000000,-3681000.000000,4472000.000000,,,,,,791000.000000,104645000.000000,-21826000.000000,,-21826000.000000,82819000.000000,-4134000.000000,-4134000.000000,-4134000.000000,78685000.000000,82819000.000000,82819000.000000,,82819000.000000,78685000.000000,78685000.000000,,78685000.000000
12M 2021,953174000.000000,-717810000.000000,235364000.000000,-12340000.000000,-4204000.000000,-8136000.000000,-12340000.000000,223024000.000000,-2379000.000000,-5093000.000000,2714000.000000,,,,,,-2379000.000000,220645000.000000,-54848000.000000,,-54848000.000000,165797000.000000,1404000.000000,1404000.000000,1404000.000000,167201000.000000,165797000.000000,165797000.000000,,165797000.000000,167201000.000000,167201000.000000,,167201000.000000
12M 2022,1179452000.000000,-865885000.000000,313567000.000000,-41538000.000000,-19734000.000000,-21804000.000000,-41538000.000000,272029000.000000,3790000.000000,-6901000.000000,10691000.000000,,,,,,3790000.000000,275819000.000000,-75418000.000000,,-75418000.000000,200401000.000000,-82000.000000,-82000.000000,-82000.000000,200319000.000000,200401000.000000,200401000.000000,,200401000.000000,200319000.000000,200319000.000000,,200319000.000000
