Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Pihak Berelasi,Pihak Ketiga,Total Penempatan Pada Bank Indonesia Dan Bank Lain,Pinjaman Yang Diberikan,Pihak Berelasi,Pihak Ketiga,Total Pinjaman Yang Diberikan,Piutang Pembiayaan Konsumen,Pihak Berelasi,Pihak Ketiga,Total Piutang Pembiayaan Konsumen,Piutang Premi,Pihak Berelasi,Pihak Ketiga,Total Piutang Premi,Aset Reasuransi,Obligasi Pemerintah,Goodwill,Investasi Pada Entitas Asosiasi,Aset Tak Berwujud,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Pihak Berelasi,Pihak Ketiga,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Pihak Berelasi,Pihak Ketiga,Total Simpanan Dari Bank Lain,Premi Yang Belum Merupakan Pendapatan,Liabilitas Akseptasi,Pihak Berelasi,Pihak Ketiga,Total Liabilitas Akseptasi,Sukuk Mudharabah,Pinjaman Yang Diterima,Pihak Berelasi,Pihak Ketiga,Total Pinjaman Yang Diterima,Utang Pajak,Liabilitas Derivatif,Pihak Berelasi,Pihak Ketiga,Total Liabilitas Derivatif,Liabilitas Pajak Tangguhan,Beban Akrual,Pihak Berelasi,Pihak Ketiga,Total Beban Akrual,Obligasi Subordinasi,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2007,,1237518000000.000000,3976039000000.000000,,675888000000.000000,4283597000000.000000,4959485000000.000000,,7672000000.000000,49850621000000.000000,49858293000000.000000,,19339000000.000000,1929888000000.000000,1949227000000.000000,,,32354000000.000000,32354000000.000000,,15807971000000.000000,,,512476000000.000000,1360337000000.000000,280297000000.000000,9435830000000.000000,89409827000000.000000,,,,57803865000000.000000,572245000000.000000,57231620000000.000000,57803865000000.000000,4609144000000.000000,,4609144000000.000000,4609144000000.000000,177312000000.000000,684518000000.000000,,684518000000.000000,684518000000.000000,,1510124000000.000000,,1510124000000.000000,1510124000000.000000,184687000000.000000,335620000000.000000,,335620000000.000000,335620000000.000000,191233000000.000000,2973122000000.000000,,2973122000000.000000,2973122000000.000000,3359420000000.000000,6410299000000.000000,78239344000000.000000,,3625337000000.000000,632988000000.000000,6577918000000.000000,-17147000000.000000,6595065000000.000000,6577918000000.000000,337038000000.000000,-2798000000.000000,11170483000000.000000,89409827000000.000000,5033072900.000000
12M 2008,,4161520000000.000000,2820413000000.000000,,928125000000.000000,2560661000000.000000,3488786000000.000000,,12594000000.000000,63397880000000.000000,63410474000000.000000,,5259000000.000000,1871453000000.000000,1876712000000.000000,,,22283000000.000000,22283000000.000000,,13083338000000.000000,250451000000.000000,,,1905024000000.000000,850038000000.000000,15399324000000.000000,107268363000000.000000,,,162653000000.000000,73969078000000.000000,128317000000.000000,73840761000000.000000,73969078000000.000000,1470781000000.000000,,1470781000000.000000,1470781000000.000000,227114000000.000000,907459000000.000000,,907459000000.000000,907459000000.000000,,2543620000000.000000,,2543620000000.000000,2543620000000.000000,362840000000.000000,2485908000000.000000,,2485908000000.000000,2485908000000.000000,213278000000.000000,2484704000000.000000,,2484704000000.000000,2484704000000.000000,3769564000000.000000,7562099000000.000000,96159098000000.000000,,3631865000000.000000,675000000000.000000,7092633000000.000000,103220000000.000000,6989413000000.000000,7092633000000.000000,530197000000.000000,-820430000000.000000,11109265000000.000000,107268363000000.000000,5046130700.000000
12M 2009,,2117368000000.000000,3820180000000.000000,,556875000000.000000,3632560000000.000000,4189435000000.000000,,4668000000.000000,58362902000000.000000,58367570000000.000000,,,2654674000000.000000,2654674000000.000000,,,28856000000.000000,28856000000.000000,,11010829000000.000000,1281898000000.000000,,,1802274000000.000000,980280000000.000000,12344589000000.000000,98597953000000.000000,,,120321000000.000000,67216228000000.000000,69505000000.000000,67146723000000.000000,67216228000000.000000,1437814000000.000000,,1437814000000.000000,1437814000000.000000,259146000000.000000,1170870000000.000000,,1170870000000.000000,1170870000000.000000,,2393561000000.000000,,2393561000000.000000,2393561000000.000000,192041000000.000000,327836000000.000000,,327836000000.000000,327836000000.000000,218984000000.000000,2607984000000.000000,,2607984000000.000000,2607984000000.000000,500000000000.000000,6251182000000.000000,82695967000000.000000,,5303992000000.000000,2964113000000.000000,7860154000000.000000,118520000000.000000,7741634000000.000000,7860154000000.000000,96235000000.000000,-322508000000.000000,15901986000000.000000,98597953000000.000000,8390383116.000000
12M 2010,,1985338000000.000000,5274888000000.000000,,595000000000.000000,8662137000000.000000,9257137000000.000000,,10910000000.000000,73257415000000.000000,73268325000000.000000,6663061000000.000000,,,6663061000000.000000,,,62017000000.000000,62017000000.000000,,6138340000000.000000,,,1576096000000.000000,1771489000000.000000,950784000000.000000,11259098000000.000000,118206573000000.000000,,,,79642803000000.000000,156539000000.000000,79486264000000.000000,79642803000000.000000,1937479000000.000000,,1937479000000.000000,1937479000000.000000,322344000000.000000,759124000000.000000,,759124000000.000000,759124000000.000000,,2481832000000.000000,,2481832000000.000000,2481832000000.000000,183020000000.000000,204259000000.000000,,204259000000.000000,204259000000.000000,302802000000.000000,3551136000000.000000,,3551136000000.000000,3551136000000.000000,500000000000.000000,9712746000000.000000,99597545000000.000000,,5317363000000.000000,3046452000000.000000,10007647000000.000000,133844000000.000000,9873803000000.000000,10007647000000.000000,159241000000.000000,78325000000.000000,18609028000000.000000,118206573000000.000000,8417125466.000000
12M 2011,,1895058000000.000000,6940363000000.000000,,,13231882000000.000000,13231882000000.000000,,12743000000.000000,85450056000000.000000,85462799000000.000000,13394949000000.000000,,,13394949000000.000000,,,73328000000.000000,73328000000.000000,,3947174000000.000000,,,1507205000000.000000,1898695000000.000000,927167000000.000000,12655812000000.000000,141934432000000.000000,,,,85978327000000.000000,244695000000.000000,85733632000000.000000,85978327000000.000000,2813891000000.000000,,2813891000000.000000,2813891000000.000000,441821000000.000000,1343186000000.000000,,1343186000000.000000,1343186000000.000000,,6917352000000.000000,,6917352000000.000000,6917352000000.000000,225311000000.000000,137800000000.000000,,137800000000.000000,137800000000.000000,403474000000.000000,4585804000000.000000,,4585804000000.000000,4585804000000.000000,,13250965000000.000000,116097931000000.000000,,5901122000000.000000,7391756000000.000000,12334684000000.000000,162680000000.000000,12172004000000.000000,12334684000000.000000,206545000000.000000,2394000000.000000,25836501000000.000000,141934432000000.000000,9584643365.000000
12M 2012,,2456567000000.000000,6898008000000.000000,,136450000000.000000,6224157000000.000000,6360607000000.000000,,14611000000.000000,90813538000000.000000,90828149000000.000000,22323447000000.000000,,,22323447000000.000000,,1661000000.000000,112748000000.000000,114409000000.000000,505862000000.000000,4062571000000.000000,,,1439571000000.000000,2095756000000.000000,903123000000.000000,17803238000000.000000,155791308000000.000000,,,,89897866000000.000000,465445000000.000000,89432421000000.000000,89897866000000.000000,2824421000000.000000,,2824421000000.000000,2824421000000.000000,771475000000.000000,1828365000000.000000,,1828365000000.000000,1828365000000.000000,,11020112000000.000000,1927276000000.000000,9092836000000.000000,11020112000000.000000,303747000000.000000,84288000000.000000,,84288000000.000000,84288000000.000000,400644000000.000000,5633726000000.000000,27523000000.000000,5606203000000.000000,5633726000000.000000,,14293353000000.000000,127057997000000.000000,,5901122000000.000000,7391756000000.000000,15231383000000.000000,196043000000.000000,15035340000000.000000,15231383000000.000000,239669000000.000000,-30619000000.000000,28733311000000.000000,155791308000000.000000,9584643365.000000
12M 2013,,2943909000000.000000,9261322000000.000000,,164550000000.000000,7235050000000.000000,7399600000000.000000,,26933000000.000000,103441321000000.000000,103468254000000.000000,27177831000000.000000,,,27177831000000.000000,,2159000000.000000,116109000000.000000,118268000000.000000,568311000000.000000,5598289000000.000000,,,1378426000000.000000,2199165000000.000000,1022111000000.000000,23101862000000.000000,184237348000000.000000,,,,109161182000000.000000,145291000000.000000,109015891000000.000000,109161182000000.000000,1695178000000.000000,,1695178000000.000000,1695178000000.000000,940109000000.000000,4103382000000.000000,,4103382000000.000000,4103382000000.000000,,16068471000000.000000,2433904000000.000000,13634567000000.000000,16068471000000.000000,234131000000.000000,458850000000.000000,,458850000000.000000,458850000000.000000,347424000000.000000,5790232000000.000000,54585000000.000000,5735647000000.000000,5790232000000.000000,,13885406000000.000000,152684365000000.000000,,5901122000000.000000,7391756000000.000000,18069427000000.000000,236161000000.000000,17833266000000.000000,18069427000000.000000,301510000000.000000,-110832000000.000000,31552983000000.000000,184237348000000.000000,9584643365.000000
12M 2014,,2856242000000.000000,10268357000000.000000,,268378000000.000000,9406497000000.000000,9674875000000.000000,,23070000000.000000,106751141000000.000000,106774211000000.000000,26418852000000.000000,,,26418852000000.000000,,1518000000.000000,365036000000.000000,366554000000.000000,670216000000.000000,6605007000000.000000,,,1367244000000.000000,2489860000000.000000,1180673000000.000000,27036502000000.000000,195708593000000.000000,,,,116495224000000.000000,213194000000.000000,116282030000000.000000,116495224000000.000000,2425760000000.000000,3034000000.000000,2422726000000.000000,2425760000000.000000,976255000000.000000,7554464000000.000000,820841000000.000000,6733623000000.000000,7554464000000.000000,,14496842000000.000000,1238278000000.000000,13258564000000.000000,14496842000000.000000,183635000000.000000,129261000000.000000,156000000.000000,129105000000.000000,129261000000.000000,154939000000.000000,6396126000000.000000,25454000000.000000,6370672000000.000000,6396126000000.000000,,13878563000000.000000,162691069000000.000000,,5901122000000.000000,7391756000000.000000,19460987000000.000000,276578000000.000000,19184409000000.000000,19460987000000.000000,237998000000.000000,25661000000.000000,33017524000000.000000,195708593000000.000000,9584643365.000000
12M 2015,,2727817000000.000000,9510978000000.000000,,,17982629000000.000000,17982629000000.000000,,419653000000.000000,99063402000000.000000,99483055000000.000000,23886086000000.000000,,,23886086000000.000000,,659000000.000000,284181000000.000000,284840000000.000000,792534000000.000000,6915581000000.000000,,,1426999000000.000000,2559144000000.000000,1552979000000.000000,20934770000000.000000,188057412000000.000000,,,,115141528000000.000000,172280000000.000000,114969248000000.000000,115141528000000.000000,1826031000000.000000,,1826031000000.000000,1826031000000.000000,1014461000000.000000,5112899000000.000000,244211000000.000000,4868688000000.000000,5112899000000.000000,,13086187000000.000000,,13086187000000.000000,13086187000000.000000,135963000000.000000,123992000000.000000,,123992000000.000000,123992000000.000000,,6439231000000.000000,5593000000.000000,6433638000000.000000,6439231000000.000000,,10962271000000.000000,153842563000000.000000,,5901122000000.000000,7236756000000.000000,20729212000000.000000,302618000000.000000,20426594000000.000000,20729212000000.000000,282710000000.000000,65049000000.000000,34214849000000.000000,188057412000000.000000,9584643365.000000
12M 2016,,2265049000000.000000,7352383000000.000000,,,5936962000000.000000,5936962000000.000000,,278598000000.000000,91609918000000.000000,91888516000000.000000,25061766000000.000000,,,25061766000000.000000,,1635000000.000000,231109000000.000000,232744000000.000000,724479000000.000000,9563332000000.000000,,,1470417000000.000000,2505583000000.000000,2162250000000.000000,24923249000000.000000,174086730000000.000000,,,,103739516000000.000000,130447000000.000000,103609069000000.000000,103739516000000.000000,2872937000000.000000,,2872937000000.000000,2872937000000.000000,967864000000.000000,1935934000000.000000,62694000000.000000,1873240000000.000000,1935934000000.000000,,11414742000000.000000,,11414742000000.000000,11414742000000.000000,117100000000.000000,49468000000.000000,,49468000000.000000,49468000000.000000,,6906115000000.000000,4132000000.000000,6901983000000.000000,6906115000000.000000,,9705082000000.000000,137708758000000.000000,,5901122000000.000000,7250109000000.000000,22716002000000.000000,326551000000.000000,22389451000000.000000,22716002000000.000000,434930000000.000000,75809000000.000000,36377972000000.000000,174086730000000.000000,9584643365.000000
