Period,Arus Kas Dari Aktivitas Operasi,"Penerimaan Bunga, Provisi Dan Komisi",Penerimaan Dari Transaksi Pembiayaan Konsumen,Pembayaran Transaksi Pembiayaan Konsumen Baru,"Pembayaran Bunga, Provisi Dan Komisi",Pembayaran Bunga Asuransi,Pembayaran Bunga Dari Efek Yang Diterbitkan,Penerimaan Dalam Rangka Pembiayaan Bersama,Pengeluaran Dalam Rangka Pembiayaan Bersama,Penerimaan Dari Kegiatan Asuransi,Pendapatan Operasional Lainnya,Kerugian Transaksi Mata Uang Asing - Neto,Pembayaran Tantiem,Beban Operasional Lainnya,Pendapatan (Beban) Bukan Operasional - Neto,Perubahan Dalam Aset Dan Liabilitas Operasi :,Penurunan/(Kenaikan) Aset Operasi :,Penempatan Pada Bank Lain Dan Bank Indonesia - Jatuh Tempo Lebih Dari 3 Bulan Sejak Tanggal Perolehan,Penerimaan Kas Dan Setara Kas Dari Penggabungan Usaha,Efek-Efek Dan Obligasi Pemerintah - Diperdagangkan,Efek Yang Dibeli Dengan Janji Dijual Kembali,Pinjaman Yang Diberikan,Investasi Dalam Saham,Aset Reasuransi,Investasi Sewa Pembiayaan,Beban Dibayar Dimuka Dan Aset Lain-Lain,Total Penurunan/(Kenaikan) Aset Operasi :,Kenaikan/(Penurunan) Liabilitas Operasi :,Kewajiban Segera,Simpanan Nasabah :,Giro,Tabungan,Deposit Berjangka,Total Simpanan Nasabah :,Simpanan Dari Bank Lain,Beban Yang Masih Harus Dibayar Dan Liabilitas Lain-Lain,Pembayaran Pajak Penghasilan Selama Periode Berjalan,Total Kenaikan/(Penurunan) Liabilitas Operasi :,Total Perubahan Dalam Aset Dan Liabilitas Operasi :,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Efek-Efek Dan Obligasi Pemerintah,Investasi Pada Deposito Berjangka Dan Deposito Wajib,Penerimaan Bunga Bank Dan Deposito Berjangka,Pembelian Efek-Efek Dan Obligasi Pemerintah,Tambahan Penyertaan Atas 20% Kepemilikan Saham Adira Dinamika Multi Finance (Admf),Tambahan Penyertaan Atas 10% Kepemilikan Saham Adira Quantum (Aq),Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Penerimaan Hasil Investasi,Penempatan Deposito,Pembelian Investasi Pada Entitas Asosiasi,Investasi Lain-Lain,Penerimaan Dividen Kas,Likuidasi Entitas Anak,Penerimaan Dari Penjualan Anak Perusahaan,Pembelian Investasi Dalam Saham,Hasil Penjualan Investasi Dan Saham,Penerimaan (Pengeluaran) Kas Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,(Penurunan)/Kenaikan Efek Yang Dijual Dengan Janji Dibeli Kembali,Kenaikan,Penurunan,Total (Penurunan)/Kenaikan Efek Yang Dijual Dengan Janji Dibeli Kembali,Pembayaran Pokok Obligasi,Pembayaran Beban Emisi Obligasi,Pembayaran Bunga Obligasi,Hasil Dari Penawaran Umum Terbatas V Dengan Hak Memesan Efek Terlebih Dahulu,Hasil Dari Penawaran Umum Terbatas Iv Dengan Hak Memesan Efek Terlebih Dahulu,Penerimaan Dan Penerbitan Obligasi,Divestasi Entitas Anak,Pembayaran Dividen Tunai,Penerimaan Pinjaman Subordinasi,Pembayaran Pinjaman Subordinasi,Penerimaan Pinjaman Dalam Rangka Pembiayaaan Bersama,Pembayaran Pinjaman Dalam Rangka Pembiayaan Bersama,(Penurunan)/Kenaikan Pinjaman Yang Diterima,Kenaikan,Penurunan,Total (Penurunan)/Kenaikan Pinjaman Yang Diterima,Kenaikan Pokok Liabilitas Sewa,Opsi Kepemilikan Saham Oleh Karyawan/Manajemen Yang Dieksekusi,Penurunan Kas Dan Setara Kas Dari Kelompok Lepasan Yang Dimiliki Untuk Dijual,Pembayaran Ke Negara/Pemerintah,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Kas Dan Setara Kas Dari Kelompok Lepasan Yang Dimiliki Untuk Dijual,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2007,-4011005000000.000000,9812055000000.000000,5530727000000.000000,-2008248000000.000000,-5557740000000.000000,,-169426000000.000000,,,282882000000.000000,586902000000.000000,130827000000.000000,-51938000000.000000,-4001498000000.000000,-224360000000.000000,,,1193365000000.000000,,-175524000000.000000,-40529000000.000000,-10880054000000.000000,,,,-787063000000.000000,-10689805000000.000000,,,,1386576000000.000000,1682901000000.000000,-30170000000.000000,3039307000000.000000,-208877000000.000000,579387000000.000000,-1061200000000.000000,2348617000000.000000,-8341188000000.000000,-4011005000000.000000,5058435000000.000000,25449088000000.000000,,,-20216076000000.000000,,,-281481000000.000000,77987000000.000000,69069000000.000000,-40533000000.000000,,,381000000.000000,,,,,,5058435000000.000000,546572000000.000000,-605694000000.000000,,,-605694000000.000000,-31500000000.000000,-3327000000.000000,,,,1500000000000.000000,,-720400000000.000000,,-9283000000.000000,1328570000000.000000,-1378970000000.000000,481795000000.000000,,,481795000000.000000,,264701000000.000000,,-279320000000.000000,546572000000.000000,,1594002000000.000000,11028474000000.000000,,12622476000000.000000
12M 2008,3116534000000.000000,11145689000000.000000,6963280000000.000000,-1981479000000.000000,-6426425000000.000000,,,,,390094000000.000000,972674000000.000000,-71946000000.000000,-70890000000.000000,-5951020000000.000000,107578000000.000000,,,2179337000000.000000,,-195457000000.000000,40529000000.000000,-13128195000000.000000,,,,-1181184000000.000000,-12284970000000.000000,,-27755000000.000000,,299307000000.000000,1452296000000.000000,13209429000000.000000,14961032000000.000000,-3180568000000.000000,-408919000000.000000,-1019841000000.000000,10323949000000.000000,-1961021000000.000000,3116534000000.000000,1070294000000.000000,3566473000000.000000,,,-1266000000000.000000,,,-785233000000.000000,81522000000.000000,66039000000.000000,-593860000000.000000,,,1353000000.000000,,,,,,1070294000000.000000,621026000000.000000,1511439000000.000000,,,1511439000000.000000,-452750000000.000000,,-286552000000.000000,,,,,-1128064000000.000000,,-43533000000.000000,987000000000.000000,-1037001000000.000000,1033496000000.000000,,,1033496000000.000000,,36991000000.000000,,,621026000000.000000,,4807854000000.000000,5814230000000.000000,,10622084000000.000000
12M 2009,-1098934000000.000000,11884499000000.000000,8105315000000.000000,-3555682000000.000000,-7288744000000.000000,,,,,350143000000.000000,603697000000.000000,220117000000.000000,-41525000000.000000,-5121105000000.000000,-250162000000.000000,,,-230316000000.000000,,181935000000.000000,,1202308000000.000000,,,,-328262000000.000000,825665000000.000000,,-42332000000.000000,,-35778000000.000000,2516775000000.000000,-8021335000000.000000,-5540338000000.000000,-32966000000.000000,-9790000000.000000,-1205726000000.000000,-6831152000000.000000,-6005487000000.000000,-1098934000000.000000,175831000000.000000,3589432000000.000000,,,-1197940000000.000000,-1441937000000.000000,-1000000000.000000,-339802000000.000000,54717000000.000000,97649000000.000000,-588529000000.000000,,,3241000000.000000,,,,,,175831000000.000000,-1836963000000.000000,-1159734000000.000000,,,-1159734000000.000000,-570000000000.000000,,-263283000000.000000,3895130000000.000000,,379000000000.000000,,-892335000000.000000,,-3269865000000.000000,1008333000000.000000,-879167000000.000000,-150059000000.000000,,,-150059000000.000000,,65017000000.000000,,,-1836963000000.000000,,-2760066000000.000000,10622084000000.000000,,7862018000000.000000
12M 2010,-2962519000000.000000,6978795000000.000000,10631713000000.000000,-9883305000000.000000,-4601103000000.000000,,-271910000000.000000,,,609545000000.000000,2125035000000.000000,-63930000000.000000,-57848000000.000000,-5719629000000.000000,-423800000000.000000,,,1006154000000.000000,,139300000000.000000,,-17081151000000.000000,,,,1223699000000.000000,-14711998000000.000000,,,,3204258000000.000000,6033351000000.000000,3521386000000.000000,12758995000000.000000,517202000000.000000,204914000000.000000,-1055195000000.000000,12425916000000.000000,-2286082000000.000000,-2962519000000.000000,3575115000000.000000,6314458000000.000000,,,-1636257000000.000000,,,-994401000000.000000,63135000000.000000,111924000000.000000,-348559000000.000000,,,2140000000.000000,,,,62675000000.000000,,3575115000000.000000,2483919000000.000000,-964243000000.000000,,,-964243000000.000000,-381000000000.000000,,,,,4628353000000.000000,,-808172000000.000000,,,772000000000.000000,-947000000000.000000,88271000000.000000,,,88271000000.000000,,95710000000.000000,,,2483919000000.000000,,3096515000000.000000,14718845000000.000000,,17815360000000.000000
12M 2011,-8762571000000.000000,15142970000000.000000,15235160000000.000000,-19420310000000.000000,-5447065000000.000000,,-785000000000.000000,,,771706000000.000000,2844554000000.000000,-9287000000.000000,,-7481235000000.000000,-626309000000.000000,,,-1857965000000.000000,,152608000000.000000,,-14409915000000.000000,,,,103100000000.000000,-16012172000000.000000,,,,1607669000000.000000,1973562000000.000000,2703536000000.000000,6284767000000.000000,873772000000.000000,863315000000.000000,-997437000000.000000,7024417000000.000000,-8987755000000.000000,-8762571000000.000000,1760110000000.000000,8978175000000.000000,,,-6353684000000.000000,,,-674972000000.000000,64855000000.000000,52651000000.000000,-311648000000.000000,,,4733000000.000000,,,,,,1760110000000.000000,11267898000000.000000,-1649785000000.000000,,,-1649785000000.000000,-141000000000.000000,,,4926186000000.000000,,5268668000000.000000,,-1074568000000.000000,,-500000000000.000000,2962750000000.000000,-67729000000.000000,1540499000000.000000,,,1540499000000.000000,,2877000000.000000,,,11267898000000.000000,,4265437000000.000000,17815360000000.000000,,22080797000000.000000
12M 2012,-3178032000000.000000,18362677000000.000000,21812060000000.000000,-29111954000000.000000,-5827284000000.000000,,-452398000000.000000,,,550006000000.000000,2992049000000.000000,95861000000.000000,,-7743698000000.000000,-710007000000.000000,,,2845097000000.000000,,21718000000.000000,-783752000000.000000,-6810182000000.000000,,,,-142475000000.000000,-4869594000000.000000,,,,2694294000000.000000,3771055000000.000000,-3206551000000.000000,3258798000000.000000,-1143000000.000000,-86142000000.000000,-1447263000000.000000,1724250000000.000000,-3145344000000.000000,-3178032000000.000000,-3378453000000.000000,7810258000000.000000,,,-10179089000000.000000,,,-831749000000.000000,78090000000.000000,143538000000.000000,-404224000000.000000,,,4723000000.000000,,,,,,-3378453000000.000000,3688814000000.000000,-91654000000.000000,,,-91654000000.000000,-2732000000000.000000,,,,,3467975000000.000000,,-1058267000000.000000,,,11524450000000.000000,-6201323000000.000000,-1220367000000.000000,,,-1220367000000.000000,,,,,3688814000000.000000,,-2867671000000.000000,22080797000000.000000,,19213126000000.000000
12M 2013,3533128000000.000000,16496612000000.000000,27566425000000.000000,-27727749000000.000000,-5836440000000.000000,,-1187256000000.000000,,,758993000000.000000,3277844000000.000000,324753000000.000000,,-8884562000000.000000,-78163000000.000000,,,244647000000.000000,,-12018000000.000000,783752000000.000000,-13243487000000.000000,,,-1260230000000.000000,-333916000000.000000,-13821252000000.000000,,,,5411282000000.000000,4742990000000.000000,5178325000000.000000,15332597000000.000000,-1129263000000.000000,1769000000.000000,-1561180000000.000000,12643923000000.000000,-1177329000000.000000,3533128000000.000000,-2467186000000.000000,7588719000000.000000,,,-9558586000000.000000,,,-747906000000.000000,67367000000.000000,195001000000.000000,-16758000000.000000,,,4977000000.000000,,,,,,-2467186000000.000000,3419528000000.000000,-289443000000.000000,,,-289443000000.000000,-4787000000000.000000,,,,,4704695000000.000000,,-1257084000000.000000,,,11307302000000.000000,-8756219000000.000000,2497277000000.000000,,,2497277000000.000000,,,,,3419528000000.000000,,4485470000000.000000,20033126000000.000000,,24518596000000.000000
12M 2014,5500443000000.000000,13091755000000.000000,31419987000000.000000,-19886838000000.000000,-8754125000000.000000,,-553367000000.000000,,,446638000000.000000,2645867000000.000000,-37792000000.000000,,-8995080000000.000000,-210159000000.000000,,,-1527512000000.000000,,-455028000000.000000,-540541000000.000000,-7369646000000.000000,,,-419798000000.000000,447216000000.000000,-9865309000000.000000,,,,2050862000000.000000,3027783000000.000000,1926974000000.000000,7005619000000.000000,730417000000.000000,-214974000000.000000,-1322196000000.000000,6198866000000.000000,-3666443000000.000000,5500443000000.000000,-1965659000000.000000,10848826000000.000000,,,-12009635000000.000000,,,-852717000000.000000,83962000000.000000,281202000000.000000,-318100000000.000000,,,803000000.000000,,,,,,-1965659000000.000000,-2696580000000.000000,-9245000000.000000,,,-9245000000.000000,-3331000000000.000000,,,,,3286351000000.000000,,-1071057000000.000000,,,11998043000000.000000,-10588181000000.000000,-2981491000000.000000,,,-2981491000000.000000,,,,,-2696580000000.000000,,838204000000.000000,24518596000000.000000,,25356800000000.000000
12M 2015,8994609000000.000000,11293640000000.000000,32693872000000.000000,-17009138000000.000000,-8152565000000.000000,,-1056255000000.000000,,,536739000000.000000,1283971000000.000000,980587000000.000000,,-8643000000000.000000,-661503000000.000000,,,-50052000000.000000,,-499006000000.000000,540541000000.000000,3619802000000.000000,,,,290942000000.000000,3902227000000.000000,,,,-6554381000000.000000,-2494008000000.000000,5032852000000.000000,-4015537000000.000000,-601499000000.000000,367099000000.000000,-1924029000000.000000,-6173966000000.000000,-2271739000000.000000,8994609000000.000000,2757297000000.000000,16379005000000.000000,,,-13326868000000.000000,,,-890132000000.000000,106563000000.000000,282934000000.000000,204448000000.000000,,,1347000000.000000,,,,,,2757297000000.000000,-5166051000000.000000,-750000000000.000000,,,-750000000000.000000,-5090000000000.000000,,,,,2899400000000.000000,,-814796000000.000000,,,12940053000000.000000,-14334914000000.000000,-15794000000.000000,,,-15794000000.000000,,,,,-5166051000000.000000,,6585855000000.000000,25356800000000.000000,,31942655000000.000000
12M 2016,-446199000000.000000,10456769000000.000000,27952172000000.000000,-18765476000000.000000,-6320496000000.000000,,-989892000000.000000,,,753626000000.000000,1275110000000.000000,-263056000000.000000,,-7594874000000.000000,-543059000000.000000,,,-297198000000.000000,,-323427000000.000000,,6010332000000.000000,,,,-279254000000.000000,5110453000000.000000,,,,-855425000000.000000,-226999000000.000000,-9777123000000.000000,-10859547000000.000000,1047316000000.000000,-75521000000.000000,-1629724000000.000000,-11517476000000.000000,-6407023000000.000000,-446199000000.000000,-12658168000000.000000,21992986000000.000000,,,-34683210000000.000000,,,-651020000000.000000,76758000000.000000,326147000000.000000,278055000000.000000,,,2116000000.000000,,,,,,-12658168000000.000000,-3684758000000.000000,,,,,-4185000000000.000000,,,,,2858511000000.000000,75591000000.000000,-762415000000.000000,,,19469372000000.000000,-18784628000000.000000,-2356189000000.000000,,,-2356189000000.000000,,,,,-3684758000000.000000,,-16789125000000.000000,31942655000000.000000,,15153530000000.000000
