Period,Total Pendapatan,Pendapatan Bunga,Provisi Dan Komisi Kredit,Pendapatan Premi,Total Pendapatan,Total Beban Pokok Penjualan,Beban Bunga,Beban Provisi Dan Komisi,Beban Underwriting,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Pendapatan Operasional Lainnya,Provisi Dan Komisi Lainnya,Jasa Administrasi,Keuntungan Dari Perubahan Nilai Wajar Efek-Efek,Keuntungan Transaksi Mata Uang Asing,Bagian Atas Hasil Bersih Entitas Asosiasi,Keuntungan Dari Penjualan Aset-Aset Keuangan,Pemulihan Estimasi Kerugian Komitmen Dan Kontinjensi,Others,Total Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Beban Umum Dan Administrasi,Beban Tenaga Kerja,Others,Total Beban Operasional Lainnya,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Non-Operasional,Beban Non-Operasional,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2007,12454845000000.000000,12047645000000.000000,,407200000000.000000,12454845000000.000000,-5147992000000.000000,-4912113000000.000000,,-235879000000.000000,-5147992000000.000000,7306853000000.000000,-3638113000000.000000,,904648000000.000000,1088460000000.000000,82373000000.000000,-66857000000.000000,,460447000000.000000,,-87232000000.000000,2381839000000.000000,,-1709258000000.000000,-2416958000000.000000,-1893736000000.000000,-6019952000000.000000,-3638113000000.000000,3668740000000.000000,-355215000000.000000,164908000000.000000,-520123000000.000000,-355215000000.000000,3313525000000.000000,-1043549000000.000000,2269976000000.000000,-153061000000.000000,2116915000000.000000,,,2116915000000.000000,2269976000000.000000,-153061000000.000000,2116915000000.000000,,,,
12M 2008,16639663000000.000000,14189334000000.000000,1929655000000.000000,520674000000.000000,16639663000000.000000,-7117072000000.000000,-5834855000000.000000,-1006623000000.000000,-275594000000.000000,-7117072000000.000000,9522591000000.000000,-6851450000000.000000,,,779566000000.000000,,6483000000.000000,,-176616000000.000000,,1357000000.000000,610790000000.000000,,-2271682000000.000000,-3058580000000.000000,-2131978000000.000000,-7462240000000.000000,-6851450000000.000000,2671141000000.000000,6696000000.000000,475852000000.000000,-469156000000.000000,6696000000.000000,2677837000000.000000,-875833000000.000000,1802004000000.000000,-271982000000.000000,1530022000000.000000,,,1530022000000.000000,1802004000000.000000,-271982000000.000000,1530022000000.000000,,,,
12M 2009,18299242000000.000000,15682777000000.000000,1983333000000.000000,633132000000.000000,18299242000000.000000,-7806439000000.000000,-6220816000000.000000,-1248493000000.000000,-337130000000.000000,-7806439000000.000000,10492803000000.000000,-7710691000000.000000,,,601991000000.000000,,254457000000.000000,,41414000000.000000,,3241000000.000000,901103000000.000000,,-2463057000000.000000,-3003028000000.000000,-3145709000000.000000,-8611794000000.000000,-7710691000000.000000,2782112000000.000000,-411552000000.000000,228127000000.000000,-639679000000.000000,-411552000000.000000,2370560000000.000000,-756838000000.000000,1613722000000.000000,-81189000000.000000,1532533000000.000000,,,1532533000000.000000,1613722000000.000000,-81189000000.000000,1532533000000.000000,,,,
12M 2010,15185769000000.000000,14417745000000.000000,,768024000000.000000,15185769000000.000000,-4904319000000.000000,-4509295000000.000000,,-395024000000.000000,-4904319000000.000000,10281450000000.000000,-5651386000000.000000,,1204966000000.000000,2125035000000.000000,-12929000000.000000,1215000000.000000,,242178000000.000000,,23370000000.000000,3583835000000.000000,,-2545376000000.000000,-3838754000000.000000,-2851091000000.000000,-9235221000000.000000,-5651386000000.000000,4630064000000.000000,-628533000000.000000,54701000000.000000,-683234000000.000000,-628533000000.000000,4001531000000.000000,-1017770000000.000000,2983761000000.000000,-100293000000.000000,2883468000000.000000,,,2883468000000.000000,2983761000000.000000,-100293000000.000000,2883468000000.000000,,,,
12M 2011,17875217000000.000000,16882491000000.000000,,992726000000.000000,17875217000000.000000,-6573657000000.000000,-6033390000000.000000,,-540267000000.000000,-6573657000000.000000,11301560000000.000000,-6066851000000.000000,,1322657000000.000000,2844516000000.000000,21879000000.000000,42420000000.000000,,24355000000.000000,,-42706000000.000000,4213121000000.000000,,-3079996000000.000000,-4413075000000.000000,-2786901000000.000000,-10279972000000.000000,-6066851000000.000000,5234709000000.000000,-623153000000.000000,100190000000.000000,-723343000000.000000,-623153000000.000000,4611556000000.000000,-1162523000000.000000,3449033000000.000000,,3449033000000.000000,-75841000000.000000,3373192000000.000000,3449033000000.000000,3336266000000.000000,112767000000.000000,3449033000000.000000,3373192000000.000000,3260335000000.000000,112857000000.000000,3373192000000.000000
12M 2012,20010186000000.000000,18858281000000.000000,,1151905000000.000000,20010186000000.000000,-6623616000000.000000,-5936173000000.000000,,-687443000000.000000,-6623616000000.000000,13386570000000.000000,-7203716000000.000000,,1536245000000.000000,2992049000000.000000,41073000000.000000,105291000000.000000,,13106000000.000000,,-39165000000.000000,4648599000000.000000,,-3387887000000.000000,-5163381000000.000000,-3301047000000.000000,-11852315000000.000000,-7203716000000.000000,6182854000000.000000,-696175000000.000000,83530000000.000000,-779705000000.000000,-696175000000.000000,5486679000000.000000,-1369531000000.000000,4117148000000.000000,,4117148000000.000000,-35201000000.000000,4081947000000.000000,4117148000000.000000,4011873000000.000000,105275000000.000000,4117148000000.000000,4081947000000.000000,3978860000000.000000,103087000000.000000,4081947000000.000000
12M 2013,21388793000000.000000,20130837000000.000000,,1257956000000.000000,21388793000000.000000,-7370419000000.000000,-6599794000000.000000,,-770625000000.000000,-7370419000000.000000,14018374000000.000000,-8413216000000.000000,,1727686000000.000000,3271255000000.000000,79796000000.000000,-138562000000.000000,,2910000000.000000,,212553000000.000000,5155638000000.000000,,-3688692000000.000000,-5712891000000.000000,-4167271000000.000000,-13568854000000.000000,-8413216000000.000000,5605158000000.000000,-74945000000.000000,43193000000.000000,-118138000000.000000,-74945000000.000000,5530213000000.000000,-1370893000000.000000,4159320000000.000000,,4159320000000.000000,-82567000000.000000,4076753000000.000000,4159320000000.000000,4041684000000.000000,117636000000.000000,4159320000000.000000,4076753000000.000000,3961471000000.000000,115282000000.000000,4076753000000.000000
12M 2014,24483028000000.000000,22991485000000.000000,,1491543000000.000000,24483028000000.000000,-10375910000000.000000,-9311649000000.000000,,-1064261000000.000000,-10375910000000.000000,14107118000000.000000,-10043756000000.000000,,1775407000000.000000,2641680000000.000000,-126583000000.000000,-7198000000.000000,,38573000000.000000,,14032000000.000000,4335911000000.000000,,-3652441000000.000000,-5810672000000.000000,-4916554000000.000000,-14379667000000.000000,-10043756000000.000000,4063362000000.000000,-509828000000.000000,45634000000.000000,-555462000000.000000,-509828000000.000000,3553534000000.000000,-870872000000.000000,2682662000000.000000,,2682662000000.000000,135735000000.000000,2818397000000.000000,2682662000000.000000,2604017000000.000000,78645000000.000000,2682662000000.000000,2818397000000.000000,2740510000000.000000,77887000000.000000,2818397000000.000000
12M 2015,24181605000000.000000,22420658000000.000000,,1760947000000.000000,24181605000000.000000,-10006738000000.000000,-8772424000000.000000,,-1234314000000.000000,-10006738000000.000000,14174867000000.000000,-10231272000000.000000,,1621220000000.000000,2213038000000.000000,7454000000.000000,17051000000.000000,,33174000000.000000,,189766000000.000000,4081703000000.000000,,-3414532000000.000000,-4833889000000.000000,-6064554000000.000000,-14312975000000.000000,-10231272000000.000000,3943595000000.000000,-662061000000.000000,100569000000.000000,-762630000000.000000,-662061000000.000000,3281534000000.000000,-812377000000.000000,2469157000000.000000,,2469157000000.000000,68749000000.000000,2537906000000.000000,2469157000000.000000,2393305000000.000000,75852000000.000000,2469157000000.000000,2537906000000.000000,2459446000000.000000,78460000000.000000,2537906000000.000000
12M 2016,22483431000000.000000,20654674000000.000000,,1828757000000.000000,22483431000000.000000,-8083304000000.000000,-6875653000000.000000,,-1207651000000.000000,-8083304000000.000000,14400127000000.000000,-9465915000000.000000,,1595457000000.000000,2048930000000.000000,-14963000000.000000,79428000000.000000,,184220000000.000000,,178397000000.000000,4071469000000.000000,,-3019722000000.000000,-4878839000000.000000,-5638823000000.000000,-13537384000000.000000,-9465915000000.000000,4934212000000.000000,-541175000000.000000,87658000000.000000,-628833000000.000000,-541175000000.000000,4393037000000.000000,-1600315000000.000000,2792722000000.000000,,2792722000000.000000,41359000000.000000,2834081000000.000000,2792722000000.000000,2669480000000.000000,123242000000.000000,2792722000000.000000,2834081000000.000000,2715440000000.000000,118641000000.000000,2834081000000.000000
