Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Piutang Pihak Berelasi,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Tanaman Perkebunan,Tanaman Telah Menghasilkan,Tanaman Belum Menghasilkan,Total Tanaman Perkebunan,Aset Tetap,Properti Investasi,Biaya Pengupasan Tanah Yang Ditangguhkan,Goodwill,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Beban Akrual,Utang Pajak,Utang Bank Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Obligasi Dan Sukuk Ijarah,Others,Total Utang Obligasi Dan Sukuk Ijarah,Liabilitas Keuangan,Utang Lain-Lain,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Utang Sewa Pembiayaan,Utang Obligasi Dan Sukuk Ijarah,Utang Obligasi,Sukuk Ijarah,Total Utang Obligasi Dan Sukuk Ijarah,Obligasi Konversi,Liabilitas Pajak Tangguhan,Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,20278782484.000000,6939803263.000000,83628575635.000000,1179362002.000000,82449213633.000000,83628575635.000000,229685626.000000,,195362283386.000000,11973082833.000000,318412213227.000000,,,26003001.000000,522008243.000000,124876227589.000000,,,124876227589.000000,559524386372.000000,,1102764500.000000,,,12494152219.000000,698545541924.000000,1016957755151.000000,,,364578544895.000000,,,18233146575.000000,18233146575.000000,6905387340.000000,30493777636.000000,280321600297.000000,,9999999996.000000,16739227498.000000,26739227494.000000,,,,,675160619.000000,1210244934.000000,364578544895.000000,261334668461.000000,214151586726.000000,1293321001.000000,36163273958.000000,,,,,,164232579.000000,3500000000.000000,6062254197.000000,261334668461.000000,625913213356.000000,,374900000000.000000,217816324655.000000,-131250768779.000000,,,-131250768779.000000,388865483.000000,-70809879564.000000,391044541795.000000,1016957755151.000000,1672000000.000000
12M 2009,,,20493764492.000000,,142866279756.000000,1157632728.000000,141708647028.000000,142866279756.000000,2213537303.000000,,234690363391.000000,34381215487.000000,434645160429.000000,,,27672000.000000,268340618.000000,146648095175.000000,,,146648095175.000000,543788070615.000000,,15101051467.000000,,,206558092363.000000,912391322238.000000,1347036482667.000000,,,370658878009.000000,,,23064334322.000000,23064334322.000000,6545731673.000000,21016469582.000000,218832246200.000000,,45781528940.000000,16654061913.000000,62435590853.000000,,,,,1623491681.000000,37141013698.000000,370658878009.000000,547511254332.000000,492857020760.000000,678181502.000000,41139156887.000000,,,,,,1405486552.000000,3500000000.000000,7931408631.000000,547511254332.000000,918170132341.000000,,374900000000.000000,217816324655.000000,-93463993327.000000,,,-93463993327.000000,423898562.000000,-70809879564.000000,428866350326.000000,1347036482667.000000,1672000000.000000
12M 2010,,,15427089579.000000,,161000282918.000000,1157632728.000000,159842650190.000000,161000282918.000000,2024215896.000000,,424331967809.000000,63225434469.000000,666008990671.000000,,43257390000.000000,29439000.000000,6581178521.000000,324014562135.000000,,,324014562135.000000,620042870163.000000,,143696625271.000000,,77102992339.000000,56215393038.000000,1270940450467.000000,1936949441138.000000,,,518294102694.000000,,,44605654014.000000,44605654014.000000,22080392165.000000,23613003797.000000,305622256759.000000,,101104777261.000000,17202360164.000000,118307137425.000000,,,,,3894964445.000000,170694089.000000,518294102694.000000,828587018438.000000,576900337989.000000,151921076478.000000,24544065680.000000,,,,,,3571270481.000000,60000000000.000000,11650267810.000000,828587018438.000000,1346881121132.000000,,374900000000.000000,217816324655.000000,-18108858195.000000,,,-18108858195.000000,14305592161.000000,1155261385.000000,590068320006.000000,1936949441138.000000,1672000000.000000
12M 2011,,,634673000000.000000,170000000000.000000,473758000000.000000,,473758000000.000000,473758000000.000000,791000000.000000,,331899000000.000000,115460000000.000000,1726581000000.000000,,43364000000.000000,31000000.000000,4272000000.000000,373616000000.000000,,,373616000000.000000,933668000000.000000,,153479000000.000000,,285031000000.000000,70267000000.000000,1863728000000.000000,3590309000000.000000,,,911836000000.000000,,5823000000.000000,24293000000.000000,30116000000.000000,27575000000.000000,47460000000.000000,553355000000.000000,,218085000000.000000,2799000000.000000,220884000000.000000,,,,,27229000000.000000,5217000000.000000,911836000000.000000,845656000000.000000,825006000000.000000,1680000000.000000,2267000000.000000,,,,,,284000000.000000,,16419000000.000000,845656000000.000000,1757492000000.000000,,625700000000.000000,657256000000.000000,108797000000.000000,,,108797000000.000000,58355000000.000000,382709000000.000000,1832817000000.000000,3590309000000.000000,2926000000.000000
12M 2012,,,102175000000.000000,,560046000000.000000,,560046000000.000000,560046000000.000000,,,602660000000.000000,280059000000.000000,1544940000000.000000,,43364000000.000000,,5981000000.000000,506553000000.000000,,,506553000000.000000,1233721000000.000000,,57758000000.000000,,350139000000.000000,125120000000.000000,2322636000000.000000,3867576000000.000000,,,1216997000000.000000,,7076000000.000000,60831000000.000000,67907000000.000000,26494000000.000000,135541000000.000000,702537000000.000000,273659000000.000000,,,273659000000.000000,,,,4501000000.000000,,6358000000.000000,1216997000000.000000,617126000000.000000,572363000000.000000,3315000000.000000,11468000000.000000,,,,,,3147000000.000000,,26833000000.000000,617126000000.000000,1834123000000.000000,,625700000000.000000,754583000000.000000,300975000000.000000,,,300975000000.000000,308263000000.000000,43932000000.000000,2033453000000.000000,3867576000000.000000,2926000000.000000
12M 2013,,,316590000000.000000,,904695000000.000000,,904695000000.000000,904695000000.000000,,,1023728000000.000000,200491000000.000000,2445504000000.000000,,43364000000.000000,,10728000000.000000,591159000000.000000,,,591159000000.000000,1443553000000.000000,,63840000000.000000,,352348000000.000000,70328000000.000000,2575320000000.000000,5020824000000.000000,,,1397224000000.000000,,2964000000.000000,124762000000.000000,127726000000.000000,45446000000.000000,241110000000.000000,780198000000.000000,121650000000.000000,,,121650000000.000000,,,,64245000000.000000,,16849000000.000000,1397224000000.000000,1266827000000.000000,320937000000.000000,102000000.000000,11777000000.000000,,592152000000.000000,299181000000.000000,891333000000.000000,,4703000000.000000,,37975000000.000000,1266827000000.000000,2664051000000.000000,,625700000000.000000,658756000000.000000,587961000000.000000,,,587961000000.000000,344597000000.000000,139759000000.000000,2356773000000.000000,5020824000000.000000,2926000000.000000
12M 2014,,,1216554000000.000000,,1344109000000.000000,,1344109000000.000000,1344109000000.000000,,,1240358000000.000000,176065000000.000000,3977086000000.000000,,107000000.000000,,26835000000.000000,858636000000.000000,,,858636000000.000000,1785691000000.000000,,82220000000.000000,,351793000000.000000,289478000000.000000,3394760000000.000000,7371846000000.000000,,,1493308000000.000000,,3513000000.000000,199977000000.000000,203490000000.000000,55532000000.000000,315447000000.000000,768684000000.000000,,73454000000.000000,18315000000.000000,91769000000.000000,,,,34881000000.000000,,23505000000.000000,1493308000000.000000,2285709000000.000000,1307018000000.000000,1585000000.000000,22522000000.000000,,592979000000.000000,299329000000.000000,892308000000.000000,,9165000000.000000,,53111000000.000000,2285709000000.000000,3779017000000.000000,,684220000000.000000,1258398000000.000000,894902000000.000000,,,894902000000.000000,541556000000.000000,213753000000.000000,3592829000000.000000,7371846000000.000000,3218600000.000000
12M 2015,,,588514000000.000000,,1978613000000.000000,,1978613000000.000000,1978613000000.000000,,,1569104000000.000000,327404000000.000000,4463635000000.000000,,107000000.000000,,37222000000.000000,1308238000000.000000,,,1308238000000.000000,2290408000000.000000,,177219000000.000000,,357544000000.000000,426606000000.000000,4597344000000.000000,9060979000000.000000,,,2750456000000.000000,,4043000000.000000,347603000000.000000,351646000000.000000,57345000000.000000,411802000000.000000,1668283000000.000000,,174780000000.000000,12724000000.000000,187504000000.000000,,,,33555000000.000000,,40321000000.000000,2750456000000.000000,2343616000000.000000,1350504000000.000000,1347000000.000000,10667000000.000000,,594808000000.000000,299627000000.000000,894435000000.000000,,14569000000.000000,,72094000000.000000,2343616000000.000000,5094072000000.000000,,684220000000.000000,1258398000000.000000,1215374000000.000000,,,1215374000000.000000,597830000000.000000,211085000000.000000,3966907000000.000000,9060979000000.000000,3218600000.000000
12M 2016,,,295926000000.000000,,2393724000000.000000,,2393724000000.000000,2393724000000.000000,,534790000000.000000,2069726000000.000000,654998000000.000000,5949164000000.000000,,3440000000.000000,,30380000000.000000,,,,,2587235000000.000000,,,,337965000000.000000,346355000000.000000,3305375000000.000000,9254539000000.000000,,,2504330000000.000000,,6511000000.000000,190729000000.000000,197240000000.000000,66854000000.000000,259898000000.000000,1888304000000.000000,,42816000000.000000,29153000000.000000,71969000000.000000,,,,4299000000.000000,,15766000000.000000,2504330000000.000000,2485809000000.000000,189759000000.000000,15397000000.000000,91916000000.000000,,596505000000.000000,1490357000000.000000,2086862000000.000000,,3141000000.000000,,98734000000.000000,2485809000000.000000,4990139000000.000000,,684220000000.000000,1455091000000.000000,1796408000000.000000,,,1796408000000.000000,321467000000.000000,7214000000.000000,4264400000000.000000,9254539000000.000000,3218600000.000000
12M 2017,,,135831000000.000000,,485718000000.000000,270216000000.000000,215502000000.000000,485718000000.000000,,,91912000000.000000,167631000000.000000,881092000000.000000,,,,32917000000.000000,,,,,824621000000.000000,,,729000000.000000,230003000000.000000,12578000000.000000,1100848000000.000000,1981940000000.000000,,,4154427000000.000000,,29609000000.000000,357004000000.000000,386613000000.000000,318845000000.000000,28939000000.000000,919495000000.000000,,249942000000.000000,25206000000.000000,275148000000.000000,,597994000000.000000,597994000000.000000,103341000000.000000,,1524052000000.000000,4154427000000.000000,1175414000000.000000,577000000.000000,975029000000.000000,80533000000.000000,,,,,,,,119275000000.000000,1175414000000.000000,5329841000000.000000,,684220000000.000000,1455091000000.000000,-5485424000000.000000,,,-5485424000000.000000,-1788000000.000000,,-3347901000000.000000,1981940000000.000000,3218600000.000000
