Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Pihak Ketiga,Pembayaran Kepada Pihak Ketiga,Pembayaran Kepada Pihak Hubungan Istimewa,Pembayaran Kepada Karyawan,Pembayaran Manfaat Karyawan,Penerimaan Pendapatan Sewa,Penerimaan Penghasilan Bunga,Pembayaran Pajak,Penerimaan Restitusi Pajak,Bunga Diterima,Pembayaran Bunga Kredit Modal Kerja,Pembayaran Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Aset Tetap Dan Perangkat Lunak,Penjualan,Pembelian,Total Aset Tetap Dan Perangkat Lunak,Aset Keuangan Lancar Lainnya,Penempatan,Pencairan,Total Aset Keuangan Lancar Lainnya,Uang Muka Untuk Perolehan Aset Tetap,Pengembalian Uang Muka Aset Tetap,Hasil Penjualan Aset Tetap,Pelepasan Aset Tetap,Perolehan Aset Tetap,Perolehan Aset Tak Berwujud,Perolehan Hak Atas Tanah,Penjualan Lahan Dan Tanaman Perkebunan,Penambahan Tanaman Perkebunan,Pembelian Kepemilikan Non Pengendali Pada Entitas Anak Perkebunan,Pemeliharaan Tanaman Perkebunan Belum Menghasilkan,Investasi Jangka Pendek,Penempatan Investasi Jangka Pendek,Pencairan Investasi Jangka Pendek,Total Investasi Jangka Pendek,Penambahan Investasi,Pembayaran Bunga Kredit Investasi,Pengembalian Uang Muka Investasi,Uang Muka Investasi Saham,Cassie Atas Pinjaman Entitas Anak,Akuisisi Entitas Anak,Perolehan Entitas Anak Setelah Dikurangi Kas Yang Diperoleh,Penerimaan Dividen Dari Entitas Anak,Penambahan Investasi Pada Entitas Anak,Pelepasan Entitas Anak Setelah Dikurangu Kas Yang Dilepas,Uang Muka Jangka Panjang,Penerimaan,Pembayaran,Total Uang Muka Jangka Panjang,Pencairan Dana Yang Dibatasi Penggunaannya,Perolehan Properti Investasi,Perolehan Merk Dagang,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Jangka Panjang,Penerimaan Utang Jangka Pendek,Pembayaran Utang Jangka Pendek,Pembayaran Utang Jangka Panjang,Utang Bank Jangka Pendek,Penerimaan,Pembayaran,Total Utang Bank Jangka Pendek,Utang Bank Jangka Panjang,Penerimaan,Pembayaran,Pembayaran Provisi,Total Utang Bank Jangka Panjang,Utang Bank Dan Lembaga Keuangan Lainnya,Penerimaan,Pembayaran,Total Utang Bank Dan Lembaga Keuangan Lainnya,Pembayaran Utang Bank,Penambahan Modal Saham Melalui Penawaran Umum Saham Perdana Pada Entitas Anak,Penerimaan,Biaya Emisi Saham,Total Penambahan Modal Saham Melalui Penawaran Umum Saham Perdana Pada Entitas Anak,Setoran Modal,Penerimaan Dari Penambahan Setoran Modal,Penerimaan,Biaya Emisi Saham,Total Penerimaan Dari Penambahan Setoran Modal,Penerimaan Dari Pihak Ketiga,Penerimaan,Pembayaran,Total Penerimaan Dari Pihak Ketiga,Pembayaran Kepada Pihak Ketiga - Non Usaha,Penerimaan Dari Pihak Berelasi - Non Usaha,Pembayaran Kepada Pihak Berelasi - Non Usaha,Penerimaan Dari Penerbitan Obligasi,Pembayaran Obligasi,Pembayaran Bunga Obligasi,Hasil Dari Penerbitan Obligasi Dan Sukuk Ijarah,Penerimaan,Biaya Emisi,Total Hasil Dari Penerbitan Obligasi Dan Sukuk Ijarah,Sukuk Ijarah,Penawaran Saham Non Hmetd,Penerimaan,Biaya Emisi,Total Penawaran Saham Non Hmetd,Penerimaan Dari Penawaran Umum Terbatas Iii,Penambahan Modal Entitas Anak Dari Pemegang Saham Non Pengendali,Penerimaan Uang Muka Pemesanan Saham Dari Pihak Ketiga Oleh Entitas Anak,Pembayaran Dividend Tunai,Pembayaran Utang Sewa Pembiayaan,Pembayaran Bunga Sewa Pembiayaan,Pembayaran Utang Bunga Sewa Guna Usaha,Pembayaran Bunga Dan Beban Keuangan,Pembayaran Bunga Kredit Investasi,Pembayaran Bagi Hasil,Pembayaran Lainnya,Pembayaran Biaya Emisi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Dampak Dekonsolidasi Entitas Anak,Kas Dan Setara Kas Awal Periode,Saldo Kas Dan Setara Kas Perusahaan Anak Yang Dibeli,Kas Dan Setara Kas Akhir Periode
12M 2008,43896609663.000000,480268735990.000000,-378469116283.000000,,,-28445703477.000000,,,,-8499713080.000000,,688903006.000000,,-21646496493.000000,43896609663.000000,-491813650714.000000,,,,,,,,,,,100000000.000000,,-144851578152.000000,,-834688000.000000,,,,-26227384562.000000,,,,,,,,,,-320000000000.000000,,,,,,,,,,,,-491813650714.000000,452744102041.000000,226955053385.000000,340828614090.000000,-269815826156.000000,-132614266663.000000,,,,,,,,,,,,,,,,,,,,322966324655.000000,,,322966324655.000000,,,,,,720399921.000000,-2428746752.000000,,,,,,,,,,,,,,,,,-6792471228.000000,,,,-27074979211.000000,,,,452744102041.000000,4827060990.000000,-516992045.000000,,15968713539.000000,,20278782484.000000
12M 2009,50814639259.000000,513900899191.000000,-379531850704.000000,,,-36866955421.000000,,,,-14507936102.000000,,344044629.000000,,-32523562334.000000,50814639259.000000,-252978031862.000000,,,,,,,,,,,,,-15910953308.000000,,-13998286967.000000,,,,-30793770516.000000,,,,,,,,,,,,,,,-192275021071.000000,,,-192275021071.000000,,,,-252978031862.000000,202498509733.000000,515840000000.000000,633554004928.000000,-695043359025.000000,-201353037022.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-593410225.000000,,,,,,,,,,,,,,,,,-14833269994.000000,,,,-35072418929.000000,,,,202498509733.000000,335117130.000000,-120135122.000000,,20278782484.000000,,20493764492.000000
12M 2010,-23124669685.000000,632333476794.000000,-553055488157.000000,,,-54342712880.000000,,,,-3751210695.000000,,370596899.000000,,-44679331646.000000,-23124669685.000000,-124075343832.000000,,,,,,,,,,,,,-12786149708.000000,,-2973295000.000000,76091546000.000000,,,-8703011868.000000,,,,,,,,,,-167375000000.000000,,,,,-8329433256.000000,,,-8329433256.000000,,,,-124075343832.000000,136768758142.000000,129560000000.000000,260637477076.000000,-177866924083.000000,-44146011930.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35207583217.000000,,,-3500000000.000000,,,,,,,,,,,,,,,-18258866138.000000,,,,-44864500000.000000,,,,136768758142.000000,-10431255375.000000,-130179935.000000,,21522727933.000000,4465806956.000000,15427099579.000000
12M 2011,29662000000.000000,1495227000000.000000,-1271353000000.000000,,,-85222000000.000000,,,,-12232000000.000000,311000000.000000,701000000.000000,,-97770000000.000000,29662000000.000000,-803573000000.000000,,,,,,,,,,,,,-355371000000.000000,,-11023000000.000000,,,,-22584000000.000000,,,-170000000000.000000,-170000000000.000000,,,,,,,,,,,-35106000000.000000,,,-35106000000.000000,,,-209489000000.000000,-803573000000.000000,1397757000000.000000,,,-540001000000.000000,-155998000000.000000,766609000000.000000,,,766609000000.000000,479700000000.000000,,,,479700000000.000000,,,,,,,,,,,21026000000.000000,,,21026000000.000000,,,,,,1606000000.000000,-151953000000.000000,,,,,,,,,,,,,690240000000.000000,,381553000000.000000,,-39637000000.000000,,,,-55388000000.000000,,,,1397757000000.000000,623846000000.000000,-4600000000.000000,,15427000000.000000,,634673000000.000000
12M 2012,109316000000.000000,2663761000000.000000,-2348826000000.000000,,,-106660000000.000000,,,,-24525000000.000000,,11541000000.000000,,-85975000000.000000,109316000000.000000,-486582000000.000000,,,,,,,,,,,20000000000.000000,,-157623000000.000000,,-23795000000.000000,,,,-97345000000.000000,,,10000000000.000000,10000000000.000000,-4256000000.000000,,,,,,-131058000000.000000,,-25000000000.000000,,-77505000000.000000,,,-77505000000.000000,,,,-486582000000.000000,-155329000000.000000,,,,,588658000000.000000,,,588658000000.000000,,,,,,,,,,-648339000000.000000,,,,,,,,,,,,,,,3359000000.000000,-1724000000.000000,,,,,,,,,,,,,,,,,-6650000000.000000,,,,-80851000000.000000,,,-9782000000.000000,-155329000000.000000,-532595000000.000000,97000000.000000,,634673000000.000000,,102175000000.000000
12M 2013,78729000000.000000,3723014000000.000000,-3367158000000.000000,,,-200475000000.000000,-457000000.000000,,6061000000.000000,-25685000000.000000,,,,-56571000000.000000,78729000000.000000,-117530000000.000000,,365000000.000000,-197728000000.000000,-197363000000.000000,,,,,,97500000000.000000,,,,,-6082000000.000000,,,,-44290000000.000000,,-37095000000.000000,91352000000.000000,54257000000.000000,,,,,,,,,,,-21152000000.000000,,,-21152000000.000000,,,-400000000.000000,-117530000000.000000,252975000000.000000,,,,,,,,,,,,,,,136627000000.000000,-670183000000.000000,-533556000000.000000,,,,,,,,,,,49797000000.000000,,,49797000000.000000,,,-3213000000.000000,,,-31005000000.000000,900000000000.000000,,,900000000000.000000,-15120000000.000000,,,,,,,,-23408000000.000000,,,-12550000000.000000,,-67336000000.000000,,,-10634000000.000000,252975000000.000000,214174000000.000000,241000000.000000,,102175000000.000000,,316590000000.000000
12M 2014,353530000000.000000,4706966000000.000000,-4087304000000.000000,,,-224083000000.000000,,,11238000000.000000,-36170000000.000000,774000000.000000,,,-17891000000.000000,353530000000.000000,-573564000000.000000,,1255000000.000000,-384203000000.000000,-382948000000.000000,,,,,,,,,,,-18274000000.000000,,,,-59955000000.000000,,,115412000000.000000,115412000000.000000,,,,-14450000000.000000,-79659000000.000000,-4846000000.000000,,,,,-128844000000.000000,,,-128844000000.000000,,,,-573564000000.000000,1101943000000.000000,,,,,,,,,,,,,,,1093882000000.000000,-628824000000.000000,465058000000.000000,,,230400000000.000000,-5777000000.000000,224623000000.000000,,,658350000000.000000,-165000000.000000,658185000000.000000,,5738000000.000000,-61543000000.000000,-55805000000.000000,,,-1039000000.000000,,,-61500000000.000000,,,,,-30750000000.000000,,,,,,,,,,,-4789000000.000000,,-92040000000.000000,,,,1101943000000.000000,881909000000.000000,18055000000.000000,,316590000000.000000,,1216554000000.000000
12M 2015,399185000000.000000,5410473000000.000000,-4470093000000.000000,,,-330724000000.000000,,,13428000000.000000,-67000000000.000000,,,,-156899000000.000000,399185000000.000000,-1083146000000.000000,,224000000.000000,-534098000000.000000,-533874000000.000000,,,,,,,,,,,-102374000000.000000,,,,-270966000000.000000,,,,,,,,,,-9964000000.000000,,,,,-171140000000.000000,,,-171140000000.000000,5172000000.000000,,,-1083146000000.000000,55433000000.000000,,,,,,,,,,,,,,,3568497000000.000000,-3272218000000.000000,296279000000.000000,,,,-3413000000.000000,-3413000000.000000,,,,,,,,,,,,-238000000.000000,,,-61500000000.000000,,,,,-30750000000.000000,,,,,,,,-24871000000.000000,,,-18632000000.000000,,-101442000000.000000,,,,55433000000.000000,-628528000000.000000,488000000.000000,,1216554000000.000000,,588514000000.000000
12M 2016,463580000000.000000,6041521000000.000000,-4965004000000.000000,,,-340559000000.000000,,,14976000000.000000,-60123000000.000000,,,,-227231000000.000000,463580000000.000000,-1158118000000.000000,,350000000.000000,-540462000000.000000,-540112000000.000000,,,,,,,,,,,-136000000.000000,,,,-63967000000.000000,,,,,,,,-405400000000.000000,,,,,,-1991000000.000000,-146512000000.000000,,,-146512000000.000000,,,,-1158118000000.000000,402137000000.000000,,,,,-445474000000.000000,,,-445474000000.000000,,334330000000.000000,-541269000000.000000,,-206939000000.000000,,,,,,,,,,,,23308000000.000000,,23308000000.000000,,,,,,,48037000000.000000,,,-61500000000.000000,,1200000000000.000000,-10071000000.000000,1189929000000.000000,-62400000000.000000,,,,,,,,,,,-32126000000.000000,,-50698000000.000000,,,,402137000000.000000,-292401000000.000000,-187000000.000000,,588514000000.000000,,295926000000.000000
12M 2017,733424000000.000000,1756126000000.000000,-508436000000.000000,,,-322526000000.000000,,,24311000000.000000,-157938000000.000000,,,,-58113000000.000000,733424000000.000000,215361000000.000000,,270000000.000000,-85209000000.000000,-84939000000.000000,,,300300000000.000000,300300000000.000000,,,,,,,,,,,,,,,,,,,,,,,139650000000.000000,-139650000000.000000,,,,,,,,,215361000000.000000,-898256000000.000000,,,,,,653314000000.000000,-1090266000000.000000,-436952000000.000000,,60077000000.000000,-44183000000.000000,,15894000000.000000,,,,,,,,,,,,,,,,,,,,,-200000000000.000000,,,-61500000000.000000,,,,,-157350000000.000000,,,,,,,,,,,-32933000000.000000,,-25415000000.000000,,,,-898256000000.000000,50529000000.000000,21000000.000000,-207645000000.000000,292926000000.000000,,135831000000.000000
12M 2018,278566000000.000000,1629089000000.000000,-1171852000000.000000,,,-147643000000.000000,,,1958000000.000000,-25384000000.000000,,,,-7602000000.000000,278566000000.000000,2582000000.000000,,986000000.000000,-6404000000.000000,-5418000000.000000,,,8000000000.000000,8000000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2582000000.000000,-370068000000.000000,,,,,,21351000000.000000,-321524000000.000000,-300173000000.000000,,1907000000.000000,-11880000000.000000,,-9973000000.000000,,,,,,,,,,,,,,,,,,,-20000000000.000000,,24097000000.000000,,,,,,,,-31650000000.000000,,,,,,,,,,,-12932000000.000000,,-19437000000.000000,,,,-370068000000.000000,-88920000000.000000,48000000.000000,,135831000000.000000,,46959000000.000000
12M 2019,12183000000.000000,1487494000000.000000,-1297528000000.000000,,,-147468000000.000000,,,789000000.000000,-29125000000.000000,,,,-1979000000.000000,12183000000.000000,-3185000000.000000,,489000000.000000,-3674000000.000000,-3185000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3185000000.000000,-726000000.000000,,,,,,,-599000000.000000,-599000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-112000000.000000,,,-15000000.000000,,,-726000000.000000,8272000000.000000,-166000000.000000,,46959000000.000000,,55065000000.000000
12M 2020,-58485000000.000000,1192068000000.000000,-1033715000000.000000,,,-193616000000.000000,,,4576000000.000000,-27798000000.000000,,,,,-58485000000.000000,-6968000000.000000,,1813000000.000000,-8781000000.000000,-6968000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6968000000.000000,237229000000.000000,,,,,,,,,,,-296871000000.000000,,-296871000000.000000,,,,,,,,,,,,,,,,,,,,,-116988000000.000000,,,,,,,,,,1279572000000.000000,-426000000.000000,1279146000000.000000,,,,,,,-8316000000.000000,-142080000000.000000,,-477662000000.000000,,,237229000000.000000,171776000000.000000,-1000000.000000,,55065000000.000000,,226840000000.000000
12M 2021,-84864000000.000000,1555740000000.000000,-1420332000000.000000,,,-226153000000.000000,,1418000000.000000,2752000000.000000,1711000000.000000,,,,,-84864000000.000000,-55572000000.000000,,116000000.000000,,116000000.000000,,,,,,,,,-55634000000.000000,-54000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,-55572000000.000000,-27987000000.000000,,,,,,37102000000.000000,-37912000000.000000,-810000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,-2714000000.000000,,-17140000000.000000,,,,,,,,,,,,,,,-6714000000.000000,,,-609000000.000000,,,,,-27987000000.000000,-168423000000.000000,-406000000.000000,,226840000000.000000,,58011000000.000000
12M 2022,-41789000000.000000,1793375000000.000000,-1602204000000.000000,,,-238449000000.000000,,532000000.000000,605000000.000000,4352000000.000000,,,,,-41789000000.000000,-16902000000.000000,,197000000.000000,,197000000.000000,,,,,,,,,-17087000000.000000,-12000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,-16902000000.000000,88632000000.000000,,,,,,266500000000.000000,-198112000000.000000,68388000000.000000,,75000000000.000000,-7325000000.000000,,67675000000.000000,,,,,,,,,,,,,,,,,,,,,18122000000.000000,,-37547000000.000000,,,,,,,,,,,,,,,-16221000000.000000,,,-11785000000.000000,,,,,88632000000.000000,29941000000.000000,709000000.000000,,58011000000.000000,,88661000000.000000
12M 2023,78479000000.000000,1678332000000.000000,-1325322000000.000000,,,-246223000000.000000,,,2346000000.000000,-12303000000.000000,3759000000.000000,,,-22110000000.000000,78479000000.000000,-22240000000.000000,,501000000.000000,,501000000.000000,,,,,,,,,-19915000000.000000,-2826000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,-22240000000.000000,-82544000000.000000,,,,,,334680000000.000000,-320090000000.000000,14590000000.000000,,,-67741000000.000000,,-67741000000.000000,,,,,,,,,,,,,,,,,,,,,-4794000000.000000,,,,,,,,,,,,,,,,,-24599000000.000000,,,,,,,,-82544000000.000000,-26305000000.000000,170000000.000000,,88661000000.000000,,62526000000.000000
12M 2024,271662000000.000000,1935925000000.000000,-1343187000000.000000,,,-273606000000.000000,,3000000000.000000,4172000000.000000,-42534000000.000000,9370000000.000000,,,-21478000000.000000,271662000000.000000,-56125000000.000000,,210000000.000000,,210000000.000000,,,,,,,,,-53239000000.000000,-2982000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,-114000000.000000,,-56125000000.000000,-55287000000.000000,,,,,,298450000000.000000,-376856000000.000000,-78406000000.000000,,125000000000.000000,,,125000000000.000000,,,,,,,,,,,,,,,,,,,,,-79718000000.000000,,,,,,,,,,,,,,,,,-22163000000.000000,,,,,,,,-55287000000.000000,160250000000.000000,71000000.000000,,62526000000.000000,,222847000000.000000
