Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Pendapatan Keuangan,Others,Total Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Keuntungan Atas Penjualan Entitas Anak,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Pra Akuisisi,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada,Adjustment
12M 2008,489171670400.000000,-336279603791.000000,152892066609.000000,-39915785636.000000,,-20035306551.000000,-19880479085.000000,-39915785636.000000,112976280973.000000,-60001145662.000000,,,688903006.000000,-57694420974.000000,-57005517968.000000,-6247276109.000000,45191740.000000,,3206456675.000000,-60001145662.000000,52975135311.000000,-15489489514.000000,-14379471300.000000,-1110018214.000000,-15489489514.000000,37485645797.000000,-29723463.000000,,-8769765679.000000,28686156655.000000,,,28686156655.000000,28715880118.000000,-29723463.000000,28686156655.000000,,,,,
12M 2009,533194383227.000000,-380216823762.000000,152977559465.000000,-47509001025.000000,,-21612563606.000000,-25896437419.000000,-47509001025.000000,105468558440.000000,-53025438356.000000,,,344044629.000000,-68279168824.000000,-67935124195.000000,12485140964.000000,,,2424544875.000000,-53025438356.000000,52443120084.000000,-14620067177.000000,-13125145580.000000,-1494921597.000000,-14620067177.000000,37823052907.000000,-36277455.000000,,,37786775452.000000,,,37786775452.000000,37823052907.000000,-36277455.000000,37786775452.000000,,,,,
12M 2010,705219823456.000000,-521404539633.000000,183815283823.000000,-57425478181.000000,,-29368883618.000000,-28056594563.000000,-57425478181.000000,126389805642.000000,-32202529797.000000,,,338935773.000000,-89401510612.000000,-89062574839.000000,1337994386.000000,,44301796762.000000,11220253894.000000,-32202529797.000000,94187275845.000000,-14743639333.000000,-12529152407.000000,-2214486926.000000,-14743639333.000000,79443636512.000000,-4209065321.000000,,622602324.000000,75857173515.000000,,,75857173515.000000,80066238836.000000,-4209065321.000000,75857173515.000000,,,,,
12M 2011,1752802000000.000000,-1330461000000.000000,422341000000.000000,-114489000000.000000,,-73832000000.000000,-40657000000.000000,-114489000000.000000,307852000000.000000,-122673000000.000000,,,2559000000.000000,-120756000000.000000,-118197000000.000000,3812000000.000000,,,-8288000000.000000,-122673000000.000000,185179000000.000000,-35228000000.000000,-36689000000.000000,1461000000.000000,-35228000000.000000,149951000000.000000,,,,149951000000.000000,,149951000000.000000,,,,,,,,,
12M 2012,2747623000000.000000,-2142377000000.000000,605246000000.000000,-179281000000.000000,-179281000000.000000,,,-179281000000.000000,425965000000.000000,-101500000000.000000,,-135313000000.000000,,,-135313000000.000000,,,,33813000000.000000,-101500000000.000000,324465000000.000000,-70801000000.000000,,,-70801000000.000000,253664000000.000000,,,,253664000000.000000,,253664000000.000000,253664000000.000000,211197000000.000000,42467000000.000000,253664000000.000000,253664000000.000000,211197000000.000000,42467000000.000000,253664000000.000000,
12M 2013,4056735000000.000000,-3143263000000.000000,913472000000.000000,-297920000000.000000,-297920000000.000000,,,-297920000000.000000,615552000000.000000,-165966000000.000000,,-163660000000.000000,,,-163660000000.000000,,,,-2306000000.000000,-165966000000.000000,449586000000.000000,-102858000000.000000,,,-102858000000.000000,346728000000.000000,,,,346728000000.000000,,346728000000.000000,346728000000.000000,310394000000.000000,36334000000.000000,346728000000.000000,346728000000.000000,310394000000.000000,36334000000.000000,346728000000.000000,
12M 2014,5139974000000.000000,-4099240000000.000000,1040734000000.000000,-387580000000.000000,-387580000000.000000,,,-387580000000.000000,653154000000.000000,-168562000000.000000,,-195156000000.000000,,,-195156000000.000000,,,,26594000000.000000,-168562000000.000000,484592000000.000000,-106458000000.000000,,,-106458000000.000000,378134000000.000000,,8000000.000000,,378142000000.000000,,378142000000.000000,378142000000.000000,331812000000.000000,46330000000.000000,378142000000.000000,378142000000.000000,331812000000.000000,46330000000.000000,378142000000.000000,
12M 2015,6010895000000.000000,-4737175000000.000000,1273720000000.000000,-539799000000.000000,-539799000000.000000,,,-539799000000.000000,733921000000.000000,-233486000000.000000,,-238999000000.000000,,,-238999000000.000000,,,,5513000000.000000,-233486000000.000000,500435000000.000000,-126685000000.000000,,,-126685000000.000000,373750000000.000000,,,,373750000000.000000,5282000000.000000,379032000000.000000,373750000000.000000,323441000000.000000,50309000000.000000,373750000000.000000,379032000000.000000,327772000000.000000,51260000000.000000,379032000000.000000,
12M 2016,6545680000000.000000,-4862377000000.000000,1683303000000.000000,-667537000000.000000,-667537000000.000000,,,-667537000000.000000,1015766000000.000000,-117335000000.000000,,-383313000000.000000,,,-383313000000.000000,,,,265978000000.000000,-117335000000.000000,898431000000.000000,-179203000000.000000,,,-179203000000.000000,719228000000.000000,,,,719228000000.000000,-12547000000.000000,706681000000.000000,719228000000.000000,593475000000.000000,125753000000.000000,719228000000.000000,706681000000.000000,581034000000.000000,125647000000.000000,706681000000.000000,
12M 2017,1950589000000.000000,-1392462000000.000000,558127000000.000000,-564527000000.000000,-564527000000.000000,,,-564527000000.000000,-6400000000.000000,-5203934000000.000000,,-110559000000.000000,,,-110559000000.000000,,,,-5093375000000.000000,-5203934000000.000000,-5210334000000.000000,-23954000000.000000,,,-23954000000.000000,-5234288000000.000000,,,,-5234288000000.000000,-11127000000.000000,-5245415000000.000000,-5234288000000.000000,-5233118000000.000000,-1170000000.000000,-5234288000000.000000,-5245415000000.000000,-5244238000000.000000,-1177000000.000000,-5245415000000.000000,
12M 2018,1583265000000.000000,-1123521000000.000000,459744000000.000000,-395353000000.000000,-395353000000.000000,,,-395353000000.000000,64391000000.000000,-149964000000.000000,,-76328000000.000000,,,-76328000000.000000,,,,-73636000000.000000,-149964000000.000000,-85573000000.000000,-37940000000.000000,,,-37940000000.000000,-123513000000.000000,,,,-123513000000.000000,20472000000.000000,-103041000000.000000,-123513000000.000000,-123429000000.000000,-84000000.000000,-123513000000.000000,-103041000000.000000,-102968000000.000000,-73000000.000000,-103041000000.000000,
12M 2019,1510427000000.000000,-1062970000000.000000,447457000000.000000,-538628000000.000000,-538628000000.000000,,,-538628000000.000000,-91171000000.000000,1455636000000.000000,,-122398000000.000000,,,-122398000000.000000,,,,1578034000000.000000,1455636000000.000000,1364465000000.000000,-229689000000.000000,,,-229689000000.000000,1134776000000.000000,,,,1134776000000.000000,479193000000.000000,1613969000000.000000,1134776000000.000000,1134399000000.000000,377000000.000000,1134776000000.000000,1613969000000.000000,1613158000000.000000,811000000.000000,1613969000000.000000,
12M 2020,1283331000000.000000,-965172000000.000000,318159000000.000000,-480135000000.000000,-480135000000.000000,,,-480135000000.000000,-161976000000.000000,1170381000000.000000,,-1123568000000.000000,,,-1123568000000.000000,,,,2293949000000.000000,1170381000000.000000,1008405000000.000000,196567000000.000000,,,196567000000.000000,1204972000000.000000,,,,1204972000000.000000,1958000000.000000,1206930000000.000000,1204972000000.000000,1205212000000.000000,-240000000.000000,1204972000000.000000,1206930000000.000000,1207165000000.000000,-235000000.000000,1206930000000.000000,
12M 2021,1520879000000.000000,-1179813000000.000000,341066000000.000000,-409673000000.000000,,-255416000000.000000,-154257000000.000000,-409673000000.000000,-68607000000.000000,83821000000.000000,,-38711000000.000000,2752000000.000000,,-38711000000.000000,,,,122532000000.000000,83821000000.000000,17966000000.000000,-9195000000.000000,,,-9195000000.000000,8771000000.000000,,,,8771000000.000000,-18138000000.000000,-9367000000.000000,8771000000.000000,8760000000.000000,11000000.000000,8771000000.000000,-9367000000.000000,-9379000000.000000,12000000.000000,-9367000000.000000,
12M 2022,1843760000000.000000,-1355222000000.000000,488538000000.000000,-520372000000.000000,,-353987000000.000000,-166385000000.000000,-520372000000.000000,-31834000000.000000,-25258000000.000000,,-29580000000.000000,605000000.000000,,-29580000000.000000,,,,4322000000.000000,-25258000000.000000,-56487000000.000000,-5872000000.000000,,,-5872000000.000000,-62359000000.000000,,,,-62359000000.000000,6463000000.000000,-55896000000.000000,-62359000000.000000,-62366000000.000000,7000000.000000,-62359000000.000000,-55896000000.000000,-55903000000.000000,7000000.000000,-55896000000.000000,
12M 2023,1704013000000.000000,-1138415000000.000000,565598000000.000000,-461249000000.000000,,-278906000000.000000,-182343000000.000000,-461249000000.000000,104349000000.000000,-55932000000.000000,,-28066000000.000000,2346000000.000000,,-28066000000.000000,,,,-27866000000.000000,-55932000000.000000,50763000000.000000,-31967000000.000000,,,-31967000000.000000,18796000000.000000,,,,18796000000.000000,171695000000.000000,190491000000.000000,18796000000.000000,18777000000.000000,19000000.000000,18796000000.000000,190491000000.000000,190458000000.000000,33000000.000000,190491000000.000000,
12M 2024,1920620000000.000000,-1212923000000.000000,707697000000.000000,-572860000000.000000,,-382086000000.000000,-190774000000.000000,-572860000000.000000,134837000000.000000,-27241000000.000000,,-26643000000.000000,4172000000.000000,,-26643000000.000000,,,,-598000000.000000,-27241000000.000000,111768000000.000000,-42286000000.000000,,,-42286000000.000000,69482000000.000000,,,,69482000000.000000,8490000000.000000,77972000000.000000,69482000000.000000,69472000000.000000,10000000.000000,69482000000.000000,77972000000.000000,77965000000.000000,7000000.000000,77972000000.000000,
