Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2007,3.20,409.49,3.20,409.49,748 B,364 B,"1,112 B",899 B,258 B
12M 2008,1.33,514.57,1.33,514.57,"1,328 B",668 B,"1,996 B","1,710 B",(7 B)
12M 2009,2.00,554.78,2.08,533.78,"1,363 B",953 B,"2,316 B","2,042 B",(116 B)
12M 2010,2.75,629.17,2.82,613.96,"1,477 B",881 B,"2,358 B","1,666 B",184 B
12M 2011,3.42,884.90,3.48,869.99,217 B,814 B,"1,030 B",(299 B),"1,379 B"
12M 2012,3.96,1048.18,4.02,1033.38,693 B,"2,345 B","3,038 B","1,153 B","2,272 B"
12M 2013,3.56,1229.95,3.61,1211.38,"2,598 B","2,556 B","5,155 B","4,335 B","1,130 B"
12M 2014,2.99,1377.37,3.01,1369.49,"1,612 B","2,524 B","4,136 B","3,239 B",536 B
12M 2015,4.65,1542.24,4.66,1539.23,974 B,"2,929 B","3,902 B","2,613 B","2,414 B"
12M 2016,3.51,1708.79,3.52,1705.67,"2,214 B","1,833 B","4,047 B","2,680 B","1,576 B"
12M 2017,3.37,1886.51,3.37,1883.38,955 B,"2,226 B","3,181 B","1,410 B","3,387 B"
12M 2018,2.06,2085.12,2.06,2085.12,"2,427 B","1,811 B","4,238 B","2,067 B","3,206 B"
12M 2019,1.90,2076.44,1.90,2076.44,"2,141 B","2,478 B","4,619 B","2,758 B","2,065 B"
12M 2020,1.46,2180.09,1.46,2180.09,"1,248 B","2,667 B","3,915 B","2,365 B","2,940 B"
12M 2021,1.77,2327.73,1.77,2327.73,573 B,"2,212 B","2,785 B",184 B,"2,716 B"
12M 2022,2.56,546.44,2.56,546.44,556 B,"2,157 B","2,713 B","(1,625 B)","4,561 B"
12M 2023,2.63,561.07,2.63,561.07,"1,131 B","3,126 B","4,257 B","(2,278 B)","5,588 B"
12M 2024,1.94,576.01,1.94,576.01,"1,148 B","3,661 B","4,809 B",(557 B),"7,544 B"
