Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Total Beban Usaha,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Operasi Yang Dihentikan,Others,Total Operasi Yang Dihentikan,Hak Minoritas,Laba Pra Akuisisi,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Laba Pra Akuisisi,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2007,5899263405000.000000,-5149113689000.000000,750149716000.000000,-361440834000.000000,-352346253000.000000,,,-352346253000.000000,12820735000.000000,-15722469000.000000,-6192847000.000000,-361440834000.000000,388708882000.000000,-46017460000.000000,7959906000.000000,-53977366000.000000,,,-46017460000.000000,342691422000.000000,-105496702000.000000,-106951997000.000000,1455295000.000000,,-105496702000.000000,237194720000.000000,,,,-44133498000.000000,-1852978000.000000,191208244000.000000,,,191208244000.000000,237194720000.000000,-44133498000.000000,-1852978000.000000,191208244000.000000,,,,
12M 2008,9476133189000.000000,-8427221618000.000000,1048911571000.000000,-562158446000.000000,-425551612000.000000,,,-425551612000.000000,1687207000.000000,-149351718000.000000,11057677000.000000,-562158446000.000000,486753125000.000000,-92217909000.000000,11843592000.000000,-104061501000.000000,,,-92217909000.000000,394535216000.000000,-123583533000.000000,-114765632000.000000,-8817901000.000000,,-123583533000.000000,270951683000.000000,,,,-60918998000.000000,,210032685000.000000,,,210032685000.000000,270951683000.000000,-60918998000.000000,,210032685000.000000,,,,
12M 2009,8959841972000.000000,-8006210746000.000000,953631226000.000000,-375534715000.000000,-413662759000.000000,,,-413662759000.000000,-64927000.000000,50434153000.000000,-12241182000.000000,-375534715000.000000,578096511000.000000,-109840938000.000000,9751250000.000000,-119592188000.000000,,,-109840938000.000000,468255573000.000000,-128359206000.000000,-123389492000.000000,-4969714000.000000,,-128359206000.000000,339896367000.000000,,,,-65177717000.000000,,274718650000.000000,,,274718650000.000000,339896367000.000000,-65177717000.000000,,274718650000.000000,,,,
12M 2010,12194997466000.000000,-11235313041000.000000,959684425000.000000,-445518968000.000000,-498761288000.000000,,,-498761288000.000000,1569973000.000000,64665899000.000000,-12993552000.000000,-445518968000.000000,514165457000.000000,-94074486000.000000,10278118000.000000,-104352604000.000000,,,-94074486000.000000,420090971000.000000,-80998879000.000000,-94540873000.000000,13541994000.000000,,-80998879000.000000,339092092000.000000,,,,-28175977000.000000,,310916115000.000000,,,310916115000.000000,339092092000.000000,-28175977000.000000,,310916115000.000000,,,,
12M 2011,18805949694000.000000,-17787552076000.000000,1018397618000.000000,-302868874000.000000,,-296850253000.000000,-96018846000.000000,-392869099000.000000,1937477000.000000,87826733000.000000,236015000.000000,-302868874000.000000,715528744000.000000,24442797000.000000,68650235000.000000,-40613387000.000000,-3594051000.000000,,24442797000.000000,739971541000.000000,-145838350000.000000,-167637082000.000000,21798732000.000000,,-145838350000.000000,594133191000.000000,1689946694000.000000,1689946694000.000000,1689946694000.000000,,,2284079885000.000000,47551044000.000000,2331630929000.000000,2284079885000.000000,2293426507000.000000,-9346622000.000000,,2284079885000.000000,2331630929000.000000,2339137971000.000000,-7507042000.000000,2331630929000.000000
12M 2012,21673954049000.000000,-20412678118000.000000,1261275931000.000000,-430920160000.000000,,-327319479000.000000,-69638026000.000000,-396957505000.000000,-1434382000.000000,-22214130000.000000,-10314143000.000000,-430920160000.000000,830355771000.000000,-20673391000.000000,37774207000.000000,-55254198000.000000,-3193400000.000000,,-20673391000.000000,809682380000.000000,-190849037000.000000,-188564206000.000000,-2284831000.000000,,-190849037000.000000,618833343000.000000,,,,,,618833343000.000000,137037100000.000000,755870443000.000000,618833343000.000000,649313620000.000000,-30480277000.000000,,618833343000.000000,755870443000.000000,775370563000.000000,-19500120000.000000,755870443000.000000
12M 2013,22337928480000.000000,-20970287583000.000000,1367640897000.000000,-600058800000.000000,,-440356920000.000000,-89913163000.000000,-530270083000.000000,1827500000.000000,-54855286000.000000,-16760931000.000000,-600058800000.000000,767582097000.000000,-34529232000.000000,73579955000.000000,-111163926000.000000,3054739000.000000,,-34529232000.000000,733052865000.000000,-117426182000.000000,-153792381000.000000,36366199000.000000,,-117426182000.000000,615626683000.000000,,,,,,615626683000.000000,364961555000.000000,980588238000.000000,615626683000.000000,648250285000.000000,-32623602000.000000,,615626683000.000000,980588238000.000000,969250428000.000000,11337810000.000000,980588238000.000000
12M 2014,22468327501000.000000,-20736407247000.000000,1731920254000.000000,-668750572000.000000,,-575140348000.000000,-120796217000.000000,-695936565000.000000,-200474000.000000,16362884000.000000,11023583000.000000,-668750572000.000000,1063169682000.000000,-69826065000.000000,60649165000.000000,-137997675000.000000,7522445000.000000,,-69826065000.000000,993343617000.000000,-202780489000.000000,,,,-202780489000.000000,790563128000.000000,,,,,,790563128000.000000,-50977554000.000000,739585574000.000000,790563128000.000000,810094166000.000000,-19531038000.000000,,790563128000.000000,739585574000.000000,756332721000.000000,-16747147000.000000,739585574000.000000
12M 2015,19764821141000.000000,-17548826986000.000000,2215994155000.000000,-866824613000.000000,,-656413322000.000000,-115015143000.000000,-771428465000.000000,4254492000.000000,-63243038000.000000,-36407602000.000000,-866824613000.000000,1349169542000.000000,-32148550000.000000,90913404000.000000,-115829561000.000000,2777994000.000000,-10010387000.000000,-32148550000.000000,1317020992000.000000,-258279972000.000000,-276518111000.000000,43344235000.000000,-25106096000.000000,-258279972000.000000,1058741020000.000000,,,,,,1058741020000.000000,26035273000.000000,1084776293000.000000,1058741020000.000000,1033629852000.000000,25111168000.000000,,1058741020000.000000,1084776293000.000000,1046609963000.000000,38166330000.000000,1084776293000.000000
12M 2016,15212590884000.000000,-13337656837000.000000,1874934047000.000000,-699572017000.000000,,-616928561000.000000,-69002578000.000000,-685931139000.000000,2604457000.000000,28547072000.000000,-44792407000.000000,-699572017000.000000,1175362030000.000000,-19195340000.000000,46535029000.000000,-63961680000.000000,4623446000.000000,-6392135000.000000,-19195340000.000000,1156166690000.000000,-109314604000.000000,-184060048000.000000,112365289000.000000,-37619845000.000000,-109314604000.000000,1046852086000.000000,,,,,,1046852086000.000000,-145814368000.000000,901037718000.000000,1046852086000.000000,1010786393000.000000,36065693000.000000,,1046852086000.000000,901037718000.000000,878160963000.000000,22876755000.000000,901037718000.000000
12M 2017,18287935534000.000000,-16420654086000.000000,1867281448000.000000,-730410647000.000000,,-664801549000.000000,-89754326000.000000,-754555875000.000000,1569746000.000000,30502699000.000000,-7927217000.000000,-730410647000.000000,1136870801000.000000,19358837000.000000,44305509000.000000,-23257279000.000000,5864242000.000000,-7553635000.000000,19358837000.000000,1156229638000.000000,-154915192000.000000,-157489846000.000000,32395648000.000000,-29820994000.000000,-154915192000.000000,1001314446000.000000,303286074000.000000,,303286074000.000000,,,1304600520000.000000,36003651000.000000,1340604171000.000000,1304600520000.000000,1201667169000.000000,102933351000.000000,,1304600520000.000000,1340604171000.000000,1234585113000.000000,106019058000.000000,1340604171000.000000
