Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Aktivitas Operasi Lainnya,Pembayaran Kepada Karyawan,Pembayaran Pajak Penghasilan,Penerimaan Pengembalian Pajak,Penerimaan Pendapatan Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pembelian Aset Tetap Dan Pembayaran Kepada Kontraktor Untuk Aset Dalam Penyelesaian,Hasil Penjualan Aset Tetap,Pembayaran Uang Muka Pembelian Tanah,Penyertaan Saham Kepada Anak Perusahaan,Penerimaan Dari Pelepasan Aset Tetap,Penerimaan Dari Divestasi Entitas Anak,Penambahan Investasi Pada Entitas Asosiasi Ventura Bersama,Pembayaran Uang Muka Proyek,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Hasil Penawaran Umum Perdana,Tambahan Modal Disetor,(Penurunan)/Kenaikan Pinjaman Pihak Berelasi,Kenaikan Bank Yang Dibatasi,Pembayaran Pinjaman Pihak Berelasi,Penerimaan Dari Piutang Pihak Berelasi,Penerimaan Pinjaman Bank Jangka Pendek,Pembayaran Pinjaman Bank Jangka Pendek,Penerimaan Pinjaman Bank Jangka Panjang,Pembayaran Pinjaman Bank Jangka Panjang,Pembayaran Dividen Non-Pengendali,Penerimaan (Pembayaran) Utang Pembiayaan Konsumen Dan Liabilitas Sewa Pembiayaan,Pembayaran Biaya Keuangan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Total Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,1239231000000.000000,7189132000000.000000,-5702108000000.000000,-270213000000.000000,-6879000000.000000,,29299000000.000000,1239231000000.000000,-870018000000.000000,-483549000000.000000,9671000000.000000,-99033000000.000000,,,,,-297107000000.000000,-870018000000.000000,-820733000000.000000,,,,,,,1509949000000.000000,-1168098000000.000000,366030000000.000000,-642654000000.000000,-85995000000.000000,-43505000000.000000,-756460000000.000000,-820733000000.000000,-451520000000.000000,15131000000.000000,-451520000000.000000,757876000000.000000,321487000000.000000
12M 2019,1784889000000.000000,7481634000000.000000,-5328002000000.000000,-357241000000.000000,-28611000000.000000,,17109000000.000000,1784889000000.000000,-542914000000.000000,-467908000000.000000,35014000000.000000,-32491000000.000000,,,,,-77529000000.000000,-542914000000.000000,-1093801000000.000000,,,,,,435679000000.000000,1561005000000.000000,-1630266000000.000000,24785000000.000000,-651360000000.000000,-43132000000.000000,-58588000000.000000,-731924000000.000000,-1093801000000.000000,148174000000.000000,-18144000000.000000,148174000000.000000,321487000000.000000,451517000000.000000
12M 2020,1617158000000.000000,8102705000000.000000,-6079672000000.000000,-410784000000.000000,-8251000000.000000,,13160000000.000000,1617158000000.000000,-350500000000.000000,-285176000000.000000,3681000000.000000,-3310000000.000000,,,,,-65695000000.000000,-350500000000.000000,-1323120000000.000000,,,,,,273619000000.000000,2013226000000.000000,-1926747000000.000000,192941000000.000000,-1083923000000.000000,-43005000000.000000,-86154000000.000000,-663077000000.000000,-1323120000000.000000,-56462000000.000000,4812000000.000000,-56462000000.000000,451517000000.000000,399867000000.000000
12M 2021,882364000000.000000,8729289000000.000000,-7418070000000.000000,-436942000000.000000,-5682000000.000000,,13769000000.000000,882364000000.000000,-1614143000000.000000,-1644741000000.000000,48828000000.000000,-18230000000.000000,,,,,,-1614143000000.000000,773155000000.000000,1127516000000.000000,,,,,53907000000.000000,2411747000000.000000,-2150539000000.000000,4763594000000.000000,-4617099000000.000000,-48469000000.000000,-86683000000.000000,-680819000000.000000,773155000000.000000,41376000000.000000,8326000000.000000,41376000000.000000,399867000000.000000,449569000000.000000
12M 2022,1865539000000.000000,9890791000000.000000,-7683563000000.000000,-472705000000.000000,-35604000000.000000,140195000000.000000,26425000000.000000,1865539000000.000000,-1110519000000.000000,-1121620000000.000000,11594000000.000000,-493000000.000000,,,,,,-1110519000000.000000,-740651000000.000000,,,,123262000000.000000,,-69188000000.000000,2820940000000.000000,-2686828000000.000000,990479000000.000000,-1179340000000.000000,-34464000000.000000,-77221000000.000000,-628291000000.000000,-740651000000.000000,14369000000.000000,22262000000.000000,14369000000.000000,449569000000.000000,486200000000.000000
12M 2023,2072769000000.000000,9436048000000.000000,-6886187000000.000000,-516685000000.000000,-27439000000.000000,55418000000.000000,11614000000.000000,2072769000000.000000,-315237000000.000000,-255144000000.000000,8741000000.000000,-68834000000.000000,,,,,,-315237000000.000000,-1676602000000.000000,,,,1989000000.000000,,-18030000000.000000,4793388000000.000000,-4637559000000.000000,101000000.000000,-948863000000.000000,-7488000000.000000,-62046000000.000000,-798094000000.000000,-1676602000000.000000,80930000000.000000,-22016000000.000000,80930000000.000000,486200000000.000000,545114000000.000000
12M 2024,2293472000000.000000,9607006000000.000000,-6782397000000.000000,-522062000000.000000,-28117000000.000000,,19042000000.000000,2293472000000.000000,-399040000000.000000,-374731000000.000000,,-5268000000.000000,,7307000000.000000,4650000000.000000,-30998000000.000000,,-399040000000.000000,-1799076000000.000000,,,,-1400000000.000000,,,5818883000000.000000,-5975562000000.000000,253143000000.000000,-1123097000000.000000,-4550000000.000000,-80887000000.000000,-685606000000.000000,-1799076000000.000000,95356000000.000000,28000000.000000,95356000000.000000,545114000000.000000,640498000000.000000
