Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Utang Lain-Lain,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2018,,,321487000000.000000,120002000000.000000,981585000000.000000,613627000000.000000,367958000000.000000,981585000000.000000,441964000000.000000,73799000000.000000,368165000000.000000,441964000000.000000,1235619000000.000000,187893000000.000000,3288550000000.000000,,4762000000.000000,13282662000000.000000,,1069308000000.000000,14356732000000.000000,17645282000000.000000,,,7399282000000.000000,1815924000000.000000,,912331000000.000000,163974000000.000000,1076305000000.000000,,1010302000000.000000,2021284000000.000000,3031586000000.000000,333251000000.000000,14010000000.000000,,552063000000.000000,4325000000.000000,20782000000.000000,577170000000.000000,551036000000.000000,7399282000000.000000,6897809000000.000000,,6325861000000.000000,2153000000.000000,16831000000.000000,6344845000000.000000,156400000000.000000,293647000000.000000,102917000000.000000,6897809000000.000000,14297091000000.000000,,4438000000000.000000,348367000000.000000,-1438176000000.000000,3348191000000.000000,17645282000000.000000,4438000.000000
12M 2019,,,451517000000.0,42660000000.0,1066031000000.0,595873000000.0,470158000000.0,1066031000000.0,583427000000.0,129744000000.0,453683000000.0,583427000000.0,1421843000000.0,240058000000.0,3805536000000.0,,4757000000.0,14977612000000.0,750000000.0,819458000000.0,15802577000000.0,19608113000000.0,,,8217304000000.0,1705900000000.0,,703498000000.0,148561000000.0,852059000000.0,,868953000000.0,2444514000000.0,3313467000000.0,408356000000.0,35503000000.0,,607271000000.0,9085000000.0,17847000000.0,634203000000.0,1267816000000.0,8217304000000.0,8047347000000.0,,5626803000000.0,12409000000.0,9046000000.0,5648258000000.0,216567000000.0,2064995000000.0,117527000000.0,8047347000000.0,16264651000000.0,,4438000000000.0,420521000000.0,-1515059000000.0,3343462000000.0,19608113000000.0,4438000.0
12M 2020,,,399867000000.0,9844000000.0,845915000000.0,615868000000.0,230047000000.0,845915000000.0,185659000000.0,40923000000.0,144736000000.0,185659000000.0,1401083000000.0,636657000000.0,3479025000000.0,,4752000000.0,14945485000000.0,2862000000.0,611216000000.0,15564315000000.0,19043340000000.0,,,8170477000000.0,1809576000000.0,,855258000000.0,467034000000.0,1322292000000.0,,1196096000000.0,788417000000.0,1984513000000.0,211599000000.0,28188000000.0,,1035463000000.0,8891000000.0,55553000000.0,1099907000000.0,1714402000000.0,8170477000000.0,8132833000000.0,,6171487000000.0,9374000000.0,116389000000.0,6297250000000.0,75342000000.0,1650286000000.0,109955000000.0,8132833000000.0,16303310000000.0,,5544352000000.0,335725000000.0,-3140047000000.0,2740030000000.0,19043340000000.0,5544352.0
12M 2021,,,449569000000.000000,,779670000000.000000,681732000000.000000,97938000000.000000,779670000000.000000,106492000000.000000,63821000000.000000,42671000000.000000,106492000000.000000,1663574000000.000000,464162000000.000000,3463467000000.000000,,4744000000.000000,14617768000000.000000,928000000.000000,549199000000.000000,15172639000000.000000,18636106000000.000000,,,7968966000000.000000,2089211000000.000000,,814849000000.000000,533444000000.000000,1348293000000.000000,,1302033000000.000000,239786000000.000000,1541819000000.000000,368765000000.000000,38333000000.000000,,1148537000000.000000,8949000000.000000,47208000000.000000,1204694000000.000000,1377851000000.000000,7968966000000.000000,6618287000000.000000,,6219366000000.000000,532000000.000000,90492000000.000000,6310390000000.000000,213004000000.000000,1000000.000000,94892000000.000000,6618287000000.000000,14587253000000.000000,,8562752000000.000000,321397000000.000000,-4835296000000.000000,4048853000000.000000,18636106000000.000000,17125504000.000000
12M 2022,,,486200000000.000000,,719632000000.000000,645007000000.000000,74625000000.000000,719632000000.000000,88385000000.000000,31056000000.000000,57329000000.000000,88385000000.000000,1887723000000.000000,283483000000.000000,3465423000000.000000,,4737000000.000000,14247754000000.000000,512000000.000000,414661000000.000000,14667664000000.000000,18133087000000.000000,,,8336437000000.000000,2204559000000.000000,,761259000000.000000,738266000000.000000,1499525000000.000000,,373643000000.000000,185252000000.000000,558895000000.000000,244541000000.000000,27824000000.000000,,2288905000000.000000,989000000.000000,28457000000.000000,2318351000000.000000,1482742000000.000000,8336437000000.000000,5956330000000.000000,,5588664000000.000000,1036000000.000000,65231000000.000000,5654931000000.000000,221147000000.000000,1000000.000000,80251000000.000000,5956330000000.000000,14292767000000.000000,,8562752000000.000000,359873000000.000000,-5082305000000.000000,3840320000000.000000,18133087000000.000000,17125504000.000000
12M 2023,,,545114000000.000000,,1028073000000.000000,784723000000.000000,243350000000.000000,1028073000000.000000,105043000000.000000,25148000000.000000,79895000000.000000,105043000000.000000,1763473000000.000000,418386000000.000000,3860089000000.000000,,4730000000.000000,13534301000000.000000,2692000000.000000,554172000000.000000,14095895000000.000000,17955984000000.000000,,,7958465000000.000000,2311288000000.000000,,957633000000.000000,835452000000.000000,1793085000000.000000,,274466000000.000000,180136000000.000000,454602000000.000000,348943000000.000000,25554000000.000000,,1356140000000.000000,1818000000.000000,57204000000.000000,1415162000000.000000,1609831000000.000000,7958465000000.000000,6015758000000.000000,,5394972000000.000000,2364000000.000000,150195000000.000000,5547531000000.000000,375846000000.000000,1000000.000000,92380000000.000000,6015758000000.000000,13974223000000.000000,,8562752000000.000000,342314000000.000000,-4923305000000.000000,3981761000000.000000,17955984000000.000000,17125504000.000000
12M 2024,,,640498000000.000000,,714364000000.000000,707680000000.000000,6684000000.000000,714364000000.000000,187969000000.000000,92079000000.000000,95890000000.000000,187969000000.000000,1760034000000.000000,146470000000.000000,3449335000000.000000,,40421000000.000000,13156735000000.000000,2651000000.000000,455206000000.000000,13655013000000.000000,17104348000000.000000,,,8792001000000.000000,2156756000000.000000,,1104046000000.000000,834904000000.000000,1938950000000.000000,,305554000000.000000,172615000000.000000,478169000000.000000,372983000000.000000,20807000000.000000,,1779720000000.000000,1649000000.000000,62379000000.000000,1843748000000.000000,1980588000000.000000,8792001000000.000000,5161220000000.000000,,4389195000000.000000,1369000000.000000,143938000000.000000,4534502000000.000000,523944000000.000000,1000000.000000,102773000000.000000,5161220000000.000000,13953221000000.000000,,8562752000000.000000,321126000000.000000,-5732751000000.000000,3151127000000.000000,17104348000000.000000,17125504000.000000
