Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Others,Total Beban Pajak Penghasilan,Adjustment,Others,Total Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Penyesuaian Proforma,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Penyesuaian Proforma,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,6433419000000.000000,-5235740000000.000000,1197679000000.000000,-998963000000.000000,-480913000000.000000,-405078000000.000000,-112972000000.000000,-998963000000.000000,198716000000.000000,-801331000000.000000,29299000000.000000,-830626000000.000000,,-4000000.000000,-801331000000.000000,-602615000000.000000,-162075000000.000000,-37843000000.000000,-124232000000.000000,,-162075000000.000000,,-75101000000.000000,-75101000000.000000,-839791000000.000000,64675000000.000000,,-3491000000.000000,-54406000000.000000,-57897000000.000000,64675000000.000000,-833013000000.000000,-839791000000.000000,-838491000000.000000,-1300000000.000000,-839791000000.000000,-833013000000.000000,-831713000000.000000,-1300000000.000000,-833013000000.000000
12M 2019,6335572000000.000000,-4712009000000.000000,1623563000000.000000,-630173000000.000000,-411181000000.000000,-373440000000.000000,154448000000.000000,-630173000000.000000,993390000000.000000,-775701000000.000000,17109000000.000000,-792805000000.000000,,-5000000.000000,-775701000000.000000,217689000000.000000,-109631000000.000000,-50445000000.000000,-59186000000.000000,,-109631000000.000000,,-169242000000.000000,-169242000000.000000,-61184000000.000000,-44015000000.000000,,-1798000000.000000,48772000000.000000,46974000000.000000,-44015000000.000000,-58225000000.000000,-61184000000.000000,-60493000000.000000,-691000000.000000,-61184000000.000000,-58225000000.000000,-57534000000.000000,-691000000.000000,-58225000000.000000
12M 2020,7158870000000.000000,-5431151000000.000000,1727719000000.000000,-617192000000.000000,-546028000000.000000,-360901000000.000000,289737000000.000000,-617192000000.000000,1110527000000.000000,-699309000000.000000,13160000000.000000,-712465000000.000000,,-4000000.000000,-699309000000.000000,411218000000.000000,119064000000.000000,-39450000000.000000,158514000000.000000,,119064000000.000000,,-60723000000.000000,-60723000000.000000,469559000000.000000,79332000000.000000,,307000000.000000,-12321000000.000000,-12014000000.000000,79332000000.000000,536877000000.000000,469559000000.000000,471342000000.000000,-1783000000.000000,469559000000.000000,536877000000.000000,538660000000.000000,-1783000000.000000,536877000000.000000
12M 2021,8278058000000.000000,-6155137000000.000000,2122921000000.000000,-1006042000000.000000,-658546000000.000000,-364367000000.000000,16871000000.000000,-1006042000000.000000,1116879000000.000000,-666974000000.000000,13769000000.000000,-680735000000.000000,,-8000000.000000,-666974000000.000000,449905000000.000000,-195235000000.000000,-35764000000.000000,-159471000000.000000,,-195235000000.000000,,,,254670000000.000000,-24894000000.000000,,,,,-24894000000.000000,229776000000.000000,254670000000.000000,221547000000.000000,33123000000.000000,254670000000.000000,229776000000.000000,195635000000.000000,34141000000.000000,229776000000.000000
12M 2022,9687149000000.000000,-7163735000000.000000,2523414000000.000000,-1463678000000.000000,-1031850000000.000000,-356295000000.000000,-75533000000.000000,-1463678000000.000000,1059736000000.000000,-1153145000000.000000,26425000000.000000,-628294000000.000000,-551269000000.000000,-7000000.000000,-1153145000000.000000,-93409000000.000000,5205000000.000000,-12254000000.000000,17459000000.000000,,5205000000.000000,,,,-88204000000.000000,-137583000000.000000,,,,,-137583000000.000000,-225787000000.000000,-88204000000.000000,-89361000000.000000,1157000000.000000,-88204000000.000000,-225787000000.000000,-247009000000.000000,21222000000.000000,-225787000000.000000
12M 2023,9612847000000.000000,-7111300000000.000000,2501547000000.000000,-1475895000000.000000,-1105964000000.000000,-369700000000.000000,-231000000.000000,-1475895000000.000000,1025652000000.000000,-677059000000.000000,11614000000.000000,-795787000000.000000,107121000000.000000,-7000000.000000,-677059000000.000000,348593000000.000000,-189301000000.000000,-10337000000.000000,-158492000000.000000,-20472000000.000000,-189301000000.000000,,,,159292000000.000000,-10363000000.000000,,,,,-10363000000.000000,148929000000.000000,159292000000.000000,154809000000.000000,4483000000.000000,159292000000.000000,148929000000.000000,159000000000.000000,-10071000000.000000,148929000000.000000
12M 2024,8857280000000.000000,-7108519000000.000000,1748761000000.000000,-1332579000000.000000,-996527000000.000000,-369368000000.000000,33316000000.000000,-1332579000000.000000,416182000000.000000,-963751000000.000000,19042000000.000000,-712032000000.000000,-239763000000.000000,-30998000000.000000,-963751000000.000000,-547569000000.000000,-156624000000.000000,-8726000000.000000,-147898000000.000000,,-156624000000.000000,,,,-704193000000.000000,-93280000000.000000,,,,,-93280000000.000000,-797473000000.000000,-704193000000.000000,-716258000000.000000,12065000000.000000,-704193000000.000000,-797473000000.000000,-810000000000.000000,12527000000.000000,-797473000000.000000
