Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Untuk Pajak Penghasilan Badan,Penerimaan Restitusi Pajak,Pembayaran Restitusi Pajak,Pembayaran Bunga,Penerimaan Bunga,Penerimaan (Pembayaran) Aktivitas Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penempatan Investasi Jangka Pendek,Pembayaran(Penambahan) Piutang Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,(Penurunan)/Kenaikan Kas Dan Deposito Berjangka Yang Dibatasi Penggunaannya,Pinjaman Bank Jangka Pendek :,Penerimaan,Pembayaran,Total Pinjaman Bank Jangka Pendek :,Pinjaman Bank Jangka Panjang :,Penerimaan,Pembayaran,Total Pinjaman Bank Jangka Panjang :,Pembayaran(Penambahan) Piutang Lain-Lain Pihak Berelasi,Penempatan Investasi Jangka Pendek,Pembayaran Utang Lain-Lain - Pihak Berelasi,Pembayaran Utang Lembaga Keuangan,Pembayaran Liabilitas Sewa,Setoran Modal,Penerimaan Dari Penawaran Umum Saham Perdana,Tambahan Setoran Modal,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,-54651680201.000000,32001450030.000000,-83163277902.000000,-2635936777.000000,-99981857.000000,,,-1376755486.000000,43693221.000000,579128570.000000,-54651680201.000000,-47650000.000000,-7650000.000000,,-3000000000.000000,2960000000.000000,-47650000.000000,54930469283.000000,,,,,,,3859460315.000000,-178991032.000000,3680469283.000000,,,,,,51250000000.000000,,,54930469283.000000,231139082.000000,158784017.000000,389923099.000000
12M 2019,-12030020670.000000,48118663445.000000,-59120239340.000000,-2200921680.000000,-594506561.000000,,394954114.000000,-2486731127.000000,174484246.000000,3684276233.000000,-12030020670.000000,-7275851323.000000,-24036000.000000,-3823013500.000000,,-3428801823.000000,-7275851323.000000,19410935675.000000,,,,,,,375675.000000,-335440000.000000,-335064325.000000,,,,,,,19746000000.000000,,19410935675.000000,105063682.000000,389923099.000000,494986781.000000
12M 2020,-303639762.000000,72533094967.000000,-78042074432.000000,-7186167018.000000,-568337013.000000,,5292494558.000000,-954423539.000000,173976194.000000,8447796521.000000,-303639762.000000,1216875074.000000,-424486500.000000,,-3000000000.000000,4641361574.000000,1216875074.000000,-1282699478.000000,,,,,,,-1291890225.000000,23896074.000000,-1267994151.000000,,,,,-14705327.000000,,,,-1282699478.000000,-369464166.000000,494986781.000000,125522615.000000
12M 2021,10804520082.000000,15353075639.000000,-14369390928.000000,-1409039341.000000,-62448100.000000,,,-775426704.000000,54224665.000000,12013524851.000000,10804520082.000000,-4846089860.000000,,,,-4846089860.000000,-4846089860.000000,-5981354089.000000,,,,,,,,-5981354089.000000,-5981354089.000000,,,,,,,,,-5981354089.000000,-22923867.000000,125522615.000000,102598748.000000
12M 2022,1157724316.000000,18840840469.000000,-16517108866.000000,-1754296528.000000,-659521954.000000,,,-539810331.000000,4974.000000,1787616552.000000,1157724316.000000,-957500001.000000,,,,-957500001.000000,-957500001.000000,22747713.000000,,,,,,,22747713.000000,,22747713.000000,,,,,,,,,22747713.000000,222972028.000000,102598748.000000,325570776.000000
