Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,37623881263.000000,-31228187027.000000,6395694236.000000,-3397139435.000000,-1395268305.000000,-2001871130.000000,-3397139435.000000,2998554801.000000,-587607167.000000,-1376755486.000000,789148319.000000,-587607167.000000,2410947634.000000,-557568913.000000,1853378721.000000,1853378721.000000,55510783.000000,1908889504.000000,1853378721.000000,1853378721.000000,,1853378721.000000,1908889504.000000,1908889504.000000,,1908889504.000000
12M 2019,43739894072.000000,-37190555852.000000,6549338220.000000,-3630567751.000000,-1764671440.000000,-1865896311.000000,-3630567751.000000,2918770469.000000,1330073584.000000,-2486731127.000000,3816804711.000000,1330073584.000000,4248844053.000000,-948886452.000000,3299957601.000000,3299957601.000000,34655519.000000,3334613120.000000,3299957601.000000,3299957601.000000,,3299957601.000000,3334613120.000000,3334613120.000000,,3334613120.000000
12M 2020,74089340627.000000,-73993082437.000000,96258190.000000,-5878630771.000000,-2810103929.000000,-3068526842.000000,-5878630771.000000,-5782372581.000000,6333734635.000000,-954423539.000000,7288158174.000000,6333734635.000000,551362054.000000,-171469486.000000,379892568.000000,379892568.000000,-135255346.000000,244637222.000000,379892568.000000,379892568.000000,,379892568.000000,244637222.000000,244637222.000000,,244637222.000000
12M 2021,5061674079.000000,-6759813189.000000,-1698139110.000000,-2744039531.000000,-311949876.000000,-2432089655.000000,-2744039531.000000,-4442178641.000000,4652070772.000000,-775426705.000000,5427497477.000000,4652070772.000000,209892131.000000,-62448100.000000,147444031.000000,147444031.000000,98572551.000000,246016582.000000,147444031.000000,147444031.000000,,147444031.000000,246016582.000000,246016582.000000,,246016582.000000
12M 2022,22711399943.000000,-19338922229.000000,3372477714.000000,-2933450463.000000,-927700538.000000,-2005749925.000000,-2933450463.000000,439027251.000000,1999427697.000000,-539810331.000000,2539238028.000000,1999427697.000000,2438454948.000000,-659521954.000000,1778932994.000000,1778932994.000000,-44833864.000000,1734099130.000000,1778932994.000000,1778932994.000000,,1778932994.000000,1734099129.000000,1734099129.000000,,1734099129.000000
