Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Pendapatan Keuangan,Beban Underwriting,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Operasi Yang Dihentikan,Others,Total Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,186058293567.000000,-175253912622.000000,10804380945.000000,-7430371019.000000,-7430371019.000000,,,-7430371019.000000,3374009926.000000,-1751557559.000000,205000000.000000,-1995336021.000000,,,,38778462.000000,-1751557559.000000,1622452367.000000,-435666646.000000,,,,-435666646.000000,1186785721.000000,,-813149060.000000,1186785721.000000,373636661.000000,-288580500.000000,85056161.000000,373636661.000000,373636661.000000,,373636661.000000,85056161.000000,85056161.000000,,85056161.000000
12M 2018,294974459837.000000,-280921903141.000000,14052556696.000000,-10402688202.000000,-10402688202.000000,,,-10402688202.000000,3649868494.000000,-1595053003.000000,29413287.000000,-2083653162.000000,353333333.000000,-144053250.000000,,249906789.000000,-1595053003.000000,2054815491.000000,-679686215.000000,,,,-679686215.000000,1375129276.000000,,-199962447.000000,1375129276.000000,1175166829.000000,-519134250.000000,656032579.000000,1175166829.000000,1163275804.000000,11891025.000000,1175166829.000000,656032579.000000,650588929.000000,5443650.000000,656032579.000000
12M 2019,230646056647.000000,-214744883946.000000,15901172701.000000,-14783897082.000000,-14783897082.000000,,,-14783897082.000000,1117275619.000000,-1626086808.000000,-4900000.000000,-1873830303.000000,21121470.000000,,,231522025.000000,-1626086808.000000,-508811189.000000,-727591568.000000,,,,-727591568.000000,-1236402757.000000,,,-1236402757.000000,-1236402757.000000,1336674000.000000,100271243.000000,-1236402757.000000,-1224172995.000000,-12229762.000000,-1236402757.000000,100271243.000000,98831970.000000,1439273.000000,100271243.000000
12M 2020,180460605151.000000,-164844653179.000000,15615951972.000000,-12846383369.000000,-12846383369.000000,,,-12846383369.000000,2769568603.000000,-2005463929.000000,,-2090656523.000000,20879716.000000,,,64312878.000000,-2005463929.000000,764104674.000000,-539926618.000000,,,,-539926618.000000,224178056.000000,,,224178056.000000,224178056.000000,-223688790.000000,489266.000000,224178056.000000,221359793.000000,2818263.000000,224178056.000000,489266.000000,-418227.000000,907493.000000,489266.000000
12M 2021,282803444000.000000,-265191588000.000000,17611856000.000000,-13589188000.000000,-13589188000.000000,,,-13589188000.000000,4022668000.000000,-1634154000.000000,-1642000.000000,-1776693000.000000,47827000.000000,,,96354000.000000,-1634154000.000000,2388514000.000000,-708438000.000000,,,,-708438000.000000,1680076000.000000,,,1680076000.000000,1680076000.000000,335936000.000000,2016012000.000000,1680076000.000000,1661181000.000000,18895000.000000,1680076000.000000,2016012000.000000,1995862000.000000,20150000.000000,2016012000.000000
12M 2022,577740011000.000000,-179757884000.000000,397982127000.000000,-227399819000.000000,,-19166094000.000000,-208233725000.000000,-227399819000.000000,170582308000.000000,3811026000.000000,,-27124623000.000000,21373606000.000000,,10995730000.000000,-1433687000.000000,3811026000.000000,174393334000.000000,-14490138000.000000,-110462000.000000,,-14379676000.000000,-14490138000.000000,159903196000.000000,2519298000.000000,125888641000.000000,159903196000.000000,288311135000.000000,1059451000.000000,289370586000.000000,288311135000.000000,138191574000.000000,150119561000.000000,288311135000.000000,289370586000.000000,138841944000.000000,150528642000.000000,289370586000.000000
12M 2023,2158892494000.000000,-1080207292000.000000,1078685202000.000000,-338330109000.000000,,-77195019000.000000,-261135090000.000000,-338330109000.000000,740355093000.000000,78095758000.000000,,-64627547000.000000,143827907000.000000,,-304529000.000000,-800073000.000000,78095758000.000000,818450851000.000000,-95030385000.000000,-12669659000.000000,,-82360726000.000000,-95030385000.000000,723420466000.000000,1090252000.000000,56168468000.000000,723420466000.000000,780679186000.000000,3633484000.000000,784312670000.000000,780679186000.000000,270038645000.000000,510640541000.000000,780679186000.000000,784312670000.000000,273180152000.000000,511132518000.000000,784312670000.000000
12M 2024,2832586999000.000000,-1247938341000.000000,1584648658000.000000,-326004615000.000000,,-91033559000.000000,-234971056000.000000,-326004615000.000000,1258644043000.000000,115189490000.000000,,-47474889000.000000,173509233000.000000,,-10819618000.000000,-25236000.000000,115189490000.000000,1373833533000.000000,-106280051000.000000,-13350223000.000000,,-92929828000.000000,-106280051000.000000,1267553482000.000000,,,1267553482000.000000,1267553482000.000000,2292903000.000000,1269846385000.000000,1267553482000.000000,623910079000.000000,643643403000.000000,1267553482000.000000,1269846385000.000000,625998215000.000000,643848170000.000000,1269846385000.000000
