Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Final,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,332526315303.000000,-274727282941.000000,57799032362.000000,-25267692017.000000,-25267692017.000000,,-25267692017.000000,32531340345.000000,-13000995513.000000,113151660.000000,-19911317593.000000,1738743369.000000,5058427051.000000,-13000995513.000000,19530344832.000000,-2097200889.000000,17433143943.000000,40361410.000000,17473505353.000000,17433143943.000000,17433143943.000000,,17433143943.000000,17473505353.000000,17473505353.000000,,17473505353.000000
12M 2020,296492159634.000000,-262481543087.000000,34010616547.000000,-21587428844.000000,-21587428844.000000,,-21587428844.000000,12423187703.000000,-9491868750.000000,34661344.000000,-20442923171.000000,8166851571.000000,2749541506.000000,-9491868750.000000,2931318953.000000,-4921677028.000000,-1990358075.000000,-360728973.000000,-2351087048.000000,-1990358075.000000,-1990358075.000000,,-1990358075.000000,-2351087048.000000,-2351087048.000000,,-2351087048.000000
12M 2021,318296247836.000000,-301456346926.000000,16839900910.000000,-21642779164.000000,-21386886038.000000,-255893126.000000,-21642779164.000000,-4802878254.000000,-8594292832.000000,24198981.000000,-13774982680.000000,1825833070.000000,3330657797.000000,-8594292832.000000,-13397171086.000000,3929611390.000000,-9467559696.000000,155665025.000000,-9311894671.000000,-9467559696.000000,-9467559696.000000,,-9467559696.000000,-9311894671.000000,-9311894671.000000,,-9311894671.000000
12M 2022,424781798011.000000,-374309781177.000000,50472016834.000000,-25269970230.000000,-24103967081.000000,-1166003149.000000,-25269970230.000000,25202046604.000000,14859293386.000000,21305957.000000,-12809682598.000000,28567898967.000000,-920228940.000000,14859293386.000000,40061339990.000000,-17125675969.000000,22935664021.000000,-899470404.000000,22036193617.000000,22935664021.000000,22935664021.000000,,22935664021.000000,22036193617.000000,22036193617.000000,,22036193617.000000
12M 2023,571540783292.000000,-482801881651.000000,88738901641.000000,-24984070761.000000,-23753032181.000000,-1231038580.000000,-24984070761.000000,63754830880.000000,-12234217484.000000,183339765.000000,-24326756202.000000,9336708041.000000,2572490912.000000,-12234217484.000000,51520613396.000000,-9036009160.000000,42484604236.000000,-201859878.000000,42282744358.000000,42484604236.000000,42484604236.000000,,42484604236.000000,42282744358.000000,42282744358.000000,,42282744358.000000
12M 2024,670148711332.000000,-538794076924.000000,131354634408.000000,-24967279280.000000,-24205680697.000000,-761598583.000000,-24967279280.000000,106387355128.000000,-25557038544.000000,178515274.000000,-24781166418.000000,2339965859.000000,-3294353259.000000,-25557038544.000000,80830316584.000000,-13232876286.000000,67597440298.000000,-492266239.000000,67105174059.000000,67597440298.000000,67597440298.000000,,67597440298.000000,67105174059.000000,67105174059.000000,,67105174059.000000
