Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Pajak,Penerimaan Klaim Pengembalian Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penjualan Aset Tetap,Kenaikan Jaminan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan (Pembayaran) Utang Bank Jangka Pendek,Penerimaan,Pembayaran,Total Penerimaan (Pembayaran) Utang Bank Jangka Pendek,Penerimaan (Pembayaran) Utang Bank Jangka Panjang,Penerimaan,Pembayaran,Total Penerimaan (Pembayaran) Utang Bank Jangka Panjang,Penambahan Utang Pembiayaan Konsumen Jangka Panjang,Pembayaran Utang Pembiayaan Konsumen Jangka Panjang,Penawaran Umum Perdana,Pembayaran Biaya Emisi Saham,Tambahan Modal Disetor,Pembayaran Dividen,Penerimaan Pinjaman Opsi Konversi,Pembayaran Beban Bunga,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,57018570495.000000,260292625448.000000,-128305172495.000000,-74346121152.000000,-5892468299.000000,5269706993.000000,57018570495.000000,-9579773349.000000,-24291591551.000000,14711818202.000000,,-9579773349.000000,-56223266887.000000,62294292251.000000,,,62294292251.000000,-62520210731.000000,,,-62520210731.000000,,-31789814106.000000,,,,-5000000000.000000,,-19207534301.000000,-56223266887.000000,-8784469741.000000,20701902534.000000,11917432793.000000
12M 2020,44512732865.000000,284507941397.000000,-159236349370.000000,-75870970604.000000,-4887888558.000000,,44512732865.000000,4162471603.000000,-11444710227.000000,15607181830.000000,,4162471603.000000,-59303922866.000000,-10254453014.000000,,,-10254453014.000000,-52248049525.000000,,,-52248049525.000000,,-16875325070.000000,,,,,40000000000.000000,-19926095257.000000,-59303922866.000000,-10628718398.000000,11917432793.000000,1288714395.000000
12M 2021,69298618280.000000,315418359833.000000,-159908159636.000000,-79556801835.000000,-6654780082.000000,,69298618280.000000,-15532078858.000000,-18203439277.000000,2671360419.000000,,-15532078858.000000,-54489873537.000000,-2697000011.000000,,,-2697000011.000000,-38237559004.000000,,,-38237559004.000000,,-31258607888.000000,35400000000.000000,-4433871000.000000,,,,-13262835634.000000,-54489873537.000000,-723334115.000000,1288714395.000000,565380280.000000
12M 2022,76503963923.000000,412046173000.000000,-238923787095.000000,-89030205783.000000,-7588216199.000000,,76503963923.000000,26277120824.000000,-10452326372.000000,36729447196.000000,,26277120824.000000,-62255095743.000000,,154376398346.000000,-153230000000.000000,1146398346.000000,,7000000000.000000,-31898882572.000000,-24898882572.000000,7415000000.000000,-34734417126.000000,,,,,,-11183194391.000000,-62255095743.000000,40525989004.000000,565380280.000000,41091369284.000000
12M 2023,70235554481.000000,475490335973.000000,-267867813542.000000,-131862558466.000000,-11221485941.000000,5697076457.000000,70235554481.000000,17228142071.000000,-3273683668.000000,20501825739.000000,,17228142071.000000,-116981084934.000000,,386114801171.000000,-376447597297.000000,9667203874.000000,,,-29720655488.000000,-29720655488.000000,,-62548123242.000000,,,,-11457287950.000000,,-22922222128.000000,-116981084934.000000,-29517388382.000000,41091369284.000000,11573980902.000000
12M 2024,196333640886.000000,657029884233.000000,-307478209109.000000,-138216712180.000000,-15001322058.000000,,196333640886.000000,-6621795566.000000,-8633191967.000000,2011396401.000000,,-6621795566.000000,-177173832639.000000,,422037004324.000000,-439792745066.000000,-17755740742.000000,,,-31933616286.000000,-31933616286.000000,,-91186792597.000000,,,,-12493152340.000000,,-23804530674.000000,-177173832639.000000,12538012681.000000,11573980902.000000,24111993583.000000
