Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Deposito Berjangka,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Lain Jangka Panjang,Utang Sewa Pembiayaan,Utang Lembaga Keuangan Lain,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Lembaga Keuangan Lain,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,1158864833.000000,1450773977.000000,712337764.000000,217979941.000000,3380715639.000000,6920672154.000000,,1368095927.000000,,1200000000.000000,1231653427.000000,29155204667.000000,4000000000.000000,36954954021.000000,43875626175.000000,,,5597208256.000000,1000000000.000000,509249448.000000,83973023.000000,846780145.000000,1257671826.000000,,930632794.000000,,,,930632794.000000,968901020.000000,5597208256.000000,2218734717.000000,,,861265588.000000,,,861265588.000000,,1357469129.000000,2218734717.000000,7815942973.000000,,48800000000.000000,1333812447.000000,-14074129245.000000,,,-14074129245.000000,,,36059683202.000000,43875626175.000000,488000000.000000
12M 2009,,,375361403.000000,733017023.000000,1205021484.000000,155492566.000000,730180036.000000,3199072512.000000,,1368095927.000000,,970275000.000000,903359973.000000,32022195846.000000,4000000000.000000,39263926746.000000,42462999258.000000,,,4936085938.000000,889038020.000000,548521670.000000,275599976.000000,1281405388.000000,672445505.000000,,310000000.000000,,,24769163.000000,334769163.000000,934306216.000000,4936085938.000000,1149446494.000000,,,181454031.000000,60919837.000000,,242373868.000000,,907072626.000000,1149446494.000000,6085532432.000000,,48800000000.000000,1333812447.000000,-13756345621.000000,,,-13756345621.000000,,,36377466826.000000,42462999258.000000,488000000.000000
12M 2010,,,179518445.000000,742159939.000000,1445375806.000000,265007405.000000,464757626.000000,3096819221.000000,,1368095927.000000,,,889282313.000000,30831944440.000000,5598284349.000000,38687607029.000000,41784426250.000000,,,4479728280.000000,714748930.000000,760222168.000000,353009984.000000,863319265.000000,681559567.000000,,181432184.000000,,,101475166.000000,282907350.000000,823961016.000000,4479728280.000000,787210701.000000,,,,133738670.000000,,133738670.000000,,653472031.000000,787210701.000000,5266938981.000000,,48800000000.000000,1333812447.000000,-13616325178.000000,,,-13616325178.000000,,,36517487269.000000,41784426250.000000,488000000.000000
12M 2011,,,893254856.000000,983334843.000000,4734918568.000000,372213156.000000,776810391.000000,7760531814.000000,,3238046637.000000,,,932743847.000000,31106321048.000000,590000000.000000,35867111532.000000,43627643346.000000,,,3876444661.000000,,794005353.000000,39773809.000000,849236741.000000,630022647.000000,,431704545.000000,,,280854666.000000,712559211.000000,850846900.000000,3876444661.000000,2894030595.000000,,,1714830764.000000,289240853.000000,,2004071617.000000,,889958978.000000,2894030595.000000,6770475256.000000,,48800000000.000000,1333812447.000000,-13276644357.000000,,,-13276644357.000000,,,36857168090.000000,43627643346.000000,488000000.000000
12M 2012,,,1189440759.000000,1249514766.000000,5879746119.000000,528484596.000000,1110337642.000000,9957523882.000000,,3238046637.000000,,,1054263144.000000,30462224137.000000,590000000.000000,35344533918.000000,45302057800.000000,,,4273521578.000000,,856348873.000000,20166855.000000,725240885.000000,960035344.000000,,903497289.000000,,,197071196.000000,1100568485.000000,611161136.000000,4273521578.000000,3917165518.000000,,,2934404722.000000,86478182.000000,,3020882904.000000,,896282614.000000,3917165518.000000,8190687096.000000,,48800000000.000000,1333812447.000000,-13022441743.000000,,,-13022441743.000000,,,37111370704.000000,45302057800.000000,488000000.000000
12M 2013,,,23698229791.000000,650267965.000000,109352000.000000,584490606.000000,377663219.000000,25420003581.000000,,9538046637.000000,,11233192146.000000,1182249985.000000,20804391150.000000,,42757879918.000000,68177883499.000000,,,3924165847.000000,,332652071.000000,123836498.000000,339300557.000000,285098233.000000,,1269895926.000000,,,123302935.000000,1393198861.000000,1450079627.000000,3924165847.000000,4558096134.000000,,,3735542963.000000,,80576822.000000,3816119785.000000,,741976349.000000,4558096134.000000,8482261981.000000,,48800000000.000000,1333812447.000000,9561809071.000000,,,9561809071.000000,,,59695621518.000000,68177883499.000000,488000000.000000
12M 2014,,,9800496312.000000,549708438.000000,106451225.000000,251970996.000000,1773959912.000000,12482586883.000000,,6156461196.000000,6660042399.000000,3353913801.000000,2326809929.000000,26895005412.000000,11980483216.000000,57372715953.000000,69855302836.000000,,,5234726251.000000,,970581528.000000,58323598.000000,801383337.000000,254801360.000000,,1362266761.000000,,,284945851.000000,1647212612.000000,1502423816.000000,5234726251.000000,7120180820.000000,2997000000.000000,,2406222922.000000,,300236140.000000,2706459062.000000,,1416721758.000000,7120180820.000000,12354907071.000000,,48800000000.000000,1333812447.000000,7365583318.000000,,7365583318.000000,7365583318.000000,1000000.000000,,57500395765.000000,69855302836.000000,488000000.000000
12M 2015,,,8640952738.000000,144367181.000000,139442000.000000,362141240.000000,2937312651.000000,12224215810.000000,,5914126677.000000,,6034974877.000000,2484423953.000000,26235691782.000000,12209886319.000000,52879103608.000000,65103319418.000000,,,3266272763.000000,,720936835.000000,171796643.000000,409606107.000000,511770238.000000,,,,341792591.000000,,341792591.000000,1110370349.000000,3266272763.000000,4616497272.000000,2997000000.000000,,,,50229262.000000,50229262.000000,,1569268010.000000,4616497272.000000,7882770035.000000,,48800000000.000000,1333812447.000000,6888341989.000000,,,6888341989.000000,175779270.000000,22615676.000000,57220549382.000000,65103319417.000000,488000000.000000
12M 2016,,,7896542425.000000,247888773.000000,110047000.000000,841663674.000000,3482795326.000000,12578937198.000000,,6218761645.000000,,7177458241.000000,2604154184.000000,27190378716.000000,12556206857.000000,55746959643.000000,68325896841.000000,,,4400753314.000000,,1172373308.000000,110355635.000000,401807441.000000,670047538.000000,,1220734436.000000,,52775568.000000,,1273510004.000000,772659388.000000,4400753314.000000,6045184430.000000,3044000000.000000,,1578892272.000000,,,1578892272.000000,,1422292158.000000,6045184430.000000,10445937744.000000,,48800000000.000000,1333812447.000000,7184561666.000000,,,7184561666.000000,63162689.000000,498422295.000000,57879959097.000000,68325896841.000000,488000000.000000
12M 2017,,,7846293114.000000,578188280.000000,118606499.000000,715361145.000000,2519586866.000000,11778035904.000000,,11794937569.000000,,4872070498.000000,1620320225.000000,26095973828.000000,24770068317.000000,69153370437.000000,80931406341.000000,,,13730326712.000000,,10245735730.000000,93870153.000000,225231193.000000,676925624.000000,,1702701350.000000,,79854100.000000,,1782555450.000000,706008562.000000,13730326712.000000,8878959496.000000,5501525700.000000,,1215119518.000000,,59006169.000000,1274125687.000000,,2103308109.000000,8878959496.000000,22609286208.000000,,48800000000.000000,1333812447.000000,7805669843.000000,,,7805669843.000000,67836674.000000,314801169.000000,58322120133.000000,80931406341.000000,488000000.000000
