Period,Total Pendapatan,Total Beban Pokok Penjualan,Others,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Laba (Rugi) Atas Penjualan Aset Tetap,Keuntungan Atas Penjualan Entitas Asosiasi,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,16108958349.000000,-7255963935.000000,-7255963935.000000,-7255963935.000000,8852994414.000000,-6429866543.000000,-3046469094.000000,-3383397449.000000,-6429866543.000000,2423127871.000000,-209125592.000000,2242094.000000,-429989170.000000,,,,,218621484.000000,-209125592.000000,2214002279.000000,-1458580930.000000,,-1458580930.000000,-1458580930.000000,755421349.000000,,755421349.000000,,,,,,755421349.000000,755421349.000000,,755421349.000000,,,,
12M 2009,14841834493.000000,-7592232129.000000,-7592232129.000000,-7592232129.000000,7249602364.000000,-6401466904.000000,-2875785185.000000,-3525681719.000000,-6401466904.000000,848135460.000000,-132737997.000000,11665209.000000,-318615437.000000,,,,,174212231.000000,-132737997.000000,715397463.000000,-397613839.000000,-69320385.000000,-328293454.000000,-397613839.000000,317783624.000000,,317783624.000000,,,,,,317783624.000000,317783624.000000,,317783624.000000,,,,
12M 2010,14819382162.000000,-7409385665.000000,-7409385665.000000,-7409385665.000000,7409996497.000000,-7368333540.000000,-3332332162.000000,-4036001378.000000,-7368333540.000000,41662957.000000,191111573.000000,1501011.000000,-230767544.000000,,,,,420378106.000000,191111573.000000,232774530.000000,-93218486.000000,-79140826.000000,-14077660.000000,-93218486.000000,139556044.000000,464399.000000,140020443.000000,,,,,,140020443.000000,139556044.000000,464399.000000,140020443.000000,,,,
12M 2011,15241176563.000000,-7218517051.000000,-7218517051.000000,-7218517051.000000,8022659512.000000,-7450536435.000000,-3323119567.000000,-4127416868.000000,-7450536435.000000,572123077.000000,-136388521.000000,7993304.000000,-422801385.000000,,,,,278419560.000000,-136388521.000000,435734556.000000,-96053734.000000,-139514638.000000,43460904.000000,-96053734.000000,339680822.000000,,339680822.000000,,,,,339680822.000000,339680821.000000,339680821.000000,,339680821.000000,339680821.000000,339680821.000000,,339680821.000000
12M 2012,15700194984.000000,-7830901549.000000,-7830901549.000000,-7830901549.000000,7869293435.000000,-7494242312.000000,-3285047577.000000,-4209194735.000000,-7494242312.000000,375051123.000000,-29391977.000000,8903859.000000,-424052743.000000,,,,,385756907.000000,-29391977.000000,345659146.000000,-91456532.000000,-130812359.000000,39355827.000000,-91456532.000000,254202614.000000,,254202614.000000,,,,,254202614.000000,254202614.000000,254202614.000000,,254202614.000000,254202614.000000,254202614.000000,,254202614.000000
12M 2013,14713308819.000000,-7089221694.000000,-7089221694.000000,-7089221694.000000,7624087125.000000,-8498986467.000000,-3041544885.000000,-5457441582.000000,-8498986467.000000,-874899342.000000,540401290.000000,371464415.000000,-321766513.000000,,,,,490703388.000000,540401290.000000,-334498052.000000,115325857.000000,-12660984.000000,127986841.000000,115325857.000000,-219172195.000000,,-219172195.000000,28659423010.000000,28659423010.000000,,28659423010.000000,28440250815.000000,-219172195.000000,-219172195.000000,,-219172195.000000,28440250814.000000,28440250814.000000,,28440250814.000000
12M 2014,15766320723.000000,-7688007237.000000,-7688007237.000000,-7688007237.000000,8078313486.000000,-8796525781.000000,-2922575638.000000,-5873950143.000000,-8796525781.000000,-718212295.000000,1954665499.000000,1132522474.000000,-209992902.000000,-748094537.000000,,1368095928.000000,,412134536.000000,1954665499.000000,1236453204.000000,-12244990.000000,-341993611.000000,329748621.000000,-12244990.000000,1224208214.000000,,1224208214.000000,,,,,1224208214.000000,1224208214.000000,1224208214.000000,,1224208214.000000,1224208214.000000,1224208214.000000,,1224208214.000000
12M 2015,19325091007.000000,-9162233883.000000,-9162233883.000000,-9162233883.000000,10162857124.000000,-9974856353.000000,-3907197877.000000,-6067658476.000000,-9974856353.000000,188000771.000000,293805092.000000,579349387.000000,-361160607.000000,-242334520.000000,82000000.000000,,38134925.000000,197815907.000000,293805092.000000,481805863.000000,-11543208.000000,-186120887.000000,174577679.000000,-11543208.000000,470262655.000000,,470262655.000000,122002376.000000,,122002376.000000,122002376.000000,592265031.000000,470262655.000000,470483385.000000,-220730.000000,470262655.000000,592265031.000000,592485761.000000,-220730.000000,592265031.000000
12M 2016,24458603650.000000,-11575488594.000000,-11575488594.000000,-11575488594.000000,12883115056.000000,-12520509633.000000,-5653860611.000000,-6866649022.000000,-12520509633.000000,362605423.000000,493942983.000000,326030532.000000,-191307065.000000,304634968.000000,,,,54584548.000000,493942983.000000,856548406.000000,-233745311.000000,-258314218.000000,24568907.000000,-233745311.000000,622803095.000000,,622803095.000000,475806619.000000,,475806619.000000,475806619.000000,1098609714.000000,622803096.000000,735419677.000000,-112616581.000000,622803096.000000,1098609715.000000,1211226296.000000,-112616581.000000,1098609715.000000
12M 2017,22562331131.000000,-10916904324.000000,-10916904324.000000,-10916904324.000000,11645426807.000000,-14875468504.000000,-7215922385.000000,-7659546119.000000,-14875468504.000000,-3230041697.000000,5742023016.000000,280608799.000000,-352230319.000000,5576175927.000000,97207489.000000,,,140261120.000000,5742023016.000000,2511981319.000000,-1035199157.000000,-88089423.000000,-947109734.000000,-1035199157.000000,1476782162.000000,,1476782162.000000,-183621126.000000,,-183621126.000000,-183621126.000000,1293161036.000000,1476782162.000000,1597108177.000000,-120326015.000000,1476782162.000000,1293161036.000000,1413487051.000000,-120326015.000000,1293161036.000000
