Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Investasi Jangka Panjang,Aset Tetap,Properti Investasi,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Pinjaman Jangka Panjang Lainnya,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Obligasi,Pinjaman Jangka Panjang Lainnya,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2011,,,22746807926.000000,167698645347.000000,2149486389.000000,165549158958.000000,167698645347.000000,12964586686.000000,1497645902.000000,11466940784.000000,12964586686.000000,223769008196.000000,39845466111.000000,467024514266.000000,,918791453.000000,381076945.000000,170461184690.000000,,51398144.000000,3257706542.000000,175070157774.000000,642094672040.000000,,,262265342175.000000,189142733264.000000,,2063374451.000000,35025254608.000000,37088629059.000000,5173302045.000000,,,5173302045.000000,5446331189.000000,9605519125.000000,,10191265060.000000,,,5431579533.000000,15622844593.000000,185982900.000000,262265342175.000000,29577479478.000000,12188886748.000000,455129.000000,,,17388137601.000000,29577479478.000000,291842821653.000000,,320858755000.000000,5055754000.000000,,250000000.000000,21696169829.000000,2562167442.000000,-170995884.000000,350251850387.000000,642094672040.000000,641717510.000000
12M 2012,,,57623502602.000000,161966229739.000000,1320381434.000000,160645848305.000000,161966229739.000000,35189085452.000000,1494403292.000000,33694682160.000000,35189085452.000000,288161619484.000000,58115989648.000000,601056426925.000000,,1308400073.000000,530708398.000000,234423362438.000000,1389262500.000000,93331334.000000,3697182654.000000,241442247397.000000,842498674322.000000,,,266783974110.000000,5219413504.000000,,3153683928.000000,107869869067.000000,111023552995.000000,5748780515.000000,,,5748780515.000000,2457126108.000000,8466756461.000000,,125782424288.000000,,,6202272116.000000,131984696404.000000,1883648123.000000,266783974110.000000,208757310589.000000,193084128404.000000,16882083.000000,,,15656300102.000000,208757310589.000000,475541284699.000000,,320858755000.000000,5055754000.000000,,350000000.000000,35660533003.000000,5203343505.000000,-170995884.000000,366957389624.000000,842498674323.000000,641717510.000000
12M 2013,,,59099525867.000000,259510134163.000000,11813536426.000000,247696597737.000000,259510134163.000000,36200143025.000000,4154951294.000000,32045191731.000000,36200143025.000000,410785418867.000000,72019158245.000000,837614380167.000000,,507291510.000000,715661235.000000,266315120697.000000,1317712500.000000,79691500.000000,3315472150.000000,272250949592.000000,1109865329759.000000,,,474339811103.000000,3984493784.000000,,29541013507.000000,77040919657.000000,106581933164.000000,16164651144.000000,,,16164651144.000000,3948245197.000000,9166815975.000000,,319547214013.000000,,,12445420735.000000,331992634748.000000,2501037091.000000,474339811103.000000,254335249728.000000,219886448579.000000,932488303.000000,,,33516312846.000000,254335249728.000000,728675060831.000000,,320858755000.000000,4884758116.000000,,450000000.000000,42897096825.000000,12099658988.000000,,381190268929.000000,1109865329760.000000,641717510.000000
12M 2014,,,36748589318.000000,248485303193.000000,42517736573.000000,205967566620.000000,248485303193.000000,38189248035.000000,6803281627.000000,31385966408.000000,38189248035.000000,443003004703.000000,78946319828.000000,845372465077.000000,,732148523.000000,945445791.000000,318630063545.000000,1246162500.000000,658468922.000000,3167669747.000000,325379959028.000000,1170752424105.000000,,,483247784088.000000,6588190135.000000,,18042736523.000000,46102549963.000000,64145286486.000000,33981251432.000000,,,33981251432.000000,3383430762.000000,8296124341.000000,,347007138940.000000,,,14002322897.000000,361009461837.000000,5844039095.000000,483247784088.000000,291191558773.000000,260713250666.000000,1212620030.000000,,,29265688077.000000,291191558773.000000,774439342861.000000,,320858755000.000000,4884758116.000000,,550000000.000000,53743317785.000000,16276250343.000000,,396313081244.000000,1170752424105.000000,641717510.000000
12M 2015,,,51509256079.000000,250418607191.000000,42141884887.000000,208276722304.000000,250418607191.000000,30061913124.000000,8687001817.000000,21374911307.000000,30061913124.000000,445220208876.000000,74267587333.000000,851477572603.000000,,2921251842.000000,1147960632.000000,338072177252.000000,1174612500.000000,673183188.000000,2727109874.000000,346716295288.000000,1198193867891.000000,,,718198051081.000000,346377779652.000000,,17943515296.000000,39661886004.000000,57605401300.000000,27961036424.000000,,,27961036424.000000,4948749917.000000,6741428196.000000,,257669099119.000000,14116785216.000000,,,271785884335.000000,2777771257.000000,718198051081.000000,79916773299.000000,48801751291.000000,1932808568.000000,,,29182213440.000000,79916773299.000000,798114824380.000000,,320858755000.000000,4884758116.000000,,650000000.000000,55758848383.000000,18410584653.000000,-483902640.000000,400079043512.000000,1198193867892.000000,641717510.000000
12M 2016,,,62292801654.000000,287866446278.000000,63759867322.000000,224106578956.000000,287866446278.000000,35349162804.000000,23949565238.000000,11399597566.000000,35349162804.000000,501735210108.000000,56693202695.000000,943936823539.000000,,3624123427.000000,,332510848915.000000,1103062500.000000,2490469800.000000,5018596885.000000,344747101527.000000,1288683925066.000000,,,821755111705.000000,334879636394.000000,,33101274605.000000,54401401795.000000,87502676400.000000,,34576503288.000000,11507523062.000000,46084026350.000000,4713048426.000000,13629058714.000000,,322216057418.000000,6633895063.000000,,,328849952481.000000,6096712940.000000,821755111705.000000,54429743296.000000,20095290649.000000,3494414815.000000,,,30840037832.000000,54429743296.000000,876184855001.000000,,320858755000.000000,4884758116.000000,,750000000.000000,64219447422.000000,21952780270.000000,-166670743.000000,412499070065.000000,1288683925066.000000,641717510.000000
12M 2017,,,77252208696.000000,294789918370.000000,69469334102.000000,225320584268.000000,294789918370.000000,23263555454.000000,10140053033.000000,13123502421.000000,23263555454.000000,575859991557.000000,66655320203.000000,1037820994280.000000,,5206856201.000000,,323156365786.000000,1031512500.000000,2798266397.000000,4430793118.000000,336623794002.000000,1374444788282.000000,,,873224844014.000000,252898719522.000000,,34772731455.000000,214940865014.000000,249713596469.000000,,33579593519.000000,9710042140.000000,43289635659.000000,3664683436.000000,11740703601.000000,,300901891214.000000,3889899842.000000,,,304791791056.000000,7125714271.000000,873224844014.000000,70954572573.000000,30492569393.000000,2873840145.000000,,,37588163035.000000,70954572573.000000,944179416587.000000,,320858755000.000000,9973754666.000000,,850000000.000000,73623719116.000000,24867122538.000000,92020376.000000,430265371696.000000,1374444788283.000000,641717510.000000
12M 2018,,,131171930453.000000,294480786077.000000,85473238541.000000,209007547536.000000,294480786077.000000,28354696668.000000,7313218065.000000,21041478603.000000,28354696668.000000,685990781449.000000,71374641682.000000,1211372836329.000000,,4652438304.000000,,314172000547.000000,959962500.000000,2352303401.000000,6092513751.000000,328229218503.000000,1539602054832.000000,,,994288048839.000000,234464365743.000000,,37346995351.000000,343514675701.000000,380861671052.000000,,33910083596.000000,10696164913.000000,44606248509.000000,7361740647.000000,9676482114.000000,,309391062576.000000,5324827960.000000,,,314715890536.000000,2601650238.000000,994288048839.000000,100404519947.000000,58666869002.000000,,,,41737650945.000000,100404519947.000000,1094692568786.000000,,320858755000.000000,9973754666.000000,,950000000.000000,82220730980.000000,30962794894.000000,-56549494.000000,444909486046.000000,1539602054832.000000,641717510.000000
12M 2019,,,151527314699.000000,281735796144.000000,100063920455.000000,181671875689.000000,281735796144.000000,29731558221.000000,12611761691.000000,17119796530.000000,29731558221.000000,771319259277.000000,76929455360.000000,1311243383701.000000,,7010709152.000000,,292005931681.000000,888412500.000000,2048233368.000000,6658065850.000000,308611352551.000000,1619854736252.000000,,,1040814841742.000000,821685274610.000000,,35820780954.000000,89138415520.000000,124959196474.000000,,36677934345.000000,29433616900.000000,66111551245.000000,4954894957.000000,10039992092.000000,,6319318174.000000,5369952311.000000,,,11689270485.000000,1374661879.000000,1040814841742.000000,121783517047.000000,71076859754.000000,,,,50706657293.000000,121783517047.000000,1162598358789.000000,,320858755000.000000,9973754666.000000,,1050000000.000000,95619985373.000000,29774276006.000000,-20393582.000000,457256377463.000000,1619854736252.000000,641717510.000000
12M 2020,,,43620574840.000000,347150283284.000000,90759254957.000000,256391028327.000000,347150283284.000000,22904108811.000000,13024747349.000000,9879361462.000000,22904108811.000000,765752458519.000000,270139744875.000000,1449567170329.000000,,9583573138.000000,,259755787477.000000,816862500.000000,1587157603.000000,15586618014.000000,287329998732.000000,1736897169061.000000,,,1086614763328.000000,878903486976.000000,,28479393756.000000,102354423796.000000,130833817552.000000,,36110878939.000000,9760470046.000000,45871348985.000000,3646699271.000000,10934237190.000000,,7819264558.000000,4944246722.000000,,,12763511280.000000,3661662074.000000,1086614763328.000000,277312113375.000000,223521772619.000000,,,,53790340756.000000,277312113375.000000,1363926876703.000000,,320858755000.000000,9973754666.000000,,1150000000.000000,13861457635.000000,27187776683.000000,-61451627.000000,372970292357.000000,1736897169060.000000,641717510.000000
