Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2011,0.34,541.81,0.34,541.73,199 B,12 B,212 B,189 B,205 B
12M 2012,0.31,563.73,0.31,563.58,131 B,193 B,324 B,266 B,334 B
12M 2013,0.30,575.16,0.30,575.04,324 B,220 B,543 B,484 B,363 B
12M 2014,0.29,592.22,0.29,591.19,354 B,261 B,614 B,578 B,362 B
12M 2015,0.27,594.76,0.27,593.71,618 B,49 B,667 B,615 B,133 B
12M 2016,0.25,608.60,0.25,604.71,664 B,20 B,684 B,622 B,122 B
12M 2017,0.24,631.74,0.24,627.38,558 B,30 B,588 B,511 B,165 B
12M 2018,0.25,645.06,0.26,641.39,549 B,59 B,608 B,477 B,217 B
12M 2019,0.22,666.15,0.22,662.96,833 B,71 B,904 B,753 B,270 B
12M 2020,0.21,538.84,0.21,536.37,892 B,224 B,"1,115 B","1,072 B",363 B
12M 2021,0.22,431.38,0.22,431.27,361 B,812 B,"1,173 B","1,136 B",904 B
12M 2022,0.25,330.06,0.25,330.01,867 B,314 B,"1,180 B","1,150 B",367 B
12M 2023,0.47,234.15,0.47,234.14,860 B,307 B,"1,168 B","1,143 B",329 B
