Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Untuk:,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Direksi Dan Karyawan,Total Pembayaran Kas Untuk:,Pembayaran Bunga Dan Beban Keuangan,Pembayaran Pajak Penghasilan,Restitusi Pajak,Penerimaan (Pengeluaran) Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Penerimaan Bunga,Hasil Penjualan Dari Transaksi Jual Dan Sewa-Balik,Penambahan Properti Investasi,Investasi Pada Perusahaan Asosiasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Hasil Dari Pinjaman Bank Jangka Pendek,Penerimaan Dari Pinjaman Jangka Pendek,Pembayaran Pinjaman Bank Jangka Pendek,Hasil Dari Pinjaman Bank Jangka Panjang,Pembayaran Pinjaman Bank Jangka Panjang,Penerimaan Pinjaman Jangka Panjang Lainnya,Penerimaan Liabilitas Sewa,Pembayaran Pinjaman Jangka Panjang Lainnya,Kenaikan (Penurunan) Hutang Sewa Guna Usaha,Pembayaran Dividen Oleh Anak Perusahaan,Pembayaran Bunga Dan Beban Keuangan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2011,15787878475.000000,545694158904.000000,,-418507268427.000000,-105858061964.000000,-524365330391.000000,-1388563480.000000,-8196503333.000000,,4044116775.000000,15787878475.000000,-20912184022.000000,-25483933097.000000,1935271929.000000,170588346.000000,2965888800.000000,,-500000000.000000,-20912184022.000000,15463234093.000000,171951544885.000000,,-145302252239.000000,5320631491.000000,-5000000000.000000,,,,4061932760.000000,,-15568622804.000000,15463234093.000000,10338928546.000000,,12407879379.000000,22746807925.000000
12M 2012,43323124958.000000,758919167358.000000,,-528064586812.000000,-121336142408.000000,-649400729220.000000,-1346700080.000000,-6694703857.000000,,-58153909243.000000,43323124958.000000,-85304624205.000000,-84914565871.000000,787268219.000000,453673447.000000,,-1431000000.000000,-200000000.000000,-85304624205.000000,76858193925.000000,1482097005.000000,,-47380278570.000000,175168601770.000000,-25870455268.000000,,,,-1161323580.000000,-2566870040.000000,-22813577392.000000,76858193925.000000,34876694678.000000,,22746807926.000000,57623502604.000000
12M 2013,-84879758265.000000,886710764477.000000,,-803855001489.000000,-153440074687.000000,-957295076176.000000,,-10657818756.000000,,-3637627810.000000,-84879758265.000000,-57614549554.000000,-78743378655.000000,20563616309.000000,565212792.000000,,,,-57614549554.000000,143970331084.000000,,,-1234919720.000000,171599260881.000000,-6367000000.000000,,,,23864855723.000000,,-43891865800.000000,143970331084.000000,1476023265.000000,,57623502602.000000,59099525867.000000
12M 2014,47145296495.000000,1199088236391.000000,,-962393177060.000000,-177615127390.000000,-1140008304450.000000,,-12536144744.000000,,601509298.000000,47145296495.000000,-81426564804.000000,-109438789551.000000,27550441048.000000,461783699.000000,,,,-81426564804.000000,11930331760.000000,3395946021.000000,,-792249670.000000,243582015455.000000,-179921466680.000000,,,,-4270081759.000000,-2566870040.000000,-47496961567.000000,11930331760.000000,-22350936549.000000,,59099525867.000000,36748589318.000000
12M 2015,134156890685.000000,1122564074416.000000,,-792113359548.000000,-186524424104.000000,-978637783652.000000,,-9769400079.000000,,,134156890685.000000,-56191547006.000000,-57428372977.000000,368695900.000000,868130071.000000,,,,-56191547006.000000,-63204676917.000000,48452802493.000000,,-68098830998.000000,33687557265.000000,-12740706814.000000,,,,-8646716124.000000,-2566870040.000000,-53291912699.000000,-63204676917.000000,14760666762.000000,,36748589318.000000,51509256080.000000
12M 2016,82494120807.000000,1194450414948.000000,,-913680262264.000000,-197760491535.000000,-1111440753799.000000,,-10443099386.000000,9927559044.000000,,82494120807.000000,-33937566005.000000,-41028603914.000000,6617870203.000000,473167706.000000,,,,-33937566005.000000,-37538961439.000000,38936434161.000000,,-43873625316.000000,57419613973.000000,-18265909071.000000,,,,-9550050258.000000,-1925152530.000000,-60280272398.000000,-37538961439.000000,11017593363.000000,-234047790.000000,51509256079.000000,62292801652.000000
12M 2017,212819926508.000000,1597848615735.000000,,-1152015539628.000000,-221662237235.000000,-1373677776863.000000,,-11350912364.000000,,,212819926508.000000,-32147924016.000000,-43375938666.000000,10601580369.000000,626434281.000000,,,,-32147924016.000000,-165453904331.000000,3745698227.000000,,-88089431792.000000,18857714803.000000,-30767261753.000000,,,,-2594458704.000000,-1925152530.000000,-64681012582.000000,-165453904331.000000,15218098161.000000,-258691119.000000,62292801654.000000,77252208696.000000
12M 2018,170012017007.000000,2111053075262.000000,,-1689822275776.000000,-239013616397.000000,-1928835892173.000000,,-12205166082.000000,,,170012017007.000000,-32074217059.000000,-37414558481.000000,4452336473.000000,888004949.000000,,,,-32074217059.000000,-81858602324.000000,,,-30527980911.000000,41045607209.000000,-12415927735.000000,,,,1515049501.000000,-1925152530.000000,-79550197858.000000,-81858602324.000000,56079197624.000000,-2159475866.000000,77252208696.000000,131171930454.000000
12M 2019,-162794506729.000000,2169105264003.000000,,-2066820884491.000000,-248966203672.000000,-2315787088163.000000,,-16112682569.000000,,,-162794506729.000000,-19995262125.000000,-25561044268.000000,4199245401.000000,1366536742.000000,,,,-19995262125.000000,200865327615.000000,595902720218.000000,,-1163911806.000000,26470765075.000000,-317132518725.000000,,,,2317160463.000000,-1925152530.000000,-103603735080.000000,200865327615.000000,18075558761.000000,2279825485.000000,131171930453.000000,151527314699.000000
12M 2020,-171211197066.000000,1225971012767.000000,,-1178043125365.000000,-215155077225.000000,-1393198202590.000000,,-3984007243.000000,,,-171211197066.000000,-8684431968.000000,-11108078894.000000,726576136.000000,1697070790.000000,,,,-8684431968.000000,71773019648.000000,76297535358.000000,,-93341302472.000000,205200000000.000000,-4112864326.000000,,,,-3195922968.000000,,-109074425944.000000,71773019648.000000,-108122609386.000000,215869526.000000,151527314699.000000,43620574839.000000
