Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2011,616394673133.000000,-493503991806.000000,122890681327.000000,-92230726347.000000,-60844687610.000000,-31386038737.000000,,-92230726347.000000,30659954980.000000,-14971588753.000000,832116126.000000,170588346.000000,-3525643655.000000,-15568622805.000000,-118923055.000000,3238896290.000000,-14971588753.000000,15688366227.000000,-3478720988.000000,-4334042422.000000,855321434.000000,-3478720988.000000,12209645239.000000,,,,12209645239.000000,12209645239.000000,12422558804.000000,-212913565.000000,12209645239.000000,12209645239.000000,12422558804.000000,-212913565.000000,12209645239.000000
12M 2012,749972702550.000000,-585170205983.000000,164802496567.000000,-115988271494.000000,-71349510121.000000,-44638761373.000000,,-115988271494.000000,48814225073.000000,-25294837661.000000,470650719.000000,453673447.000000,-12390442224.000000,-22813577392.000000,-50368547.000000,9035226336.000000,-25294837661.000000,23519387412.000000,-6540934345.000000,-6694703857.000000,153769512.000000,-6540934345.000000,16978453067.000000,,,,16978453067.000000,16978453067.000000,16631233001.000000,347220066.000000,16978453067.000000,16978453067.000000,16631233001.000000,347220066.000000,16978453067.000000
12M 2013,984185102135.000000,-711537361541.000000,272647740594.000000,-156419410528.000000,-93951015897.000000,-62468394631.000000,,-156419410528.000000,116228330066.000000,-100029258066.000000,1950572456.000000,565212792.000000,-83585724329.000000,-43891865800.000000,184952837.000000,24747593978.000000,-100029258066.000000,16199072000.000000,-7478525014.000000,-5777025966.000000,-1701499048.000000,-7478525014.000000,8720546986.000000,,,,8720546986.000000,8720546988.000000,7336563822.000000,1383983166.000000,8720546988.000000,8720546988.000000,7336563822.000000,1383983166.000000,8720546988.000000
12M 2014,1185443580242.000000,-943887339715.000000,241556240527.000000,-179000306721.000000,-115060649269.000000,-63939657452.000000,,-179000306721.000000,62555933806.000000,-39928688617.000000,4668072515.000000,461783699.000000,-6424033432.000000,-47496961567.000000,229784556.000000,8632665612.000000,-39928688617.000000,22627245189.000000,-7515713548.000000,-7464682583.000000,-51030965.000000,-7515713548.000000,15111531641.000000,,,,15111531641.000000,15111531640.000000,13513091000.000000,1598440640.000000,15111531640.000000,15111531641.000000,15111531641.000000,,15111531641.000000
12M 2015,1111051293008.000000,-823284082012.000000,287767210996.000000,-187692093458.000000,-110834720362.000000,-76857373096.000000,,-187692093458.000000,100075117538.000000,-77677276182.000000,236324316.000000,868130071.000000,-39060907250.000000,-53291912699.000000,202514841.000000,13368574539.000000,-77677276182.000000,22397841356.000000,-8932127893.000000,-8812140722.000000,-119987171.000000,-8932127893.000000,13465713463.000000,-1083018848.000000,-1083018848.000000,-1083018848.000000,12382694615.000000,13465713464.000000,11041925957.000000,2423787507.000000,13465713464.000000,12382694616.000000,10157031693.000000,2225662923.000000,12382694616.000000
12M 2016,1221519096811.000000,-946369710149.000000,275149386662.000000,-207949829533.000000,-129416573385.000000,-78533256148.000000,,-207949829533.000000,67199557129.000000,-43837113595.000000,1194703545.000000,473167706.000000,13178672825.000000,-61345447564.000000,-447960632.000000,3109750525.000000,-43837113595.000000,23362443534.000000,-9329017013.000000,-8507227348.000000,-821789665.000000,-9329017013.000000,14033426521.000000,-753422603.000000,-753422603.000000,-753422603.000000,13280003918.000000,14033426519.000000,11471473842.000000,2561952677.000000,14033426519.000000,13280003916.000000,10802983465.000000,2477020451.000000,13280003916.000000
12M 2017,1600432168098.000000,-1291873066620.000000,308559101478.000000,-210490462951.000000,-133841593699.000000,-76648869252.000000,,-210490462951.000000,98068638527.000000,-72259791942.000000,372929818.000000,626434281.000000,-5604230066.000000,-64681012582.000000,,-2973913393.000000,-72259791942.000000,25808846585.000000,-9250283886.000000,-10751898546.000000,1501614660.000000,-9250283886.000000,16558562699.000000,-2130860987.000000,-2130860987.000000,-2130860987.000000,14427701712.000000,16558562698.000000,12567319217.000000,3991243481.000000,16558562698.000000,14427701711.000000,11688115343.000000,2739586368.000000,14427701711.000000
12M 2018,2107868384272.000000,-1757395964083.000000,350472420189.000000,-205750725612.000000,-138012338876.000000,-82559911864.000000,14821525128.000000,-205750725612.000000,144721694577.000000,-114879828222.000000,,,,-79550197858.000000,,-35329630364.000000,-114879828222.000000,29841866355.000000,-11361489897.000000,-13237170063.000000,1875680166.000000,-11361489897.000000,18480376458.000000,-1757109578.000000,-1757109578.000000,-1757109578.000000,16723266880.000000,18480376458.000000,11731418278.000000,6748958180.000000,18480376458.000000,16723266880.000000,10473594524.000000,6249672356.000000,16723266880.000000
12M 2019,2151323988585.000000,-1827626415501.000000,323697573084.000000,-185528883623.000000,-149926800093.000000,-75874315382.000000,40272231852.000000,-185528883623.000000,138168689461.000000,-109334794559.000000,,,,-103603735080.000000,,-5731059479.000000,-109334794559.000000,28833894902.000000,-11614850360.000000,-13236161582.000000,1621311222.000000,-11614850360.000000,17219044542.000000,-2947000593.000000,-2947000593.000000,-2947000593.000000,14272043949.000000,17219044542.000000,18513517446.000000,-1294472904.000000,17219044542.000000,14272043948.000000,15460562836.000000,-1188518888.000000,14272043948.000000
12M 2020,1286059282439.000000,-1085721445836.000000,200337836603.000000,-152720309227.000000,-123595053770.000000,-59015063114.000000,29889807657.000000,-152720309227.000000,47617527376.000000,-122284848739.000000,,,,-109074425944.000000,,-13210422795.000000,-122284848739.000000,-74667321363.000000,-2911155020.000000,-3984007243.000000,1072852223.000000,-2911155020.000000,-77578476383.000000,-3347028368.000000,-3347028368.000000,-3347028368.000000,-80925504751.000000,-77578476383.000000,-76987283804.000000,-591192579.000000,-77578476383.000000,-80925504751.000000,-78339005428.000000,-2586499323.000000,-80925504751.000000
