Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Transaksi Pembiayaan,Penerimaan Dari Pendapatan Bunga,Penerimaan Jasa Manajer Investasi,Penerimaan (Pembayaran) Atas Kegiatan Perantara Perdagangan Efek,Penerimaan Jasa Penasihat Investasi Dan Penjamin Emisi,Penerimaan Pelanggan,Piutang Lain-Lain,Penerimaan Dari Pendapatan Sewa,Penerimaan Premi,Penerimaan Klaim Reasuransi,Penerimaan Klaim Asuransi,Pembayaran Untuk Transaksi Pembiayaan,Pembayaran Premi Reasuransi,Pembayaran Klaim,Penerimaan Komisi,Pembayaran Komisi,Pembayaran Beban Operasional,Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Total Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Pajak Penghasilan,Pembayaran Beban Keuangan,Pembayaran Piutang Lain-Lain,Pencairan (Penempatan Pada) Deposito Berjangka Yang Dibatasi Penggunaannya,Penerimaan (Pembayaran) Kas Untuk Aktivitas Operasi Lainnya,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Atas Penjualan Aset Tetap,Penerimaan Atas Penjualan (Penempatan Pada) Portofolio Efek Pada Nilai Wajar Melalui Laba Rugi,Penerimaan Aset Keuangan Diukur Pada Biaya Perolehan Diamortisasi,Penerimaan Hasil Investasi,Perolehan Properti Investasi,Penerimaan Bunga,Penerimaan Dari Klaim Asuransi,Penempatan Pada Deposito Yang Dibatasi Penggunaannya,Pencairan Deposito Berjangka,Penyertaan Saham,Perolehan Aset Tetap,Akuisisi Entitas Anak,Penerimaan Dari Pelepasan Kepentingan Di Entitas Anak Tanpa Hilangnya Pengendalian Dari Kegiatan Investasi,Perolehan Aset Dimiliki Untuk Dijual,Penerimaan Dividen,Penempatan Investasi Pada Entitas Anak,Perolehan Investasi Pada Entitas Anak,Penerimaan Investasi Lainnya,Perolehan Investasi Pada Entitas Asosiasi,Penempatan Investasi Pada Entitas Asosiasi,Penerimaan Atas Penjualan (Perolehan) Saham Entitas Anak - Bersih,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,(Pembayaran Atas) Penerimaan Pinjaman Bank,Setoran Modal,Penerimaan Liabilitas Sewa,Penerimaan Dari Penjualan Saham Treasuri Entitas Anak,Penempatan Investasi,Penerimaan Dari Penawaran Umum Terbatas,Penerimaan Pinjaman Pihak Ketiga,Penerimaan Tambahan Modal Disetor,Penurunan Modal,Pembayaran Beban Emisi Saham Entitas Anak,Pembayaran Pinjaman Pihak Ketiga,Penerimaan Dari Jual Dan Sewa-Balik,Penerimaan Dari Penjualan Kepentingan Saham Entitas Anak Kepada Kepentingan Non-Pengendali,Penerimaan Melalui Penambahan Modal Tanpa Hmetd,Pembayaran Kepada Pemegang Saham Atas Penurunan Nilai Modal,Setoran Modal Dari Kepentingn Non-Pengendali,Pembayaran Atas Saham Entitas Anak Kepada Kepentingan Non-Pengendali,Pembayaran Dividen Kas Entitas Induk,Pembayaran Dividen Kas,Pembayaran Transaksi Saham Treasuri Anak Perusahaan,Pembayaran Untuk Akuisisi Saham Entitas Anak Kepada Kepentingan Non-Pengendali,Penerimaan (Pembayaran) Dari Pihak Berelasi,Penerimaan Dividen Dari Entitas Asosiasi,Penerimaan Dividen Kas,Pembayaran Dividen Kas Kepada Kepentingan Non-Pengendali,Penerimaan (Pembayaran) Efek Utang Yang Diterbitkan,Pembayaran Beban Emisi Efek Utang Yang Diterbitkan,Pembayaran Saham Treasuri,Pembayaran Atas Utang Sewa Pembiayaan,Adjustment,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Pengaruh Selisih Kurs Atas Mata Uang Asing,Cerukan,Kas Dan Setara Kas Entitas Anak Saat Divestasi,Kas Dan Setara Kas Akhir Periode
12M 2013,60768708737.000000,139284333201.000000,5514311398.000000,79455558931.000000,39245524905.000000,996852597.000000,,,,33686747629.000000,2713278317.000000,,-116931456252.000000,-965108568.000000,-15692166419.000000,,-9845691414.000000,,,-86832200356.000000,-44130358090.000000,-130962558446.000000,-16455219198.000000,,,50724302056.000000,,,60768708737.000000,108407972957.000000,1120004168.000000,-36393911392.000000,,,,,,,,,-4206603877.000000,,,,,,,,,,147888484058.000000,,108407972957.000000,-262177897164.000000,-42191429869.000000,21608000000.000000,,,,,,,,,,,,,-200637810000.000000,,,,-38000000000.000000,,,,,,-2900198790.000000,,,,-56458505.000000,,,-262177897164.000000,-93001215470.000000,177109102651.000000,,,,84107887181.000000
12M 2014,52034686874.000000,,14017607967.000000,104821833965.000000,23195090442.000000,574167035.000000,,,,,,,,,,,,,,-40360773244.000000,-41363716831.000000,-81724490075.000000,-8849522460.000000,,,,,,52034686874.000000,-93921824839.000000,544000000.000000,-92700414426.000000,,,,,,,,,-1765410413.000000,,,,,,,,,,,,-93921824839.000000,29442952439.000000,,36823477500.000000,,,,,,,,,,,,,,,,,,,,,,,-7380525061.000000,,,,,,,29442952439.000000,-12444185526.000000,84107887181.000000,,,,71663701655.000000
12M 2015,52140091494.000000,,3579730415.000000,197794128210.000000,22847992416.000000,,,,510000000.000000,,,,,,,,,,,-106890825499.000000,-47998271717.000000,-154889097216.000000,-17702662331.000000,,,,,,52140091494.000000,-128107874862.000000,2012909091.000000,-122404175923.000000,,,-6658007594.000000,,,,,,-1028060436.000000,-30540000.000000,,,,,,,,,,,-128107874862.000000,45736416045.000000,,,,,,,,,,,,,,,,,,,,,,56489210345.000000,,,-10752794300.000000,,,,,,,45736416045.000000,-30231367323.000000,71663701655.000000,,,,41432334332.000000
12M 2016,46999718471.000000,,1927744439.000000,218769608834.000000,17871672940.000000,,,,,,,,,,,,,,,-118883318313.000000,-51517298549.000000,-170400616862.000000,-21168690880.000000,,,,,,46999718471.000000,-5010924327.000000,833599472.000000,-5008290653.000000,,,,,,,,,-836233146.000000,,,,,,,,,,,,-5010924327.000000,-42592227683.000000,,,,,,,,,,,,,,,,,,,,,,-45716518464.000000,10292814315.000000,,-7168523534.000000,,,,,,,-42592227683.000000,-603433539.000000,41432334332.000000,,,-6031600.000000,40822869193.000000
12M 2017,74272619078.000000,,2506433577.000000,258628767682.000000,24649888083.000000,,,,,,,,,,,,,,,-137702168687.000000,-53763670385.000000,-191465839072.000000,-20046631192.000000,,,,,,74272619078.000000,-57148701597.000000,261973977.000000,5854384426.000000,,,,,,,,,-430152000.000000,,,,,,,,-62834908000.000000,,,,-57148701597.000000,-7968895381.000000,,,,,,,,,,,,,,,,,,,,,,-4820725883.000000,10292814315.000000,,-13440983813.000000,,,,,,,-7968895381.000000,9155022100.000000,40822869193.000000,,,,49977891293.000000
12M 2018,69540358226.000000,,2064468496.000000,285713622889.000000,22141107170.000000,,,,,,,,,,,,,,,-163110921914.000000,-47220857698.000000,-210331779612.000000,-30047060717.000000,,,,,,69540358226.000000,-49923026879.000000,412261429.000000,-7984460105.000000,,,,,,,,,-993628797.000000,,,,,,,,-41357199406.000000,,,,-49923026879.000000,-13204609339.000000,,,,,,,,,,,,,,,,,,,,,,,,45584259.000000,-8395599638.000000,,,-4854593960.000000,,,,-13204609339.000000,6412722008.000000,49977891293.000000,,,,56390613301.000000
12M 2019,163324215769.000000,330586253521.000000,4938231840.000000,343774481686.000000,15753823229.000000,,,,160151108259.000000,,1730937875.000000,,,,,,,,,,-529382579222.000000,-529382579222.000000,-42830826593.000000,-102308992571.000000,,,-19088222255.000000,,163324215769.000000,-378283828563.000000,34277310448.000000,42467453605.000000,,,,,,-314164767.000000,1650000000.000000,,-25007807169.000000,,,,177237220.000000,-412765473900.000000,,,,-18768384000.000000,,,-378283828563.000000,183202423033.000000,4712403152.000000,313389458000.000000,,,,,4142729349.000000,,,,-257890770.000000,,,,,,,,,,,,,,-16404124281.000000,,,,-122380152417.000000,,,183202423033.000000,-31757189761.000000,171622184845.000000,,,,139864995084.000000
12M 2020,563848994485.000000,692043238632.000000,13505200822.000000,343996785738.000000,2010355299.000000,,,,161022204978.000000,351596307267.000000,128120415281.000000,1225002500.000000,,-259271940338.000000,-197471724890.000000,,18188442326.000000,,,,-524150033554.000000,-524150033554.000000,-47258238707.000000,-92340108923.000000,,,-27366911946.000000,,563848994485.000000,-44898926789.000000,45673451960.000000,-35871766025.000000,,,,,,-90853562.000000,,,-15504689012.000000,,,,95840000.000000,-39200910150.000000,,,,,,,-44898926789.000000,-545452707745.000000,-235115174522.000000,,,2748264816.000000,,,1872277515.000000,,,,-858567092.000000,,,,,,,,,,,,,,-11201301973.000000,-193500000000.000000,-2737450000.000000,,-106660756489.000000,,,-545452707745.000000,-26502640049.000000,165862810773.000000,,,,139360170724.000000
12M 2021,440875923274.000000,476045936950.000000,12394988211.000000,420145854788.000000,72358878.000000,,,,200874460004.000000,345842036107.000000,171750995411.000000,1439244250.000000,,-274030562389.000000,-248751278705.000000,,28108505750.000000,,,,-561852560839.000000,-561852560839.000000,-46499616253.000000,-51645122028.000000,,,-33019316861.000000,,440875923274.000000,-187241065484.000000,46021607148.000000,-132603516699.000000,,,,,,,6826260661.000000,,-107562816594.000000,,,,77400000.000000,,,,,,,,-187241065484.000000,-266143144622.000000,65081974370.000000,,,302943622.000000,,,290307776681.000000,,,,-2595592244.000000,5849506666.000000,4819462755.000000,,,,,,,,,,,,-14170773180.000000,-396500000000.000000,,-128431620000.000000,-90806823292.000000,,,-266143144622.000000,-12508286832.000000,139360170724.000000,,,,126851883892.000000
12M 2022,329415738998.000000,138426802797.000000,17406421614.000000,475981041604.000000,,,,,357690651504.000000,524344466898.000000,212996387359.000000,332832625.000000,,-431854147201.000000,-251459791150.000000,,53775277118.000000,,,,-573790468312.000000,-573790468312.000000,-68095072289.000000,-80852855005.000000,,,-45485808564.000000,,329415738998.000000,904043998065.000000,62119961059.000000,59463520926.000000,,,,,,,500000000.000000,,-221360701429.000000,,1024539233703.000000,-21226092210.000000,,8076016.000000,,,,,,,904043998065.000000,-631658233405.000000,-1729356461.000000,,,,,,,,,,-72278747996.000000,35000000000.000000,21117831559.000000,,,,,-59797844792.000000,,,-37090733717.000000,,,,-15004463141.000000,,-1381433376.000000,-385861440000.000000,-114632045481.000000,,,-631658233405.000000,601801503658.000000,126851883892.000000,,,,728653387550.000000
