Period,Aset,Kas Dan Setara Kas,Deposito Berjangka,Deposito Pada Lembaga Kliring Dan Penjaminan,Piutang Nasabah,Pihak Ketiga,Pihak Berelasi,Total Piutang Nasabah,Piutang Sewa Pembiayaan,Piutang Pembiayaan Konsumen,Piutang Pada Lembaga Kliring Dan Penjaminan,Piutang Premi,Piutang Reasuransi,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Portofolio Efek,Others,Total Portofolio Efek,Aset Reasuransi,Premi Yang Belum Merupakan Pendapatan,Others,Total Aset Reasuransi,Persediaan,Properti Investasi,Aset Tetap,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Adjustment,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Utang Nasabah,Pihak Ketiga,Total Utang Nasabah,Utang Pada Lembaga Kliring Dan Penjaminan,Utang Pajak,Beban Akrual,Pihak Ketiga,Pihak Berelasi,Total Beban Akrual,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Bank,Utang Sewa Pembiayaan,Utang Reasuransi,Utang Klaim,Liabilitas Kontrak Asuransi,Premi Yang Belum Merupakan Pendapatan,Estimasi Liabilitas Klaim,Total Liabilitas Kontrak Asuransi,Utang Dari Pihak Ketiga,Liabilitas Pajak Tangguhan,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Adjustment,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,84107887181.000000,2700000000.000000,2691592707.000000,,24983618178.000000,6866293178.000000,31849911356.000000,,,20316965500.000000,,,,11975853630.000000,,11975853630.000000,,114425366021.000000,114425366021.000000,,,,,,,5189729899.000000,,2829128048.000000,,2933206333.000000,279019640675.000000,,,22675510961.000000,22675510961.000000,22675510961.000000,14833016000.000000,2576328406.000000,4089362179.000000,,,4089362179.000000,1160417066.000000,1159851868.000000,565198.000000,1160417066.000000,,,,,,,,,,,9424153738.000000,54758788350.000000,,43901090000.000000,-6494543031.000000,172134004562.000000,300000000.000000,171834004562.000000,172134004562.000000,,15085367385.000000,-365066591.000000,224260852325.000000,279019640675.000000,439010900.000000
12M 2014,,71663701655.000000,5599475484.000000,,,64211662482.000000,14204772258.000000,78416434740.000000,,,116086033800.000000,,,,305561848.000000,,305561848.000000,,223868240837.000000,223868240837.000000,,,,,,,4566182074.000000,,3312259997.000000,,5350048469.000000,509167938904.000000,,,120387273247.000000,120387273247.000000,120387273247.000000,55171109300.000000,4945713460.000000,5543041005.000000,,,5543041005.000000,990537894.000000,990537894.000000,,990537894.000000,,,,,,,,,,,13393823354.000000,200431498260.000000,,51401090000.000000,22828934469.000000,218019021432.000000,300000000.000000,217719021432.000000,218019021432.000000,,16938917069.000000,-451522326.000000,308736440644.000000,509167938904.000000,514010900.000000
12M 2015,,41432334332.000000,6126734985.000000,,,64107087614.000000,13602622248.000000,77709709862.000000,,,13888258200.000000,,,,1314195790.000000,,1314195790.000000,,90845148242.000000,90845148242.000000,,,,,,6555040754.000000,2470724822.000000,277468176541.000000,3023916238.000000,,30250204531.000000,551084444297.000000,,,88676171036.000000,88676171036.000000,88676171036.000000,16290460900.000000,5784152338.000000,6234956856.000000,5885398797.000000,349558059.000000,6234956856.000000,56608034681.000000,118824336.000000,56489210345.000000,56608034681.000000,,,,,,,,,,,11349590618.000000,184943366429.000000,,51401090000.000000,22849344469.000000,277211769238.000000,300000000.000000,276911769238.000000,277211769238.000000,,15130379643.000000,-451505482.000000,366141077868.000000,551084444297.000000,514010900.000000
12M 2016,,40822869193.000000,7720867363.000000,,,30658965527.000000,15200678056.000000,45859643583.000000,,,20927425900.000000,,,,9115925128.000000,,9115925128.000000,,101923926544.000000,101923926544.000000,,,,,,,1571124989.000000,278956640821.000000,3714204968.000000,,3091657777.000000,513704286266.000000,,,41007648315.000000,41007648315.000000,41007648315.000000,15511054700.000000,3805909184.000000,8023968960.000000,7828452425.000000,195516535.000000,8023968960.000000,4050032189.000000,181746528.000000,3868285661.000000,4050032189.000000,,,,,,,,,,,13833856387.000000,86232469735.000000,,51401090000.000000,23036338950.000000,336103758140.000000,325000000.000000,335778758140.000000,336103758140.000000,,17382134923.000000,-451505482.000000,427471816531.000000,513704286266.000000,514010900.000000
12M 2017,,49977891293.000000,7896582034.000000,,,40300860559.000000,43757132646.000000,84057993205.000000,,,12397015400.000000,,,516524745.000000,,,516524745.000000,,104662609345.000000,104662609345.000000,,,,,,,2895377548.000000,363114008516.000000,4186298165.000000,,35537861382.000000,665242161633.000000,,,101061130542.000000,101061130542.000000,101061130542.000000,4361456300.000000,10774506025.000000,10351834323.000000,10351834323.000000,,10351834323.000000,282558981.000000,282558981.000000,,282558981.000000,,,,,,,,,,,17585002309.000000,144416488480.000000,,51401090000.000000,23046338950.000000,415224103760.000000,325000000.000000,414899103760.000000,415224103760.000000,,16743805862.000000,14410334581.000000,520825673153.000000,665242161633.000000,514010900.000000
12M 2018,,56390613301.000000,8071242332.000000,,,27774493523.000000,24124198905.000000,51898692428.000000,,,701101700.000000,,,3693148820.000000,,,3693148820.000000,,116266310661.000000,116266310661.000000,,,,,,,2919225267.000000,422847854170.000000,3941682927.000000,,2592442971.000000,669322314577.000000,,,42904062939.000000,42904062939.000000,42904062939.000000,989137100.000000,4162756463.000000,3471860775.000000,3471860775.000000,,3471860775.000000,282136020.000000,282136020.000000,,282136020.000000,,,,,,,,,,,16534077298.000000,68344030595.000000,,51401090000.000000,23046338950.000000,506344927785.000000,325000000.000000,506019927785.000000,506344927785.000000,,12369153858.000000,7816773389.000000,600978283982.000000,669322314577.000000,514010900.000000
12M 2019,,139864995084.000000,7235407099.000000,,,72630462858.000000,37002864410.000000,109633327268.000000,281854472303.000000,1132423264728.000000,1509972400.000000,,,87784960771.000000,,,87784960771.000000,,95810196988.000000,95810196988.000000,,,,,67153508.000000,,625028308487.000000,38672027152.000000,7371922310.000000,,168215905322.000000,2695471913420.000000,,,95057874214.000000,95057874214.000000,95057874214.000000,914836500.000000,19745522066.000000,38274233494.000000,37289715000.000000,984518494.000000,38274233494.000000,1262372694.000000,1262372694.000000,,1262372694.000000,452633472529.000000,210654704179.000000,,,,,,,6524510048.000000,6089372332.000000,642946070923.000000,1474102968979.000000,,56222466200.000000,331614420750.000000,628876960962.000000,325000000.000000,628551960962.000000,628876960962.000000,,280247246467.000000,-75592149938.000000,1221368944441.000000,2695471913420.000000,562224662.000000
12M 2020,,150296214646.000000,7826260661.000000,,,1353403696.000000,41648676696.000000,43002080392.000000,240898353833.000000,849060792020.000000,266200.000000,101102012750.000000,25501355750.000000,107836261402.000000,,,107836261402.000000,,239923723063.000000,239923723063.000000,,104277547793.000000,116033977158.000000,220311524951.000000,235477155.000000,,666776903411.000000,,11912705657.000000,,134223298295.000000,2798907230186.000000,,,25380073054.000000,25380073054.000000,25380073054.000000,28047400.000000,16438087823.000000,34008289730.000000,34008289730.000000,,34008289730.000000,19980289238.000000,19980289238.000000,,19980289238.000000,230881676424.000000,,66979010812.000000,24540429783.000000,281202700451.000000,143395487337.000000,137807213114.000000,281202700451.000000,7538220471.000000,5973527318.000000,697871649453.000000,1410822001957.000000,,56222466200.000000,331664512250.000000,721115529701.000000,325000000.000000,720790529701.000000,721115529701.000000,,322581912014.000000,-43499191936.000000,1388085228229.000000,2798907230186.000000,562224662.000000
12M 2021,,134525607037.000000,1000000000.000000,,,1248585968.000000,42023838186.000000,43272424154.000000,228565109941.000000,663247193022.000000,,112238509795.000000,36216731651.000000,77797114910.000000,,,77797114910.000000,,381930685507.000000,381930685507.000000,,87763034015.000000,111512053949.000000,199275087964.000000,308484331.000000,,946243187018.000000,,10044794983.000000,,129404086500.000000,2964069016813.000000,,,28253265471.000000,28253265471.000000,28253265471.000000,,18565746993.000000,36775222645.000000,36775222645.000000,,36775222645.000000,16125266211.000000,16125266211.000000,,16125266211.000000,294691387484.000000,,77447549611.000000,18260711590.000000,260176297137.000000,134750426742.000000,125425870395.000000,260176297137.000000,295914468227.000000,7678292007.000000,490894312977.000000,1544782520353.000000,,56222466200.000000,332959933485.000000,867885538932.000000,325000000.000000,867560538932.000000,867885538932.000000,,326586906753.000000,-164368348910.000000,1419286496460.000000,2964069016813.000000,562224662.000000
12M 2022,,728653387550.000000,,,,5886713460.000000,37134638075.000000,43021351535.000000,,,,208811415940.000000,11307075348.000000,10133761888.000000,,,10133761888.000000,,543654719828.000000,543654719828.000000,,231041176547.000000,178493439246.000000,409534615793.000000,614356661.000000,7302000000.000000,1164087322589.000000,,12398141845.000000,,139226313547.000000,3278744462524.000000,,,30462164081.000000,30462164081.000000,30462164081.000000,,9263862395.000000,20061150473.000000,20061150473.000000,,20061150473.000000,33323668079.000000,33323668079.000000,,33323668079.000000,225574135752.000000,,141175580222.000000,9854145398.000000,531102271575.000000,327508358734.000000,203593912841.000000,531102271575.000000,,9658770863.000000,796582527972.000000,1807058276810.000000,,51549866200.000000,39893944246.000000,1422896356880.000000,325000000.000000,1422571356880.000000,1422896356880.000000,,105153556875.000000,-147807538487.000000,1471686185714.000000,3278744462524.000000,515498662.000000
