Period,Total Pendapatan,Pendapatan Pembiayaan Konsumen,Administrasi,Pendapatan Bunga,Keuntungan Atas Perdagangan Efek,Komisi Dari Transaksi Perantara Pedagang Efek,Pendapatan Sewa Pembiayaan,Pendapatan Premi,Jasa Penjaminan Emisi Dan Penjualan Efek,Others,Total Pendapatan,Total Beban Usaha,Beban Pemasaran,Beban Tenaga Kerja,Beban Umum Dan Administrasi,Beban Keuangan,Pembentukan Cadangan Kerugian Penurunan Nilai,Beban Penyusutan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Kerugian Penurunan Nilai Atas Aset Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2013,162582931920.000000,16449173372.000000,9410467947.000000,2890728348.000000,10019184510.000000,24262412386.000000,3373259865.000000,8578960519.000000,996852597.000000,86601892376.000000,162582931920.000000,-119616181975.000000,-46872135920.000000,-47216760910.000000,-21083759209.000000,,,-4443525936.000000,,-119616181975.000000,42966749945.000000,-3905142841.000000,-8057635960.000000,5514311398.000000,-1361818279.000000,,,-3905142841.000000,39061607104.000000,-8438159500.000000,30623447604.000000,2065904786.000000,2065904786.000000,2065904786.000000,32689352390.000000,30623447604.000000,27107058526.000000,3516389078.000000,30623447604.000000,32689352390.000000,29074228140.000000,3615124250.000000,32689352390.000000
12M 2014,158109219411.000000,,,2118796430.000000,6432827148.000000,16451220199.000000,,,,133106375634.000000,158109219411.000000,-109265351659.000000,-49194101384.000000,-41363716831.000000,-16318575206.000000,,,-2388958238.000000,,-109265351659.000000,48843867752.000000,13710301958.000000,-307306009.000000,14017607967.000000,,,,13710301958.000000,62554169710.000000,-10208501839.000000,52345667871.000000,-1054740216.000000,-1054740216.000000,-1054740216.000000,51290927655.000000,52345667871.000000,46925130486.000000,5420537385.000000,52345667871.000000,51290927655.000000,45885016870.000000,5405910785.000000,51290927655.000000
12M 2015,225364734936.000000,,,2032490865.000000,9246300520.000000,12887734176.000000,67500000.000000,,,201130709375.000000,225364734936.000000,-162013918352.000000,-87047725987.000000,-47998271717.000000,-24457992190.000000,,,-2509928458.000000,,-162013918352.000000,63350816584.000000,13478679169.000000,-783665856.000000,3579730415.000000,,10682614610.000000,,13478679169.000000,76829495753.000000,-18012709702.000000,58816786051.000000,9320185352.000000,9320185352.000000,9320185352.000000,68136971403.000000,58816786051.000000,49867190213.000000,8949595838.000000,58816786051.000000,68136971403.000000,59192747806.000000,8944223597.000000,68136971403.000000
12M 2016,244783292960.000000,,,2859689665.000000,11482183183.000000,4881824720.000000,94999998.000000,,,225464595394.000000,244783292960.000000,-170847159815.000000,-91400825498.000000,-51517298549.000000,-26480231478.000000,,,-1448804290.000000,,-170847159815.000000,73936133145.000000,13092521191.000000,-566723011.000000,1927744439.000000,,11731499763.000000,,13092521191.000000,87028654336.000000,-18568351434.000000,68460302902.000000,35815878.000000,35815878.000000,35815878.000000,68496118780.000000,68460302902.000000,58970020178.000000,9490282724.000000,68460302902.000000,68496118780.000000,59075790188.000000,9420328592.000000,68496118780.000000
12M 2017,300458900059.000000,,,1639745029.000000,13186736326.000000,11340210226.000000,,,,274292208478.000000,300458900059.000000,-202683951449.000000,-118474145474.000000,-53763670385.000000,-29736598675.000000,,,-709536915.000000,,-202683951449.000000,97774948610.000000,19574120424.000000,-428840086.000000,2361870418.000000,,17641090092.000000,,19574120424.000000,117349069034.000000,-24671424763.000000,92677644271.000000,14107196164.000000,14107196164.000000,14107196164.000000,106784840435.000000,92677644271.000000,79905399479.000000,12772244792.000000,92677644271.000000,106784840435.000000,93982185683.000000,12802654752.000000,106784840435.000000
12M 2018,299995978301.000000,,,534319632.000000,16386431828.000000,5443507631.000000,,,,277631719210.000000,299995978301.000000,-203262173188.000000,-121101726259.000000,-47220857697.000000,-34059871501.000000,,,-879717731.000000,,-203262173188.000000,96733805113.000000,26789900099.000000,-360647684.000000,2433734100.000000,,24716813683.000000,,26789900099.000000,123523705212.000000,-25389167988.000000,98134537224.000000,-4895657797.000000,-4895657797.000000,-4895657797.000000,93238879427.000000,98134537224.000000,88182522057.000000,9952015167.000000,98134537224.000000,93238879427.000000,83114271106.000000,10124608321.000000,93238879427.000000
12M 2019,939480334483.000000,237992539606.000000,111626254143.000000,,12704866489.000000,7148984546.000000,43404804666.000000,,,526602885033.000000,939480334483.000000,-585636969111.000000,-183260418820.000000,-180839551559.000000,-113065031459.000000,,,-12431218035.000000,-96040749238.000000,-585636969111.000000,353843365372.000000,-144367051004.000000,-141343612725.000000,5148077141.000000,-27647113381.000000,56332414.000000,19419265547.000000,-144367051004.000000,209476314368.000000,-54734561207.000000,154741753161.000000,5870662566.000000,5870662566.000000,5870662566.000000,160612415727.000000,154741753161.000000,122325866541.000000,32415886620.000000,154741753161.000000,160612415727.000000,126316377663.000000,34296038064.000000,160612415727.000000
12M 2020,892483331753.000000,196455100510.000000,91859598968.000000,13160116143.000000,1660905900.000000,-599367540.000000,40957378606.000000,,,548989599166.000000,892483331753.000000,-728357259773.000000,-167103451676.000000,-197174363958.000000,-102945544083.000000,-117884088166.000000,-22704854573.000000,-21755301235.000000,-98789656082.000000,-728357259773.000000,164126071980.000000,,,,,,,,164126071980.000000,-45217324035.000000,118908747945.000000,264849992.000000,264849992.000000,264849992.000000,119173597937.000000,118908747945.000000,94172498996.000000,24736248949.000000,118908747945.000000,119173597937.000000,94446232316.000000,24727365621.000000,119173597937.000000
12M 2021,951217341694.000000,159003648633.000000,62954355691.000000,11877961772.000000,,9527465786.000000,38598020319.000000,,,669255889493.000000,951217341694.000000,-741163988500.000000,-206774782558.000000,-195447855932.000000,-94588157484.000000,-88216204858.000000,-11919564823.000000,-21754017141.000000,-122463405704.000000,-741163988500.000000,210053353194.000000,,,,,,,,210053353194.000000,-51021869440.000000,159031483754.000000,8234900438.000000,8234900438.000000,8234900438.000000,167266384192.000000,159031483754.000000,126953259453.000000,32078224301.000000,159031483754.000000,167266384192.000000,133064194236.000000,34202189956.000000,167266384192.000000
12M 2022,839071100120.000000,,,16257421224.000000,,3105619007.000000,,,,819708059889.000000,839071100120.000000,-693589090849.000000,-240139758504.000000,-117006978394.000000,-58664476756.000000,-68772750941.000000,-11954524967.000000,-6715755775.000000,-190334845512.000000,-693589090849.000000,145482009271.000000,,,,,,,,145482009271.000000,-40460809858.000000,630154605091.000000,118978500780.000000,118978500780.000000,118978500780.000000,749133105871.000000,630154605091.000000,600227349123.000000,29927255968.000000,630154605091.000000,749133105871.000000,718116041794.000000,31017064077.000000,749133105871.000000
