Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Bunga,Pembayaran Bunga,Penerimaan Provisi Dan Komisi,Pembayaran Provisi Dan Komisi,Pembayaran Beban Karyawan,Pembayaran Imbalan Pasca-Kerja,Pembayaran Beban Lainnya,Pembayaran Pajak Penghasilan,Pembayaran Pesangon,Penerimaan Kas Dari Penjualan Kredit Bermasalah,Pembayaran Surat Ketetapan Pajak Dan Surat Tagihan Pajak,Pendapatan Trading - Bersih,Pendapatan Operasional Lainnya,Pengeluaran Lainnya,Beban Administrasi Dan Umum,Penyisihan Penghapusan Aktiva Produkti,Keuntungan(Kerugian) Penjualan Surat Berharga,Penerimaan ( Pembayaran ) Lainnya,Laba Sebelum Perubahan Dalam Aktiva Dan Kewajian Operasi,Efek Diperdagangkan Dan Penempatan Pada Bank Dan Lembaga Keuangan Lainnya,Efek Diperdagangkan Dan Penempatan Pada Bank Dan Lembaga Keuangan Lainnya,Penempatan Pada Bank Indonesia Dan Bank-Bank Lain,Aset Keuangan Untuk Diperdagangkan,Tagihan Atas Efek-Efek Yang Dibeli Dengan Janji Dijual Kembali,Tagihan Derivatif,Tagihan Akseptasi,Kredit Yang Diberikan,Beban Dibayar Dimuka,Aset Lain-Lain,Total Efek Diperdagangkan Dan Penempatan Pada Bank Dan Lembaga Keuangan Lainnya,Kenaikan (Penurunan) Dalam Liabilitas Operasi:,Liabilitas Segera,Liabilitas Akseptasi,Efek-Efek Yang Dijual Dengan Janji Dibeli Kembali,Liabilitas Derivatif,Simpanan Dari Nasabah,Giro,Tabungan,Deposito Berjangka,Kewajiban Lainnya,Total Simpanan Dari Nasabah,Simpanan Dari Bank-Bank Lain,Labilitas Keuangan Untuk Diperdagangkan,Liabilitas Imbalan Pasca-Kerja,Efek-Efek Yang Diterbitkan,Beban Masih Harus Dibayar Dan Liabilitas Lain-Lain,Total Kenaikan (Penurunan) Dalam Liabilitas Operasi:,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan/Pencairan Efek-Efek Untuk Tujuan Investasi,Penerimaan Atas Efek-Efek Yang Telah Jatuh Tempo,Penempatan Pada Efek-Efek Untuk Tujuan Investasi,Penerimaan Bunga Dari Efek-Efek,Penjualan/Pencairan Efek-Efek,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penerbitan Pinjaman Subordinasi,Pembayaran Pinjaman Diterima,Dana Setoran Modal,Penerimaan Dari Surat Berharga Yang Diterbitkan,Pembayaran Atas Surat Berharga Yang Diterbitkan,Penerimaan Bunga Pinjaman Subordinasi,Penurunan Pinjaman Subordinasi,Penerimaan Bersih Dari Penawaran Umum Terbatas Iii,Penerimaan Bersih Dari Penawaran Umum Terbatas Iv,Penerimaan Bersih Dari Penawaran Umum Terbatas V,Penerimaan Bersih Dari Penawaran Umum Terbatas Vi,Penerimaan ( Pembayaran ) Pinjaman Yang Diterima,Penambahan Modal Disetor,Penerbitan Saham Baru,Sewa Pembiayaan,Penerimaan Dana Obligasi,Pembayaran Dana Obligasi,Biaya Obligasi Yang Diterbitkan,Pembayaran Liabilitas Sewa,Penambahan( Penurunan ) Laba Yang Ditahan,Beban Emisi Saham,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2008,-162013589191.000000,209739117053.000000,-140264151379.000000,2348545902.000000,,-38881572994.000000,,,-6174238965.000000,,,,,,,,,,27555298216.000000,,,177962087957.000000,-184681627557.000000,,,,,-195028957007.000000,,4497952762.000000,-197250543845.000000,,-7722194901.000000,,,,,10154075769.000000,-22602211020.000000,-999620635.000000,,-13447755886.000000,,,597544438.000000,,1486363170.000000,-19086043179.000000,,-162013589191.000000,124367328469.000000,,,,,128842116366.000000,3933149095.000000,-8407936992.000000,,,124367328469.000000,-567016183.000000,,,,,,,,,,,,,-567016183.000000,,,,,,,,,-567016183.000000,,-38213276905.000000,,209106510982.000000,,170893234077.000000
12M 2009,-67140946528.000000,218555410154.000000,-132221729139.000000,1687585158.000000,,-38915140987.000000,,,-3023888100.000000,,,,,,,,,,-14709268558.000000,,,-394584680508.000000,98069686386.000000,,,,,54266321268.000000,,-4195374247.000000,-246444047101.000000,,1281232315.000000,,,,,30428297189.000000,120361929705.000000,-2891234608.000000,,147898992286.000000,,,65065307.000000,,-1315157863.000000,147930132045.000000,,-67140946528.000000,71819632229.000000,,,,,75000000000.000000,1831400585.000000,-5011768356.000000,,,71819632229.000000,38290539633.000000,,,,,,,,,,,,,-774582567.000000,,39065122200.000000,,,,,,,38290539633.000000,,42969225334.000000,,170893234077.000000,,213862459411.000000
12M 2010,-77592219137.000000,230271007073.000000,-120274271264.000000,1925857068.000000,,-50573616934.000000,,-19063124183.000000,-1236296166.000000,,,-8077474091.000000,,,,,,,,,,,-61313012082.000000,,,,,-277274719594.000000,,-6515676725.000000,-345103408401.000000,,-74561572.000000,,,,,129427127234.000000,82353222712.000000,20578232051.000000,,232358581997.000000,,,694204977.000000,,1560882359.000000,234539107761.000000,,-77592219137.000000,26893146435.000000,,,-100782998097.000000,,129044000000.000000,,2168961922.000000,-3536817390.000000,,26893146435.000000,-357585070.000000,,,,,,,,,,,,,,,-357585070.000000,,,,,,,-357585070.000000,,-51056657772.000000,,666099474009.000000,,615042816237.000000
12M 2011,-628433000000.000000,294425000000.000000,-129070000000.000000,6518000000.000000,-2015000000.000000,-86518000000.000000,,-50362000000.000000,-4629000000.000000,,,,,,,,,,,,,,-406732000000.000000,25468000000.000000,-269691000000.000000,,,-292244000000.000000,,8710000000.000000,-934489000000.000000,,5555000000.000000,,,,265869000000.000000,,,,,265869000000.000000,3280000000.000000,,,,3003000000.000000,277707000000.000000,,-628433000000.000000,-74324000000.000000,5000000000.000000,,-83815000000.000000,,,9242000000.000000,-4751000000.000000,,,-74324000000.000000,708253000000.000000,,,,,,,,733816000000.000000,,,,,,,,,,,,,-25563000000.000000,708253000000.000000,,5496000000.000000,350000000.000000,615042000000.000000,,620888000000.000000
12M 2012,554892000000.000000,328623000000.000000,-163324000000.000000,6449000000.000000,-2320000000.000000,-143268000000.000000,-1992000000.000000,-47743000000.000000,-5966000000.000000,,,,,,,,,,,,,,406732000000.000000,-2639000000.000000,312635000000.000000,,,-1180558000000.000000,-20510000000.000000,-7325000000.000000,-491665000000.000000,,54530000000.000000,,,,985560000000.000000,,,,,985560000000.000000,21257000000.000000,2534000000.000000,10822000000.000000,,1395000000.000000,1076098000000.000000,,554892000000.000000,-285966000000.000000,188457000000.000000,,-347304000000.000000,,,,-105639000000.000000,-21480000000.000000,,-285966000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,268926000000.000000,14605000000.000000,620888000000.000000,,904419000000.000000
12M 2013,575488000000.000000,483783000000.000000,-254378000000.000000,101696000000.000000,-6672000000.000000,-241486000000.000000,-4156000000.000000,-97775000000.000000,-25000000.000000,,,,,,,,,,,,,,,,-73881000000.000000,-961000000.000000,,-5041912000000.000000,-3983000000.000000,-15274000000.000000,-5136011000000.000000,,110221000000.000000,,,,3620662000000.000000,,,,,3620662000000.000000,1816644000000.000000,139144000000.000000,10231000000.000000,,33610000000.000000,5730512000000.000000,,575488000000.000000,-41178000000.000000,,,-3893000000.000000,,,7002000000.000000,-24331000000.000000,-19956000000.000000,,-41178000000.000000,646611000000.000000,,,,,,,,649136000000.000000,,,,,,,,,,,,,-2525000000.000000,646611000000.000000,,1180921000000.000000,51151000000.000000,904419000000.000000,,2136491000000.000000
12M 2014,1925998000000.000000,1148062000000.000000,-774240000000.000000,177231000000.000000,-2430000000.000000,-273222000000.000000,-4795000000.000000,-128772000000.000000,-186000000.000000,,,,,,,,,,,,,,,,-194443000000.000000,2751000000.000000,-60744000000.000000,-6905935000000.000000,-13232000000.000000,5213000000.000000,-7166390000000.000000,,74481000000.000000,60744000000.000000,,-140307000000.000000,8916777000000.000000,,,,,8916777000000.000000,10330000000.000000,,14662000000.000000,,14053000000.000000,8950740000000.000000,,1925998000000.000000,98331000000.000000,,370008000000.000000,-225738000000.000000,,,73000000.000000,-30584000000.000000,-15428000000.000000,,98331000000.000000,647117000000.000000,,,,,,,,,649704000000.000000,,,,,,,,,,,,-2587000000.000000,647117000000.000000,,2671446000000.000000,37992000000.000000,2136491000000.000000,,4845929000000.000000
12M 2015,-2003503000000.000000,1962530000000.000000,-1352619000000.000000,196278000000.000000,-2020000000.000000,-292892000000.000000,-3661000000.000000,-434659000000.000000,-36635000000.000000,,,,,,,,,,,,,,,,-794000000.000000,,-1077000000.000000,-5749537000000.000000,-51330000000.000000,-13000000.000000,-5802751000000.000000,,84571000000.000000,1077000000.000000,,,2347497000000.000000,,,,,2347497000000.000000,1315781000000.000000,,,,14000000000.000000,3762926000000.000000,,-2003503000000.000000,-129151000000.000000,,232411000000.000000,-325213000000.000000,,,115000000.000000,-25673000000.000000,-10791000000.000000,,-129151000000.000000,964950000000.000000,964950000000.000000,,,,,,,,,,,,,,,,,,,,,964950000000.000000,,-1167704000000.000000,221113000000.000000,4845929000000.000000,,3899338000000.000000
12M 2016,-562265000000.000000,1981760000000.000000,-1511365000000.000000,124925000000.000000,-1435000000.000000,-329374000000.000000,-5170000000.000000,-63159000000.000000,-2401000000.000000,,,,,,,,,,,,,,,,-202233000000.000000,,39628000000.000000,1385188000000.000000,-80526000000.000000,-17351000000.000000,1124706000000.000000,,-96698000000.000000,-39628000000.000000,,,834140000000.000000,,,,,834140000000.000000,-2516313000000.000000,,,,-62253000000.000000,-1880752000000.000000,,-562265000000.000000,-318667000000.000000,,231000000.000000,-246648000000.000000,,,1158000000.000000,-69677000000.000000,-3731000000.000000,,-318667000000.000000,1052422000000.000000,,,751800000000.000000,300622000000.000000,,,,,,,,,,,,,,,,,,1052422000000.000000,,171490000000.000000,-73563000000.000000,3899338000000.000000,,3997265000000.000000
12M 2017,-230590000000.000000,1697159000000.000000,-1390757000000.000000,97375000000.000000,-1418000000.000000,-377831000000.000000,-10447000000.000000,-150935000000.000000,,,,,,,,,,,,,,,,,-1793573000000.000000,,-84399000000.000000,1720440000000.000000,40969000000.000000,17551000000.000000,-99012000000.000000,,914000000.000000,84399000000.000000,,,581220000000.000000,,,,,581220000000.000000,-643680000000.000000,,,,-17577000000.000000,5276000000.000000,,-230590000000.000000,-242426000000.000000,,247506000000.000000,-441859000000.000000,,,21000000.000000,-43310000000.000000,-4784000000.000000,,-242426000000.000000,986414000000.000000,,,824110000000.000000,-315520000000.000000,,,,,,477824000000.000000,,,,,,,,,,,,986414000000.000000,,513398000000.000000,11615000000.000000,3997265000000.000000,,4522278000000.000000
