Period,Total Pendapatan,Pendapatan Bunga,Provisi Dan Komisi Kredit,Total Pendapatan,Total Beban Pokok Penjualan,Beban Bunga,Beban Provisi Dan Komisi,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Pendapatan Operasional Lainnya,Keuntungan Transaksi Mata Uang Asing,Provisi Dan Komisi Lainnya,Keuntungan Penjualan Efek-Efek,Keuntungan Dari Perubahan Nilai Wajar Efek-Efek,Penerimaan Kembali Aset Yang Telah Dihapusbukukan,Others,Total Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Beban Penyisihan Kerugian Penurunan Nilai Atas Aset Keuangan,Beban Penyisihan Kerugian Penurunan Nilai Atas Aset Non-Keuangan,Pemulihan Estimasi Kerugian Komitmen Dan Kontinjensi,Penurunan Nilai Wajar Aset Keuangan Yang Diperdagangkan,Beban Tenaga Kerja,Beban Umum Dan Administrasi,Kerugian Transaksi Mata Uang Asing,Others,Total Beban Operasional Lainnya,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,208337970204.000000,202046450339.000000,6291519865.000000,208337970204.000000,-133383318940.000000,-133346647445.000000,-36671495.000000,-133383318940.000000,74954651264.000000,-80781721503.000000,,,2348545902.000000,14214000.000000,-612920000.000000,,10322462348.000000,12072302250.000000,,-12378735337.000000,,,,-39479117432.000000,-38851235095.000000,,-2144935889.000000,-92854023753.000000,-80781721503.000000,-5827070239.000000,10605909714.000000,,,,10605909714.000000,4778839475.000000,-1665762118.000000,-1829972900.000000,164210782.000000,-1665762118.000000,3113077357.000000,,,,,3113077357.000000,3113077357.000000,,3113077357.000000,,,,
12M 2009,217219934516.000000,210979042400.000000,6240892116.000000,217219934516.000000,-132286381950.000000,-132271052642.000000,-15329308.000000,-132286381950.000000,84933552566.000000,-76603196653.000000,,,1687585158.000000,291668992.000000,1060686064.000000,,10578858421.000000,13618798635.000000,,-7096815867.000000,,,,-39615140987.000000,-40812288467.000000,,-2697749967.000000,-90221995288.000000,-76603196653.000000,8330355913.000000,-1942628931.000000,,,,-1942628931.000000,6387726982.000000,-2399387607.000000,-2206590960.000000,-192796647.000000,-2399387607.000000,3988339375.000000,,,,,3988339375.000000,3988339375.000000,,3988339375.000000,,,,
12M 2010,231272462606.000000,231245404591.000000,27058015.000000,231272462606.000000,-120274271264.000000,-120272646689.000000,-1624575.000000,-120274271264.000000,110998191342.000000,-99819595820.000000,,,1925857068.000000,1405500000.000000,599740000.000000,,9005545986.000000,12936643054.000000,,-8781601378.000000,,,,-47939486976.000000,-44814825980.000000,,-11220324540.000000,-112756238874.000000,-99819595820.000000,11178595522.000000,-7120356081.000000,,,,-7120356081.000000,4058239441.000000,-2845887167.000000,-2436353250.000000,-409533917.000000,-2845887167.000000,1212352274.000000,,,,,1212352274.000000,1212352274.000000,,1212352274.000000,,,,
12M 2011,301082000000.000000,294564000000.000000,6518000000.000000,301082000000.000000,-133200000000.000000,-131185000000.000000,-2015000000.000000,-133200000000.000000,167882000000.000000,-153538000000.000000,,,,,,,4829000000.000000,4829000000.000000,,-1078000000.000000,,,,-90999000000.000000,-58985000000.000000,,-7305000000.000000,-158367000000.000000,-153538000000.000000,14344000000.000000,1206000000.000000,1624000000.000000,308000000.000000,-726000000.000000,1206000000.000000,15550000000.000000,-9366000000.000000,-9366000000.000000,,-9366000000.000000,6184000000.000000,14000000.000000,14000000.000000,14000000.000000,6198000000.000000,6184000000.000000,6184000000.000000,,6184000000.000000,6198000000.000000,6198000000.000000,,6198000000.000000
12M 2012,342808000000.000000,336359000000.000000,6449000000.000000,342808000000.000000,-166170000000.000000,-163850000000.000000,-2320000000.000000,-166170000000.000000,176638000000.000000,-220123000000.000000,,,,,,9533000000.000000,27124000000.000000,36657000000.000000,,,,,,-161441000000.000000,-93139000000.000000,,-2200000000.000000,-256780000000.000000,-220123000000.000000,-43485000000.000000,9061000000.000000,9582000000.000000,,-521000000.000000,9061000000.000000,-34424000000.000000,4925000000.000000,4925000000.000000,,4925000000.000000,-29499000000.000000,-6000000.000000,-6000000.000000,-6000000.000000,-29505000000.000000,-29499000000.000000,-29499000000.000000,,-29499000000.000000,-29505000000.000000,-29505000000.000000,,-29505000000.000000
12M 2013,506437000000.000000,506437000000.000000,,506437000000.000000,-275492000000.000000,-275492000000.000000,,-275492000000.000000,230945000000.000000,-236408000000.000000,,,95023000000.000000,,,,60847000000.000000,155870000000.000000,,,,,,-246525000000.000000,-138668000000.000000,,-7085000000.000000,-392278000000.000000,-236408000000.000000,-5463000000.000000,10550000000.000000,4652000000.000000,4835000000.000000,1063000000.000000,10550000000.000000,5087000000.000000,-1730000000.000000,-1730000000.000000,,-1730000000.000000,3357000000.000000,-8000000.000000,-8000000.000000,-8000000.000000,3349000000.000000,3357000000.000000,3357000000.000000,,3357000000.000000,3349000000.000000,3349000000.000000,,3349000000.000000
12M 2014,1221121000000.000000,1221121000000.000000,,1221121000000.000000,-814499000000.000000,-814499000000.000000,,-814499000000.000000,406622000000.000000,-247621000000.000000,,,174801000000.000000,,,,34632000000.000000,209433000000.000000,,-1626000000.000000,,,,-293520000000.000000,-149612000000.000000,,-12296000000.000000,-457054000000.000000,-247621000000.000000,159001000000.000000,2910000000.000000,2735000000.000000,55000000.000000,120000000.000000,2910000000.000000,161911000000.000000,-41074000000.000000,-41074000000.000000,,-41074000000.000000,120837000000.000000,-58000000.000000,-58000000.000000,-58000000.000000,120779000000.000000,120837000000.000000,120837000000.000000,,120837000000.000000,120779000000.000000,120779000000.000000,,120779000000.000000
12M 2015,2040582000000.000000,2040582000000.000000,,2040582000000.000000,-1351331000000.000000,-1351331000000.000000,,-1351331000000.000000,689251000000.000000,-483978000000.000000,,,194258000000.000000,,,,18260000000.000000,212518000000.000000,,-87472000000.000000,,,,-375743000000.000000,-225106000000.000000,,-8175000000.000000,-696496000000.000000,-483978000000.000000,205273000000.000000,3662000000.000000,,,,3662000000.000000,208935000000.000000,-52889000000.000000,-52889000000.000000,,-52889000000.000000,156046000000.000000,3117000000.000000,3117000000.000000,3117000000.000000,159163000000.000000,156046000000.000000,156046000000.000000,,156046000000.000000,159163000000.000000,159163000000.000000,,159163000000.000000
12M 2016,2048592000000.000000,2048592000000.000000,,2048592000000.000000,-1532175000000.000000,-1532175000000.000000,,-1532175000000.000000,516417000000.000000,-1379028000000.000000,,,123490000000.000000,,,,76172000000.000000,199662000000.000000,,-929519000000.000000,,,,-397332000000.000000,-243962000000.000000,,-7877000000.000000,-1578690000000.000000,-1379028000000.000000,-862611000000.000000,-3339000000.000000,,,,-3339000000.000000,-865950000000.000000,215617000000.000000,215617000000.000000,,215617000000.000000,-650333000000.000000,3569000000.000000,3569000000.000000,3569000000.000000,-646764000000.000000,-650333000000.000000,-650333000000.000000,,-650333000000.000000,-646764000000.000000,-646764000000.000000,,-646764000000.000000
12M 2017,1643688000000.000000,1643688000000.000000,,1643688000000.000000,-1394386000000.000000,-1394386000000.000000,,-1394386000000.000000,249302000000.000000,-1196989000000.000000,,,95957000000.000000,294722000000.000000,,,124367000000.000000,515046000000.000000,,-1040996000000.000000,,,,-410501000000.000000,-253486000000.000000,,-7052000000.000000,-1712035000000.000000,-1196989000000.000000,-947687000000.000000,-3565000000.000000,,,,-3565000000.000000,-951252000000.000000,161449000000.000000,161449000000.000000,,161449000000.000000,-789803000000.000000,190000000.000000,190000000.000000,190000000.000000,-789613000000.000000,-789803000000.000000,-789803000000.000000,,-789803000000.000000,-789613000000.000000,-789613000000.000000,,-789613000000.000000
