Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,,,,,5.04,,0.1,,,0.0
12M 2009,,,,,,,,,5.42,5.34,0.1,0.09,,,0.0
12M 2010,,,,,,,,,6.25,6.42,0.09,0.09,,,0.0
12M 2011,,,,,,,,,10.35,25.92,0.1,0.17,,,0.0
12M 2012,,,,,,,,,4.84,3.22,0.08,0.07,,,0.0
12M 2013,,,,,,,,,4.41,4.45,0.06,0.05,,,0.0
12M 2014,,,,,,,,,10.81,10.78,0.08,0.06,,,0.0
12M 2015,,,,,,,,,18.12,18.16,0.09,0.08,,,0.0
12M 2016,,,,,,,,,16.05,13.77,0.08,0.08,,,0.0
12M 2017,,,,,,,,,11.1,10.77,0.07,0.06,,,0.0
12M 2018,,,,,,,,,9.98,10.82,0.06,0.07,,,0.0
12M 2019,,,,,,,,,10.84,11.34,0.06,0.06,,,0.0
12M 2020,,,,,,,,,4.89,3.8,0.06,0.06,,,0.0
12M 2021,,,,,,,,,2.54,2.66,0.05,0.05,,,0.0
12M 2022,,,,,,,,,2.9,3.09,0.05,0.05,,,0.0
12M 2023,,,,,,,,,3.87,4.19,0.07,0.08,,,0.0
12M 2024,,,,,,,,,3.53,3.81,0.06,0.06,,,0.0
