Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Pinjaman Yang Diberikan,Pihak Berelasi,Pihak Ketiga,Others,Total Pinjaman Yang Diberikan,Aset Pajak Tangguhan,Aset Tetap,Aset Tak Berwujud,Adjustment,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Pihak Berelasi,Pihak Ketiga,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Pihak Berelasi,Pihak Ketiga,Total Simpanan Dari Bank Lain,Efek-Efek Yang Diterbitkan,Liabilitas Derivatif,Liabilitas Akseptasi,Pihak Berelasi,Pihak Ketiga,Total Liabilitas Akseptasi,Pinjaman Yang Diterima,Surat Berharga Yang Diterbitkan,Utang Sewa Pembiayaan,Utang Pajak,Liabilitas Pajak Tangguhan,Beban Akrual,Obligasi Subordinasi,Adjustment,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,53107343856.000000,85959259530.000000,190698213269.000000,,7653617268.000000,1463146830053.000000,,1470800447321.000000,5088566263.000000,41069412439.000000,457295654.000000,,315047562470.000000,2162228100802.000000,,,2410889640.000000,1992060204283.000000,628754201.000000,1991431450082.000000,1992060204283.000000,5382109257.000000,,,5382109257.000000,,,,,,,,,,4484281421.000000,,17872266065.000000,,,4579201399.000000,2026788952065.000000,,125304750000.000000,-1634335943.000000,11722484409.000000,,,11722484409.000000,46250271.000000,135439148737.000000,2162228100802.000000,501219000.000000
12M 2009,,34367655079.000000,98789349233.000000,95914669675.000000,,128499790492.000000,1289169598661.000000,,1417669389153.000000,4895769616.000000,39069271733.000000,898712786.000000,,656178599473.000000,2347783416748.000000,,,3765558368.000000,2139959196570.000000,115557073771.000000,2024402122799.000000,2139959196570.000000,3896675211.000000,,,3896675211.000000,,,,,,,,,,4155633356.000000,,12942611352.000000,,,4571131579.000000,2169290806436.000000,,156630937500.000000,6104598757.000000,14776900284.000000,,,14776900284.000000,980173771.000000,178492610312.000000,2347783416748.000000,626523750.000000
12M 2010,,37124193164.000000,165866772099.000000,206526186384.000000,,124028498469.000000,1558278099637.000000,,1682306598106.000000,4486235699.000000,34961598018.000000,881961307.000000,,457761925478.000000,2589915470255.000000,,,3690996796.000000,2372317778567.000000,154861082864.000000,2217456695703.000000,2372317778567.000000,11749358047.000000,,,11749358047.000000,,,,,,,,,,5038399516.000000,,13803855039.000000,,,5191640305.000000,2411792028270.000000,,156630937500.000000,6104598757.000000,13211229957.000000,,,13211229957.000000,2176675771.000000,178123441985.000000,2589915470255.000000,626523750.000000
12M 2011,,37131000000.000000,224106000000.000000,711339000000.000000,1983974000000.000000,,,,1983974000000.000000,3726000000.000000,23211000000.000000,,,610330000000.000000,3593817000000.000000,,,13553000000.000000,2644465000000.000000,4492000000.000000,2639973000000.000000,2644465000000.000000,15088000000.000000,,,15088000000.000000,,,,,,,,,,4775000000.000000,,23363000000.000000,,,,2701244000000.000000,,890447000000.000000,-19458000000.000000,19029000000.000000,,,19029000000.000000,2555000000.000000,892573000000.000000,3593817000000.000000,3561787518.000000
12M 2012,,43671000000.000000,292689000000.000000,469495000000.000000,3168908000000.000000,,,,3168908000000.000000,9865000000.000000,118302000000.000000,20817000000.000000,,520907000000.000000,4644654000000.000000,,,68083000000.000000,3633084000000.000000,109276000000.000000,3523808000000.000000,3633084000000.000000,36356000000.000000,,,36356000000.000000,,,,,,,,,,25000000.000000,,23709000000.000000,,,20329000000.000000,3781586000000.000000,,890447000000.000000,-19458000000.000000,-7929000000.000000,,,-7929000000.000000,8000000.000000,863068000000.000000,4644654000000.000000,3561787518.000000
12M 2013,,56633000000.000000,818168000000.000000,1242652000000.000000,,3364000000.000000,8205178000000.000000,-10860000000.000000,8197682000000.000000,8135000000.000000,111225000000.000000,34192000000.000000,,578928000000.000000,11047615000000.000000,,,178304000000.000000,7244934000000.000000,44342000000.000000,7200592000000.000000,7244934000000.000000,1853000000000.000000,1825500000000.000000,27500000000.000000,1853000000000.000000,,141678000000.000000,,,,,,,,,,88645000000.000000,,,28026000000.000000,9534587000000.000000,,1539583000000.000000,-21983000000.000000,-4572000000.000000,4396000000.000000,-8968000000.000000,-4572000000.000000,,1513028000000.000000,11047615000000.000000,6158330518.000000
12M 2014,,52653000000.000000,1425155000000.000000,3324797000000.000000,,3613000000.000000,15102507000000.000000,-12461000000.000000,15093659000000.000000,,114631000000.000000,42370000000.000000,,785753000000.000000,20839018000000.000000,,,252785000000.000000,16161710000000.000000,260199000000.000000,15901511000000.000000,16161710000000.000000,1863330000000.000000,1858368000000.000000,4962000000.000000,1863330000000.000000,,1371000000.000000,60744000000.000000,,60744000000.000000,60744000000.000000,,,,20402000000.000000,12332000000.000000,142732000000.000000,,,42688000000.000000,18558094000000.000000,,2189287000000.000000,-24570000000.000000,116265000000.000000,4396000000.000000,111869000000.000000,116265000000.000000,-58000000.000000,2280924000000.000000,20839018000000.000000,8757145997.000000
12M 2015,,45432000000.000000,1710947000000.000000,2111813000000.000000,,3434000000.000000,20826610000000.000000,-41740000000.000000,20788304000000.000000,,110577000000.000000,45670000000.000000,,944906000000.000000,25757649000000.000000,,,337357000000.000000,18509008000000.000000,1040738000000.000000,17468270000000.000000,18509008000000.000000,3179111000000.000000,2688691000000.000000,490420000000.000000,3179111000000.000000,,661000000.000000,61821000000.000000,24995000000.000000,36826000000.000000,61821000000.000000,,,,2401000000.000000,42324000000.000000,155213000000.000000,964950000000.000000,,80619000000.000000,23333465000000.000000,,2189287000000.000000,-24570000000.000000,275911000000.000000,4396000000.000000,271515000000.000000,275911000000.000000,-16444000000.000000,2424184000000.000000,25757649000000.000000,8757145997.000000
12M 2016,,51260000000.000000,1635116000000.000000,2230074000000.000000,,1895000000.000000,18286019000000.000000,-736726000000.000000,17551188000000.000000,172105000000.000000,144762000000.000000,41176000000.000000,,2547021000000.000000,24372702000000.000000,,,240658000000.000000,19344962000000.000000,64415000000.000000,19280547000000.000000,19344962000000.000000,662798000000.000000,404797000000.000000,258001000000.000000,662798000000.000000,,12890000000.000000,22193000000.000000,,22193000000.000000,22193000000.000000,,315520000000.000000,,,,198345000000.000000,,,97407000000.000000,20894773000000.000000,,2189287000000.000000,-24570000000.000000,-374422000000.000000,5396000000.000000,-379818000000.000000,-374422000000.000000,1687634000000.000000,3477929000000.000000,24372702000000.000000,8757145997.000000
12M 2017,,47850000000.000000,1985255000000.000000,2433139000000.000000,,1360000000.000000,14020479000000.000000,-479090000000.000000,13542749000000.000000,333491000000.000000,151526000000.000000,37258000000.000000,,6103965000000.000000,24635233000000.000000,,,241572000000.000000,19926181000000.000000,208353000000.000000,19717828000000.000000,19926181000000.000000,19118000000.000000,496000000.000000,18622000000.000000,19118000000.000000,,2401000000.000000,106592000000.000000,,106592000000.000000,106592000000.000000,,,,,,234064000000.000000,,,115055000000.000000,20644983000000.000000,,4248216000000.000000,-27606000000.000000,-1164225000000.000000,5396000000.000000,-1169621000000.000000,-1164225000000.000000,933865000000.000000,3990250000000.000000,24635233000000.000000,16992865249.000000
