Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Beban Penyusutan,Adjustment,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,62317450705.000000,-37312532955.000000,25004917750.000000,-17714700968.000000,-542248833.000000,-8383930118.000000,-9095921613.000000,,307399596.000000,-17714700968.000000,7290216782.000000,-984255231.000000,1598085.000000,-985853316.000000,-984255231.000000,6305961551.000000,-2195106300.000000,,,,-2195106300.000000,,,4110855251.000000,25795455.000000,25795455.000000,25795455.000000,4136650706.000000,4110855251.000000,4029638738.000000,81216513.000000,4110855251.000000,4136650706.000000,4055350435.000000,81300271.000000,4136650706.000000
12M 2022,78494559551.000000,-43825136438.000000,34669423113.000000,-21877210182.000000,-531309123.000000,-10480931605.000000,-11135906164.000000,,270936710.000000,-21877210182.000000,12792212931.000000,-2184063710.000000,415562900.000000,-2599626610.000000,-2184063710.000000,10608149221.000000,-3432795675.000000,,,,-3432795675.000000,,,7175353546.000000,14108986.000000,14108986.000000,14108986.000000,7189462532.000000,7175353546.000000,7059595309.000000,115758237.000000,7175353546.000000,7189462532.000000,7073653486.000000,115809046.000000,7189462532.000000
12M 2023,78038260092.000000,-45225661132.000000,32812598960.000000,-21169742453.000000,-628531430.000000,-10610399557.000000,-10240225580.000000,,309414114.000000,-21169742453.000000,11642856507.000000,-2315706060.000000,340372543.000000,-2656078603.000000,-2315706060.000000,9327150447.000000,-2978869187.000000,,,,-2978869187.000000,,,6348281260.000000,21065403.000000,21065403.000000,21065403.000000,6369346663.000000,6348281260.000000,6119085142.000000,229196118.000000,6348281260.000000,6369346663.000000,6140099736.000000,229246927.000000,6369346663.000000
12M 2024,45392163399.000000,-24459425245.000000,20932738154.000000,-15215656194.000000,-109952404.000000,-4888261452.000000,-10288047085.000000,,70604747.000000,-15215656194.000000,5717081960.000000,-1517413435.000000,47220141.000000,-1564633576.000000,-1517413435.000000,4199668525.000000,-1332697401.000000,,,,-1332697401.000000,,,2866971124.000000,18785277.000000,18785277.000000,18785277.000000,2885756401.000000,2866971122.000000,2682676429.000000,184294693.000000,2866971122.000000,2885756400.000000,2701410898.000000,184345502.000000,2885756400.000000
