Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2021,18 B,(0 B),18 B,2.73
12M 2022,(16 B),(101 B),(117 B),-14.53
12M 2023,(12 B),,(12 B),-1.54
12M 2024,(1 B),,(1 B),-0.12
