Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2021,6.43 B,0.63,0.00,0.00,,1.99%,2.42%,3.78%,7.39
12M 2022,8.04 B,0.88,97.73,8.81,,1.92%,2.16%,4.78%,4.92
12M 2023,8.04 B,0.76,478.95,37.49,,1.63%,1.84%,3.32%,4.38
12M 2024,8.07 B,0.33,100.00,5.86,,0.72%,0.79%,1.59%,3.65
