Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Operasional Lain,Pembayaran Kepada Karyawan,Pembayaran Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penambahan Uang Muka,Penambahan Investasi Anak,Penjualan Investasi Anak,Kas Dan Setara Kas Entitas Anak Yang Diakuisisi,Perolehan Aset Sewa,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Setoran Modal,Pembayaran Biaya Emisi,Penerimaan Atas Pelaksanaan Waran,Pembayaran Utang Pihak Berelasi,Penerimaan Pinjaman Dari Pihak Berelasi,Pembayaran Liabilitas Pembiayaan,Pembayaran Liabilitas Sewa,Pembayaran Utang Bank,Penerimaan Utang Bank,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Entitas Anak Yang Dilepas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,17574029418.000000,66859115706.000000,-42582242550.000000,-6039259028.000000,-663584710.000000,17574029418.000000,-20542351800.000000,-8370000.000000,,-21145000000.000000,700000000.000000,-88981800.000000,,-20542351800.000000,2744625127.000000,,,,-22986098486.000000,11947624813.000000,-142727233.000000,-87916388.000000,-214638220.000000,14228380641.000000,2744625127.000000,-223697255.000000,,3547724672.000000,3324027417.000000
12M 2022,-16225648478.000000,76409555395.000000,-84518184275.000000,-6382255738.000000,-1734763860.000000,-16225648478.000000,-101726891652.000000,-100526891652.000000,,,,,-1200000000.000000,-101726891652.000000,138545257601.000000,160736000000.000000,-8245756800.000000,,-18810497458.000000,4962835450.000000,,-8060630.000000,-89262961.000000,,138545257601.000000,20592717471.000000,,3324027417.000000,23916744888.000000
12M 2023,-12414914996.000000,73965240505.000000,-80599201153.000000,-5379723922.000000,-401230426.000000,-12414914996.000000,-897243968.000000,,,,,,-897243968.000000,-897243968.000000,-9560055724.000000,537212160.000000,,,-12793048100.000000,3222968514.000000,,-527188298.000000,,,-9560055724.000000,-22872214688.000000,,23916744888.000000,1044530200.000000
12M 2024,-967932160.000000,45644220488.000000,-42706513612.000000,-3632786932.000000,-272852104.000000,-967932160.000000,,,,,,,,,2776432194.000000,4677793020.000000,,,,,,-1901360826.000000,,,2776432194.000000,1808500034.000000,,1044530200.000000,2853030234.000000
