Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Penerimaan Bunga,Pembayaran Untuk Pajak,Pembayaran Kepada Karyawan,Pembayaran Lainnya,Penerimaan (Pembayaran) Lainnya Dari Aktivitas Operasi,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pemberian Pinjaman Kepada Pihak Berelasi,Penempatan Investasi,Kenaikan Pada Investasi,Pelepasan Investasi,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Tetap,Uang Muka Penjualan Aset Tetap,Hasil Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Modal Disetor,Penambahan Modal Pada Penawaran Umum,Penerimaan Tambahan Modal,Pembayaran Dividen,Penerimaan Piutang Pihak Berelasi,Penerimaan (Pembayaran) Kepada Piutang Pihak Berelasi - Neto,Penerimaan (Pembayaran) Utang Pihak Berelasi - Neto,Pembayaran Utang Pembelian Asset - Jangka Pendek,Agio Saham,Pembayaran Kepada Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan/(Penurunan) Neto Kas Dan Setara Kas,Kas Dan Setara Kas Awal Tahun,Adjustment,Kas Dan Setara Kas Akhir Tahun
12M 2018,13592994056.000000,40357800502.000000,-23930588791.000000,172119081.000000,-1204530572.000000,-1801806164.000000,,,13592994056.000000,-2446965660.000000,,-8182319066.000000,,5882438500.000000,,-147085094.000000,,,-2446965660.000000,-11068922378.000000,,,,,,,,,,-11068922378.000000,-11068922378.000000,77106018.000000,553464109.000000,,630570127.000000
12M 2019,9776164249.000000,64779429120.000000,-50762172426.000000,678171430.000000,-1596114594.000000,-3323149281.000000,,,9776164249.000000,-17049772837.000000,-13945753106.000000,-5000000000.000000,,2226568981.000000,,-333588712.000000,,3000000.000000,-17049772837.000000,8977500000.000000,8977500000.000000,,,,,,,,,,8977500000.000000,1703891412.000000,630570127.000000,,2334461539.000000
12M 2020,-119866331.000000,22140364436.000000,-19707157430.000000,73382034.000000,-796897863.000000,-1829557508.000000,,,-119866331.000000,-6713204190.000000,,,,270963084.000000,,-6987167274.000000,,3000000.000000,-6713204190.000000,6772500000.000000,6772500000.000000,,,,,,,,,,6772500000.000000,-60570521.000000,2334461539.000000,,2273891018.000000
12M 2021,-6890176461.000000,12037622837.000000,-3301048622.000000,104613138.000000,-9131737124.000000,-3742539321.000000,-2857087369.000000,,-6890176461.000000,-21499309454.000000,,,,,-14000000000.000000,-7523709454.000000,,24400000.000000,-21499309454.000000,27569593238.000000,8333330000.000000,,15433858000.000000,-14000000000.000000,,17828613150.000000,,-26207912.000000,,,27569593238.000000,-819892677.000000,2273891018.000000,,1453998341.000000
12M 2022,2131820515.000000,13022401986.000000,-8673119263.000000,23637501.000000,-280556975.000000,-4064786785.000000,,2104244051.000000,2131820515.000000,2814999703.000000,,,,,12428481006.000000,-9840147970.000000,,226666667.000000,2814999703.000000,-390309122.000000,3725150.000000,,14900600.000000,,,-855386951.000000,446452079.000000,,,,-390309122.000000,4556511096.000000,1453998342.000000,,6010509438.000000
12M 2023,10563943463.000000,19152748593.000000,-10969521093.000000,10682405.000000,-947277834.000000,-3064452408.000000,,6381763800.000000,10563943463.000000,574157225.000000,,,,,,-6242742671.000000,,6816899896.000000,574157225.000000,-9977780689.000000,,,,,,-10184174161.000000,206393472.000000,,,,-9977780689.000000,1160319999.000000,6010509438.000000,,7170829437.000000
12M 2024,-8552002298.000000,6670141551.000000,-11419389024.000000,-342555408.000000,-162955898.000000,-3292032630.000000,,-5210889.000000,-8552002298.000000,977737175.000000,,,,,,-4880675.000000,,982617850.000000,977737175.000000,1173808032.000000,,,,,5615721874.000000,-4906198460.000000,5239089500.000000,,,-4774804882.000000,1173808032.000000,-6400457091.000000,7170829437.000000,,770372346.000000
