Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Properti Investasi,Aset Tetap,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Wesel Bayar,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Obligasi,Utang Sewa Pembiayaan,Utang Lain Jangka Panjang,Utang Pembelian Kendaraan,Liabilitas Derivatif,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Obligasi,Utang Sewa Pembiayaan,Utang Pembelian Kendaraan,Utang Lain Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Derivatif,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,278153222000.000000,133990527000.000000,3470892000.000000,130519635000.000000,133990527000.000000,64795526000.000000,,64795526000.000000,64795526000.000000,1129799744000.000000,329889101000.000000,1936628120000.000000,,27617516000.000000,2078728000.000000,59013124000.000000,112691898000.000000,1131046174000.000000,49054678000.000000,442839078000.000000,1824341196000.000000,3760969316000.000000,,,1380405064000.000000,310624144000.000000,,,1002341000.000000,491646453000.000000,492648794000.000000,,,255611715000.000000,255611715000.000000,77976560000.000000,84401785000.000000,,128356424000.000000,,1375637000.000000,,,,,129732061000.000000,29410005000.000000,1380405064000.000000,1252986314000.000000,,936737244000.000000,,1671790000.000000,,,1641542000.000000,184155962000.000000,,1124206538000.000000,24845851000.000000,103933925000.000000,1252986314000.000000,2633391378000.000000,,830000000000.000000,46947040000.000000,313473598000.000000,21000000000.000000,292473598000.000000,313473598000.000000,9447000.000000,-62852147000.000000,1127577938000.000000,3760969316000.000000,1660000000.000000
12M 2009,,,189686754000.000000,127196667000.000000,,127196667000.000000,127196667000.000000,54870544000.000000,,54870544000.000000,54870544000.000000,1145508746000.000000,322707376000.000000,1839970087000.000000,,68706000.000000,5238707000.000000,14099474000.000000,108739805000.000000,1116750927000.000000,39081261000.000000,255445266000.000000,1539424146000.000000,3379394233000.000000,,,1270111329000.000000,371378194000.000000,,,2751810000.000000,373532425000.000000,376284235000.000000,,,164296786000.000000,164296786000.000000,83182079000.000000,85780651000.000000,,145485677000.000000,,1225076000.000000,1096764000.000000,,,,147807517000.000000,41381867000.000000,1270111329000.000000,821224250000.000000,,235651887000.000000,356889007000.000000,1416004000.000000,,5703236000.000000,328430000.000000,58252270000.000000,,658240834000.000000,41375484000.000000,121607932000.000000,821224250000.000000,2091335579000.000000,,830000000000.000000,46947040000.000000,477459858000.000000,21000000000.000000,456459858000.000000,477459858000.000000,14985000.000000,-66363229000.000000,1288058654000.000000,3379394233000.000000,1660000000.000000
12M 2010,,,224320276000.000000,127526835000.000000,,127526835000.000000,127526835000.000000,67973337000.000000,,67973337000.000000,67973337000.000000,1073974378000.000000,371477245000.000000,1865272071000.000000,,,,35211107000.000000,104067138000.000000,1313593168000.000000,69191662000.000000,283168537000.000000,1805231612000.000000,3670503683000.000000,,,1468999174000.000000,249475000000.000000,,,6188006000.000000,502417467000.000000,508605473000.000000,,169871000.000000,226942754000.000000,227112625000.000000,98703064000.000000,108604580000.000000,,196314268000.000000,,2934595000.000000,1282400000.000000,,,,200531263000.000000,75967169000.000000,1468999174000.000000,732361757000.000000,,140121731000.000000,359126268000.000000,813613000.000000,,4436989000.000000,,44341211000.000000,,548839812000.000000,38631661000.000000,144890284000.000000,732361757000.000000,2201360931000.000000,,830000000000.000000,46947040000.000000,653631329000.000000,26000000000.000000,627631329000.000000,653631329000.000000,14876000.000000,-61450493000.000000,1469142752000.000000,3670503683000.000000,1660000000.000000
12M 2011,,,288621337000.000000,194635362000.000000,,194635362000.000000,194635362000.000000,65119195000.000000,,65119195000.000000,65119195000.000000,1377895690000.000000,442568884000.000000,2368840468000.000000,,,12736100000.000000,34684338000.000000,99376460000.000000,1486580902000.000000,57968193000.000000,355156067000.000000,2046502060000.000000,4415342528000.000000,,,2277734939000.000000,516451921000.000000,,,9581713000.000000,658085551000.000000,667667264000.000000,,,308528197000.000000,308528197000.000000,101998481000.000000,120955278000.000000,,173614704000.000000,293183373000.000000,617523000.000000,1458061000.000000,,15993368000.000000,,484867029000.000000,77266769000.000000,2277734939000.000000,343474079000.000000,,60833333000.000000,68186174000.000000,755832000.000000,,2996763000.000000,,,,132772102000.000000,38275016000.000000,172426961000.000000,343474079000.000000,2621209018000.000000,,830000000000.000000,46947040000.000000,980856426000.000000,31000000000.000000,949856426000.000000,980856426000.000000,14771000.000000,-63684727000.000000,1794133510000.000000,4415342528000.000000,1660000000.000000
12M 2012,,,526324881000.000000,218200460000.000000,,218200460000.000000,218200460000.000000,65171421000.000000,,65171421000.000000,65171421000.000000,1917927291000.000000,534996657000.000000,3262620710000.000000,,,17224024000.000000,27131554000.000000,95044387000.000000,2011107593000.000000,57968193000.000000,519490442000.000000,2727966193000.000000,5990586903000.000000,,,2682781943000.000000,954540989000.000000,,,11521777000.000000,788740191000.000000,800261968000.000000,,719044000.000000,405331602000.000000,406050646000.000000,119727308000.000000,168851441000.000000,,155833333000.000000,,589610000.000000,1665478000.000000,,,,158088421000.000000,75261170000.000000,2682781943000.000000,1135129790000.000000,,305000000000.000000,558465685000.000000,192368000.000000,,1331285000.000000,,,,864989338000.000000,45582833000.000000,224557619000.000000,1135129790000.000000,3817911733000.000000,,830000000000.000000,46947040000.000000,1355507055000.000000,36000000000.000000,1319507055000.000000,1355507055000.000000,15122000.000000,-59794047000.000000,2172675170000.000000,5990586903000.000000,1660000000.000000
12M 2013,,,368507432000.000000,302839233000.000000,,302839233000.000000,302839233000.000000,112067375000.000000,,112067375000.000000,112067375000.000000,2941755330000.000000,738518380000.000000,4463687750000.000000,,,22161733000.000000,18433099000.000000,90781744000.000000,2509203188000.000000,52964781000.000000,651067275000.000000,3344611820000.000000,7808299570000.000000,,,3994794004000.000000,1411101552000.000000,,,16125281000.000000,1188886742000.000000,1205012023000.000000,,221700000.000000,624519638000.000000,624741338000.000000,100172253000.000000,213072289000.000000,,246909091000.000000,68743732000.000000,458467000.000000,1302723000.000000,,,,317414013000.000000,123280536000.000000,3994794004000.000000,1385621660000.000000,,555369570000.000000,491850270000.000000,677339000.000000,,28563000.000000,,,,1047925742000.000000,56179485000.000000,281516433000.000000,1385621660000.000000,5380415664000.000000,,830000000000.000000,-6589949000.000000,1611919340000.000000,41000000000.000000,1570919340000.000000,1611919340000.000000,15554000.000000,-7461039000.000000,2427883906000.000000,7808299570000.000000,1660000000.000000
12M 2014,,,512671885000.000000,359170308000.000000,21692000.000000,359148616000.000000,359170308000.000000,136852436000.000000,1509883000.000000,135342553000.000000,136852436000.000000,3203403386000.000000,949937625000.000000,5162035640000.000000,,,93499084000.000000,23237409000.000000,87473732000.000000,2548205866000.000000,52964781000.000000,718758026000.000000,3524138898000.000000,8686174538000.000000,,,3841835096000.000000,1281280427000.000000,,,17788572000.000000,1135824352000.000000,1153612924000.000000,,1216590000.000000,571006124000.000000,572222714000.000000,117804762000.000000,249856392000.000000,,233245334000.000000,52625231000.000000,289620000.000000,,,,,286160185000.000000,180897692000.000000,3841835096000.000000,2234900852000.000000,,422571731000.000000,1435308965000.000000,378293000.000000,,,,,,1858258989000.000000,53206516000.000000,323435347000.000000,2234900852000.000000,6076735948000.000000,,830000000000.000000,-6589949000.000000,1652801796000.000000,46000000000.000000,1606801796000.000000,1652801796000.000000,68868738000.000000,64358005000.000000,2609438590000.000000,8686174538000.000000,1660000000.000000
12M 2015,,,503892183000.000000,334384069000.000000,107995000.000000,334276074000.000000,334384069000.000000,233618773000.000000,2944253000.000000,230674520000.000000,233618773000.000000,3356489015000.000000,1267818219000.000000,5696202259000.000000,,,186505605000.000000,62998208000.000000,235752277000.000000,2437927851000.000000,38410860000.000000,825137508000.000000,3786732309000.000000,9482934568000.000000,,,3290535116000.000000,790482295000.000000,,,17244160000.000000,1138336837000.000000,1155580997000.000000,,2194410000.000000,608688650000.000000,610883060000.000000,146441913000.000000,235374393000.000000,,145940267000.000000,,289866000.000000,,,847395000.000000,,147077528000.000000,204694930000.000000,3290535116000.000000,3217488884000.000000,,239113273000.000000,2480033605000.000000,82260000.000000,,,,,,2719229138000.000000,37818937000.000000,460440809000.000000,3217488884000.000000,6508024000000.000000,,830000000000.000000,-6589949000.000000,1697102058000.000000,46000000000.000000,1651102058000.000000,1697102058000.000000,15211000.000000,454383248000.000000,2974910568000.000000,9482934568000.000000,1660000000.000000
12M 2016,,,1525716049000.000000,375653985000.000000,347814000.000000,375306171000.000000,375653985000.000000,202356549000.000000,2505373000.000000,199851176000.000000,202356549000.000000,3006977864000.000000,1505551452000.000000,6616255899000.000000,,,192847019000.000000,130790615000.000000,231722153000.000000,2636983103000.000000,,874838999000.000000,4067181889000.000000,10683437788000.000000,,,4181304246000.000000,752594735000.000000,,,19880169000.000000,1034350351000.000000,1054230520000.000000,,3749423000.000000,579941136000.000000,583690559000.000000,132701766000.000000,293784970000.000000,,170299212000.000000,964705125000.000000,82260000.000000,,1073989000.000000,600984000.000000,,1136761570000.000000,227540126000.000000,4181304246000.000000,3298623269000.000000,,99556639000.000000,2509129351000.000000,,2437892000.000000,,,156895260000.000000,,2768019142000.000000,33710640000.000000,496893487000.000000,3298623269000.000000,7479927515000.000000,,830000000000.000000,-6589949000.000000,1905577857000.000000,46000000000.000000,1859577857000.000000,1905577857000.000000,15047000.000000,474507318000.000000,3203510273000.000000,10683437788000.000000,1660000000.000000
12M 2017,,,1286372628000.000000,501688245000.000000,175808000.000000,501512437000.000000,501688245000.000000,206975938000.000000,5184933000.000000,201791005000.000000,206975938000.000000,3066187543000.000000,1737298016000.000000,6798522370000.000000,,,212750011000.000000,177265111000.000000,323649183000.000000,3103305385000.000000,,809898016000.000000,4626867706000.000000,11425390076000.000000,,,4564694686000.000000,1463681779000.000000,,,33995208000.000000,1216853970000.000000,1250849178000.000000,,,739179543000.000000,739179543000.000000,165776911000.000000,389013487000.000000,,228281606000.000000,,,,6932295000.000000,124922000.000000,,235338823000.000000,320854965000.000000,4564694686000.000000,2618281245000.000000,,,1841877076000.000000,,11122181000.000000,,,130108867000.000000,,1983108124000.000000,13320641000.000000,621852480000.000000,2618281245000.000000,7182975931000.000000,,830000000000.000000,-6589949000.000000,2198886869000.000000,51000000000.000000,2147886869000.000000,2198886869000.000000,204581123000.000000,1015536102000.000000,4242414145000.000000,11425390076000.000000,1660000000.000000
