Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.53,679.26,0.55,649.71,440 B,"1,124 B","1,565 B","1,286 B",556 B
12M 2009,0.80,775.93,0.82,752.39,519 B,658 B,"1,177 B",988 B,570 B
12M 2010,3.03,885.02,3.18,843.34,450 B,549 B,999 B,775 B,396 B
12M 2011,4.77,1080.79,4.92,1045.87,"1,001 B",133 B,"1,134 B",845 B,91 B
12M 2012,5.08,1308.83,5.22,1273.91,"1,113 B",865 B,"1,978 B","1,451 B",580 B
12M 2013,3.76,1462.57,3.84,1430.66,"1,729 B","1,048 B","2,776 B","2,408 B",469 B
12M 2014,3.32,-41.49,3.39,1498.56,"1,567 B","1,858 B","3,426 B","2,913 B","1,320 B"
12M 2015,2.12,1792.11,2.15,1768.97,938 B,"2,719 B","3,657 B","3,153 B","2,406 B"
12M 2016,2.80,1929.82,2.80,1929.82,"1,889 B","2,768 B","4,657 B","3,132 B","2,435 B"
12M 2017,2.55,2432.43,2.55,2432.43,"1,699 B","1,983 B","3,682 B","2,396 B","2,234 B"
12M 2018,2.45,328.46,2.45,328.46,"2,349 B",502 B,"2,851 B","1,439 B","1,894 B"
12M 2019,2.84,-72.26,2.84,371.75,"1,906 B",83 B,"1,989 B",173 B,"2,487 B"
12M 2020,2.45,322.21,2.49,317.42,"2,503 B",431 B,"2,934 B",146 B,821 B
12M 2021,2.01,353.92,2.03,349.13,"1,576 B",1 B,"1,576 B","(1,202 B)","1,552 B"
12M 2022,2.96,487.83,2.99,483.05,"1,058 B",7 B,"1,064 B","(2,787 B)","3,173 B"
12M 2023,2.97,602.26,3.01,595.59,"3,319 B",17 B,"3,335 B",(339 B),"3,941 B"
12M 2024,2.00,704.93,2.02,699.62,"2,772 B",10 B,"2,782 B","(1,258 B)","4,870 B"
