Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Karyawan,Pembayaran Kas Kepada Pemasok Dan Untuk Beban Operasional Lainnya,Pembayaran Bunga Dan Beban Keuangan,Penerimaan Restitusi Pajak Penghasilan,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pencairan (Penempatan) Aset Keuangan Lainnya,Penempatan Investasi Pada Entitas Asosiasi,Penerimaan Hasil Penjualan Kepemilikan Saham Entitas Asosiasi,Penerimaan Hasil Penjualan Sebagian Kepemilikan Saham Entitas Asosiasi,Penerimaan Dividen Tunai,Penerimaan Dividen Dari Entitas Asosiasi,Penerimaan Atas Likuidasi Ventura Bersama,Penerimaan Dividen Dari Aset Keuangan Lainnya,Penerimaan Hasil Penjualan Aset Tetap,Penerimaan Bunga,Penerimaan Atas Piutang Lain-Lain Dari Pihak Berelasi,Penerimaan Atas Pelepasan Entitas Asosiasi,Penambahan Biaya Lisensi Yang Ditangguhkan Dan Merek,Penerimaan (Pemberian) Piutang Kepada Pihak Berelasi,Pemberian Pinjaman Kepada Pihak Asosiasi,Akuisisi Entitas Anak - Bersih,Penerimaan Hasil Penjualan Sebagian Kepemilikan Saham Entitas Anak,Kenaikan (Penurunan) Piutang Dan Utang Pihak Berelasi - Bersih,Penambahan Properti Investasi,Penerimaan Hasil Penjualan Properti Investasi,Penambahan Biaya Lisensi Yang Ditangguhkan,Penempatan Uang Jaminan,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Tetap,Pencairan Aset Keuangan Lainnya,Pembayaran Utang Pembelian Aset Tetap,Penempatan Investasi Pada Ventura Bersama,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Utang Bank,Penerimaan Dari Perubahan Proporsi Yang Dimiliki Oleh Kepentingan Non-Pengendali,Pembayaran Utang Pembelian Kendaraan,Penerimaan Pinjaman Dari Kepentingan Non-Pengendali,Penerimaan Hasil Penerbitan Modal Disetor Dari Kepentingan Non-Pengendali,Penerbitan Wesel Bayar,Pembayaran Utang Bank,Penambahan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Piutang Dan Utang Kepada Pihak Berelasi - Bersih,Pembayaran Bunga Dan Beban Keuangan,Penerimaan Dari Penerbitan Obligasi,Pembayaran Pokok Obligasi,Pembayaran Biaya Emisi Obligasi,Penerbitan Obligasi,Kenaikan (Penurunan) Utang Kepada Pihak Berelasi,Pembayaran Liabilitas Sewa Pembiayaan Dan Utang Pembelian Aset Tetap,Pembayaran Liabilitas Sewa,Penambahan (Pembayaran) Utang Jangka Panjang Lainnya,Pembayaran Premi Opsi,Pembayaran Dividen Tunai,Pembayaran Biaya Transaksi,Penerimaan Dari Unwinding Call Spread Option,Penerimaan Setoran Modal Entitas Anak Dari Pemegang Saham Lainnya,Perolehan Saham Treasuri,Penerimaan Dari Penawaran Umum Perdana Entitas Anak,Pembayaran Pajak Penghasilan Pemilik Saham Pendiri Atas Transaksi Saham Entitas Anak Di Bursa,Penerimaan Sehubungan Dengan Pelaksanaan Program Managemet Incentive Plan Entitas Anak,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Penurunan Kas Dan Setara Kas Akibat Pelepasan Entitas Anak,Kas Dan Setara Kas Akhir Periode
12M 2008,197691288000.000000,3436501312000.000000,,-3175831446000.000000,-58885640000.000000,30067190000.000000,-34160128000.000000,197691288000.000000,-399608522000.000000,,-9529060000.000000,,,,,,,11389298000.000000,9115896000.000000,,,,,,-62893423000.000000,,,,,-6085206000.000000,-16695086000.000000,-1198676000.000000,-323712265000.000000,,,,-399608522000.000000,145983045000.000000,310624144000.000000,,,,,,,,-102759365000.000000,17581778000.000000,,,,,,,-23128350000.000000,,,-37245162000.000000,-19090000000.000000,,,,,,,,,145983045000.000000,-55934189000.000000,338612752000.000000,-4525341000.000000,,278153222000.000000
12M 2009,270273511000.000000,4092569653000.000000,,-3670837255000.000000,-109840274000.000000,9216491000.000000,-50835104000.000000,270273511000.000000,-247443612000.000000,,-4230500000.000000,,,,,,,4592525000.000000,5456197000.000000,,,,,,,,,,,-3933546000.000000,-7900788000.000000,-53687602000.000000,-187739898000.000000,,,,-247443612000.000000,-111304524000.000000,60754050000.000000,,,,,,,100000000000.000000,-629540091000.000000,26234185000.000000,,364000000000.000000,,-7291350000.000000,,,-60025674000.000000,,6800000000.000000,-25495163000.000000,,,53259519000.000000,,,,,,,-111304524000.000000,-88474625000.000000,278153222000.000000,8157000.000000,,189686754000.000000
12M 2010,770430390000.000000,4846900545000.000000,,-3910534401000.000000,-123161736000.000000,27073151000.000000,-69847169000.000000,770430390000.000000,-521766425000.000000,,-9463958000.000000,,,400000000.000000,,,,8232217000.000000,6027271000.000000,,,,,,-74574103000.000000,,,,,-7053663000.000000,-16522075000.000000,-35692037000.000000,-393120077000.000000,,,,-521766425000.000000,-214066389000.000000,,,,,,,-121903194000.000000,130000000000.000000,-163320302000.000000,-69562000.000000,,,,,,,-19047558000.000000,,-1080611000.000000,-13745162000.000000,-24900000000.000000,,,,,,,,,-214066389000.000000,34597576000.000000,189686754000.000000,35946000.000000,,224320276000.000000
12M 2011,471073907000.000000,5866273468000.000000,,-5135749594000.000000,-117113220000.000000,1260909000.000000,-143597656000.000000,471073907000.000000,-492595582000.000000,12742600000.000000,-9828762000.000000,,,3640000000.000000,,,,3856283000.000000,8082504000.000000,,,,,,,,,,,-20032946000.000000,-47712738000.000000,-103957148000.000000,-339385375000.000000,,,,-492595582000.000000,85822693000.000000,266976921000.000000,,,,,,,100000000000.000000,-181157376000.000000,-175816000.000000,,,,,,,-51611309000.000000,,-1264565000.000000,-13745162000.000000,-33200000000.000000,,,,,,,,,85822693000.000000,64301018000.000000,224320276000.000000,43000.000000,,288621337000.000000
12M 2012,334328185000.000000,7614546009000.000000,-932250986000.000000,-6033285351000.000000,-161129691000.000000,478906000.000000,-154030702000.000000,334328185000.000000,-853888442000.000000,15488822000.000000,,,,6800000000.000000,,,,5592001000.000000,8785482000.000000,,,,,,,,,-537469000.000000,,-11364788000.000000,-45438536000.000000,-119570760000.000000,-713643194000.000000,,,,-853888442000.000000,757862940000.000000,1931319111000.000000,,,,,,-1493230043000.000000,400000000000.000000,-162002724000.000000,,,500000000000.000000,-295000000000.000000,-10143817000.000000,,723876000.000000,-47869173000.000000,,-1458061000.000000,-6376229000.000000,-58100000000.000000,,,,,,,,,757862940000.000000,238302683000.000000,288621337000.000000,-599139000.000000,,526324881000.000000
12M 2013,107560031000.000000,9734987890000.000000,-1266579235000.000000,-7925106605000.000000,-224830243000.000000,672688000.000000,-211584464000.000000,107560031000.000000,-903599270000.000000,-5322142000.000000,,,,8000000000.000000,,,,8930606000.000000,6636676000.000000,,,,,,,,,-544537000.000000,,-9758530000.000000,-37110369000.000000,-123077165000.000000,-751353809000.000000,,,,-903599270000.000000,640308773000.000000,2563250246000.000000,,,,,,-2106689683000.000000,500000000000.000000,-155833333000.000000,,,,,,,-114035000.000000,-85758945000.000000,,-1665477000.000000,,-71380000000.000000,-1500000000.000000,,,,,,,,640308773000.000000,-155730466000.000000,526324881000.000000,-2086983000.000000,,368507432000.000000
12M 2014,193608878000.000000,11789085527000.000000,-1645779622000.000000,-9297420977000.000000,-369147172000.000000,3423772000.000000,-286552650000.000000,193608878000.000000,-605681886000.000000,-10854766000.000000,,,,12000000000.000000,,,,10347721000.000000,5753999000.000000,,,,,,,56825000000.000000,,-1500064000.000000,77274000.000000,-3481368000.000000,-37964831000.000000,-140101597000.000000,-496783254000.000000,,,,-605681886000.000000,559264609000.000000,4367552069000.000000,,,,,,-4497373194000.000000,100000000000.000000,-246912000000.000000,,,1000000000000.000000,-69000000000.000000,-7036126000.000000,,2106998000.000000,-134096852000.000000,,-1331286000.000000,,-33200000000.000000,-1000000000.000000,,79555000000.000000,,,,,,559264609000.000000,147191601000.000000,368507432000.000000,178539000.000000,-3205687000.000000,512671885000.000000
12M 2015,255096713000.000000,12895077722000.000000,-1732739791000.000000,-10192855278000.000000,-353254681000.000000,2165426000.000000,-363296685000.000000,255096713000.000000,-650628694000.000000,-2690000.000000,-1000000.000000,,,14000000000.000000,,,,14975164000.000000,11287784000.000000,,,,,,,,,-1579728000.000000,,-36302363000.000000,-28692339000.000000,-34238828000.000000,-590074694000.000000,,,,-650628694000.000000,538956749000.000000,3067547143000.000000,,,,,,-3558345275000.000000,60000000000.000000,-331421333000.000000,,,1500000000000.000000,-53000000000.000000,-84000000.000000,,2337380000.000000,-126713779000.000000,,,,,-500000000.000000,,,-20863387000.000000,,,,,538956749000.000000,143424768000.000000,512671885000.000000,-1942220000.000000,-150262250000.000000,503892183000.000000
12M 2016,1228389990000.000000,14152070310000.000000,-1912452185000.000000,-10390268629000.000000,-313640552000.000000,135816749000.000000,-443135703000.000000,1228389990000.000000,-972975718000.000000,-187144545000.000000,-10894000000.000000,,,15000000000.000000,,,,28606025000.000000,7708543000.000000,,,,,,,,,-588907000.000000,165545000.000000,-21063455000.000000,-33758792000.000000,-23265608000.000000,-747740524000.000000,,,,-972975718000.000000,754561601000.000000,3671677435000.000000,,,,,,-3709564995000.000000,40000000000.000000,-156122667000.000000,,,1080002496000.000000,-42000000000.000000,,,1922940000.000000,-138353608000.000000,,,7000000000.000000,,,,,,,,,,754561601000.000000,1009975873000.000000,503892183000.000000,11847993000.000000,,1525716049000.000000
12M 2017,1360141962000.000000,16344367175000.000000,-2153683233000.000000,-12296867117000.000000,-259516980000.000000,211001740000.000000,-485159623000.000000,1360141962000.000000,-1070012850000.000000,-38892519000.000000,,,,15000000000.000000,,,,45550878000.000000,32667632000.000000,,,,,,,,,-1266318000.000000,53889000.000000,-14095260000.000000,-39642646000.000000,-10595029000.000000,-1058793477000.000000,,,,-1070012850000.000000,-523749462000.000000,2244194871000.000000,,,,,,-1533107827000.000000,120000000000.000000,-162122667000.000000,,,,-1057000000000.000000,,,-7238799000.000000,-103571372000.000000,,,,-41342295000.000000,-6489213000.000000,,,,37352320000.000000,-14424480000.000000,,,-523749462000.000000,-233620350000.000000,1525716049000.000000,-5723071000.000000,,1286372628000.000000
