Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Piutang Pihak Berelasi,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Investasi Pada Entitas Asosiasi,Persediaan,Aset Tetap,Goodwill,Properti Pertambangan,Aset Eksplorasi Dan Evaluasi,Aset Pajak Tangguhan,Adjustment,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Obligasi Konversi,Utang Pihak Berelasi,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Obligasi,Utang Sewa Pembiayaan,Utang Dari Pihak Ketiga,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Beban Akrual,Liabilitas Derivatif,Utang Pajak,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Pihak Berelasi,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Obligasi,Utang Sewa Pembiayaan,Utang Pemegang Saham,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Derivatif,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2012,,,56832.000000,,,,,,,,,,,14609.000000,71441.000000,,7533574.000000,,,15030.000000,,,712237.000000,119351.000000,,50000.000000,8430192.000000,8501633.000000,,,2696632.000000,,,,,,2649315.000000,,,,,,,,,,,,2181.000000,,45136.000000,,2696632.000000,,,,,,,,,,,,,,2696632.000000,,1042970.000000,,-385835.000000,,,-385835.000000,245905.000000,4901961.000000,5805001.000000,8501633.000000,3569587140.000000
12M 2013,,,1476165.000000,,,,,,,,,,,109199.000000,1585364.000000,,3361114.000000,,,304231.000000,,,16151284.000000,278347.000000,,68509.000000,20163485.000000,21748849.000000,,,2260422.000000,369383.000000,,,369383.000000,,1155140.000000,,,,,,,,,,,,109641.000000,,626258.000000,,2260422.000000,808861.000000,,,,,,,,,,,808861.000000,808861.000000,3069283.000000,,8911479.000000,,-1364829.000000,,,-1364829.000000,241911.000000,10891005.000000,18679566.000000,21748849.000000,3569587140.000000
12M 2014,,,4203441.000000,,,,,,,,,,159572.000000,1705741.000000,6068754.000000,,650192.000000,,,4102516.000000,,25107789.000000,89012248.000000,1737971.000000,,53971.000000,120664687.000000,126733441.000000,,,102165437.000000,1215370.000000,,,1215370.000000,80000000.000000,20636176.000000,,,,,,,,,,,,117225.000000,,196666.000000,,102165437.000000,4411870.000000,3121891.000000,,,,,,,,,,1289979.000000,4411870.000000,106577307.000000,,19493056.000000,,-6394991.000000,,,-6394991.000000,195366.000000,6862703.000000,20156134.000000,126733441.000000,3569587140.000000
12M 2015,,,18716486.000000,,,,,,,,,,16339.000000,387022.000000,19119847.000000,,,,,18381777.000000,,43290734.000000,90112248.000000,5524632.000000,,1688899.000000,158998290.000000,178118137.000000,,,12309250.000000,1703920.000000,,,1703920.000000,,8633420.000000,,,,,,,,464320.000000,,,464320.000000,1461941.000000,,45649.000000,,12309250.000000,6300843.000000,2218791.000000,,,,,1035680.000000,,1699366.000000,2735046.000000,,1347006.000000,6300843.000000,18610093.000000,,29089024.000000,141545883.000000,-11611408.000000,,,-11611408.000000,189261.000000,295284.000000,159508044.000000,178118137.000000,3569587140.000000
12M 2016,,,42593423.000000,,,,,,,,,,1248924.000000,3328784.000000,47171131.000000,,,,,95131994.000000,,54290439.000000,90121274.000000,7479502.000000,,9983218.000000,257006427.000000,304177558.000000,,,22556171.000000,7389624.000000,,,7389624.000000,,9130089.000000,,,,,,,,618407.000000,,313409.000000,931816.000000,4799175.000000,,305467.000000,,22556171.000000,122562343.000000,755547.000000,,,92660661.000000,,618791.000000,24340367.000000,2081419.000000,119701238.000000,,2105558.000000,122562343.000000,145118514.000000,,29089024.000000,141575629.000000,-14367771.000000,,,-14367771.000000,189688.000000,2572474.000000,159059044.000000,304177558.000000,3569587140.000000
12M 2017,,,34672371.000000,,,,,,,,,,30630785.000000,28755757.000000,94058913.000000,,,333.000000,,120600829.000000,,50891668.000000,96066901.000000,588410.000000,,8664420.000000,276812561.000000,370871474.000000,,,103662372.000000,,5388417.000000,541324.000000,5929741.000000,,9722521.000000,,,,,,48390000.000000,,845720.000000,8000000.000000,724621.000000,57960341.000000,8173864.000000,6593103.000000,15282802.000000,,103662372.000000,77697943.000000,302145.000000,,,46289001.000000,,,17258035.000000,2317033.000000,65864069.000000,6601625.000000,4930104.000000,77697943.000000,181360315.000000,,29089024.000000,141575629.000000,28715149.000000,,,28715149.000000,226158.000000,-10094801.000000,189511159.000000,370871474.000000,3569587140.000000
12M 2018,,,14086200.000000,1304283.000000,1304283.000000,,1304283.000000,4244782.000000,,,4244782.000000,,87381683.000000,47638857.000000,154655805.000000,,,,11566311.000000,270151716.000000,,152145618.000000,171088877.000000,6130143.000000,,32070908.000000,643153573.000000,797809378.000000,,,182984988.000000,,42339606.000000,,42339606.000000,,3500000.000000,,,,,,90611806.000000,,925832.000000,,534562.000000,92072200.000000,26268743.000000,2168189.000000,16050517.000000,585733.000000,182984988.000000,192671257.000000,4180000.000000,,,152460274.000000,,2797387.000000,,25914613.000000,181172274.000000,18686.000000,7300297.000000,192671257.000000,375656245.000000,,33164174.000000,228827551.000000,81199278.000000,,,81199278.000000,66821213.000000,12140917.000000,422153133.000000,797809378.000000,4164518330.000000
12M 2019,,,49592601.000000,234761.000000,234761.000000,,234761.000000,7228190.000000,,,7228190.000000,,96236666.000000,51467426.000000,204759644.000000,,,,58766224.000000,320336359.000000,,121295180.000000,205200814.000000,17804346.000000,,23090596.000000,746493519.000000,951253163.000000,,,254068583.000000,,33306306.000000,,33306306.000000,,,,,4180000.000000,4180000.000000,,136639574.000000,,12865011.000000,,213698.000000,149718283.000000,19428910.000000,9788836.000000,18458912.000000,19187336.000000,254068583.000000,172940264.000000,,,,98400800.000000,,34583239.000000,,29290462.000000,162274501.000000,,10665763.000000,172940264.000000,427008847.000000,,34690620.000000,286506032.000000,152026401.000000,,,152026401.000000,31295419.000000,19725844.000000,524244316.000000,951253163.000000,21897591650.000000
12M 2020,,,51026290.000000,2053374.000000,2053374.000000,,2053374.000000,4346098.000000,,,4346098.000000,,100986329.000000,40896606.000000,199308697.000000,,,,41024160.000000,296643431.000000,,118921853.000000,223577124.000000,19287993.000000,,30843380.000000,730297941.000000,929606638.000000,,,192217456.000000,,20199606.000000,,20199606.000000,,,17778.000000,,,17778.000000,,59099900.000000,57258929.000000,14312022.000000,13980000.000000,84985.000000,144735836.000000,18136639.000000,350824.000000,7415604.000000,1361169.000000,192217456.000000,173743301.000000,,1152690.000000,,39771612.000000,61243428.000000,23503576.000000,,33518262.000000,158036878.000000,,14553733.000000,173743301.000000,365960757.000000,,34690620.000000,286506032.000000,188222534.000000,1100000.000000,187122534.000000,188222534.000000,28656336.000000,25570359.000000,563645881.000000,929606638.000000,21897591650.000000
12M 2021,,,185470530.000000,592526.000000,499726.000000,92800.000000,592526.000000,5212746.000000,5212746.000000,,5212746.000000,,131417430.000000,88621812.000000,411315044.000000,,,,59093115.000000,298216345.000000,,79378252.000000,253482867.000000,14482810.000000,,162624226.000000,867277615.000000,1278592659.000000,,,297241459.000000,,29435350.000000,173891.000000,29609241.000000,,,19618.000000,,,19618.000000,,63966178.000000,143555673.000000,22061962.000000,,68970.000000,229652783.000000,29190451.000000,,3301330.000000,5468036.000000,297241459.000000,201940903.000000,,699533.000000,,,126288054.000000,21932239.000000,,34718787.000000,182939080.000000,,18302290.000000,201940903.000000,499182362.000000,,36112298.000000,454779498.000000,224361211.000000,1200000.000000,223161211.000000,224361211.000000,23843865.000000,40313425.000000,779410297.000000,1278592659.000000,22904850815.000000
