Period,Arus Kas Dari Aktivitas Operasi,Pembayaran Kas Kepada Karyawan,Penerimaan Dari Pelanggan,Penerimaan Jasa Giro,Pembayaran Royalti,Pembayaran Pajak Penghasilan Badan,Pembayaran Kas Kepada Pemasok,Penerimaan/ (Pembayaran) Sehubungan Dengan Transaksi Hedging,Penerimaan Atas Klaim Asuransi,Pembayaran Kas Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penambahan Aset Eksplorasi Dan Evaluasi,Penerimaan (Pendanaan) Untuk Pinjaman Ke Pihak Berelasi,Aset Lainnya,Perolehan Aset Tetap,Pembayaran Atas Akuisisi Entitas Anak,Penambahan Investasi Pada Saham,Penambahan Investasi Pada Instrumen Ekuitas Dan Efek Lainnya,Pembayaran Untuk Akuisisi Entitas Anak Setelah Dikurangi Kas Yang Di Peroleh,Pelunasan Hutang Investasi Di Perusahaan Anak,Penambahan Investasi Diperusahaan Anak,Penarikan Investasi Pada Instrumen Ekuitas Dan Efek Lainnya,Penerimaan Dari Pelepasan Kepemilikan Pada Entitas Sosial,"Pelepasan Entitas Anak, Setelah Dikurangi Kas Yang Dilepas Karena Kehilangan Pengendalian Pada Entitas Anak",Uang Muka Investasi,Pembayaran Pajak Lain-Lain,Properti Pertambangan,Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Setoran Modal,Uang Muka Setoran Modal,Aset Tidak Lancar Lainnya,Piutang Pihak Berelasi,Tambahan Modal Disetor,Penerimaan Utang Obligasi,Pembayaran Utang Obligasi,Penerimaan Dari Kepentingan Non Pengendali,Penerimaan Dari Pinjaman Bank,Penerimaan Dari Pihak Ketiga,Penerimaan Dari Sewa Pembiayaan,Penerimaan Dari Penerbitan Saham Biasa,Pembayaran Sewa Pembiayaan,Pembayaran Atas Bunga Pinjaman Bank,Penerimaan Pinjaman Dari Pihak Berelasi,Pembayaran Dividen,Pembayaran Dividen Entitas Anak,Pembayaran Biaya Pinjaman Pihak Ketiga,Pembayaran Pinjaman Kepada Pihak Berelasi,Pembayaran Biaya Emisi Saham,Pembayaran Atas Saham Treasuri,Pembayaran Beban Keuangan,Pembayaran Beban Pinjaman,Pembayaran Biaya Penerbitan Obligasi,Kas Yang Dibatasi Penggunaannya,Penerimaan Pinjaman Dari Pihak Ketiga,Pembayaran Atas Biaya Sewa,Penerimaan Dari Utang Obligasi,Pembayaran Atas Pinjaman Bank,Utang Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2013,-949860.000000,-581294.000000,,12323.000000,,,-338074.000000,,,-42815.000000,-949860.000000,-13857217.000000,-13508798.000000,,-18509.000000,-329910.000000,,,,,,,,,,,,,,-13857217.000000,16226410.000000,7868509.000000,5679616.000000,,4172460.000000,,,,,,,,,,,,,,,,,,,,,,,,,,-1494175.000000,16226410.000000,1419333.000000,56832.000000,,1476165.000000
12M 2014,-6538491.000000,-1811324.000000,,14971.000000,,,-3492510.000000,,,-1249628.000000,-6538491.000000,-15264534.000000,-14923690.000000,,7208.000000,-372364.000000,,,,,,,,,,,,,24312.000000,-15264534.000000,24530301.000000,,6702515.000000,,-352792.000000,,,,,,,,,,,,,,,,,,,,,,,,,,18180578.000000,24530301.000000,2727276.000000,1476165.000000,,4203441.000000
12M 2015,-5275973.000000,-1843154.000000,,424399.000000,,,-2024289.000000,,,-1832929.000000,-5275973.000000,-32374240.000000,-1100000.000000,,-32660.000000,-14356102.000000,,,,,,,,,,,-1255138.000000,-15630340.000000,,-32374240.000000,52183672.000000,3678270.000000,-6702515.000000,,650192.000000,67455150.000000,,,,25000000.000000,,,,,,,,,,,,,,,,,,,,-25000000.000000,-12897425.000000,52183672.000000,14533459.000000,4203441.000000,-20414.000000,18716486.000000
12M 2016,-5361466.000000,-2034039.000000,,77881.000000,,,-3405308.000000,,,,-5361466.000000,-85007621.000000,-9026.000000,,,-69078690.000000,,,,,,,,,,,-5615662.000000,-10304243.000000,,-85007621.000000,114395935.000000,,,,,,,,,97000000.000000,25000000.000000,373422.000000,,-604488.000000,,,,,-5441520.000000,,,,,,,,,,,,-1931479.000000,114395935.000000,24026848.000000,18716486.000000,-149911.000000,42593423.000000
12M 2017,72292157.000000,-9041174.000000,132710171.000000,128938.000000,-4976658.000000,,-43724201.000000,-2804919.000000,,,72292157.000000,-61550166.000000,-5945627.000000,,,-50295559.000000,,,,,,,,,,-320000.000000,,-4988980.000000,,-61550166.000000,-18667941.000000,,,,,,,,,29000000.000000,,544247.000000,,-770336.000000,,,,,-6602012.000000,,,,,,,-11961049.000000,,,,-28260000.000000,-618791.000000,-18667941.000000,-7925950.000000,42593423.000000,4898.000000,34672371.000000
12M 2018,50905857.000000,-20637599.000000,294867673.000000,346580.000000,-9761687.000000,-28982193.000000,-182637221.000000,-2289696.000000,,,50905857.000000,-114801889.000000,-21443167.000000,,,-28700470.000000,-55647371.000000,,,,,,,,,-2850000.000000,,-6160881.000000,,-114801889.000000,41689557.000000,,,,,,,,,235000000.000000,,,91690881.000000,-845720.000000,,11599547.000000,-9743.000000,,-27661489.000000,,-363810.000000,,-18492507.000000,,,,,,,-191694000.000000,-57533602.000000,41689557.000000,-22206475.000000,34672371.000000,1620304.000000,14086200.000000
12M 2019,123356721.000000,-39858836.000000,433642158.000000,895241.000000,-14270006.000000,-51417611.000000,-194407729.000000,-11226496.000000,,,123356721.000000,-153213684.000000,-30252296.000000,,,-103908372.000000,-19085002.000000,,,,,,,,,,,,31986.000000,-153213684.000000,65429183.000000,,,,,,,,,100000000.000000,,52077477.000000,59727677.000000,-8352446.000000,,,,,,,-522750.000000,,-28000775.000000,,,,,,,-106000000.000000,-3500000.000000,65429183.000000,35572220.000000,14086200.000000,-65819.000000,49592601.000000
12M 2020,119967225.000000,-42712674.000000,341291616.000000,281336.000000,-15762311.000000,-35845741.000000,-99631574.000000,-27653427.000000,,,119967225.000000,-69907987.000000,-25584143.000000,-5459882.000000,,-26202775.000000,-2565244.000000,-5000000.000000,,,,,,,,,,-5147200.000000,51257.000000,-69907987.000000,-48832383.000000,,,,,,,,1665000.000000,,,2159303.000000,,-13716530.000000,,,-128250.000000,,,,,,-13147817.000000,-615154.000000,-1274052.000000,,,,116225117.000000,-140000000.000000,,-48832383.000000,1226855.000000,49592601.000000,206834.000000,51026290.000000
12M 2021,132884413.000000,-41111222.000000,383629312.000000,1501029.000000,-13167724.000000,-25011195.000000,-193610217.000000,1154430.000000,19500000.000000,,132884413.000000,-242310367.000000,-26446237.000000,-3292666.000000,,-83768262.000000,-1130673.000000,,-47000000.000000,,,,,,,-80160000.000000,,-760070.000000,247541.000000,-242310367.000000,246646459.000000,,,,,,,-56809556.000000,18625792.000000,125000000.000000,,2990876.000000,172023090.000000,-27886776.000000,,,-56250.000000,,-13980000.000000,,-2327946.000000,-283449.000000,-14576999.000000,-4964498.000000,-1282240.000000,,,,209046447.000000,-158872032.000000,,246646459.000000,137220505.000000,51026290.000000,-2776265.000000,185470530.000000
12M 2022,462968802.000000,-52286659.000000,908331995.000000,1555969.000000,-14596216.000000,-12266679.000000,-433842613.000000,7573005.000000,58500000.000000,,462968802.000000,-1127055989.000000,-61290251.000000,-55197236.000000,,-668708896.000000,-299529693.000000,,,,,-21000000.000000,,,,-2737077.000000,,-18668267.000000,75431.000000,-1127055989.000000,931573365.000000,,,,,,,-134857494.000000,73138570.000000,785109260.000000,74600500.000000,13101269.000000,237788607.000000,-35804156.000000,,,-56204296.000000,,-41392272.000000,,-311709.000000,-18315524.000000,-35590723.000000,-11084388.000000,-5413024.000000,,,,815680047.000000,-728871302.000000,,931573365.000000,267486178.000000,185470530.000000,-9047604.000000,443909104.000000
