Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Others,Total Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2013,,,,-2894391.000000,-2894391.000000,,-2894391.000000,-2894391.000000,-2894391.000000,1686796.000000,1686796.000000,,,1686796.000000,-1207595.000000,205977.000000,-62372.000000,268349.000000,205977.000000,-1001618.000000,328058.000000,328058.000000,328058.000000,-673560.000000,-1001618.000000,-978994.000000,-22624.000000,-1001618.000000,-673560.000000,-656808.000000,-16752.000000,-673560.000000
12M 2014,,,,-5214447.000000,-5214447.000000,,-5214447.000000,-5214447.000000,-5214447.000000,-1280093.000000,,-1280093.000000,,-1280093.000000,-6494540.000000,1411866.000000,,1411866.000000,1411866.000000,-5082674.000000,-143273.000000,-143273.000000,-143273.000000,-5225947.000000,-5082674.000000,-5030162.000000,-52512.000000,-5082674.000000,-5225947.000000,-5171888.000000,-54059.000000,-5225947.000000
12M 2015,,,,-5237366.000000,-5237366.000000,,-5237366.000000,-5237366.000000,-5237366.000000,-3817065.000000,,-1342221.000000,-2474844.000000,-3817065.000000,-9054431.000000,3831747.000000,,3831747.000000,3831747.000000,-5222684.000000,135258.000000,135258.000000,135258.000000,-5087426.000000,-5222684.000000,-5216417.000000,-6267.000000,-5222684.000000,-5087426.000000,-5081321.000000,-6105.000000,-5087426.000000
12M 2016,,,,-4224813.000000,-4224813.000000,,-4224813.000000,-4224813.000000,-4224813.000000,-2212891.000000,,-1694926.000000,-517965.000000,-2212891.000000,-6437704.000000,3679260.000000,,3679260.000000,3679260.000000,-2758444.000000,2279698.000000,2279698.000000,2279698.000000,-478746.000000,-2758444.000000,-2756363.000000,-2081.000000,-2758444.000000,-478746.000000,-479173.000000,427.000000,-478746.000000
12M 2017,129425445.000000,-47704670.000000,81720775.000000,-7206887.000000,-7206887.000000,,-7206887.000000,-7206887.000000,74513888.000000,-11422849.000000,,-8809044.000000,-2613805.000000,-11422849.000000,63091039.000000,-19957921.000000,-14944225.000000,-5013696.000000,-19957921.000000,43133118.000000,-12681224.000000,-12681224.000000,-12681224.000000,30451894.000000,43133118.000000,43082920.000000,50198.000000,43133118.000000,30451894.000000,30415645.000000,36249.000000,30451894.000000
12M 2018,293882260.000000,-155120396.000000,138761864.000000,-15546095.000000,-15546095.000000,,-15546095.000000,-15546095.000000,123215769.000000,-36445310.000000,,-16469513.000000,-19975797.000000,-36445310.000000,86770459.000000,-28902965.000000,,,-28902965.000000,57867494.000000,28346467.000000,28346467.000000,28346467.000000,86213961.000000,57867494.000000,52484129.000000,5383365.000000,57867494.000000,86213961.000000,73733617.000000,12480344.000000,86213961.000000
12M 2019,402039388.000000,-246595679.000000,155443709.000000,-20126571.000000,-20126571.000000,,-20126571.000000,-20126571.000000,135317138.000000,-26845804.000000,895241.000000,-19611396.000000,-8129649.000000,-26845804.000000,108471334.000000,-39217681.000000,,,-39217681.000000,69253653.000000,-7533063.000000,-7533063.000000,-7533063.000000,61720590.000000,69253653.000000,70827123.000000,-1573470.000000,69253653.000000,61720590.000000,71118499.000000,-9397909.000000,61720590.000000
12M 2020,321860885.000000,-207739510.000000,114121375.000000,-20019418.000000,-20019418.000000,,-20019418.000000,-20019418.000000,94101957.000000,-37897508.000000,281336.000000,-18331368.000000,-19847476.000000,-37897508.000000,56204449.000000,-27312766.000000,,,-27312766.000000,28891683.000000,12443800.000000,12443800.000000,12443800.000000,41335483.000000,28891683.000000,36196133.000000,-7304450.000000,28891683.000000,41335483.000000,48699066.000000,-7363583.000000,41335483.000000
12M 2021,380956549.000000,-260859462.000000,120097087.000000,-29262265.000000,-29262265.000000,,-29262265.000000,-29262265.000000,90834822.000000,-34116472.000000,1501029.000000,-12997787.000000,-22619714.000000,-34116472.000000,56718350.000000,-23331550.000000,,,-23331550.000000,33386800.000000,-2831998.000000,-2831998.000000,-2831998.000000,30554802.000000,33386800.000000,36138677.000000,-2751877.000000,33386800.000000,30554802.000000,33362184.000000,-2807382.000000,30554802.000000
12M 2022,869878995.000000,-705227690.000000,164651305.000000,-53063655.000000,-53063655.000000,,-53063655.000000,-53063655.000000,111587650.000000,-21647594.000000,1555969.000000,-43435421.000000,20231858.000000,-21647594.000000,89940056.000000,-25095246.000000,,,-25095246.000000,64844810.000000,-7769387.000000,-7769387.000000,-7769387.000000,57075423.000000,64844810.000000,58423197.000000,6421613.000000,64844810.000000,57075423.000000,50477010.000000,6598413.000000,57075423.000000
12M 2023,1706782227.000000,-1561105721.000000,145676506.000000,-1508470.000000,-1508470.000000,-47425844.000000,-1508470.000000,-1508470.000000,96742192.000000,-84404045.000000,11528256.000000,-78723960.000000,-17208341.000000,-84404045.000000,12338147.000000,-6673125.000000,,,-6673125.000000,5665022.000000,2136311.000000,2136311.000000,2136311.000000,7801333.000000,5665022.000000,-20657631.000000,26322653.000000,5665022.000000,7801333.000000,-18478389.000000,26279722.000000,7801333.000000
12M 2024,2239030890.000000,-2062678001.000000,176352889.000000,-53775171.000000,-53775171.000000,-3581326.000000,-53775171.000000,-53775171.000000,118996392.000000,-97333811.000000,11353921.000000,-111313550.000000,2625818.000000,-97333811.000000,21662581.000000,-11860933.000000,,,-11860933.000000,9801648.000000,305952.000000,305952.000000,305952.000000,10107600.000000,9801648.000000,-55762106.000000,65563754.000000,9801648.000000,10107600.000000,-55474311.000000,65581911.000000,10107600.000000
