Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Kas Untuk Beban Operasi,Pembayaran Biaya Ipo,Pembayaran Pajak Penghasilan - Neto,Pembayaran Bunga,Penerimaan Bunga,Pembayaran Bunga Atas Liabilitas Sewa,Pembayaran Aktivitas Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pembayaran Uang Muka Pembangunan Infrastruktur Jaringan,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Perolehan Aset Hak Guna,Penambahan Uang Muka Aset Tetap,Pengeluaran Untuk Akuisisi Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Kenaikan Tambahan Modal Disetor Dari Penawaran Umum Perdana,Kenaikan Modal Saham,Kenaikan Modal Saham Melalui Pelaksanaan Waran,Kenaikan Tambahan Modal Disetor Melalui Pelaksanaan Waran,Penurunan Piutang Lain-Lain Dari Pihak Berelasi,Kenaikan Piutang Lain-Lain Dari Pihak Berelasi,Kepemilikan Saham Dari Kepentingan Non-Pengendali,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Biaya Emisi Saham,Pembayaran Pokok Liabilitas Sewa,Total Arus Kas Dari Aktivitas Pendanaan,Kas Neto Kas Dan Setara Kas,Kas Dan Setara Kas Dari Entitas Anak Yang Diakuisisi,Kas Dan Setara Kas Awal Periode,Kas Dan Setra Kas Akhir Periode
12M 2020,1987796326.000000,12486101989.000000,-8096193806.000000,-765530633.000000,-1423760575.000000,,-192096937.000000,-15853489.000000,2209526.000000,-5341449.000000,-1738300.000000,1987796326.000000,-642304243.000000,,-642304243.000000,,,,,-642304243.000000,-1286683485.000000,,,,,457531269.000000,-1553617693.000000,,-89938510.000000,,-100658551.000000,-1286683485.000000,58808598.000000,,349199140.000000,408007738.000000
12M 2021,2698350465.000000,19787069751.000000,-13717517235.000000,-1456210796.000000,-1518195759.000000,,-328129603.000000,-44903525.000000,1236981.000000,-23608749.000000,-1390600.000000,2698350465.000000,-1448931554.000000,,-1448931554.000000,,,,,-1448931554.000000,-1228568925.000000,,,,,1791102673.000000,-2698037871.000000,,-199242476.000000,,-122391251.000000,-1228568925.000000,20849986.000000,,408007738.000000,428857724.000000
12M 2022,1056097373.000000,18567912884.000000,-13096868895.000000,-2396737845.000000,-944650079.000000,,-364775047.000000,-97030678.000000,337735.000000,-25987074.000000,-586103628.000000,1056097373.000000,-61432191820.000000,-60499900000.000000,-657319320.000000,,,,-274972500.000000,-61432191820.000000,61890606064.000000,,59490000000.000000,,,2815640313.000000,,100000.000000,-277121322.000000,,-138012927.000000,61890606064.000000,1514511617.000000,73469074.000000,428857724.000000,2016838415.000000
12M 2023,-27072580740.000000,28859808819.000000,-19922296240.000000,-3618223717.000000,-31771330895.000000,,-559428786.000000,-87224334.000000,94958990.000000,-40594738.000000,-28249839.000000,-27072580740.000000,-61872742425.000000,-58674489517.000000,-3198252908.000000,,,,,-61872742425.000000,148730911646.000000,136500000000.000000,15000000000.000000,,,,,,-224989916.000000,-2406693176.000000,-137405262.000000,148730911646.000000,59785588481.000000,,2016838415.000000,61802426896.000000
12M 2024,6189921837.000000,29179447880.000000,-14308302233.000000,-6024158092.000000,,,-564090078.000000,-21343598.000000,497441237.000000,,-2569073279.000000,6189921837.000000,-5625407742.000000,,-10129912247.000000,4504504505.000000,,,,-5625407742.000000,-455500526.000000,,,5484834.000000,677140.000000,,,,-422062500.000000,,-39600000.000000,-455500526.000000,109013569.000000,,61802426896.000000,61911440465.000000
