Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Adjustment,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,13451511236.000000,-9921654662.000000,3529856574.000000,-2331605634.000000,-2331605634.000000,,-2331605634.000000,1198250940.000000,-20723712.000000,2209526.000000,-21194938.000000,,-1738300.000000,-20723712.000000,1177527228.000000,-219390512.000000,-249680095.000000,30289583.000000,-219390512.000000,958136716.000000,958136716.000000,-137722.000000,-137722.000000,-137722.000000,957998994.000000,958136716.000000,958136716.000000,,958136716.000000,957998994.000000,957998994.000000,,957998994.000000
12M 2021,19890895880.000000,-14238823609.000000,5652072271.000000,-3472507135.000000,-3472507135.000000,,-3472507135.000000,2179565136.000000,-68665893.000000,1236981.000000,-68512274.000000,,-1390600.000000,-68665893.000000,2110899243.000000,-465317784.000000,-482245491.000000,16927707.000000,-465317784.000000,1645581459.000000,1645581459.000000,7038276.000000,7038276.000000,7038276.000000,1652619735.000000,1645581459.000000,1645581459.000000,,1645581459.000000,1652619735.000000,1652619735.000000,,1652619735.000000
12M 2022,19947940168.000000,-14369598685.000000,5578341483.000000,-3689540112.000000,-3689540112.000000,,-3689540112.000000,1888801371.000000,-104083644.000000,337735.000000,-123017751.000000,,18596372.000000,-104083644.000000,1784717727.000000,-410959714.000000,-411942403.000000,982689.000000,-410959714.000000,1373758013.000000,1373758013.000000,3556104.000000,3556104.000000,3556104.000000,1377314117.000000,1373758013.000000,1373752564.000000,5449.000000,1373758013.000000,1377314117.000000,1377308936.000000,5181.000000,1377314117.000000
12M 2023,28889381869.000000,-20619611538.000000,8269770331.000000,-6963621869.000000,-6963621869.000000,,-6963621869.000000,1306148462.000000,3980936.000000,94958990.000000,-131305772.000000,,40327718.000000,3980936.000000,1310129398.000000,-434437379.000000,-605630152.000000,171192773.000000,-434437379.000000,875692019.000000,875692019.000000,-49293852.000000,-49293852.000000,-49293852.000000,826398167.000000,875692019.000000,875692735.000000,-716.000000,875692019.000000,826398167.000000,826398901.000000,-734.000000,826398167.000000
12M 2024,30437200682.000000,-19563574082.000000,10873626600.000000,-9763972051.000000,-9763972051.000000,,-9763972051.000000,1109654549.000000,586383394.000000,497441237.000000,-111698031.000000,,200640188.000000,586383394.000000,1696037943.000000,-367678990.000000,-385810167.000000,18131177.000000,-367678990.000000,1328358953.000000,1328358953.000000,-1798051.000000,-1798051.000000,-1798051.000000,1326560902.000000,1328358953.000000,1328358920.000000,33.000000,1328358953.000000,1326560902.000000,1326560866.000000,36.000000,1326560902.000000
