Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Untuk Karyawan,Pembayaran Untuk Operasi,Pembayaran Untuk Beban Usaha,Penerimaan Lain-Lain,Pembayaran Lain-Lain,Pembayaran Pajak Penghasilan,Penerimaan Bunga,Pembayaraan Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Tetap,Uang Muka Pembangunan Pabrik Baru,Pembayaran Uang Muka Pembelian Aset Takberwujud,Penerimaan Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penawaran Umum Perdana Saham,Kenaikan Modal Saham,Perolehan Dari Pihak Berelasi,Pembayaran Kepada Pihak Berelasi,Utang Bank Jangka Pendek,Penerimaan,Pembayaran,Total Utang Bank Jangka Pendek,Utang Bank Jangka Panjang,Penerimaan,Pembayaran,Total Utang Bank Jangka Panjang,Penerimaan Dari Eksekusi Waran,Penerimaan Modal Disetor Dari Kepentingan Non-Pengendali Pada Entitas Anak,Penerimaan (Pembayaran) Utang Pembiayaan Konsumen,Perolehan Dari Utang Pembiayaan Konsumen,Kenaikan (Penurunan) Utang Lain-Lain Kepada Pihak Berelasi,Pembayaran Liabilitas Sewa,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan/(Penurunan) Neto Kas Dan Setara Kas,Kas Dan Setara Kas Awal Tahun,Kas Dan Setara Kas Akhir Tahun
12M 2019,902887069.000000,50295411802.000000,-39837484482.000000,-1634174506.000000,-6454804590.000000,,486037878.000000,-26320109.000000,-316030857.000000,849715.000000,-1610597782.000000,902887069.000000,47267500.000000,,-10732500.000000,,,58000000.000000,47267500.000000,-1334975694.000000,,,,,,47515895507.000000,-47545525689.000000,-29630182.000000,,,-200000004.000000,-200000004.000000,,,-306051306.000000,,,-799294202.000000,-1334975694.000000,-384821125.000000,706395089.000000,321573964.000000
12M 2020,1665091097.000000,47106612641.000000,-37436591688.000000,-4460938020.000000,-1542551780.000000,,,-29683014.000000,-307437467.000000,249922.000000,-1664569497.000000,1665091097.000000,72000000.000000,,,,,72000000.000000,72000000.000000,-644097802.000000,,,,,,12685834420.000000,-12068301645.000000,617532775.000000,,,-200000004.000000,-200000004.000000,,,-320112778.000000,,,-741517795.000000,-644097802.000000,1092993295.000000,321573964.000000,1414567259.000000
12M 2021,1082355412.000000,38743914515.000000,-30830240202.000000,-3645134060.000000,-1595986450.000000,,90747854.000000,-36007642.000000,-221558889.000000,581757.000000,-1423961471.000000,1082355412.000000,103589708.000000,,-236410292.000000,,,340000000.000000,103589708.000000,-773126018.000000,,,,,,2609568570.000000,-2551423686.000000,58144884.000000,,,-200000004.000000,-200000004.000000,,,-291295721.000000,,,-339975177.000000,-773126018.000000,412819102.000000,1414567259.000000,1827386361.000000
12M 2022,-17808579922.000000,35953854099.000000,-42353773099.000000,-3658698681.000000,,-2949000711.000000,,-1554505167.000000,-1571272420.000000,11887675.000000,-1687071618.000000,-17808579922.000000,-48118433133.000000,,-47948033133.000000,,-170400000.000000,,-48118433133.000000,69742947287.000000,,49800000000.000000,,,,3026079161.000000,,3026079161.000000,,19171000000.000000,-3523157720.000000,15647842280.000000,,300000.000000,-290474596.000000,,1720000000.000000,-160799558.000000,69742947287.000000,3815934232.000000,1827386361.000000,5643320593.000000
12M 2023,-14115338034.000000,30364919850.000000,-42172565088.000000,,,,,,-537942155.000000,93037605.000000,-1862788246.000000,-14115338034.000000,-68703517984.000000,,-2332661791.000000,,-66370856193.000000,,-68703517984.000000,88606788755.000000,97125000000.000000,,,-2801507780.000000,,,-3000431719.000000,-3000431719.000000,,,-2382716290.000000,-2382716290.000000,,,-333555456.000000,,,,88606788755.000000,5787932737.000000,5643320593.000000,11431253330.000000
12M 2024,1087044598.000000,27000736356.000000,-24726125374.000000,,,,,,-155618091.000000,148106255.000000,-1180054548.000000,1087044598.000000,6000186528.000000,,-8019416696.000000,,-3153132776.000000,17172736000.000000,6000186528.000000,-7334944073.000000,,,327946491.000000,-40126500.000000,,,-499083323.000000,-499083323.000000,,,-10098773178.000000,-10098773178.000000,,,-654056463.000000,3629148900.000000,,,-7334944073.000000,-247712947.000000,11431253331.000000,11183540384.000000
