Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2019,1 B,(0 B),1 B,4460772.84
12M 2020,2 B,,2 B,8325455.49
12M 2021,1 B,(0 B),1 B,4229725.60
12M 2022,(18 B),(48 B),(66 B),-26.30
12M 2023,(14 B),(2 B),(16 B),-4.80
12M 2024,1 B,(8 B),(7 B),-2.02
