Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Pembiayaan Konsumen,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,321573964.000000,10299522231.000000,,10299522231.000000,10299522231.000000,12737939611.000000,29330051.000000,23388365857.000000,,7719167290.000000,194452523.000000,,,7913619813.000000,31301985670.000000,,,32096712996.000000,12797548599.000000,,16806077762.000000,16806077762.000000,,,,13828667.000000,1310834484.000000,,200000004.000000,226905686.000000,741517794.000000,1168423484.000000,32096712996.000000,2121065378.000000,,233333318.000000,500411374.000000,500774736.000000,1234519428.000000,886545950.000000,2121065378.000000,34217778374.000000,,200000000.000000,,-2817108154.000000,,,-2817108154.000000,,-298684550.000000,-2915792704.000000,31301985670.000000,200.000000
12M 2020,,,1414567259.000000,2308715905.000000,,2308715905.000000,2308715905.000000,11035026586.000000,16268010.000000,14774577760.000000,,7092917313.000000,114190212.000000,,,7207107525.000000,21981685285.000000,,,21887552692.000000,13415081374.000000,,6215643561.000000,6215643561.000000,,,,14281668.000000,1480088061.000000,,200000004.000000,222482847.000000,339975177.000000,762458028.000000,21887552692.000000,1381700233.000000,,33333314.000000,476327435.000000,160799558.000000,670460307.000000,711239926.000000,1381700233.000000,23269252925.000000,,200000000.000000,,-1458942737.000000,,,-1458942737.000000,,-28624903.000000,-1287567640.000000,21981685285.000000,200.000000
12M 2021,,,1827386361.000000,2105221291.000000,,2105221291.000000,2105221291.000000,14995524667.000000,10526601.000000,18938658920.000000,,6587220559.000000,222491495.000000,,,6809712054.000000,25748370974.000000,,,23819444165.000000,13473226258.000000,,7802373242.000000,7802373242.000000,,,,70475192.000000,1988762006.000000,,33333314.000000,290474595.000000,160799558.000000,484607467.000000,23819444165.000000,1631437879.000000,,,404175303.000000,,404175303.000000,1227262576.000000,1631437879.000000,25450882044.000000,,200000000.000000,,357521451.000000,,,357521451.000000,,-260032521.000000,297488930.000000,25748370974.000000,200.000000
12M 2022,,,5643320593.000000,5115147281.000000,793325779.000000,4321821502.000000,5115147281.000000,26154915086.000000,3480035946.000000,40393418906.000000,,53447629924.000000,198664367.000000,,170400000.000000,53816694291.000000,94210113197.000000,,,26945596519.000000,16499305419.000000,,3319286236.000000,3319286236.000000,,1720000000.000000,1720000000.000000,1857236789.000000,1529923111.000000,,1750369649.000000,269475315.000000,,2019844964.000000,26945596519.000000,15228078914.000000,,13930805945.000000,134699987.000000,,14065505932.000000,1162572982.000000,15228078914.000000,42173675433.000000,,50000000000.000000,,2144613690.000000,100000000.000000,2044613690.000000,2144613690.000000,284349.000000,-108460275.000000,52036437764.000000,94210113197.000000,2500000000.000000
12M 2023,,,11431253331.000000,6846332136.000000,1337832381.000000,5508499755.000000,6846332136.000000,39997698583.000000,2973925542.000000,61249209592.000000,,54130615156.000000,214052726.000000,,64725400000.000000,119070067882.000000,180319277474.000000,,,20053837467.000000,13498873700.000000,,4359409186.000000,4359409186.000000,,,,10530500.000000,1388158506.000000,,741908120.000000,54957455.000000,,796865575.000000,20053837467.000000,14025652184.000000,,12556551184.000000,15662391.000000,,12572213575.000000,1453438609.000000,14025652184.000000,34079489651.000000,,68500000000.000000,75255000000.000000,2484552667.000000,,2484552667.000000,2484552667.000000,235157.000000,,146239787824.000000,180319277475.000000,3425000000.000000
12M 2024,,,11183540384.000000,6807548637.000000,1426556615.000000,5380992022.000000,6807548637.000000,46154447236.000000,453746970.000000,64599283227.000000,,43976586907.000000,275517614.000000,,66135991016.000000,110388095537.000000,174987378764.000000,,,22973373056.000000,12999790377.000000,,5696869871.000000,5696869871.000000,,,,2403444.000000,1785127261.000000,,1325926294.000000,1163255809.000000,,2489182103.000000,22973373056.000000,5332298044.000000,,1875674832.000000,1882456474.000000,,3758131306.000000,1574166738.000000,5332298044.000000,28305671100.000000,,68500000000.000000,75255000000.000000,2926485174.000000,,2926485174.000000,2926485174.000000,222490.000000,,146681707664.000000,174987378764.000000,3425000000.000000
