Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembiayaan Konsumen,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembiayaan Konsumen,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2014,,,148341050958.000000,12527478790.000000,12527478790.000000,12527478790.000000,54203450463.000000,,54203450463.000000,54203450463.000000,975605078271.000000,75807036257.000000,1266484094739.000000,,103789427778.000000,,,103789427778.000000,60597943609.000000,180910047055.000000,230845580.000000,121391941425.000000,466920205447.000000,1733404300186.000000,,,935381737851.000000,,22561478304.000000,22561478304.000000,,,290914461049.000000,290914461049.000000,9588679055.000000,1242308792.000000,,4108031766.000000,282276675462.000000,286384707228.000000,324690103423.000000,935381737851.000000,421252100547.000000,34948067279.000000,,,34948067279.000000,,4116961045.000000,367239883751.000000,371356844796.000000,14947188472.000000,421252100547.000000,1356633838398.000000,,44228000000.000000,14702823438.000000,129946602964.000000,,,129946602964.000000,187893035386.000000,,376770461788.000000,1733404300186.000000,170000.000000
12M 2015,,,164032064374.000000,28883201976.000000,28883201976.000000,28883201976.000000,30892628380.000000,,30892628380.000000,30892628380.000000,1279215151459.000000,244722606570.000000,1747745652759.000000,,52293263889.000000,,,52293263889.000000,68651824829.000000,186470876127.000000,133758668.000000,82204574514.000000,389754298027.000000,2137499950786.000000,,,864574202579.000000,,25842489573.000000,25842489573.000000,,,301132356997.000000,301132356997.000000,6777422581.000000,4664896971.000000,,3401461464.000000,392368820814.000000,395770282278.000000,130386754179.000000,864574202579.000000,606131953097.000000,23918454576.000000,,,23918454576.000000,,1920624381.000000,565125073422.000000,567045697803.000000,15167800718.000000,606131953097.000000,1470706155676.000000,,59228000000.000000,137127847738.000000,166406704889.000000,,,166406704889.000000,305579651363.000000,-1548408880.000000,666793795110.000000,2137499950786.000000,592280000.000000
12M 2016,,,146445388165.000000,17956210886.000000,17956210886.000000,17956210886.000000,11503440539.000000,,11503440539.000000,11503440539.000000,1541486289024.000000,45292146263.000000,1762683474877.000000,,62279165035.000000,,,62279165035.000000,71046746784.000000,261355821761.000000,342966259.000000,242974213463.000000,637998913302.000000,2400682388179.000000,,,699285606836.000000,,34226651598.000000,34226651598.000000,,,360351609329.000000,360351609329.000000,5701954657.000000,9493768528.000000,,1883942362.000000,173098081520.000000,174982023882.000000,114529598842.000000,699285606836.000000,1031935470859.000000,53129879721.000000,,,53129879721.000000,,341138247.000000,950149310960.000000,950490449207.000000,28315141931.000000,1031935470859.000000,1731221077695.000000,,59228000000.000000,161471153280.000000,143510144685.000000,100000000.000000,143410144685.000000,143510144685.000000,309769514402.000000,-4517501883.000000,669461310484.000000,2400682388179.000000,592280000.000000
12M 2017,,,164774748077.000000,13244038940.000000,13244038940.000000,13244038940.000000,51656930070.000000,,51656930070.000000,51656930070.000000,1595533021993.000000,45052479398.000000,1870261218478.000000,,29695000000.000000,,,29695000000.000000,72514156763.000000,187922618814.000000,,214050393737.000000,504182169314.000000,2374443387792.000000,,,472440994184.000000,,28224685156.000000,28224685156.000000,,,179794262873.000000,179794262873.000000,4581108081.000000,12006135263.000000,,594187306.000000,158277854522.000000,158872041828.000000,88962760983.000000,472440994184.000000,1206355797536.000000,65614363032.000000,,,65614363032.000000,,348659717.000000,1106248598556.000000,1106597258273.000000,34144176231.000000,1206355797536.000000,1678796791720.000000,,59228000000.000000,161471153280.000000,122037847367.000000,100000000.000000,121937847367.000000,122037847367.000000,355515653119.000000,-2606057694.000000,695646596072.000000,2374443387792.000000,592280000.000000
12M 2018,,,122507646809.000000,7637989841.000000,7637989841.000000,7637989841.000000,11470181459.000000,,11470181459.000000,11470181459.000000,1687018661384.000000,31702607779.000000,1860337087272.000000,,2453420655.000000,,,2453420655.000000,72907106653.000000,170131803263.000000,,227807367996.000000,473299698567.000000,2333636785839.000000,,,579451267667.000000,,42090021102.000000,42090021102.000000,,,119478540318.000000,119478540318.000000,4353319422.000000,14994851778.000000,,121356108.000000,310034109898.000000,310155466006.000000,88379069041.000000,579451267667.000000,1095470585204.000000,92392744669.000000,,,92392744669.000000,,213385437.000000,967919650156.000000,968133035593.000000,34944804942.000000,1095470585204.000000,1674921852871.000000,,59228000000.000000,161471153280.000000,94933879641.000000,100000000.000000,94833879641.000000,94933879641.000000,342081462783.000000,1000437264.000000,658714932968.000000,2333636785839.000000,592280000.000000
12M 2019,,,114154826976.000000,6830299946.000000,6830299946.000000,6830299946.000000,11042001785.000000,,11042001785.000000,11042001785.000000,1695577647975.000000,47638585804.000000,1875243362486.000000,,445000000.000000,,,445000000.000000,73853681653.000000,185416900268.000000,,223954601241.000000,483670183162.000000,2358913545648.000000,,,643322441129.000000,,33987678616.000000,33987678616.000000,,,263974919099.000000,263974919099.000000,5570123758.000000,14127430974.000000,,243427680.000000,189161066926.000000,189404494606.000000,136257794076.000000,643322441129.000000,1101425042160.000000,36147546923.000000,,,36147546923.000000,,271055595.000000,1029074157928.000000,1029345213523.000000,35932281714.000000,1101425042160.000000,1744747483289.000000,,59228000000.000000,161471153280.000000,73470663765.000000,3604567553.000000,69866096212.000000,73470663765.000000,319896245314.000000,100000000.000000,614166062359.000000,2358913545648.000000,592280000.000000
12M 2020,,,90128109909.000000,4925566302.000000,4925566302.000000,4925566302.000000,16881933440.000000,3065556063.000000,13816377377.000000,16881933440.000000,2598429083156.000000,128055714753.000000,2838420407560.000000,,445000000.000000,,,445000000.000000,54081520425.000000,171954713824.000000,,127770885626.000000,354252119875.000000,3192672527435.000000,,,2408288167435.000000,,26689998188.000000,26689998188.000000,,60824618864.000000,125424090775.000000,186248709639.000000,13987623075.000000,10677164198.000000,,156332169.000000,109542892244.000000,109699224413.000000,2060985447922.000000,2408288167435.000000,1129331192098.000000,38937846923.000000,,,38937846923.000000,,114721438.000000,1065221919226.000000,1065336640664.000000,25056704511.000000,1129331192098.000000,3537619359533.000000,,59228000000.000000,161471153280.000000,-287434484280.000000,5284012149.000000,-292718496429.000000,-287434484280.000000,-278311501098.000000,100000000.000000,-344946832098.000000,3192672527435.000000,592280000.000000
12M 2021,,,79939277641.000000,5434877692.000000,5434877692.000000,5434877692.000000,10657684211.000000,2728356101.000000,7929328110.000000,10657684211.000000,2510571107067.000000,112214992626.000000,2718817939237.000000,,1266256656.000000,,,1266256656.000000,54081520425.000000,158959579033.000000,,131095747232.000000,345403103346.000000,3064221042583.000000,,,2270628279992.000000,,25902805580.000000,25902805580.000000,,73561944425.000000,97850562674.000000,171412507099.000000,11816808844.000000,8942262889.000000,,114721435.000000,193054005793.000000,193168727228.000000,1859385168352.000000,2270628279992.000000,946364412911.000000,31901789471.000000,,,31901789471.000000,,,891748922649.000000,891748922649.000000,22713700791.000000,946364412911.000000,3216992692903.000000,,59228000000.000000,161471153280.000000,-225441388488.000000,4170349526.000000,-229611738014.000000,-225441388488.000000,-148129415112.000000,100000000.000000,-152771650320.000000,3064221042583.000000,592280000.000000
12M 2022,,,90903453967.000000,13120946720.000000,13120946720.000000,13120946720.000000,9617622980.000000,,9617622980.000000,9617622980.000000,2348496736557.000000,99020979500.000000,2561159739724.000000,,3801058289.000000,,,3801058289.000000,54081520425.000000,147907871865.000000,,133570790147.000000,339361240726.000000,2900520980450.000000,,,2301675244892.000000,,27942551336.000000,27942551336.000000,,26288191366.000000,67585232160.000000,93873423526.000000,13413492711.000000,13594744062.000000,,,453884405566.000000,453884405566.000000,1698966627691.000000,2301675244892.000000,926912222494.000000,109587525774.000000,,,109587525774.000000,,,797173588803.000000,797173588803.000000,20151107917.000000,926912222494.000000,3228587467386.000000,,59228000000.000000,161471153280.000000,-351379300927.000000,5095006078.000000,-356474307005.000000,-351379300927.000000,-197486339289.000000,100000000.000000,-328066486936.000000,2900520980450.000000,592280000.000000
12M 2023,,,74609401377.000000,9659588309.000000,9659588309.000000,9659588309.000000,9953651302.000000,1828946174.000000,8124705128.000000,9953651302.000000,2429213576634.000000,100993463707.000000,2624429681329.000000,,5497981208.000000,3812786274.000000,1685194934.000000,5497981208.000000,79577636978.000000,139206367479.000000,,65902320237.000000,290184305902.000000,2914613987231.000000,,,2256538177865.000000,,26678554254.000000,26678554254.000000,,33860156181.000000,61827780891.000000,95687937072.000000,4150825561.000000,10743526507.000000,,217509600.000000,336245730636.000000,336463240236.000000,1782814094235.000000,2256538177865.000000,1029863976815.000000,,136426340075.000000,3276000000.000000,139702340075.000000,,404337600.000000,867526150169.000000,867930487769.000000,22231148971.000000,1029863976815.000000,3286402154680.000000,,59228000000.000000,161471153280.000000,-370493920317.000000,4787377262.000000,-375281297579.000000,-370493920317.000000,-222093400412.000000,100000000.000000,-371788167449.000000,2914613987231.000000,592280000.000000
