Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Adjustment,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Pra Akuisisi,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2014,611293421267.000000,-258301700534.000000,352991720733.000000,-110680457628.000000,-36347048899.000000,-74333408729.000000,,-110680457628.000000,242311263105.000000,-44624275873.000000,10745112255.000000,-24218896601.000000,-23282956250.000000,118994702.000000,-7986529979.000000,-44624275873.000000,197686987232.000000,-24094891756.000000,,-24233750470.000000,138858714.000000,-24094891756.000000,173592095476.000000,,173592095476.000000,,173592095476.000000,173592095477.000000,145576056669.000000,28016038808.000000,173592095477.000000,173592095477.000000,145576056669.000000,28016038808.000000,173592095477.000000
12M 2015,1013949535101.000000,-593639638902.000000,420309896199.000000,-215990097377.000000,-36368771424.000000,-179621325953.000000,,-215990097377.000000,204319798822.000000,-126586158430.000000,6787665276.000000,4051232268.000000,-128843908287.000000,-4985246305.000000,-3595901382.000000,-126586158430.000000,77733640392.000000,-1105506415.000000,-1028576490.000000,,-76929925.000000,-1105506415.000000,76628133977.000000,,76628133977.000000,-1548408880.000000,75079725097.000000,76628133977.000000,44879930973.000000,31748203004.000000,76628133977.000000,75079725097.000000,44987283908.000000,30092441189.000000,75079725097.000000
12M 2016,631183291034.000000,-348041011053.000000,283142279981.000000,-260152656729.000000,-34450855087.000000,-225701801642.000000,,-260152656729.000000,22989623252.000000,-100002931039.000000,6198781289.000000,507953383.000000,-110340730586.000000,-158376332.000000,3789441207.000000,-100002931039.000000,-77013307787.000000,-968033841.000000,-1160632500.000000,192598659.000000,,-968033841.000000,-77981341628.000000,,-77981341628.000000,-2304714536.000000,-80286056164.000000,-77981341628.000000,-22896560204.000000,-55084781424.000000,-77981341628.000000,-80286056164.000000,-22806295764.000000,-57479760400.000000,-80286056164.000000
12M 2017,482386824523.000000,-239066961182.000000,243319863341.000000,-214937101339.000000,-24766232648.000000,-190170868691.000000,,-214937101339.000000,28382762002.000000,-70482348268.000000,7902260827.000000,,-87267855925.000000,,8883246830.000000,-70482348268.000000,-42099586266.000000,-2254441504.000000,-2314322569.000000,59881065.000000,,-2254441504.000000,-44354027770.000000,,-44354027770.000000,1965038635.000000,-42388989135.000000,-44354027770.000000,-24490004071.000000,-19864023699.000000,-44354027770.000000,-42388989135.000000,-24435842617.000000,-17953146518.000000,-42388989135.000000
12M 2018,407818436673.000000,-206345992268.000000,201472444405.000000,-212557875688.000000,-24192369878.000000,-188365505810.000000,,-212557875688.000000,-11085431283.000000,-34403918987.000000,7432016823.000000,,-64885009002.000000,,23049073192.000000,-34403918987.000000,-45489350270.000000,-193245339.000000,-259876000.000000,66630661.000000,,-193245339.000000,-45682595609.000000,,-45682595609.000000,3204432927.000000,-42478162682.000000,-45682595609.000000,-27103967726.000000,-18578627883.000000,-45682595609.000000,-42478162682.000000,-27227702864.000000,-15250459818.000000,-42478162682.000000
12M 2019,394076483099.000000,-214167836577.000000,179908646522.000000,-196727394486.000000,-21831658137.000000,-174895736349.000000,,-196727394486.000000,-16818747964.000000,-65198238321.000000,2638924764.000000,,-89393377468.000000,,21556214383.000000,-65198238321.000000,-82016986285.000000,-536649186.000000,-556168407.000000,19519221.000000,,-536649186.000000,-82553635471.000000,,-82553635471.000000,3077562869.000000,-79476072602.000000,-82553635471.000000,-24967783429.000000,-57585852042.000000,-82553635471.000000,-79476072602.000000,-24897883269.000000,-54578189333.000000,-79476072602.000000
12M 2020,135317894251.000000,-65596883872.000000,69721010379.000000,-112846038645.000000,-14601027462.000000,-98245011183.000000,,-112846038645.000000,-43125028266.000000,-60807050832.000000,1587526879.000000,,-62719078994.000000,,324501283.000000,-60807050832.000000,-103932079098.000000,-402726975.000000,-242407880.000000,-160319095.000000,,-402726975.000000,-104334806073.000000,,-104334806073.000000,1679444596.000000,-102655361477.000000,-104334806073.000000,-16256072856.000000,-88078733217.000000,-104334806073.000000,-102655361477.000000,-16100354661.000000,-86555006816.000000,-102655361477.000000
12M 2021,517130621986.000000,-165542920765.000000,351587701221.000000,-114377197987.000000,-17154753273.000000,-97222444714.000000,,-114377197987.000000,237210503234.000000,-42067751931.000000,236150741.000000,,-60708525280.000000,,18404622608.000000,-42067751931.000000,195142751303.000000,-578716343.000000,-389599600.000000,-189116743.000000,,-578716343.000000,194564034960.000000,,194564034960.000000,-1313310999.000000,193250723961.000000,194564034960.000000,63106758415.000000,131457276545.000000,194564034960.000000,193250723961.000000,63003797197.000000,130246926764.000000,193250723961.000000
12M 2022,504204354504.000000,-275176682393.000000,229027672111.000000,-144423382960.000000,-21020813036.000000,-123402569924.000000,,-144423382960.000000,84604289151.000000,-262117355623.000000,839116818.000000,,-270798570976.000000,,7842098535.000000,-262117355623.000000,-177513066472.000000,-380310783.000000,-393791860.000000,13481077.000000,,-380310783.000000,-177893377255.000000,,-177893377255.000000,953383520.000000,-176939993735.000000,-177893377255.000000,-126862568991.000000,-51030808264.000000,-177893377255.000000,-176939993735.000000,-126889500930.000000,-50050492805.000000,-176939993735.000000
12M 2023,269873042818.000000,-121791361324.000000,148081681494.000000,-143003681539.000000,-17101871184.000000,-125901810355.000000,,-143003681539.000000,5077999955.000000,-49045770280.000000,1618233336.000000,,-54001918142.000000,,3337914526.000000,-49045770280.000000,-43967770325.000000,-208914247.000000,-225766732.000000,16852485.000000,,-208914247.000000,-44176684572.000000,,-44176684572.000000,-307628816.000000,-44484313388.000000,-44176684572.000000,-18806990574.000000,-25369693998.000000,-44176684572.000000,-44484313388.000000,-18520826763.000000,-25963486625.000000,-44484313388.000000
