Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Untuk:,"Pemasok, Karyawan Dan",Beban Operasional Lainnya,Bunga Dan Beban Keuangan - Neto,Pajak Penghasilan,Total Pembayaran Untuk:,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penerimaan Dari Penjualan Aset Tetap,Peningkatan Investasi Pada Entitas Asosiasi,Uang Muka Investasi,Aset Diperolehan Dari Pengampunan Pajak,Uang Muka,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari (Pembayaran Atas) Pinjaman Bank,Pembayaran Atas Pinjaman Bank,Penerimaan Dari Pinjaman Bank,Total Penerimaan Dari (Pembayaran Atas) Pinjaman Bank,Penerimaan Pinjaman Dari Pihak Berelasi,Setoran Modal Dari Kepentingan Non-Pengendali,Penerimaan (Pembayaran) Pembiayaan Konsumen,Pembayaran Dividen,Pembayaran Dari Pinjaman Kepada Pihak Berelasi,Pengurangan (Penambahan) Piutang Non Usaha Pihak Berelasi,Penerimaan Dari (Pembayaran Atas) Utang Non-Usaha Atas Anjak Piutang,Setoran Modal,Tambahan Modal Disetor Dari Pengampunan Pajak,Tambahan Modal Disetor,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2014,-64031703097.000000,668141088278.000000,,,-687618360401.000000,-12537843995.000000,-32016586979.000000,-732172791375.000000,-64031703097.000000,37558656796.000000,-55318293976.000000,,4492264756.000000,,,88384686016.000000,,37558656796.000000,51490227795.000000,268117816081.000000,,,268117816081.000000,56554724250.000000,4250000000.000000,-18768331.000000,-20000000000.000000,-43773914190.000000,,-213639630015.000000,,,,,51490227795.000000,,25017181494.000000,25017181493.000000,50034362987.000000
12M 2015,-472012528645.000000,803290462670.000000,,-1133844782749.000000,,-122056243010.000000,-19401965556.000000,-1275302991315.000000,-472012528645.000000,-96698212606.000000,-24058873206.000000,70000000.000000,4950000000.000000,,,-77659339400.000000,,-96698212606.000000,584401754667.000000,307977335023.000000,,,307977335023.000000,51850538889.000000,93681000000.000000,-2902906966.000000,-9500000000.000000,-11029612703.000000,,16900376123.000000,15000000000.000000,,122425024301.000000,,584401754667.000000,,15691013416.000000,148341050958.000000,164032064374.000000
12M 2016,-323968983270.000000,626253126787.000000,,-821207907921.000000,,-104141949297.000000,-24872252839.000000,-950222110057.000000,-323968983270.000000,9221373931.000000,-5309115306.000000,419610295.000000,,,-25000000000.000000,39110878942.000000,,9221373931.000000,297160933130.000000,165753498244.000000,,,165753498244.000000,45669425145.000000,18932000000.000000,-3097005236.000000,,-10006391681.000000,,12159928676.000000,,67749477982.000000,,,297160933130.000000,,-17586676209.000000,164032064374.000000,146445388165.000000
12M 2017,-140994069753.000000,460194621530.000000,,-512803510734.000000,,-72915767433.000000,-15469413116.000000,-601188691283.000000,-140994069753.000000,-1305875359.000000,-3202773969.000000,1105363636.000000,,-19488888889.000000,25000000000.000000,-4719576137.000000,,-1305875359.000000,160629305024.000000,152545574002.000000,,,152545574002.000000,32604655570.000000,48544500000.000000,-1213222454.000000,,60141670811.000000,,-131993872905.000000,,,,,160629305024.000000,,18329359912.000000,146445388165.000000,164774748077.000000
12M 2018,-19377331909.000000,414920743830.000000,,-372209724068.000000,,-56695677817.000000,-5392673854.000000,-434298075739.000000,-19377331909.000000,-17185642651.000000,-2120032282.000000,2069269383.000000,,,,-17134879752.000000,,-17185642651.000000,-5704126708.000000,13427306976.000000,,,13427306976.000000,27241579345.000000,,-608105478.000000,,22079434714.000000,,-67844342265.000000,,,,,-5704126708.000000,,-42267101268.000000,164774748077.000000,122507646809.000000
12M 2019,-35893090211.000000,441314606879.000000,,-387681761241.000000,,-77520351230.000000,-12005584619.000000,-477207697090.000000,-35893090211.000000,8668446496.000000,-898502092.000000,792868458.000000,,,,8774080130.000000,,8668446496.000000,18871823882.000000,,-117718535200.000000,58000000000.000000,-59718535200.000000,-23245197746.000000,,179741730.000000,,448040000.000000,,101207775098.000000,,,,,18871823882.000000,,-8352819833.000000,122507646809.000000,114154826976.000000
12M 2020,83999693173.000000,338348358671.000000,,-99875234923.000000,,-60813197017.000000,-93660233558.000000,-254348665498.000000,83999693173.000000,6683260961.000000,-363696134.000000,779054537.000000,,,,6267902558.000000,,6683260961.000000,-114709671201.000000,,-43470413384.000000,,-43470413384.000000,2790300000.000000,,-243429668.000000,,-522591378.000000,,-73263536771.000000,,,,,-114709671201.000000,,-24026717067.000000,114154826976.000000,90128109909.000000
12M 2021,115912288128.000000,315021031026.000000,,-133582334595.000000,,-59516199340.000000,-6010208963.000000,-199108742898.000000,115912288128.000000,-3228856790.000000,-128966600.000000,137381460.000000,,,,-3237271650.000000,,-3228856790.000000,-122872313606.000000,,-98729463420.000000,8767530390.000000,-89961933030.000000,-202140724.000000,,-156332172.000000,,-7036057452.000000,,-25515850228.000000,,,,,-122872313606.000000,,-10188882268.000000,90128109909.000000,79939227641.000000
12M 2022,53784789596.000000,336099744815.000000,,-229180692640.000000,,-45444134041.000000,-7690128538.000000,-282314955219.000000,53784789596.000000,-3660695068.000000,-1217475319.000000,259604422.000000,,,,-2702824171.000000,,-3660695068.000000,-39159918202.000000,,-70038637966.000000,13978690560.000000,-56059947406.000000,193554468.000000,,-114721435.000000,,30411983244.000000,,-13590787073.000000,,,,,-39159918202.000000,,10964176326.000000,79939277641.000000,90903453967.000000
12M 2023,27035720130.000000,357181867773.000000,,-269585759209.000000,,-51599486308.000000,-8960902126.000000,-330146147643.000000,27035720130.000000,-11632718345.000000,-2639354400.000000,412903604.000000,,,,-9406267549.000000,,-11632718345.000000,-31697054375.000000,,-53307423004.000000,6021309440.000000,-47286113564.000000,-3525869093.000000,,-30681600.000000,,34410779116.000000,,-15265169234.000000,,,,,-31697054375.000000,,-16294052590.000000,90903453967.000000,74609401377.000000
